FID,aanlegjaar,omschrijving,thema,verhardingsfunctie,verhardingssoort,geometrie
O10002_GBI_Wegen_en_bruggen.1,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((180700.423 502380.521, 180701.968 502387.228, 180702.65 502390.19, 180702.696 502390.389, 180702.316 502390.476, 180659.216 502400.518, 180658.793 502400.614, 180658.74 502400.38, 180658.07 502397.44, 180656.476 502390.619, 180655.78 502387.7, 180655.736 502387.51, 180656.17 502387.41, 180656.982 502387.222, 180663.238 502385.772, 180692.153 502379.073, 180697.719 502377.783, 180699.202 502377.44, 180699.688 502377.328, 180699.73 502377.51, 180700.423 502380.521)))"
O10002_GBI_Wegen_en_bruggen.2,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((172616.519 509143.173, 172614.381 509141.34, 172619.769 509134.964, 172621.865 509136.847, 172616.519 509143.173)))"
O10002_GBI_Wegen_en_bruggen.3,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175806.327 509287.484, 175806.857 509288.334, 175821.574 509311.96, 175822.103 509312.81, 175823.445 509314.963, 175824.031 509315.905, 175824.184 509316.153, 175824.004 509316.264, 175823.59 509316.52, 175818.47 509319.68, 175818.05 509319.92, 175817.855 509320.029, 175817.729 509319.805, 175817.212 509318.972, 175815.608 509316.387, 175815.081 509315.537, 175800.324 509291.751, 175799.795 509290.899, 175798.049 509288.085, 175797.748 509287.599, 175797.119 509286.585, 175796.989 509286.376, 175797.16 509286.27, 175797.58 509285.98, 175802.66 509282.88, 175803.06 509282.64, 175803.245 509282.529, 175803.381 509282.755, 175803.965 509283.693, 175804.783 509285.006, 175806.327 509287.484)))"
O10002_GBI_Wegen_en_bruggen.4,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175857.528 492701.472, 175860.076 492696.422, 175861.435 492697.057, 175858.58 492701.997, 175857.528 492701.472)))"
O10002_GBI_Wegen_en_bruggen.5,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((180591.383 494962.034, 180590.623 494965.836, 180581.494 494967.287, 180569.217 494986.286, 180566.33 494984.712, 180579.003 494964.972, 180591.383 494962.034)))"
O10002_GBI_Wegen_en_bruggen.6,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((175148.26 502268.5, 175148.32 502268.71, 175129.61 502276.59, 175128.31 502273.51, 175147 502265.62, 175147.18 502265.91, 175148.26 502268.5)))"
O10002_GBI_Wegen_en_bruggen.7,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((180135.576 510200.284, 180136.988 510206.157, 180137.337 510207.61, 180129.42 510209.547, 180129.075 510208.088, 180127.686 510202.21, 180127.353 510200.803, 180135.228 510198.836, 180135.576 510200.284)))"
O10002_GBI_Wegen_en_bruggen.8,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((180896.93 499906.109, 180896.77 499906.24, 180891.33 499910.61, 180891.166 499910.745, 180890.974 499910.511, 180887.75 499906.617, 180877.409 499894.074, 180874.427 499890.453, 180874.238 499890.223, 180874.4 499890.09, 180879.85 499885.71, 180880.012 499885.576, 180880.205 499885.81, 180883.26 499889.519, 180893.427 499901.861, 180896.741 499905.878, 180896.93 499906.109)))"
O10002_GBI_Wegen_en_bruggen.9,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((182547.366 507530.58, 182547.695 507529.037, 182567.31 507534.677, 182566.854 507536.246, 182547.366 507530.58)))"
O10002_GBI_Wegen_en_bruggen.10,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((180568.568 495053.57, 180570.656 495050.442, 180579.725 495056.857, 180581.113 495057.839, 180578.797 495060.946, 180577.462 495059.984, 180568.568 495053.57)))"
O10002_GBI_Wegen_en_bruggen.11,Niet ingevuld,overbrugging vlak,Brug,Niet ingevuld,Niet ingevuld,"MULTIPOLYGON (((174346.58 491469.483, 174345.913 491470.867, 174345.849 491470.999, 174340.651 491468.495, 174341.599 491466.527, 174346.797 491469.032, 174346.58 491469.483)))"
