FID,mirtnr,mirtnrid,project,omschr,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2018_punten_modaliteit.81,399,39905,Breda Centraal (t.b.v. Nieuw Sleutelproject),Arnhem CS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (190215.07820000127 444180.4404999986)
mirt2018_punten_modaliteit.82,399,39906,Breda Centraal (t.b.v. Nieuw Sleutelproject),Breda Station NS,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW, ,2012,2007-2018,114,,POINT (112918.86199999973 400888.4232000001)
mirt2018_punten_modaliteit.83,95,9501,"Vleuten - Geldermalsen (inclusief Randstadspoor, fase 1)",Vathorst,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW,2002,vanaf 2003,vanaf 2005,914,,POINT (157587.87079999968 466577.0062999986)
mirt2018_punten_modaliteit.84,453,45301,Nieuwe Sluis Terneuzen, ,Hoofdvaarwegen,Zuidwest-Nederland,Realisatie,IenW,2016,2018,2022,190,,POINT (45770.03519999981 373166.1596999988)
mirt2018_punten_modaliteit.85,371,37101,"Utrecht Centraal (t.b.v. Nieuw Sleutelproject, VINEX)",Amsterdam Zuid,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2007/2009,2016/2019,467,,POINT (120011.01929999888 483607.25979999825)
mirt2018_punten_modaliteit.86,371,37102,"Utrecht Centraal (t.b.v. Nieuw Sleutelproject, VINEX)",Den Haag CS,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2007/2009,2016/2019,467,,POINT (82134.74060000107 455297.76359999925)
mirt2018_punten_modaliteit.87,371,37103,"Utrecht Centraal (t.b.v. Nieuw Sleutelproject, VINEX)",Rotterdam CS,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2007/2009,2016/2019,467,,POINT (91858.9908999987 437794.2670000009)
mirt2018_punten_modaliteit.88,371,37104,"Utrecht Centraal (t.b.v. Nieuw Sleutelproject, VINEX)",Utrecht CS,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2007/2009,2016/2019,467,,POINT (136001.34659999982 455787.3548000008)
mirt2018_punten_modaliteit.89,371,37105,"Utrecht Centraal (t.b.v. Nieuw Sleutelproject, VINEX)",Arnhem CS,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2007/2009,2016/2019,467,,POINT (190215.07820000127 444180.4404999986)
mirt2018_punten_modaliteit.90,371,37106,"Utrecht Centraal (t.b.v. Nieuw Sleutelproject, VINEX)",Breda Station NS,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2007/2009,2016/2019,467,,POINT (112918.86199999973 400888.4232000001)
mirt2018_punten_modaliteit.91,618,61801,Capaciteitsuitbreiding sluis Eefde,Sluis Eefde,Hoofdvaarwegen,Oost-Nederland,Realisatie,IenW,2015,2017,2020,153,,POINT (212956.6810999997 463826.0436999984)
mirt2018_punten_modaliteit.92,491,49101,Nijmegen omarmt de Waal (Waalfront), ,Integrale gebiedsopgaven,Oost-Nederland,Realisatie,IenW, ,2009,2027,25,,POINT (186725.79940000176 429630.85489999875)
mirt2018_punten_modaliteit.93,518,51801,Lichteren Buitenhaven IJmuiden, ,Hoofdvaarwegen,Noordwest-Nederland,Planuitwerking,IenW, , , ,65,,POINT (99562.83199999854 498280.1422000006)
mirt2018_punten_modaliteit.94,513,51301,Zeetoegang IJmond, ,Hoofdvaarwegen,Noordwest-Nederland,Realisatie,IenW, , ,2019,927,,POINT (102093.67990000173 498036.36670000106)
mirt2018_punten_modaliteit.95,361,36127,Ruimte voor de Rivier,30 Ontpoldering Noordwaard,Waterveiligheid,Nationaal,Realisatie,IenW, ,2007,2015/na 2015,2313,,POINT (114622.63899999857 421637.5443000011)
