Leverancier;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
&Maes B.V.;1;2;3;;;;;4
&Morgen;4;;;;;;;4
&Samhoud Nederland B.V.;3;2;1;;;;;3
[frisbee];;;;;;1;;1
1001 Hapjes;1;;;;;;;1
1005;2;;;;;;;2
23G;1;;;;;;;1
2Bprojects B.V.;;2;;3;;;;3
2-Nice B.V.;1;;;;;;;1
2Privacy;;;;;;2;;2
4apps group B.V.;3;;;;;;;3
4cast B.V.;2;;1;;;;;2
4icom;2;;;;;;;2
54Events B.V.;1;;;;;;;1
5hart-IT Opleidingen B.V.;;;1;;;;;1
Aaaaha! The Actor Factory B.V.;;;1;;;;;1
Aalsmeers Bloemenhuis;1;;;;;;;1
Aan de Molenberg;1;;;;;;;1
Aarhus University;;3;;;;;;3
ABC Display Industry B.V.;1;;;;;;;1
ABF Research B.V.;2;;1;1;;;;2
Acacia Water B.V.;1;;;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;1;;;;;1
Academy of Athens;;2;;;;;;2
Accent Adviseurs B.V.;2;;;;;;;2
Achmea Tussenholding B.V.;2;;;;;;;2
Achtienhonderdeenenvijftig (1851) B.V.;;1;;;;;;1
AcquiMedia;1;;;;;;;1
Acquire Publishing B.V.;4;;;;;;;4
Adaptics Health & Performance B.V.;;;4;;;;;4
Add-app B.V.;;;;;;3;;3
Adecs Airinfra Consultants B.V.;5;;;;;;;5
Adecs AirSystems B.V.;2;;;;;;;2
Adriaanse van der Weel Advocaten;;1;;;5;;;5
Adv.bur. Schadeverg. J.R.M. van der Poel B.V.;;;;;3;;;3
Advier;2;;;;;;;2
Adviesbureau Ronnico B.V.;;1;;;;;;1
Advin B.V.;;2;;;;;;2
Advocatenpraktijk Acquisition Management B.V.;3;;;;;;;3
AEMET;;2;;;;;;2
AEQUATOR Groen & Ruimte B.V.;2;;;;;;;2
Aeres Hogeschool Dronten;3;;;;;;;3
Aeret;;;1;;;;;1
Aerial Pro B.V.;;1;1;;;;;1
AEVES B.V.;;2;;;;;;2
AGL Engineering S.A.;1;;;;;;;1
Agro4all B.V.;2;;;;;;;2
Ahmet Polat Fotografie;;;1;;;;;1
Aikima;;;1;;;;;1
AimAtArt;1;;;;;;;1
Aircr. Develop. and Systems Engineering B.V.;3;;;;;;;3
AKD N.V.;1;;;;;;;1
Alba Concepts B.V.;4;;;;;;;4
Albert Heijn B.V.;1;;;;;;;1
Albron Nederland B.V.;1;;;;;;;1
Aleid Landeweerd Illustraties en Vormgeving;1;;;;;;;1
Alert Business Consultancy;;;1;;;;;1
Altea B.V.;2;;;;;;;2
Alt-Tab Bedrijfsondersteuning;2;1;2;;;;;2
Amazon Web Services EMEA SARL;;;1;;;;;1
Amber Nederland B.V.;1;;;;;;;1
Ambiënt Advies B.V.;2;;;;;;;2
Amplooi;;;1;;;;;1
AND Products B.V.;2;;;;;;;2
Andersson Elffers Felix;5;4;2;4;;;;6
Andija B.V.;;;1;1;;;;1
Anita Verdonk consultancy;;;2;;;;;2
ANNEEN B.V.;1;;;;;;;1
ANOG;3;;;;;;;3
Anoniem_I & W_147;;1;;;;;;1
Anoniem_I & W_178;1;;;;;;;1
Anoniem_I & W_181;2;;;;;;;2
Anoniem_I & W_185;;;1;;;;;1
Anoniem_I & W_201;3;;;;;;;3
Anoniem_I & W_203;;1;;;;;;1
Anoniem_I & W_217;;1;;;;;;1
Anoniem_I & W_230;1;;;;1;;;1
Anoniem_I & W_242;1;;;;;;;1
Anoniem_I & W_247;;;1;;;;;1
Anoniem_I & W_249;;1;;;;;;1
Anoniem_I & W_250;1;;;;;;;1
Anoniem_I & W_255;;;;;;2;;2
Anoniem_I & W_256;1;;;1;;;;1
Anoniem_I & W_258;;;;;;1;;1
Anoniem_I & W_267;2;;;;;;;2
Anoniem_I & W_282;;1;;;;;;1
Anoniem_I & W_288;4;;;;;;;4
Anoniem_I & W_300;;;1;;;;;1
Anoniem_I & W_305;;1;;;;;;1
Anoniem_I & W_311;1;;;;;;;1
Anoniem_I & W_327;;;;2;;;;2
Anoniem_I & W_337;;2;;;;;;2
Anoniem_I & W_341;;1;;;;;;1
Anoniem_I & W_353;;1;1;;;;;1
Anoniem_I & W_356;;1;1;;;;;1
Anoniem_I & W_383;;;1;;;;;1
Anoniem_I & W_387;;;1;1;;;;1
Anoniem_I & W_396;1;;;;;;;1
Anoniem_I & W_398;;;1;;;;;1
Anoniem_I & W_399;;;2;;;;;2
Anoniem_I & W_438;2;;;;;;;2
Anoniem_I & W_439;;;1;;;;;1
Anoniem_I & W_440;;;;2;;;;2
Anoniem_I & W_442;;1;;;;;;1
Anoniem_I & W_449;2;;;;;;;2
Anoniem_I & W_484;;;;1;;;;1
Anoniem_I & W_488;1;;;;;;;1
Anoniem_I & W_489;;1;1;;;;;1
Anoniem_I & W_490;;;1;;;;1;1
Anoniem_I & W_491;;;1;1;;;;1
Anoniem_I & W_492;;;1;;;;;1
Anoniem_I & W_497;2;;;;;;;2
Anoniem_I & W_516;;;1;;;;;1
Anoniem_I & W_521;1;;;;;;;1
Anoniem_I & W_526;;;2;;;;;2
Anoniem_I & W_527;;2;1;;;;;2
Anoniem_I & W_528;1;;;;;;;1
Anoniem_I & W_530;;;1;;;;;1
Anoniem_I & W_531;;;1;;;;;1
Anoniem_I & W_546;2;;;;;;;2
Anoniem_I & W_551;1;;;;;;;1
Anoniem_I & W_554;1;;;;;;;1
Anoniem_I & W_561;;;2;;;;;2
Anoniem_I & W_564;1;;;;;;;1
Anoniem_I & W_575;1;;;;;;;1
Anoniem_I & W_577;1;;;;;;;1
Anoniem_I & W_579;2;;;;;;;2
Anoniem_I & W_581;1;;;;;;;1
Anoniem_I & W_76;;;1;;;;;1
Anoniem_I & W_8;4;;;;;;;4
Anoniem_I & W_9;;;1;;;;;1
Antario;;;1;;;;;1
Antea Inspection B.V.;;;2;;;;;2
Antea Nederland B.V.;8;4;4;;;;2;8
ANTWERPEN UNIV;1;;;;;;;1
Aon Global Risk Consulting B.V.;2;;;;;;;2
APG Service Partners B.V.;;;3;;;;;3
Aphra Rekkers Arbeidsdeskundig Advies;;;1;;;;;1
Apollo Vredestein B.V.;2;;;;;;;2
Apollo13;;1;;;;;;1
Appel B.V.;1;;;;;;;1
APPM Management Consultants B.V.;6;;;2;;;;6
APPMA Projectmanagement en Advies;;2;;;;;;2
AR Beleidsanalyses;1;;;;;;;1
ARA Groep B.V.;3;1;;;;;;3
ARAG SE Nederland;2;;;;;;;2
Aram Design;1;;;;;;;1
Arbo Coördinatie Centrum B.V.;;;2;;;;;2
ARCADIS Nederland;4;;;;;;;4
ARCADIS Nederland B.V.;7;;2;;;;;7
ARCHITECTURE WORKROOM BRUSSELS;2;;;;;;;2
ArchiXL B.V.;2;;;;;;;2
Ardis Organisatieontwikkeling B.V.;1;;;;;;;1
Arendshoeve B.V.;2;;;;;;;2
arine.nl;;;1;;;;;1
Aris;2;;2;;;;;2
ARISTOTLE UNIVERSITY OF THESSALONIK;;2;;;;;;2
ARQ IVP B.V.;;;2;;;;;2
Art 4 You Decorations;1;;;;;;;1
Art by Vanessa Koster;1;;;;;;;1
Artcore Amsterdam B.V.;4;;;;;;;4
Artihove Regina B.V.;1;;;;;;;1
Asbestverwijdering Flory B.V.;;;1;;;;;1
