OBJECTID,pandstatus,bouwjaar,energielab
1,Pand in gebruik,1966,geen label
2,Pand in gebruik,1922,geen label
3,Pand in gebruik,1966,geen label
4,Pand in gebruik,1932,geen label
5,Pand in gebruik,1894,geen label
6,Pand in gebruik,1957,geen label
7,Pand in gebruik,1917,geen label
8,Pand in gebruik,1960,geen label
9,Pand in gebruik,1971,F
10,Pand in gebruik,1953,G
11,Pand in gebruik,1879,geen label
12,Pand in gebruik,1980,geen label
13,Pand in gebruik,1918,geen label
14,Pand in gebruik,1894,geen label
15,Pand in gebruik,1974,geen label
16,Pand in gebruik,2003,geen label
17,Pand in gebruik,1998,B
18,Pand in gebruik,1923,geen label
19,Pand in gebruik,1957,G
20,Pand in gebruik,1956,geen label
21,Pand in gebruik,1900,geen label
22,Bouw gestart,2011,geen label
23,Pand in gebruik,1924,geen label
24,Pand in gebruik,1908,geen label
25,Pand in gebruik,1900,geen label
26,Pand in gebruik,1930,geen label
27,Pand in gebruik,1928,geen label
28,Pand in gebruik,1962,geen label
29,Pand in gebruik,1961,D
30,Pand in gebruik,1930,geen label
31,Pand in gebruik,1958,G
32,Pand in gebruik,1930,geen label
33,Pand in gebruik,1900,geen label
34,Pand in gebruik,1956,geen label
35,Pand in gebruik,1916,geen label
36,Pand in gebruik,1980,geen label
37,Pand in gebruik,1956,geen label
38,Pand in gebruik,1904,geen label
39,Pand in gebruik,1965,F
40,Pand in gebruik,1966,geen label
41,Pand in gebruik,1878,geen label
42,Pand in gebruik,1927,geen label
43,Pand in gebruik,1919,geen label
44,Pand in gebruik,1956,geen label
45,Pand in gebruik,1913,geen label
46,Pand in gebruik,1972,geen label
47,Pand in gebruik,1906,geen label
48,Pand in gebruik,1929,geen label
49,Pand in gebruik,1870,geen label
50,Pand in gebruik,1965,D
51,Pand in gebruik,1978,F
52,Pand in gebruik,1978,E
53,Pand in gebruik,1985,D
54,Pand in gebruik,1930,geen label
55,Pand in gebruik,1926,geen label
56,Pand in gebruik,1906,geen label
57,Pand in gebruik,1952,E
58,Pand in gebruik,1957,geen label
59,Pand in gebruik,1957,geen label
60,Pand in gebruik,1967,geen label
61,Pand in gebruik,1900,geen label
62,Pand in gebruik,1990,D
63,Pand in gebruik,1934,geen label
64,Pand in gebruik,1910,geen label
65,Pand in gebruik,1939,geen label
66,Pand in gebruik,1901,geen label
67,Pand in gebruik,1860,geen label
68,Pand in gebruik,1960,geen label
69,Pand in gebruik,1906,geen label
70,Pand in gebruik,1932,geen label
71,Pand in gebruik,1900,geen label
72,Pand in gebruik,1956,geen label
73,Pand in gebruik,1908,geen label
74,Pand in gebruik,1967,G
75,Pand in gebruik,1932,geen label
76,Pand in gebruik,1966,E
77,Pand in gebruik,1969,geen label
78,Pand in gebruik,1965,geen label
79,Pand in gebruik,1971,F
80,Pand in gebruik,1979,geen label
81,Pand in gebruik,1969,geen label
82,Pand in gebruik,1957,geen label
83,Pand in gebruik,1909,geen label
84,Pand in gebruik,1914,geen label
85,Pand in gebruik,1957,geen label
86,Pand in gebruik,1967,E
87,Pand in gebruik,1900,geen label
88,Pand in gebruik,1911,geen label
89,Pand in gebruik,1923,E
90,Pand in gebruik,1875,geen label
91,Pand in gebruik,1886,geen label
92,Pand in gebruik,1913,geen label
93,Pand in gebruik,1980,geen label
94,Pand in gebruik,1960,F
95,Pand in gebruik,1924,geen label
96,Pand in gebruik,1995,D
