FID,mirtnr,mirtnrid,project,omschr,onderwerp,gebied,fase,ministerie,besluit,startreal,oplevering,f_mln,gdb_geomattr_data,shape
mirt2021_punten_modaliteit.1,791,79101,Sluiscomplex Kornwerderzand, ,Hoofdvaarwegen,Noord-Nederland,Realisatie,IenW, ,2020,2025-2028,111,,POINT (151656.21840000153 565155.697900001)
mirt2021_punten_modaliteit.2,701,70101,PHS Ede, ,Spoorwegen personen,Oost-Nederland,Realisatie,IenW, , ,2021-2024,52,,POINT (174547.82829999924 448870.55040000007)
mirt2021_punten_modaliteit.3,786,78601,Wilhelminakanaal Sluis II, ,Vaarwegen,Zuid-Nederland,Planuitwerking,IenW, ,2021,2023,70,,POINT (127707.51469999924 400882.96599999815)
mirt2021_punten_modaliteit.4,1027,102701,PHS Amsterdam, ,Spoorwegen,Noordwest-Nederland,Realisatie,IenW,2020,2021,2027-2029,138,,POINT (121860.19999999925 488006.5)
mirt2021_punten_modaliteit.5,550,55001,"Amsterdam CS, Cuypershal", ,Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, ,2012-2020, ,27,,POINT (121860.19999999925 488006.5)
mirt2021_punten_modaliteit.6,764,76401,Reevesluis, ,Waterveiligheid,Noordwest-Nederland,Realisatie,IenW, , ,2021-2022,95,,POINT (186959.8178000003 503647.7672000006)
mirt2021_punten_modaliteit.7,670,67001,PHS Spooromgeving Geldermalsen, ,Spoorwegen personen,Oost-Nederland,Realisatie,IenW, , ,2021,140,,POINT (147022.20699999854 432709.34910000116)
mirt2021_punten_modaliteit.8,615,61503,A10 Knooppunten De Nieuwe Meer en Amstel,KP. Amstel,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW, , ,2032-2036,314,,POINT (122692.17029999942 482379.26089999825)
mirt2021_punten_modaliteit.9,615,61502,A10 Knooppunten De Nieuwe Meer en Amstel,KP. De Nieuwe Meer,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW, , ,2032-2036,314,,POINT (117858.61719999835 483457.879900001)
mirt2021_punten_modaliteit.10,610,61001,Besluit beheer Haringvlietsluizen,Haringvlietsluizen,Zoetwater,Zuidwest-Nederland,Realisatie,IenW, , ,2018-2027,83,,POINT (62830.799400001764 427997.3520999998)
mirt2021_punten_modaliteit.11,576,57601,Capaciteit Volkaraksluizen, ,Hoofdvaarwegen,Zuidwest-Nederland,Planuitwerking,IenW, , ,2017/2024-2027,154,,POINT (87391.5148999989 411753.00549999997)
mirt2021_punten_modaliteit.12,451,45101,Capaciteitsuitbreiding ligplaatsen Beneden-Lek, ,Hoofdvaarwegen,Zuidwest-Nederland,Realisatie,IenW, ,2021,2022,13,,POINT (114238.33350000158 437213.54769999906)
mirt2021_punten_modaliteit.13,514,51407,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2023/2030, ,227,,POINT (73307.23250000179 437655.73110000044)
mirt2021_punten_modaliteit.14,514,51406,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2023/2029, ,227,,POINT (99882.27309999987 426746.27639999986)
mirt2021_punten_modaliteit.15,514,51405,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2023/2028, ,227,,POINT (90200.68879999965 432730.2243000008)
mirt2021_punten_modaliteit.16,514,51404,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2023/2027, ,227,,POINT (84950.58399999887 433492.32239999995)
mirt2021_punten_modaliteit.17,514,51403,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2023/2026, ,227,,POINT (79912.2126000002 432617.3112999983)
mirt2021_punten_modaliteit.18,514,51402,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2023/2025, ,227,,POINT (62796.06850000098 439916.22509999946)
mirt2021_punten_modaliteit.19,514,51401,Spooraansluitingen Tweede Maasvlakte, ,Spoorwegen goederen,Zuidwest-Nederland,Realisatie,IenW, ,2023/2024, ,227,,POINT (60988.082400001585 438577.76249999925)
mirt2021_punten_modaliteit.20,615,61501,A10 Knooppunten De Nieuwe Meer en Amstel,Zuidas,Hoofdwegen,Noordwest-Nederland,Realisatie,IenW, , ,2032-2036,314,,POINT (120011.01929999888 483607.25979999825)
mirt2021_punten_modaliteit.21,309,30901,Zuidasdok,Amsterdam Zuid,Hoofdwegen en Spoorwegen personen,Noordwest-Nederland,Realisatie,IenW, , ,2032-2036,1692,,POINT (120011.01929999888 483607.25979999825)
mirt2021_punten_modaliteit.22,399,39901,Breda Centraal (t.b.v. Nieuw Sleutelproject),Amsterdam Zuid,Spoorwegen personen,Zuid-Nederland,Realisatie,IenW/BZK, ,2012,2022,111,,POINT (120011.01929999888 483607.25979999825)
