Leverancier;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Amsterdamse Bloemenmarkt;1;1;;;;;;;;;1
Andersson Elffers Felix;2;;;;;;;;;;2
André Motors B.V.;1;;;;;;;;;;1
AniCura Dierenziekenhuis Breda B.V.;;;1;;;;;;;;1
AniCura Dierenziekenhuis Drechtstreek B.V.;;;1;;;;;;;;1
Animo B.V.;1;;;;;;;;;;1
Anna Vastgoed Beheer B.V.;;1;;;;;;;;;1
Anoniem_DEF_1;1;;;;;;;;;;1
Anoniem_DEF_102;;1;;;;;;;;;1
Anoniem_DEF_103;1;;;;;;;;;;1
Anoniem_DEF_104;1;;;;;;;;;;1
Anoniem_DEF_108;1;;;;;;;;;;1
Anoniem_DEF_109;1;;;;;;;;;;1
Anoniem_DEF_11;1;;;;;;;;;;1
Anoniem_DEF_110;;;;;;;;;1;;1
Anoniem_DEF_112;4;;1;;;;;;;;4
Anoniem_DEF_117;1;;;;;;;;;;1
Anoniem_DEF_118;1;;;;;;;;;;1
Anoniem_DEF_119;;1;;;;;;;;;1
Anoniem_DEF_123;1;;;;;;;;;;1
Anoniem_DEF_127;1;;;;;;;;;;1
Anoniem_DEF_128;1;;;;;;;;;;1
Anoniem_DEF_13;;1;;;;;;;;;1
Anoniem_DEF_136;1;;;;;;;;;;1
Anoniem_DEF_137;1;;;;;;;;;;1
Anoniem_DEF_138;1;;;;;;;;;;1
Anoniem_DEF_139;;;;;;;;1;1;;1
Anoniem_DEF_141;1;;;;;;;;;;1
Anoniem_DEF_143;1;;;;;;;;;;1
Anoniem_DEF_147;1;;;;;;;;;;1
Anoniem_DEF_149;1;;;;;;;;;;1
Anoniem_DEF_150;1;;;;;;;;;;1
Anoniem_DEF_151;;1;;;;;;;;;1
Anoniem_DEF_152;1;;;;;;;;;;1
Anoniem_DEF_153;3;;;;;;;;;;3
Anoniem_DEF_156;1;;;;;;;;;;1
Anoniem_DEF_157;1;;;;;;;;;;1
Anoniem_DEF_160;1;;;;;;;;;;1
Anoniem_DEF_165;1;;;;;;;;;;1
Anoniem_DEF_167;2;;;;;;;;;;2
Anoniem_DEF_168;1;;;;;;;;;;1
Anoniem_DEF_169;1;;;;;;;;;;1
Anoniem_DEF_174;1;;;;;;;;;;1
Anoniem_DEF_178;2;1;;;;;;;;;2
Anoniem_DEF_179;;;2;;;;;;;;2
Anoniem_DEF_180;;;1;;;;;;;;1
Anoniem_DEF_181;1;;;;;;;;;;1
Anoniem_DEF_184;1;1;;;;;;;;;1
Anoniem_DEF_188;;1;;;;;;;;;1
Anoniem_DEF_189;1;;;;;;;;;;1
Anoniem_DEF_19;;;;;;;;1;;;1
Anoniem_DEF_192;1;;;;;;;;;;1
Anoniem_DEF_194;1;;;;;;;;;;1
Anoniem_DEF_195;;1;;;;;;;;;1
Anoniem_DEF_197;;2;;;;;;;;;2
Anoniem_DEF_198;1;;;;;;;;;;1
Anoniem_DEF_199;1;;;;;;;;;;1
Anoniem_DEF_201;1;;;;;;;;;;1
Anoniem_DEF_202;1;;;;;;;;;;1
Anoniem_DEF_205;1;;;;;;;;;;1
Anoniem_DEF_207;;1;;;;;;;;;1
Anoniem_DEF_21;1;1;;;;;;;;;1
Anoniem_DEF_212;1;;;;;;;;;;1
Anoniem_DEF_216;1;1;;;;;;;;;2
Anoniem_DEF_219;1;;;;;;;;;;1
Anoniem_DEF_221;1;;;;;;;;;;1
Anoniem_DEF_223;1;;;;;;;;;;1
Anoniem_DEF_224;1;;;;;;;;;;1
Anoniem_DEF_228;;;1;;;;;;;;1
Anoniem_DEF_23;1;1;;;;;;;;;1
Anoniem_DEF_230;1;;;;;;;;;;1
Anoniem_DEF_240;1;;;;;;;;;;1
Anoniem_DEF_242;1;;;;;;;;;;1
Anoniem_DEF_245;1;;;;;;;;;;1
Anoniem_DEF_247;1;;;;;;;;;;1
Anoniem_DEF_248;1;;;;;;;;;;1
Anoniem_DEF_249;1;;;;;;;;;;1
Anoniem_DEF_250;1;;;;;;;;;;1
Anoniem_DEF_251;;;1;;;;;;;;1
Anoniem_DEF_253;1;;;;;;;;;;1
Anoniem_DEF_254;1;;;;;;;;;;1
Anoniem_DEF_259;1;;;;;;;;;;1
Anoniem_DEF_261;1;;;;;;;;;;1
Anoniem_DEF_263;;1;;;;;;;;;1
Anoniem_DEF_264;1;;;;;;;;;;1
Anoniem_DEF_267;1;;;;;;;;;;1
Anoniem_DEF_27;;1;;;;;;;;;1
Anoniem_DEF_271;1;;;;;;;;;;1
Anoniem_DEF_272;1;;;;;;;;;;1
Anoniem_DEF_275;1;;;;;;;;;;1
Anoniem_DEF_276;1;;;;;;;;;;1
Anoniem_DEF_277;1;;;;;;;;;;1
Anoniem_DEF_28;1;1;;;;;;;;;1
Anoniem_DEF_280;1;;;;;;;;;;1
Anoniem_DEF_281;1;;;;;;;;;;1
Anoniem_DEF_287;1;;;;;;;;;;1
Anoniem_DEF_290;1;;;;;;;;;;1
Anoniem_DEF_296;;1;;;;;;;;;1
Anoniem_DEF_297;;1;;;;;;;;;1
Anoniem_DEF_3;1;;;;;;;;;;1
Anoniem_DEF_30;1;;;;;;;;;;1
Anoniem_DEF_301;1;;;;;;;;;;1
Anoniem_DEF_303;2;;;;;;;;;;2
Anoniem_DEF_304;;;;;;;;1;;;1
Anoniem_DEF_311;1;;;;;;;;;;1
Anoniem_DEF_317;1;;;;;;;;;;1
Anoniem_DEF_323;1;;;;;;;;;;1
Anoniem_DEF_331;1;;;;;;;;;;1
Anoniem_DEF_332;4;;;;;;;;;;4
Anoniem_DEF_333;;1;;;;;;;;;1
Anoniem_DEF_335;;;1;;;;;;;;1
Anoniem_DEF_337;;1;;;;;;;;;1
Anoniem_DEF_338;1;;;;;;;;;;1
Anoniem_DEF_34;1;;;;;;;;;;1
Anoniem_DEF_340;1;;;;;;;;;;1
Anoniem_DEF_343;1;;;;;;;1;;;1
Anoniem_DEF_344;1;;;;;;;;;;1
Anoniem_DEF_346;;1;;;;;;;;;1
Anoniem_DEF_349;1;2;;;;;;;;;2
Anoniem_DEF_352;1;;;;;;;;;;1
Anoniem_DEF_354;1;;;;;;;;;;1
Anoniem_DEF_355;;1;;;;;;;;;1
Anoniem_DEF_361;1;;;;;;;;;;1
Anoniem_DEF_363;1;;;;;;;;;;1
Anoniem_DEF_365;1;;;;;;;;;;1
Anoniem_DEF_368;1;;;;;;;;;;1
Anoniem_DEF_369;;1;;;;;;;;;1
Anoniem_DEF_371;1;;;;;;;;;;1
Anoniem_DEF_374;1;;;;;;;;;;1
Anoniem_DEF_375;;1;;;;;;;;;1
Anoniem_DEF_376;1;;;;;;;;;;1
Anoniem_DEF_381;1;;;;;;;;;;1
Anoniem_DEF_386;;;1;;;;;;;;1
Anoniem_DEF_388;1;;;;;;;;;;1
Anoniem_DEF_39;1;;;;;;;;;;1
Anoniem_DEF_391;2;1;;;;;;;;;2
Anoniem_DEF_392;;1;;;;;;;;;1
Anoniem_DEF_394;1;1;;;;;;;;;1
Anoniem_DEF_397;;1;;;;;;;;;1
Anoniem_DEF_399;1;;;;;;;;;;1
Anoniem_DEF_4;1;;;;;;;;;;1
Anoniem_DEF_400;1;;;;;;;;;;1
Anoniem_DEF_408;;1;;;;;;;;;1
Anoniem_DEF_417;;1;;;;;;;;;1
Anoniem_DEF_42;1;;;;;;;;;;1
Anoniem_DEF_422;2;;;;;;;;;;2
Anoniem_DEF_425;1;;1;;;;;;;;1
Anoniem_DEF_428;2;;;;;;;;;;2
Anoniem_DEF_429;1;;1;;;;;;;;1
Anoniem_DEF_43;1;;;;;;;;;;1
Anoniem_DEF_430;1;;;;;;;;;;1
Anoniem_DEF_432;4;;;;;;;;;;4
Anoniem_DEF_433;2;;;;;;;;;;2
Anoniem_DEF_434;;;;;1;;;1;;;1
Anoniem_DEF_438;2;;;;;;;;;;2
Anoniem_DEF_439;;1;;;;;;;;;1
Anoniem_DEF_44;;1;;;;;;;;;1
Anoniem_DEF_440;;;;;;;1;;;;1
Anoniem_DEF_444;2;;;;;;;;;;2
Anoniem_DEF_445;1;;;;;;;;;;1
Anoniem_DEF_447;;2;;;;;;;;;2
Anoniem_DEF_45;1;;;;;;;;;;1
Anoniem_DEF_452;1;;;;;;;;;;1
Anoniem_DEF_453;1;;;;;;;;;;1
Anoniem_DEF_455;1;;;;;;;;;;1
Anoniem_DEF_457;1;;;;;;;;;;1
Anoniem_DEF_463;1;;;;;;;;;;1
Anoniem_DEF_464;;;;;;;;1;1;;1
Anoniem_DEF_465;;1;;;;;;;;;1
Anoniem_DEF_467;;1;;;;;;;;;1
Anoniem_DEF_468;;;2;;;;;;;;2
Anoniem_DEF_472;1;;;;;;;;;;1
Anoniem_DEF_476;2;;;;;;;;;;2
Anoniem_DEF_478;4;;;;;;;;;;4
Anoniem_DEF_480;4;1;;;;;;;;;4
Anoniem_DEF_481;1;;;;;;;;;;1
Anoniem_DEF_483;1;;;;;;;;;;1
Anoniem_DEF_484;2;;;;;;;;;;2
Anoniem_DEF_486;;1;;;;;;;;;1
Anoniem_DEF_490;;1;;;;;;;;;1
Anoniem_DEF_493;1;;;;;;;;;;1
Anoniem_DEF_494;1;;;;;;;;;;1
Anoniem_DEF_496;1;;;;;;;;;;1
Anoniem_DEF_500;1;;;;;;;;;;1
Anoniem_DEF_501;1;;;;;;;;;;1
Anoniem_DEF_503;1;;;;;;;;;;1
Anoniem_DEF_505;1;;;;;;;;;;1
Anoniem_DEF_506;;;1;;;;;;;;1
Anoniem_DEF_515;1;;;;;;;;;;1
Anoniem_DEF_520;;;;;;;;2;;;2
Anoniem_DEF_523;2;;;;;;;;;;2
Anoniem_DEF_524;1;;;;;;;;;;1
Anoniem_DEF_525;1;;;;;;;;;;1
Anoniem_DEF_526;1;;;;;;;;;;1
Anoniem_DEF_528;1;;;;;;;;;;1
Anoniem_DEF_530;1;;;;;;;;;;1
Anoniem_DEF_531;;1;;;;;;;;;1
Anoniem_DEF_532;;1;;;;;;2;1;;3
Anoniem_DEF_539;1;;;;;;;;;;1
Anoniem_DEF_54;1;;;;;;;;;;1
Anoniem_DEF_540;1;;;;;;;;;;1
Anoniem_DEF_542;1;;;;;;;;;;1
Anoniem_DEF_544;1;;;;;;;;1;;1
Anoniem_DEF_546;5;2;;;;;;;;;5
Anoniem_DEF_547;1;;;;;;;;;;1
Anoniem_DEF_55;1;;;;;;;;;;1
Anoniem_DEF_552;1;;;;;;;;;;1
Anoniem_DEF_555;1;;;;;;;;1;;1
Anoniem_DEF_556;2;2;;;;;;;;;3
Anoniem_DEF_557;;;1;;;;;;;;1
Anoniem_DEF_56;2;;;;;;;;;;2
Anoniem_DEF_565;1;;;;;;;;;;1
Anoniem_DEF_569;1;;;;;;;;;;1
Anoniem_DEF_570;1;;;;;;;;;;1
Anoniem_DEF_572;1;;;;;;;;;;1
Anoniem_DEF_573;1;;;;;;;;;;1
Anoniem_DEF_576;2;;;;;;;;;;2
Anoniem_DEF_585;1;;;;;;;;;;1
Anoniem_DEF_590;1;;;;;;;;;;1
Anoniem_DEF_591;1;;;;;;;;;;1
Anoniem_DEF_592;1;1;;;;;;;;;1
Anoniem_DEF_594;1;;;;;;;;;;1
Anoniem_DEF_598;;;1;;;;;;;;1
Anoniem_DEF_604;1;;;;;;;7;;;7
Anoniem_DEF_605;1;;;;;;;;;;1
Anoniem_DEF_607;1;;;;;;;;;;1
Anoniem_DEF_61;1;;;;;;;;;;1
Anoniem_DEF_611;1;;;;;;;;;;1
Anoniem_DEF_614;;1;;;;;;;;;1
Anoniem_DEF_616;1;;;;;;;;;;1
Anoniem_DEF_618;1;;;;;;;;;;1
Anoniem_DEF_627;1;;;;;;;;;;1
Anoniem_DEF_629;1;;;;;;;;;;1
Anoniem_DEF_631;1;;;;;;;;;;1
Anoniem_DEF_633;1;;;;;;;;;;1
Anoniem_DEF_634;;1;;;;;;;;;1
Anoniem_DEF_636;;;;;;;;;;1;1
Anoniem_DEF_638;1;1;;;;;;;;;1
Anoniem_DEF_644;1;;;;;;;1;1;;1
Anoniem_DEF_645;1;;;;;;;;;;1
Anoniem_DEF_648;;2;;;;;;;;;2
Anoniem_DEF_650;1;;;;;;;;;;1
Anoniem_DEF_653;1;;;;;;;;;;1
Anoniem_DEF_655;1;;;;;;;;;;1
Anoniem_DEF_659;;1;;;;;;;;;1
Anoniem_DEF_66;1;;;;;;;;;;1
Anoniem_DEF_661;;1;;;;;;;;;1
Anoniem_DEF_662;1;;;;;;;;;;1
Anoniem_DEF_666;2;;;;;;;;;;2
Anoniem_DEF_669;;1;;;;;;;;;1
Anoniem_DEF_67;1;;;;;;;;;;1
Anoniem_DEF_676;;1;;;;;;;;;1
Anoniem_DEF_679;1;2;;;;;;;;;2
Anoniem_DEF_680;1;;;;;;;;;;1
Anoniem_DEF_683;;2;;;;;;;;;2
Anoniem_DEF_685;1;;;;;;;;;;1
Anoniem_DEF_687;1;;;;;;;;;;1
Anoniem_DEF_688;1;;;;;;;;;;1
Anoniem_DEF_689;1;;;;;;;;;;1
Anoniem_DEF_690;1;;;;;;;;;;1
Anoniem_DEF_691;1;;;;;;;;;;1
Anoniem_DEF_692;1;;;;;;;;;;1
Anoniem_DEF_693;1;;;;;;;;;;1
Anoniem_DEF_695;;1;;;;;;;;;1
Anoniem_DEF_696;;1;;;;;;;;;1
Anoniem_DEF_7;1;1;;;;;;;;;1
Anoniem_DEF_700;1;;;;;;;;;;1
Anoniem_DEF_706;;1;;;;;;;;;1
Anoniem_DEF_708;1;;;;;;;;;1;1
Anoniem_DEF_709;1;;;;;;;;;;1
Anoniem_DEF_71;1;;;;;;;;;;1
Anoniem_DEF_712;1;;;;;;;;;;1
Anoniem_DEF_713;1;;;;;;;;;;1
Anoniem_DEF_718;1;;;;;;;;;;1
Anoniem_DEF_722;1;;;;;;;;;;1
Anoniem_DEF_725;1;;;;;;;;;;1
Anoniem_DEF_726;1;;;;;;;;;;1
Anoniem_DEF_727;1;;;;;;;;;;1
Anoniem_DEF_730;1;;;;;;;;;;1
Anoniem_DEF_734;;1;;;;;;;;;1
Anoniem_DEF_735;1;;;;;;;;;;1
Anoniem_DEF_736;1;;;;;;;;;;1
Anoniem_DEF_74;;2;;;;;;;;;2
Anoniem_DEF_741;1;;;;;;;;;;1
Anoniem_DEF_745;1;;;;;;;;;;1
Anoniem_DEF_747;1;;;;;;;;;;1
Anoniem_DEF_748;;1;;;;;;;;;1
Anoniem_DEF_749;;1;;;;;;;;;1
Anoniem_DEF_753;;1;;;;;;;;;1
Anoniem_DEF_756;1;;;;;;;;;;1
Anoniem_DEF_764;1;;;;;;;;;;1
Anoniem_DEF_765;1;;;;;;;;;;1
Anoniem_DEF_767;;1;;;;;;;;;1
Anoniem_DEF_771;1;;;;;;;;;;1
Anoniem_DEF_777;1;;;;;;;;;;1
Anoniem_DEF_780;1;;;;;;;;;;1
Anoniem_DEF_782;;;;;;;;;;1;1
Anoniem_DEF_783;;1;;;;;;;;;1
Anoniem_DEF_784;1;;;;;;;;;;1
Anoniem_DEF_788;;1;;;;;;;;;1
Anoniem_DEF_79;2;;;;;;;;;;2
Anoniem_DEF_793;1;;;;;;;;;;1
Anoniem_DEF_794;1;;;;;;;;;;1
Anoniem_DEF_795;;1;;;;;;;;;1
Anoniem_DEF_8;1;;;;;;;;;;1
Anoniem_DEF_806;1;;;;;;;;;;1
Anoniem_DEF_808;1;;;;;;;;;;1
Anoniem_DEF_809;1;;;;;;;;;;1
Anoniem_DEF_81;;1;;;;;;;;;1
Anoniem_DEF_811;1;;;;;;;;;;1
Anoniem_DEF_814;1;;;;;;;;;;1
Anoniem_DEF_815;;1;;;;;;;;;1
Anoniem_DEF_816;;1;;;;;;;;;1
Anoniem_DEF_822;1;;;;;;;;;;1
Anoniem_DEF_823;1;;;;;;;;;;1
Anoniem_DEF_825;1;;;;;;;;;;1
Anoniem_DEF_827;3;;;;;;;;;;3
Anoniem_DEF_83;1;;;;;;;;;;1
Anoniem_DEF_830;1;;;;;;;;;;1
Anoniem_DEF_831;;;;;;;;;;1;1
Anoniem_DEF_837;1;;;;;;;;;;1
Anoniem_DEF_838;;1;;;;;;;;;1
Anoniem_DEF_84;1;;;;;;;;;;1
Anoniem_DEF_840;;1;;;;;;;;;1
Anoniem_DEF_841;1;;;;;;;;;;1
Anoniem_DEF_846;1;;;;;;;;;;1
Anoniem_DEF_847;1;;;;;;;;;;1
Anoniem_DEF_848;;1;;;;;;;;;1
Anoniem_DEF_849;1;;;;;;;;;;1
Anoniem_DEF_850;1;;;;;;;;;;1
Anoniem_DEF_853;1;;;;;;;;;;1
Anoniem_DEF_854;1;;;;;;;;;;1
Anoniem_DEF_857;;1;;;;;;;;;1
Anoniem_DEF_861;2;;;;;;;;;;2
Anoniem_DEF_865;1;;;;;;;;;;1
Anoniem_DEF_866;1;;;;;;;;;;1
Anoniem_DEF_869;1;;;;;;;;;;1
Anoniem_DEF_870;1;;;;;;;;;;1
Anoniem_DEF_871;1;;;;;;;;;;1
Anoniem_DEF_872;;1;;;;;;;;;1
Anoniem_DEF_874;1;;;;;;;;;;1
Anoniem_DEF_88;1;;;;;;;;;;1
Anoniem_DEF_882;1;;;;;;;;;;1
Anoniem_DEF_883;1;;;;;;;;;;1
Anoniem_DEF_884;1;;;;;;;;;;1
Anoniem_DEF_889;1;;;;;;;;;;1
Anoniem_DEF_895;1;;;;;;;;;;1
Anoniem_DEF_896;;;;1;;;;;;;1
Anoniem_DEF_897;1;;;;;;;;;;1
Anoniem_DEF_898;2;2;;;;;;;;;3
Anoniem_DEF_90;1;;;;;;;;;;1
Anoniem_DEF_900;;1;;;;;;;;;1
Anoniem_DEF_902;;1;;;;;;;;;1
Anoniem_DEF_903;1;;;;;;;;1;;1
Anoniem_DEF_908;;1;;;;;;;;;1
Anoniem_DEF_911;;1;;;;;;;;;1
Anoniem_DEF_915;1;;;;;;;;;;1
Anoniem_DEF_916;1;;;;;;;;;;1
Anoniem_DEF_919;1;;;;;;;;;;1
Anoniem_DEF_925;1;;;;;;;;;;1
Anoniem_DEF_926;1;;;;;;;;;;1
Anoniem_DEF_927;;;1;;;;;;;;1
Anoniem_DEF_929;1;;;;;;;;;;1
Anoniem_DEF_93;2;;;;;;;;;;2
Anoniem_DEF_931;1;;;;;;;;;;1
Anoniem_DEF_933;1;;;;;;;;;;1
Anoniem_DEF_934;1;;;;;;;;;;1
Anoniem_DEF_938;1;;;;;;;;;;1
Anoniem_DEF_939;;;1;;;;;;;;1
Anoniem_DEF_943;1;;;;;;;;;;1
Anoniem_DEF_950;;;;;;;1;;;;1
Anoniem_DEF_951;1;;;;;;;;;;1
Anoniem_DEF_955;1;;;;;;;;;;1
Anoniem_DEF_956;;;;;;;;2;;;2
Anoniem_DEF_96;1;;;;;;;;;;1
Anoniem_DEF_961;;1;;;;;;;;;1
Anoniem_DEF_962;1;;;;;;;;;;1
Anoniem_DEF_966;2;;;;;;;;;;2
Anoniem_DEF_971;;2;;;;;;;;;2
Anoniem_DEF_972;1;2;;;;;;;;;2
Anoniem_DEF_974;1;;;;;;;;;;1
Anoniem_DEF_975;1;;;;;;;;;;1
Anoniem_DEF_979;;1;;;;;;;;;1
Anoniem_DEF_98;1;;;;;;;;;;1
Anoniem_DEF_982;1;;;;;;;;;;1
Antargaz Nederland B.V.;1;;;;;;;;;;1
Anticimex B.V.;;;;2;;;;;;;2
Any Lamp;1;;;;;;;;;;1
AO Core B.V.;2;;;;;;;;;;2
Ap-Art;1;;;;;;;;;;1
Apex Global B.V.;2;;;;;;;;;;2
A-Point B.V.;1;;;;;;;;;;1
Apothekers Combinatie Coevorden B.V.;1;;;;;;;;;;1
Apox B.V.;1;;;;;;;;;;1
Applied Research Laboratory Eur. (ARLE) B.V.;5;;;;;;;;;;5
APS Squadron Patches B.V.;1;;;;;;;;;;1
Architektenburo en Bouwburo Coors B.V.;;;;;;;;7;;;7
Argentina Sandwich & Cocktailbar;;1;;;;;;;;;1
Arnauld Geschenken B.V.;1;;;;;;;;;;1
Artiestenverloningen B.V.;2;;;;;;;;;;2
Artifac B.V.;1;;;;;;;;;;1
Artihove Regina B.V.;1;1;;;;;;;;;1
Artiplant;1;;;;;;;;;;1
Artpub B.V.;1;;;;;;;;;;1
A-Safe B.V.;1;;;;;;;;;;1
Asav Hef- en Hijstechniek B.V.;1;;;;;;;;;;1
Asbestos Safety Technology Holland B.V.;;;;;;;;;1;;1
Ascent Safety B.V.;1;;;;;;;;;;1
ASP Adventure B.V.;1;;;;;;;;;;1
Assa Abloy Hospitality Benelux B.V.;;;;;;;;1;1;;1
Atal B.V.;1;;;;;;;;;;1
Athene Palace Den Haag B.V.;;1;;;;;;;;;1
ATP Business Travel B.V.;1;;;;;;;;;;1
Audio Based;1;;;;;;;;;;1
August Purple;1;;;;;;;;;;1
Auke Rauwerda B.V.;1;;;;;;;;;;1
Auto Munsterhuis;1;;;;;;;;;;1
Autobedrijf Van Vegchel Carsystems;1;;;;;;;;;;1
Autocentrum Castricum B.V.;1;;;;;;;;;;1
Automobielbedrijf Ramaker B.V.;1;;;;;;;;;;1
Autoplex Zevenaar B.V.;1;;;;;;;;;;1
Autoservice Stepelo B.V.;1;;;;;;;;;;1
Autoverhuur Bultman B.V.;1;;;;;;;;;;1
Autoverhuur Zuid B.V.;1;;;;;;;;;;1
Avans Hogeschool B.V.;;1;;;;;;;;;1
Avantgarde Media;1;;;;;;;;;;1
AVD Solutions;1;;;;;;;;;;1
Avera Distributing;1;;;;;;;;;;1
Avontuur-BlachèreNL;;;;;;;;4;;;4
AVR-Afvalverwerking B.V.;2;;;;;;;;;;2
Aworkx Workwear;2;;;;;;;;;;2
AZ Barbecue & Gourmet Partyservice B.V.;;2;;;;;;;;;2
Azerty Large Accounts B.V.;;;;;;;;;1;;1
B en P ICT B.V.;1;;;;;;;;;;1
B.V. Algemeen Verpakkings Centrum A.V.C.;1;;;;;;;;;;1
B.V. Betonindustrie Elshout;1;;;;;;;;;;1
B.V. Brabanthallen Exploitatie Mij. (Bem);1;;;;;;;;;;1
B.V. Hillegomsche Houthandel;2;;;;;;;;;;2
B.V. IJzerleeuw;1;;;;;;;;;;1
B.V. Leerdam Crystal;1;;;;;;;;;;1
B.V. Leeuwbouw;1;;;;;;;;;;1
B.V. Panorama Mesdag;;1;;;;;;;;;1
B.V. Rederij G. Doeksen en Zonen;1;;;;;;;;;;1
B.V. Ru-58;1;;;;;;;;;;1
B.V.D.A. International B.V.;1;;;;;;;;;;1
Badges Unlimited;2;;;;;;;;;;2
Bakker Bedrijfswagens Amersfoort;1;;;;;;;;;;1
Bakker Brandstoffen;1;;;;;;;;;;1
Bakkerij Bart;;1;;;;;;;;;1
Bakkerij Boonstra;;1;;;;;;;;;1
Bakkerij Dunselman;1;1;;;;;;;;;1
Bakkerij Risseeuw B.V.;;1;;;;;;;;;1
Bakkers Brigade B.V.;;7;;;;;;;;;7
Balans Automatisering;1;;;;;;;;;;1
Bandenservice Roban;1;;;;;;;;;;1
Barend;1;;;;;;;;;;1
Barrera B.V.;1;;;;;;;;;;1
Basalt Vormgeving;1;;;;;;;;;;1
Batavae Training and Consultancy;;1;;;;;;;;;1
Baton Music;1;;;;;;;;;;1
Batterij Import Nederland B.V.;1;;;;;;;;;;1
Bauerfeind Benelux B.V.;1;;;;;;;;;;1
Baumann & Steffen Sicherheitstechnik Ned. BV;1;;;;;;;;;;1
Bax-shop.nl B.V.;1;;;;;;;1;;;2
Bazelmans Audio Visual Rentals;;;;;;;;1;;;1
BB-Go;1;;;;;;;;;;1
