Leveranciers;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
Accenture B.V.;;;;;4;4
Aenova B.V.;;1;;;1;1
Andes B.V.;;;1;;;1
Archie Europe B.V.;;;2;;;2
Asp4all Hosting B.V.;;;;;5;5
Axiell ALM Netherlands B.V.;;;1;;;1
Between B.V.;;;5;;;5
BPI Services B.V.;;;2;;;2
Capgemini Nederland B.V.;;;1;3;;3
Cendris Dataconsulting B.V.;;;1;;;1
Centraal Bureau voor de Statistiek;;;1;;;1
CGI Nederland B.V.;;;6;;3;6
Claranet Benelux B.V.;1;;;;;1
Clipit News B.V.;;;1;1;;1
Clockwork;;;3;;;3
CM Telecom B.V.;;;1;;;1
COMPAREX Nederland B.V.;;;7;;3;7
DataExpert B.V.;;;1;1;;1
Defacto Software B.V.;;;2;;;2
Déhora Consultancy Group B.V.;;;2;;;2
Dohsbase V.O.F.;;;1;;;1
E.A.L. Electronic Application Laboratory B.V.;;;5;;;5
Eneco Services B.V.;;;;1;;1
E-Office B.V.;;;2;;;2
Flex-I.D. B.V.;;;2;;;2
GroupSupport.com B.V.;;;2;;;2
H.S. Systemen B.V.;;;;1;;1
Info Support B.V.;;;2;;;2
Innovero Software Solutions B.V.;;;1;;;1
InterNLnet;;;;1;;1
IV-Software B.V.;;;2;;;2
iWelcome B.V.;;;1;;;1
Knowledge Exchange B.V.;;;2;;;2
KPMG Advisory N.V.;;;3;;;3
KPN B.V.;;;;2;;2
KPN Corporate Market;;;2;;;2
KPN HotSpots B.V.;;;;2;;2
LexisNexis Benelux;;;2;1;;2
Metis IT B.V.;;;4;;;4
Misco Solutions B.V.;1;;1;;;2
NMS National Multiple Services B.V.;;;1;;;1
Noordbeek B.V.;;;3;;;3
Omerus B.V.;;;2;;;2
Onestopsourcing B.V.;;;4;;;4
Ontuitive Benelux B.V.;;;1;;;1
Pardon Consult;;;1;;;1
Planon B.V.;;;2;;;2
PreSoft B.V.;;;1;;;1
Protinus IT B.V.;2;;;1;;2
Purfacts;;;1;;;1
Qualityhouse B.V.;;;1;;;1
QUBE ICT Solutions B.V.;;1;;;1;1
QuoVadis Trustlink B.V.;;;1;;;1
RedNose IT B.V.;;;1;;;1
Resource Opmeer B.V.;;;3;;;3
S.B. Telecom Veenendaal B.V.;;;;;1;1
SAP Nederland B.V.;;;4;;;4
Science Plus Group;;;1;;;1
Sectra Communications B.V.;;;;2;;2
Shared Business B.V.;;;1;;;1
T & T;;1;;;;1
Tangram B.V.;;;1;;;1
Tele2 Nederland B.V.;;;;1;;1
Telegrootgebruik B.V.;;;;2;;2
Terberg Systeemintegratie;;;1;;;1
TOPdesk Nederland B.V.;1;;2;;;2
Uptrends B.V.;;;1;;;1
Vitasys B.V.;;;2;;;2
Vodafone;;;;1;;1
Vodafone Libertel B.V.;;;;1;;1
Vodafone winkel;;;4;3;;5
Voormedia B.V.;;;2;;;2
Voskamp Beveiligingstechniek Soest B.V.;1;;;;;1
XS4ALL Internet B.V.;;;;1;;1
Your Hosting B.V.;;;1;;;1
Zet Solutions B.V.;;;1;;;1
Eindtotaal;2;1;7;5;6;8
