id;bron;gebied_functie;park_functie;gebied_naam;percentage_groen;percentage_wegen;percentage_bebouwing;percentage_terrein;percentage_water;percentage_land;percentage_groen_p_land;opp_groen;opp_wegen;opp_bebouwing;opp_terrein;opp_water;totaal_opp_bgt;opp_gebied;afwijking_percentage_bgt
1;hoofdgroenstructuur;stadsnatuur;buurtpark;Sloterpark;99,95;0,00;0,00;0,00;0,05;3905,31;1,00;3905,3148;0;0;0;2,1059;3907,4207;4812,6943;-0,2
3;hoofdgroenstructuur;stadsnatuur;buurtpark;Sloterpark;99,74;0,00;0,00;0,00;0,26;7009,67;1,00;7009,6732;0;0;0;18,5728;7028,2460;8750,7090;-0,2
845;hoofdgroenstructuur;groene verbinding;geen;Waterland;49,66;7,26;0,00;0,00;43,08;60056,85;0,87;52391,4085;7664,9460;0;0,4990;45449,8260;105506,6795;114287,3524;-0,1
846;hoofdgroenstructuur;groene verbinding;geen;Sloten;67,34;9,19;0,19;8,67;14,61;115701,25;0,79;91252,0248;12447,1581;257,7532;11744,3159;19803,7171;135504,9691;143957,4840;-0,1
2;hoofdgroenstructuur;stadsnatuur;buurtpark;Sloterpark;99,89;0,02;0,00;0,00;0,09;2529,33;1,00;2528,8122;0,5178;0;0;2,3811;2531,7111;3793,9813;-0,5
6;hoofdgroenstructuur;stadsnatuur;buurtpark;Rembrandtpark;97,17;2,83;0,00;0,00;0,00;2506,57;0,97;2435,6354;70,9379;0;0;0;2506,5733;4720,8526;-0,9
40;hoofdgroenstructuur;stadsnatuur;buurtpark;Golfbaan Waterland;93,90;0,18;0,00;0,00;5,91;19234,61;1,00;19196,8148;37,7910;0;0;1208,8754;20443,4812;31895,1345;-0,6
703;hoofdgroenstructuur;groene verbinding;geen;;95,59;3,47;0,00;0,02;0,92;782,15;0,96;754,5838;27,4300;0;0,1330;7,2361;789,3829;1095,6905;-0,4
4;hoofdgroenstructuur;stadsnatuur;buurtpark;Sloterpark;93,59;0,01;0,00;0,00;6,40;3312,96;1,00;3312,5677;0,3916;0;0;226,4717;3539,4310;6851,8466;-0,9
5;hoofdgroenstructuur;stadsnatuur;buurtpark;Rembrandtpark;84,17;14,83;0,00;0,99;0,00;1047,92;0,84;882,0682;155,4545;0;10,3985;0;1047,9212;4774,9027;-3,6
100;hoofdgroenstructuur;stadsnatuur;buurtpark;Waterland;97,93;0,00;0,00;0,00;2,07;28905,92;1,00;28905,9187;0;0;0;612,3359;29518,2546;31836,7646;-0,1
7;hoofdgroenstructuur;stadsnatuur;buurtpark;Rembrandtpark;96,34;3,66;0,00;0,00;0,00;2642,63;0,96;2545,9740;96,6605;0;0;0,0086;2642,6431;3763,6452;-0,4
