Stembureau_naam,Stembureau_nummer,Stembureau_adres,Stembureau_plaats,PvdA,VVD,BVD,CDA,CUSGP,GL,VSP,D66,Geldig,Blanco,Ongeldig,Oproep,,
1 Stadhuis,1,ingang Voorstraat 367,Dordrecht,183,215,417,90,46,214,33,154,1352,0,5,1492,,
2 Stadskantoor,2,Spuiboulevard 300,Dordrecht,203,184,275,80,83,139,36,134,1134,3,11,1461,,
3 Het Praathuis,3,Mariënbornstraat 3a,Dordrecht,103,43,102,18,19,97,11,41,434,0,1,1221,,
4 Centrum Stapal,4,Otto Dickeplein 1,Dordrecht,130,104,236,33,13,79,36,64,695,0,2,1335,,
5 School Vest,5,Vest 92,Dordrecht,171,80,289,37,10,160,24,87,858,3,4,1383,,
"6 Wielborgh, het Stadswiel",6,Beverwijckstraat 49,Dordrecht,122,116,224,60,24,86,38,73,743,1,0,1422,,
7 Bavinckschool,7,Singel 140,Dordrecht,84,57,203,48,44,75,7,76,594,6,0,1371,,
8 Kunstkerk,8,Museumstraat 65,Dordrecht,101,81,156,32,7,113,8,58,556,3,3,1444,,
9 Regiokantoor,9,Noordendijk 250,Dordrecht,219,117,238,39,16,141,10,63,843,2,2,1464,,
10 School Noordhove,10,Oranje Vrijstaatplein 2,Dordrecht,89,53,273,46,67,116,12,56,712,0,0,1350,,
15 Buurthuis de Driesprong,15,Bankastraat 10,Dordrecht,124,84,297,53,50,165,14,80,867,0,0,1197,,
17 Lokalencomplex,17,Aalscholverstraat 2,Dordrecht,52,15,85,14,26,21,22,17,252,0,0,939,,
18 Zorgcentrum De Linde,18,Bankastraat 158,Dordrecht,110,94,363,80,82,94,23,71,917,1,4,1270,,
19 Kerkgebouw Pinkstergemeente,19,Noordendijk 262,Dordrecht,40,106,164,34,33,50,17,42,486,0,2,1440,,
20 Vrije school,20,Dubbelmondestraat 1,Dordrecht,94,48,184,44,83,111,29,58,651,0,3,1298,,
22 School de Repelaer,22,Standhasenstraat 47,Dordrecht,97,89,310,81,117,88,34,95,911,0,1,1401,,
25 Buurthuis Staart-West,25,Maasstraat 25,Dordrecht,65,34,74,20,25,54,14,25,311,2,1,905,,
26 Wantijschool,26,Maasstraat 204,Dordrecht,70,23,139,28,25,35,42,25,387,0,0,855,,
27 School de Regenboog,27,Volkerakweg 60,Dordrecht,97,43,153,37,37,33,93,22,515,0,0,1328,,
29 Woon- en Zorgcentr. Merwelanden,29,Haringvlietstraat 515,Dordrecht,102,51,189,71,18,56,83,25,595,0,3,1282,,
30 Zorgcentrum Thureborgh,30,Mauritsweg 157,Dordrecht,99,32,200,53,73,81,34,36,608,2,9,1439,,
33 Soc. Cultureel Centrum Aksa,33,Willem de Zwijgerlaan 1,Dordrecht,134,34,133,237,27,48,26,24,663,1,1,1359,,
34 Weizigtschool,34,Johan Willem Frisostraat 39,Dordrecht,107,29,87,35,12,39,28,12,349,0,2,1141,,
36 Gebouw Dorswedo,36,Brouwersdijk 4,Dordrecht,124,75,208,67,100,68,49,46,737,3,0,1364,,
37 Prins Bernhardschool,37,Willaertstraat 2,Dordrecht,52,54,263,46,73,42,28,17,575,1,0,1467,,
38 Het Weizigt NMC,38,Van Baerleplantsoen 30a,Dordrecht,78,64,158,54,62,56,10,42,524,0,1,1477,,
39 Julianakerk,39,Mauritsweg 286,Dordrecht,154,57,131,46,98,96,30,20,632,0,7,1138,,
42 De Koloriet/De Fontein,42,Matthijs Marisstraat 33,Dordrecht,194,72,184,32,48,98,37,21,686,0,3,1410,,
44 De Koloriet/De Mondriaan,44,Jacob Marisstraat 80,Dordrecht,114,20,94,22,20,59,15,23,367,0,4,1457,,
50 School De Albatros,50,Douwe Aukesstraat 1,Dordrecht,118,24,123,31,24,44,45,14,423,1,9,1321,,
51 Buurthuis de Boei,51,Sportlaan 5,Dordrecht,29,11,36,6,5,11,9,5,112,0,0,1102,,
"52 Wielborgh, het Waterwiel",52,Admiraalsplein 700,Dordrecht,162,36,158,47,43,49,50,23,568,0,1,1379,,
54 Wooncentrum Watersteijn,54,"M.H. Trompweg 382, ingang achterzijde",Dordrecht,72,126,151,47,39,21,46,40,542,0,0,1006,,
55 Mercure Hotel,55,Rijksstraatweg 30,Dordrecht,21,59,113,42,28,10,9,9,291,0,0,627,,
60 Wooncentrum de Klockelaer,60,"Tak van Poortvlietstr., ing. 1 - 137",Dordrecht,120,48,198,43,33,29,71,13,555,2,4,1197,,
61 J.F. Kennedyschool,61,Bosstraat 1,Dordrecht,104,47,126,27,31,27,41,21,424,0,1,1187,,
63 Kerk De Verrezen Christus,63,Slotemaker de Bruïnestraat 1,Dordrecht,97,40,172,37,23,35,65,24,493,3,9,1407,,
64 Kerk van de Nazarener,64,Talmaweg 121,Dordrecht,71,18,56,20,16,19,16,10,226,0,2,1116,,
65 Verzorgingshuis Vijverhof,65,Henri Polakstraat 7,Dordrecht,110,28,120,36,35,31,32,13,405,1,1,1128,,
66 Zorgcentrum Vreedonk,66,Vreedonklaan 2,Dordrecht,36,47,132,107,124,25,28,32,531,0,1,763,,
70 Bewonersver. 't Trefpunt,70,Planetenlaan 16A,Dordrecht,88,89,215,59,41,39,96,36,663,6,5,1256,,
71 Dep J.F. Kennedyschool,71,Eddingtonweg 3,Dordrecht,101,86,268,61,92,33,39,29,709,0,2,1254,,
72 Cultureel Centrum Sterrenburg,72,Dalmeyerplein 10,Dordrecht,73,34,180,49,36,35,33,10,450,2,0,1194,,
"73 Wielborgh, het Sterrenwiel",73,Dalmeyerplein 80,Dordrecht,132,60,230,69,47,30,105,26,699,0,3,951,,
74 Verpleegtehuis Sterrenlanden,74,Minnaertweg 4,Dordrecht,80,105,307,71,52,50,67,35,767,1,2,1385,,
75 Polyanderschool,75,Atmosfeerstraat 34,Dordrecht,119,35,208,61,131,27,59,20,660,0,0,1406,,
76 School De Driehoek,76,Driehoek 41,Dordrecht,85,86,344,75,42,42,56,69,799,0,1,1448,,
77 School De Sterrekijker,77,Boogschutter 71,Dordrecht,92,74,312,64,29,33,28,41,673,0,0,1357,,
78 School De Keerkring,78,Ockenburg 44,Dordrecht,85,87,273,38,12,64,39,46,644,1,1,1317,,
81 Ontmoetingskerk,81,Slangenburg 3,Dordrecht,102,159,408,54,42,73,46,79,963,1,1,1485,,
82 School De Meridiaan,82,Kinkelenburg 19,Dordrecht,78,147,307,58,37,51,39,77,794,0,0,1425,,
83 School Het Kristal Dependance,83,Zuilenburg 68,Dordrecht,57,46,165,35,24,25,28,18,398,3,0,1359,,
84 School Het Kristal,84,Heimerstein 36,Dordrecht,94,128,338,71,92,62,34,74,893,0,0,1463,,
91 Verzorgingshuis Dubbelmonde,91,Koningstraat 290,Dordrecht,84,139,428,107,107,52,46,50,1013,0,1,1472,,
93 De Rank,93,Dubbelsteynlaan West 70,Dordrecht,40,55,366,83,88,29,22,37,720,0,0,1446,,
94 Verpleeghuis Het Parkhuis,94,Haaswijkweg Oost 69A,Dordrecht,45,76,423,86,73,53,32,42,830,2,0,1347,,
95 De Rank,95,Dubbelsteynlaan West 70,Dordrecht,65,108,456,77,92,33,42,46,919,0,0,1173,,
96 Peuterspeelzaal De Kladderkatjes,96,Eikenlaan 25,Dordrecht,43,86,503,65,60,37,23,69,886,0,0,1416,,
97 Wooncentrum De Gravenhorst,97,Vijverlaan 1002,Dordrecht,85,140,446,116,76,35,49,49,996,0,2,1516,,
98 Centrum De Hoop,98,Provincialeweg 122,Dordrecht,42,165,335,71,130,23,13,76,855,0,4,1475,,
101 School De Griffioen,101,Rudyard Kipling-erf 123,Dordrecht,55,39,136,24,29,37,14,21,355,1,0,1454,,
102 Oranje Nassauschool,102,Selma Lagerlof-erf 166,Dordrecht,79,76,294,60,63,65,42,54,733,2,1,1229,,
103 Peuterspeelzaal Kabouter-erfje,103,Henriëtte Roland Holst-erf 134,Dordrecht,84,78,319,39,83,51,43,41,738,0,2,1398,,
104 Geert Grooteschool,104,van den Broek-erf 3,Dordrecht,85,60,259,49,44,29,35,37,598,0,0,1214,,
105 Geert Grooteschool,105,van den Broek-erf 7,Dordrecht,67,113,255,49,42,61,22,63,672,4,0,1037,,
"106 Wielborgh, het Polderwiel",106,Dudok-erf 58,Dordrecht,155,175,481,109,78,77,114,89,1278,0,2,1492,,
107 Lokalencomplex,107,Mina Krüseman-erf 450,Dordrecht,45,61,248,42,50,34,19,29,528,1,0,1388,,
108 Lokalencomplex,108,Mina Krüseman-erf 470,Dordrecht,28,26,118,21,27,14,6,10,250,0,0,1444,,
110 Speeltuin Stadspolders,110,Meranti 50,Dordrecht,87,74,195,45,38,37,21,35,532,0,0,1368,,
111 School De Bever,111,Chico Mendesring 188,Dordrecht,92,178,331,76,52,61,29,72,891,1,0,1503,,
112 Johan Frisoschool Dependance,112,Chico Mendesring 821,Dordrecht,102,130,251,48,46,42,32,64,715,1,0,1497,,
200 Stationsgebouw,200,Stationsplein 2,Dordrecht,65,52,99,37,30,97,10,58,448,1,0,0,,
"210 Alb. Schweitzerzhs, Dordtwijk",210,Alb. Schweitzerplaats 25,Dordrecht,33,17,99,12,14,34,9,22,240,0,1,0,,
