Telpunt/wegfnummer;opmerkingen;Weg;Telvak;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
G027;;Eikenlaan;Dierenriemstraat - Elzenlaan;11533;11340;11131;11392;10955;11109;10892;10512;10239;10421;9148
G028;;Dorkwerderweg;Steentil - Zijlvesterweg;2204;2501;1778;1896;1946;1997;1932;2072;2221;2230;1752
G3_17;;Laan Corpus den Hoorn;Rijksweg A28 - Sportlaan;19503;18743;17918;17959;15808;15622;16900;16844;16506;15602;13268
G3_30;;Bedumerweg;Sumatralaan - Rodeweg;7207;6944;6421;6016;5811;4705;4860;5343;5626;5842;5519
G170;;Kastanjelaan;Mutua Fidesstraat - Parallelweg;4411;4285;4018;3934;3759;3923;2844;3799;3860;3561;3209
G3_22;;Emmaviaduct;Stationsweg - Parkweg;19300;18786;17736;18118;17874;18172;17699;18262;17632;18623;13442
xxxx;;Emmaviaduct;Julianaplein - Parkweg;15000;16900;16300;16300;16100;16400;16300;14200;13700;14500;10465
G175;;Berlagebrug;Damsterdiep - Sontweg;;9511;10071;9736;9998;9605;9336;10048;9693;10097;9279
G176;;Gideonbrug;Bornholmstraat - Gotenburgweg;7317;7486;8016;7062;7167;7226;7125;7402;7468;7431;7055
G177;;Euvelgunnerbrug;Gotenburgweg - Bornholmstraat;8201;8590;7655;7964;7851;7708;6779;6694;6146;6110;5999
G178;;Bergenbrug;Bornholmstraat - Gotenburgweg;6768;7092;6474;6589;6694;6759;6287;6179;6068;5622;5365
G179;;Boumaboulevard;Euroborg - Europaweg;7442;7539;6940;7166;8112;8446;8625;9747;10219;11475;9702
G3_18;;Laan Corpus en Hoorn;Rijksweg A7 - Boerhaavelaan;17171;17784;18050;18006;18440;17392;20247;20194;19627;19798;16054
G3_21;;Hoendiep;Laan 1940-1945 - Friesestraatweg;11498;11458;11349;11250;10858;10858;11350;11697;11269;12164;10275
G3_20;;Hoendiep;Johan van Zwedenlaan - Diamantlaan;;7750;7537;7124;7153;6786;7882;7825;6780;7715;6735
G3_27;;Rijksweg;Florakade - Pop Dijkemaweg;13587;14765;15216;15068;14864;14520;12200;12245;12234;12633;11320
G186;;Eikenlaan;Iepenlaan - Van Oldebarneveltlaan;7531;7561;7337;7550;7241;8111;7140;6744;6487;6501;5906
G187;;Korrebrug;West Indische Kade - Ulgersmaweg;4416;4409;4251;4506;3810;4525;3950;3504;3431;3611;3417
G189;;Prinsesseweg;Grote Beerstraat - Stadhouderlaan;6082;5846;5724;5606;5247;5333;5203;4831;4492;4615;4188
G191;Tijdelijk vervallen ivm ombouw Zuidelijke ringweg;Afrit Emmaviaduct;Julianaplein - Rivierenhof;;1190;1199;1182;1197;1194;1241;1217;1139;;
G203;;Brailleweg;Parkweg - Weg der Verenigde Naties;;3569;3618;3624;3722;3817;3947;3908;3723;3760;3713
G204;Tijdelijk vervallen ivm ombouw Zuidelijke ringweg;Vondellaan;Brailleweg - Maaslaan;;1568;1643;1668;1674;1689;1765;1759;1692;;
G3_32;;Petrus Campersingel;Vrydemalaan - Damsterdiep;12869;12417;12525;11402;10966;10834;10771;10752;9400;9717;9017
G3_46;;Verlengde Hereweg;Esserweg - Dilgtweg (Haren);10537;10130;9805;9952;9339;9419;9615;10177;9538;9353;8229
G240;;Paterswoldseweg;Van Swietenlaan - Ter Borchlaan;7240;7428;7344;7930;7961;7571;7702;7423;7410;7365;6267
G243;;Friesestraatweg;Laan 1940-1945 - 2e Spoorstraat;5610;5235;5119;4955;5170;4856;4706;5156;5297;5215;4747
G245;;Peizerweg;De Ruyterlaan - Koeriersterweg;5297;5216;4666;4553;4647;4663;4822;5000;4954;5207;4329
G3_42;;Oosterhavenbrug;Damsterdiep - Griffeweg;31519;26804;27796;28096;27201;28235;28416;26805;23581;23439;21774
G3_26a;;Europaweg Noordzijde;Beneluxweg - Sontweg;;;;13455;13268;13528;14435;14934;14563;12535;11630
G3_26b;;Europaweg Noordzijde;Sontweg - Beneluxweg;;;;12476;13078;13654;14104;9651;11543;13255;11580
G3_25a;;Europaweg Zuidzijde;Boumaboulevard - Beneluxweg;;;;6437;6511;6680;6967;7386;7429;7436;6890
G3_25b;;Europaweg Zuidzijde;Beneluxweg - Boumaboulevard;;;;8818;8539;7879;9220;9646;9050;7503;6499
G295;;Hoendiep;De Poffert - Westpoort Boulevard;3739;3243;3029;3108;3174;3193;3298;3428;3695;3543;3141
G303;;Groningerweg;Boterdiep - Beneluxweg;8707;8581;8320;7940;5507;4395;5087;5292;5380;5890;5428
G304;;Peizerweg;Rijksweg A7 - gemeentegrens;11041;10676;11187;11011;11561;11437;11348;11817;11858;11163;10408
G320;;Borgweg;Middelberterweg - Harkstederweg;;3728;4009;3993;4075;4420;4959;4981;5654;6476;6954
G438;;Duinkerkenbrug;Duinkerkenstraat - Winschoterweg;2125;3036;2017;1854;1956;2102;2251;2308;2312;2432;2388
G3_41;;Griffeweg;Meeuwerderweg - Europaweg;14511;14272;14445;12625;12589;12448;10968;12169;12555;14580;11203
G496;Tijdelijk vervallen ivm ombouw Zuidelijke ringweg;Meeuwerderbaan;Meeuwerderweg - Winschoterdiep;2400;2352;2180;2174;2146;2065;2369;1619;;;
G497;Tijdelijk vervallen ivm ombouw Zuidelijke ringweg;Helperzoom;Waterloolaan - Kempkensberg;6317;6061;5465;4944;6542;6744;5975;5006;6178;;
G498;Vervallen per 2017 en vervangen door G3_23;Hereweg;Waterloolaan - Papiermolenlaan;15424;15558;14770;14335;13390;12868;12995;;;;
G503;;Paterswoldseweg;Laan van de Vrede - Muntinglaan;11415;10828;10479;10454;10249;10687;9905;10652;10077;9593;8350
G504;;Leonard Spingerlaan;Laan 1940-1945 - Martiniplaza;12021;11956;10960;10553;10491;11276;11293;11662;11620;12461;9491
G3_29;;Bedumerweg;Plataanlaan - Molukkenstraat;16562;16135;15947;15223;15074;15074;15074;14623;16927;18600;17103
G572;;Korreweg;Rodeweg - Sumatralaan;5566;5514;5209;5379;5159;5086;4986;5188;4654;4818;4853
G3_45;;Van Ketwich Verschuurlaan;Van Lenneplaan - Vondellaan;7797;7387;7132;7129;6979;7044;7241;7316;6943;7660;6929
G3_19;;Johan van Zwedenlaan;Bangeweer - Hoendiep;;8121;;7559;;;7448;8289;8337;9010;7736
G3_23;Nieuw per 2017 ipv G498;Hereweg;Waterloolaan - Vechtstraat;;;;;;;12970;12809;12048;10882;9526
G3_24a;;Europaweg Zuidzijde;Winschoterweg - Boumaboulevard;;;;;;;4942;4473;4368;4306;3254
G3_24b;;Europaweg Zuidzijde;Boumaboulevard - Winschoterweg;;;;;;;4697;4184;4158;4327;3576
G3_28;;Damsterdiep;Zaagmuldersweg - Eltjo Ruggeweg;;;;;;;11745;10900;11039;10691;9795
G3_31;;Kapteynlaan;Korreweg - Oosterhamrikkade;10735;;10912;;10140;;10314;10542;10018;9630;8713
G3_33a;;Schuitendiep Oost;Nieuweweg - St. Jansstraat;;;;;;;;2443;3573;3155;3841
G3_33b;;Schuitendiep West;St. Jansstraat - Nieuweweg;;;;;;;;2989;3146;2184;2139
G3_34a;;Lopendediep Noord;Boteringebrug - Kijk in 't Jatbrug;;;;;;;;6117;;4904;4773
G3_34b;;Lopendediep Zuid;Kijk in 't Jatbrug - Boteringebrug;;;;;;;4590;4500;4180;3642;3230
G3_35;;Westersingel;Verlengde Visserstraat - A straat;;;;;;;6299;3137;5416;6235;5881
G3_36a;;A weg;Westerhaven - Eendrachtskade;6889;;7056;;6736;;7724;6081;8702;8401;7700
G3_36b;;Westerhaven;Eendrachtskade - A weg;;;;;;;7046;1670;1391;1486;1400
G3_37a;;Eendrachtskade Noord;Westerhaven - A weg;3699;;3394;;3376;;3210;5599;7728;7064;6456
G3_37b;;Eendrachtskade Zuid;A weg - Westerhaven;8458;;8592;;8675;;9448;7597;6538;5837;5504
G3_38;;Eeldersingel;Westerhaven - Emmaviaduct;13268;;13834;;13953;;14224;10509;12168;12854;10513
G3_39;;Stationsweg;Emmaviaduct - Hereweg;;;13379;;12881;;13193;11726;11909;13631;10389
G3_40;;Zuiderpark;Hereweg - Oosterweg;;;;;;;11355;9320;12501;13553;9923
G3_43;;Hereweg;Papiermolen-Helper West singel;;;;;;;;15562;14302;12176;9693
G3_44;;Sontbrug;Sint Petersburgweg-Bornholmstraat;;;;;;;;6594;7671;8768;8086
G3_47;;Sontweg;Europaweg-Bornholmstraat;;;;;;;;11321;11347;12855;10862
A007;;Matsloot;Leek-Hoogkerk;51900;50000;53800;55500;56200;55300;58700;58000;61300;59200;49500
A007;;Engelbert;Hoogezand-Groningen;46500;49900;45300;46000;44400;45400;45000;47000;50000;55600;
A028;;De Witte Molen;De Punt-Haren;56000;58000;57500;57500;57300;56500;61900;54200;59400;61000;50200
N007;;Beneluxweg;Euvelgunnerbrug;46100;51500;47200;48000;48000;52300;52900;53600;57100;48600;
N007;;Weg der Ver. Naties;Julianaplein-Europaweg;84000;83400;83500;83500;83200;84800;86700;83100;82600;78500;
N046;;Eemshavenweg;Zuidwolde-Beneluxweg;16800;17500;16800;17200;18400;20400;21600;21700;22100;23000;21200
N355;;Slaperstil;Aduard-Groningen;15400;15200;15300;15600;15600;17500;18000;17600;17500;18300;17000
N360;;Ruischerbrug;Groningen-Ten Boer ;11400;11900;11900;11900;12000;11500;11600;11200;12500;12600;11300
N361;;Hemelrijk;Adorp-Groningen;10900;10800;10500;9800;9600;9000;9900;10200;10500;9400;8300
N370;;Plataanlaan;Iepenlaan - Noordzeeweg;32400;32400;32400;30900;31800;33000;39500;38900;40900;44900;38400
N370/71;;Noordzeeweg;Groningerweg - Bedumerweg;33700;34600;33900;33300;32000;31800;32000;31700;33700;36900;31800
N372;;Peizermade;Peize-Hoogkerk;11200;11300;11200;11000;11500;11500;11400;11814;11859;;
N860;;Waterhuizen;Winschoterdiep;9700;9900;9300;9200;8700;9000;9400;10400;10300;11400;
N860;;Dr. Ebelsweg;Tunnel (spoor);6900;7200;6900;6800;6500;6700;7000;7300;7400;8400;
N860;;Westerbroek;Waterhuizen-Silenkabrug;9800;9400;8600;8400;8118;8600;8600;8800;8800;9600;
N861;;Meerweg;Paterswolde-Haren;8800;8800;8800;8700;8700;8700;8800;7900;7700;7900;6900
xxxx;;Glimmen;Haren-Glimmen;7600;7600;7200;7200;7200;7300;7300;8200;8100;8400;6800
