Handelsnaam;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridisch adviesopdrachten;3160 - Uitbesteden accountancy en financien;Eindtotaal
AIRINC International Holdings B.V.;;;;1;1
ANP Photo;;1;;;1
APE Public Economics B.V.;;3;;;3
Berenschot Groep B.V.;;1;;;1
Carnegie Consult B.V.;;2;;;2
Centraal Boekhuis B.V.;;1;;;1
Comunica;;1;;;1
Duel;;1;;;1
Elycio Talen B.V.;;1;;;1
Entopic Expert Services B.V.;;2;;;2
Fred Adam B.V.;;1;;;1
Hollandse Hoogte B.V.;;1;;;1
K.L. Hartog B.V.;;1;;;1
Kamphuis Development Consultancy;;2;;;2
Kluyskens;;2;;;2
Koninklijk Instituut voor de Tropen;;2;;;2
Ontbijt & Lunch Juni;;1;;;1
Partnership Learning Loop;;4;;;4
Pels Rijcken & Droogleever Fortuijn N.V.;;;1;;1
PointLogic HR B.V.;1;1;;;2
Pricewaterhousecoopers N.V.;;1;;;1
Radar Vertige Training & Opleiding B.V.;;1;;;1
Repro-van de Kamp B.V.;;1;;;1
Simone Langeweg Tekst- en Communicatieadvies;;2;;;2
Speer Publications;;2;;;2
Stichting Fonds Instituut Clingendael;;2;;;2
Stichting Nedworc;;1;;;1
Unclogged English;;1;;;1
UVA-Kaartenmakers B.V.;;1;;;1
Van Rijssen Publicaties;;1;;;1
VCK Travel B.V.;;1;;;1
Vice Versa;;2;;;2
WASH2gether;;2;;;2
Xerox (Nederland) B.V.;;3;;;3
Eindtotaal;1;6;1;1;6
