OBJECTID,PUIC,TIJDSTIP_REGISTRATIE,BGTBRONHOUDERCODE,BGTBRONHOUDER,BGTSTATUS,RELATIEVEHOOGTELIGGING,FYSIEK_VOORKOMEN,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,CONTRACTGEBIED_NAAM,CONTRACTGEBIED_NR,CONTRACTGEBIED_TYPE,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,STATUS,Shape__Area,Shape__Length
1,5c20c07a97ee49de8f87f62bca1b9bfb,2015/08/04 15:27:53+00,L0004,Prorail,bestaand,0,gesloten verharding,564,b,564,564_b,Den Haag Binckhorst,Gd-Gvc,Gouda - Den Haag Centraal ,23.713333,"23,713333",Randstad Zuid,RZ,Den Haag,2,BAAN,Den Haag,BAAN,Randstad Zuid,RZ,ProRail,83397.043472,454328.411,52.07260417,4.34280589,17.716085,283,gerealiseerd,17.7160845,43.8591676560586
2,447cb06d18c1400a81fca50f04d57ced,2021/12/14 16:38:21+00,L0004,Prorail,bestaand,0,gesloten verharding,017,,17,017__,Amersfoort Aansl. - Hattemerbroek,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,70.88192,"70,881920",Noord-Oost,NO,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,190288.651361,492026.638,52.41491901,5.90588746,135.176821,283,gerealiseerd,135.176821,61.9922116258646
3,aedc23a037474580990dc63d3671c9c7,2022/10/10 10:16:27+00,L0004,Prorail,bestaand,0,gesloten verharding,506,b,506,506_b,Amersfoort,Asd-Zp,Amsterdam Centraal - Zutphen ,43.839662,"43,839662",Randstad Noord,RN,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,153266.936079,462848.0485,52.15380389,5.36187974,35.202394,283,gerealiseerd,35.202394,39.7225110456379
4,fa29edf6c6604a0fae18e90881364864,2015/09/07 15:16:19+00,L0004,Prorail,bestaand,0,gesloten verharding,940,,940,940__,Amersfoort Bokkeduinen,Bkd-Amf,Amersfoort Bokkeduinen - Amersfoort ,43.571824,"43,571824",Randstad Noord,RN,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,152924.459357,462855.3715,52.15386854,5.35687538,31.9651,283,gerealiseerd,31.9651005,44.6148867686513
5,927d3ed348e44890afb7b9478b312632,2015/03/18 10:19:00+00,L0004,Prorail,bestaand,0,gesloten verharding,609,,609,609__,Zutphen,Ah-Zl,Arnhem - Zwolle ,28.530181,"28,530181",Noord-Oost,NO,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,210815.338372,462937.5,52.15178996,6.20275979,62.447724,283,gerealiseerd,62.4477245,33.440634134942
6,c554b80381b841e485554f1cd62368a0,2022/01/20 11:45:58+00,L0004,Prorail,bestaand,0,gesloten verharding,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,69.581737,"69,581737",Noord-Oost,NO,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,238033.7205,575803.043276,53.16249525,6.62870856,31.840334,283,gerealiseerd,31.8403335,30.8182154563146
7,7dbd09f12b3540f7bf2ba16a8119177a,2015/07/17 13:58:20+00,L0004,Prorail,bestaand,0,gesloten verharding,550,,550,550__,Leeuwarden,Hlg-Nscg,Harlingen - Nieuweschans Grens ,25.633378,"25,633378",Noord-Oost,NO,Friesland,36,BAAN,Wadden,BAAN,Noord-Oost,NO,ProRail,181486.277496,578758.324,53.19482426,5.7835076,18.16157,283,gerealiseerd,18.16157,23.3448479251974
8,ebf223de062744adbb091e37f818ec32,2022/01/24 07:34:56+00,L0004,Prorail,bestaand,0,gesloten verharding,011,,11,011__,Assen - Haren,Mp-Gn,Meppel - Groningen ,69.642098,"69,642098",Noord-Oost,NO,n.v.t.,,,n.v.t.,,n.v.t.,,Derden - Overig,238016.777,575860.421101,53.16301336,6.62847006,14.834955,283,gerealiseerd,14.834955,24.4077492739768
9,c21cc53450a24882b98c6d38387fd408,2015/06/29 11:15:08+00,L0004,Prorail,bestaand,0,gesloten verharding,545,b,545,545_b,Roosendaal,Zlw-Np,Lage Zwaluwe - Nispen ,22.535557,"22,535557",Zuid,Z,Roosendaal,19,BAAN,Zeeland,BAAN,Zuid,Z,ProRail,90933.272757,395308.2685,51.54308935,4.46364392,39.948343,283,gerealiseerd,39.9483435,53.0580633204079
10,7e6b14da0a184b8f97a53ad29b50f3cb,2015/08/03 08:57:56+00,L0004,Prorail,bestaand,0,gesloten verharding,555,,555,555__,Rotterdam Centraal,Ass-Rtd,Amsterdam Sloterdijk - Rotterdam ,83.015942,"83,015942",Randstad Zuid,RZ,Rotterdam,3,BAAN,Rotterdam,BAAN,Randstad Zuid,RZ,ProRail,90964.392508,437705.353,51.92413631,4.45627498,26.610039,283,gerealiseerd,26.610039,21.7712750938708
