FID,hectometrering,km_1,km_5,km_10,districtsnaam,opmerking,info1,info2,info3,info4,info5,muteerder,mutatie,hoofdwatersysteem,watersysteemnaam,watersysteemdeel,systeemdeel,se_anno_cad_data,gdb_geomattr_data,shape
hectometrering_punten.1,34.3,-999,-999,-999,MN Z,"ARK1_34,3_Li",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (133791.55999999866 457703.1889999993)
hectometrering_punten.2,50.8,-999,-999,-999,MN Z,"ARK3_50,8_Re",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK3,,,,POINT (142863.9290000014 445573.2120000012)
hectometrering_punten.3,23.3,-999,-999,-999,MN Z,"ARK1_23,3_Re",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (128142.86199999973 466370.41000000015)
hectometrering_punten.4,23.5,-999,-999,-999,MN Z,"ARK1_23,5_Re",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (128110.34699999914 466174.0859999992)
hectometrering_punten.5,33.4,-999,-999,-999,MN Z,"ARK1_33,4_Re",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (133512.53799999878 458531.5159999989)
hectometrering_punten.6,35.8,-999,-999,-999,MN Z,"ARK1_35,8_Li",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (133858.0009999983 456216.4770000018)
hectometrering_punten.7,28.3,-999,-999,-999,MN Z,"ARK1_28,3_Li",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (129806.39499999955 462008.868999999)
hectometrering_punten.8,37.5,-999,-999,-999,MN Z,"ARK1_37,5_Li",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (134107.44200000167 454555.2589999996)
hectometrering_punten.9,37.3,-999,-999,-999,MN Z,"ARK1_37,3_Li",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (134049.80200000107 454741.4780000001)
hectometrering_punten.10,16.7,-999,-999,-999,MN Z,"ARK1_16,7_Re",Geen informatie,Geen informatie,Geen informatie,Geen informatie,Geen informatie,,2023-01-13T11:51:35,Amsterdam Rijnkanaal en Noordzeekanaal,Amsterdam Rijnkanaal,ARK1,,,,POINT (129268.1959999986 472875.30099999905)
