OBJECTID,REF_FUNCTIONELE_SPOORTAK_NAAM,REF_FUNCTIONELE_SPOORTAK_PUIC,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,KM_SPOORTAK_VAN,KM_SPOORTAK_VAN_T,KM_SPOORTAK_TOT,KM_SPOORTAK_TOT_T
1,,,3kv,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
2,,,Kunstwerken,Limburg,340,Roermond,25,Strukton Rail,,,,
3,,,Baan,Twente,410,Twente,32,VolkerRail,,,,
4,,,BVL,Wadden,420,Friesland,36,Strukton Rail,,,,
5,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
6,,,Kunstwerken,Gelre,400,Maas en Waal,28,ASSET Rail,,,,
7,,,Kunstwerken,Rotterdam,120,Rotterdam,3,VolkerRail,,,,
8,,,Seinwezen,Zeeland,310,Roosendaal,19,Strukton Rail,,,,
9,,,Kunstwerken,Limburg,340,Roermond,25,Strukton Rail,,,,
10,,,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
11,,,Seinwezen,Wadden,420,Groningen,37,Strukton Rail,,,,
12,,,Kunstwerken,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
13,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
14,,,BVL,Drenthe,440,Drenthe,35,ASSET Rail,,,,
15,,,Telecom,Zee-Zevenaar,130,Kijfhoek,99,VolkerRail,,,,
16,,,Basis,Limburg,340,Roermond,25,Strukton Rail,,,,
17,,,Baan,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
18,,,BVL,Eemland,200,Amersfoort,12,ASSET Rail,,,,
19,,,Telecom,Drenthe,440,Drenthe,35,ASSET Rail,,,,
20,,,Basis,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
21,,,Basis,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
22,,,Telecom,Twente,410,Twente,32,VolkerRail,,,,
23,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
24,,,Basis,Eemland,200,Amersfoort,12,ASSET Rail,,,,
25,,,Basis,Drenthe,440,Overijssel,34,ASSET Rail,,,,
26,,,Basis,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
27,,,Basis,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,,,,
28,,,3kv,Drenthe,440,Overijssel,34,ASSET Rail,,,,
29,,,Baan,Limburg,340,Maastricht,26,Strukton Rail,,,,
30,,,Telecom,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
31,,,Kunstwerken,Gelre,400,Achterhoek,30,ASSET Rail,,,,
32,,,Telecom,Rijn en Gouwe,100,Rijn en Gouwe,81,BAM Rail,,,,
33,,,Basis,Wadden,420,Friesland,36,Strukton Rail,,,,
34,,,3kv,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
35,,,BVL,Den Haag,110,Den Haag,2,VolkerRail,,,,
36,,,3kv,Eemland,200,Amersfoort,12,ASSET Rail,,,,
37,,,Telecom,Kennemerland,240,Haarlem,8,Strukton Rail,,,,
38,,,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
39,,,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
40,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
41,,,Baan,De Peel,300,Eindhoven,24,ASSET Rail,,,,
42,,,BVL,Amstelsepoort,230,Weesp,11,Strukton Rail,,,,
43,,,Kunstwerken,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,,,,
44,,,Kunstwerken,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
45,,,3kv,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
46,,,Telecom,Eemland,200,Amersfoort,12,ASSET Rail,,,,
47,,,Basis,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
48,,,BVL,Den Haag,110,Den Haag,2,VolkerRail,,,,
49,,,Telecom,Limburg,340,Maastricht,26,Strukton Rail,,,,
50,,,Seinwezen,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,
51,,,Baan,Zee-Zevenaar,130,A15trace,71,VolkerRail,,,,
52,,,BVL,Dordrecht,140,Dordrecht,5,ASSET Rail,,,,
53,,,Telecom,Neerlands Midden,250,Utrecht,13,ASSET Rail,,,,
54,,,Seinwezen,Amsterdam,220,Amsterdam,9,VolkerRail,,,,
