FID,OVW_STARTDATUM,BOOMHOOGTE,BOOMKLASSE,BOOMSOORT,BUURT,EIGENAAR,FOTO,FUNCTIE,GEOMETRIE,GEOVISIA_ID,KROONDIAMETER,NEDERLANDSE_NAAM,OBJECT_EINDDATUM,PLANTJAAR,PLANTWIJZE,REDEN_WAARDEVOL,STAMDIAMETER,STANDPLAATS,STATUS,STRAATNAAM,WIJKNAAM,LATITUDE,LONGITUDE,STATUS_AFVALLIJST,FOTO_ORG,OVW_MAX_SIZE

Monumentale_bomen.142416,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Regentesselaan e.o.,Gemeente Amersfoort,179EBF32-9FCB-429D-AD96-12CAF20547CA,Buurt- en blokgroen,POINT (52.149650966151306 5.371778968149498),0B01390A-0A3A-48C1-918E-9D6C2F045B62,27,Amerikaanse eik,,<1930,Bomenrij,Beeldbepalendheid,100-125 cm,Gazon,Monumentaal,Koningin Sophialaan,De Berg-Noord,52.149647378415,5.37177919903503,,179EBF32-9FCB-429D-AD96-12CAF20547CA,0

Monumentale_bomen.142417,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,De Lichtenberg,Gemeente Amersfoort,7AA5C8E5-0A2B-4FA0-9E5D-766282985EC4,Buurt- en blokgroen,POINT (52.144464107974535 5.372426462366184),5AD134D4-9B30-4A20-BDBA-F451830CF33D,21,Amerikaanse eik,,1925,Bomenrij,Beeldbepalendheid,51-75 cm,Asfalt,Monumentaal,Jacob Catslaan,De Berg-Zuid,52.1444605421236,5.37242675610301,Monumentale boom APV 2017,7AA5C8E5-0A2B-4FA0-9E5D-766282985EC4,0

Monumentale_bomen.142418,2023-02-03,15-18 m,Geen vrije uitgroei,Tilia x europaea,Juliana van Stolberg,Gemeente Amersfoort,8B69CC8D-896A-4B47-8D7B-A9DD75ECCB1A,Buurt- en blokgroen,POINT (52.14611753913816 5.381987924218797),6BC57516-0668-4B89-BE77-5248399246E0,9,gewone linde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Elementverharding,Monumentaal,Graaf Willemlaan,De Berg-Zuid,52.1461140140276,5.38198816220773,Monumentale boom APV 2017,8B69CC8D-896A-4B47-8D7B-A9DD75ECCB1A,0

Monumentale_bomen.142419,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Regentesselaan e.o.,Gemeente Amersfoort,51EDADC2-12C3-4854-978C-720C53826D1D,Buurt- en blokgroen,POINT (52.15021530617961 5.371007316725742),ED47FFFB-E3F9-4220-9DE3-BDA6A38D79D2,24,Amerikaanse eik,,<1930,Groep,Beeldbepalendheid,100-125 cm,Asfalt,Monumentaal,Koningin Sophialaan,De Berg-Noord,52.1502117126435,5.37100754351907,Monumentale boom APV 2017,51EDADC2-12C3-4854-978C-720C53826D1D,0

Monumentale_bomen.142420,2023-02-03,12-15 m,Geen vrije uitgroei,Castanea sativa,Juliana van Stolberg,Gemeente Amersfoort,D00ECBD1-502E-4BF3-9CC0-10287D5834B6,Buurt- en blokgroen,POINT (52.14573129631874 5.381762972567558),570D1121-DD84-4A5D-B1EC-0E219E884B2E,12,tamme kastanje,,1930,Bomenrij,Beeldbepalendheid,76-100 cm,Elementverharding,Monumentaal,Graaf Willemlaan,De Berg-Zuid,52.1457277714653,5.38176321644793,Monumentale boom APV 2017,D00ECBD1-502E-4BF3-9CC0-10287D5834B6,0

Monumentale_bomen.142421,2023-02-03,12-15 m,Geen vrije uitgroei,Tilia x europaea,Juliana van Stolberg,Gemeente Amersfoort,A4C22443-6D23-4FD1-B259-2D4C3EE86955,Buurt- en blokgroen,POINT (52.146056145769926 5.381963427868199),D474CFCB-5824-47D8-91A4-AD13CBB16509,12,gewone linde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Elementverharding,Monumentaal,Graaf Willemlaan,De Berg-Zuid,52.1460526207566,5.38196366675316,Monumentale boom APV 2017,A4C22443-6D23-4FD1-B259-2D4C3EE86955,0

Monumentale_bomen.142422,2023-02-03,18-24 m,Geen vrije uitgroei,Fagus sylvatica,Huijgenslaan e.o.,Gemeente Amersfoort,08EE3B07-9824-4A67-B1BF-1821F33A5109,Buurt- en blokgroen,POINT (52.1459047343079 5.37133027482794),80A72DEA-2403-488C-8B53-CF40E6CA0CCF,24,gewone beuk,,1920,Bomenrij,Beeldbepalendheid,100-125 cm,Asfalt,Monumentaal,Huijgenslaan,De Berg-Zuid,52.1459011581737,5.37133055440812,Monumentale boom APV 2017,08EE3B07-9824-4A67-B1BF-1821F33A5109,0

Monumentale_bomen.142423,2023-02-03,18-24 m,Geen vrije uitgroei,Fagus sylvatica,Huijgenslaan e.o.,Gemeente Amersfoort,636173AE-1D65-438A-8E4A-743B5293B868,Buurt- en blokgroen,POINT (52.146115097731304 5.371676448705607),6D8CC9BD-49A6-42AE-BEFA-9E0BC5DACCB3,24,gewone beuk,,1920,Bomenrij,Beeldbepalendheid,76-100 cm,Asfalt,Monumentaal,Huijgenslaan,De Berg-Zuid,52.1461115224906,5.37167672438424,Monumentale boom APV 2017,636173AE-1D65-438A-8E4A-743B5293B868,0

Monumentale_bomen.142424,2023-02-03,>24 m,Geen vrije uitgroei,Quercus rubra,Vlasakkers,Gemeente Amersfoort,BA4CFC2D-BEE9-4B0E-9C36-98DCC075A725,Bos- en natuurgebieden,POINT (52.14402932763309 5.355323926432439),BAAAD810-A850-4D50-AFC4-B54AF02ACC06,24,Amerikaanse eik,,1930,Bomenrij,Beeldbepalendheid,76-100 cm,Bosplantsoen,Monumentaal,Daam Fockemalaan,Bosgebied,52.1440256848832,5.3553242861179,,BA4CFC2D-BEE9-4B0E-9C36-98DCC075A725,0

Monumentale_bomen.142425,2023-02-03,>24 m,Geen vrije uitgroei,Fagus sylvatica,Oranjebuurt,Gemeente Amersfoort,C653DF48-6D82-4CF2-A9F7-2CF7FF0B29A2,Buurt- en blokgroen,POINT (52.14367476843713 5.361989127701996),A9632166-9DFD-4DF3-860F-89E2607D2032,15,gewone beuk,,1930*,Groep,Beeldbepalendheid,76-100 cm,Bosplantsoen,Monumentaal,Prins Clauslaan,De Berg-Noord,52.1436711567188,5.36198946807138,,C653DF48-6D82-4CF2-A9F7-2CF7FF0B29A2,0

Monumentale_bomen.142426,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Klein Zwitserland-Laag,Gemeente Amersfoort,,Buurt- en blokgroen,POINT (52.1381483453601 5.372993820697318),6C21A9AF-87F3-4E2A-95D6-CD823F679870,24,Amerikaanse eik,,1930,Groep,Beeldbepalendheid,100-125 cm,Gazon,Monumentaal,Kapelweg,De Berg-Zuid,52.1381448030573,5.37299419216113,,,0

Monumentale_bomen.142427,2023-02-03,12-15 m,Geen vrije uitgroei,Tilia x europaea,Juliana van Stolberg,Gemeente Amersfoort,B1D37184-E233-4DA9-A5C6-C07509FA507E,Buurt- en blokgroen,POINT (52.14618111548289 5.3820374811115155),8C0D43C6-F76D-435E-A0EC-11100EE0B815,9,gewone linde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Elementverharding,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1461775903916,5.38203771808396,Monumentale boom APV 2017,B1D37184-E233-4DA9-A5C6-C07509FA507E,0

Monumentale_bomen.142428,2023-02-03,18-24 m,Geen vrije uitgroei,Castanea sativa,Juliana van Stolberg,Gemeente Amersfoort,985E6FEA-5559-4C8E-B062-489182357F5A,Pareltjes,POINT (52.147707667841 5.380263738977009),35EEB4A6-9E65-4E8F-B021-1A1D6CFF07D1,24,tamme kastanje,,1930,Bomenrij,Beeldbepalendheid,100-125 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1477041284373,5.3802639625227,Monumentale boom APV 2017,985E6FEA-5559-4C8E-B062-489182357F5A,0

Monumentale_bomen.142429,2023-02-03,15-18 m,Geen vrije uitgroei,Tilia x europaea,Juliana van Stolberg,Gemeente Amersfoort,17B55EC4-B87F-4A84-A1C4-C0821BEAFCDD,Buurt- en blokgroen,POINT (52.14587508089633 5.381854589671354),86AF867D-DE28-4B1C-8537-D93A8CD5B821,12,gewone linde,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Elementverharding,Monumentaal,Graaf Willemlaan,De Berg-Zuid,52.1458715559871,5.38185483133107,Categorie 2,17B55EC4-B87F-4A84-A1C4-C0821BEAFCDD,0

Monumentale_bomen.142430,2023-02-03,12-15 m,Geen vrije uitgroei,Castanea sativa,Juliana van Stolberg,Gemeente Amersfoort,D779EFFB-CBC5-4675-9134-2D84FC732D25,Buurt- en blokgroen,POINT (52.14565848478907 5.381561370535121),E28A27BF-34A5-4773-97A5-0033EC167F16,12,tamme kastanje,,1930,Bomenrij,Beeldbepalendheid,51-75 cm,Elementverharding,Monumentaal,Graaf Willemlaan,De Berg-Zuid,52.1456549591927,5.38156161610214,Monumentale boom APV 2017,D779EFFB-CBC5-4675-9134-2D84FC732D25,0

Monumentale_bomen.142431,2023-02-03,18-24 m,Geen vrije uitgroei,Fagus sylvatica,Huijgenslaan e.o.,Gemeente Amersfoort,51796E5B-8CBA-433A-ABF3-FC74107A2163,Buurt- en blokgroen,POINT (52.1462868018972 5.371943746549553),AB6A7317-AE72-4162-B74D-2E0B8F051EE0,24,gewone beuk,,1920,Bomenrij,Beeldbepalendheid,76-100 cm,Asfalt,Monumentaal,Huijgenslaan,De Berg-Zuid,52.1462832273133,5.3719440190934,Monumentale boom APV 2017,51796E5B-8CBA-433A-ABF3-FC74107A2163,0

Monumentale_bomen.142432,2023-02-03,18-24 m,Geen vrije uitgroei,Platanus acerifolia,Juliana van Stolberg,Gemeente Amersfoort,4160E310-15F0-406B-95FC-60AC14F5036B,Pareltjes,POINT (52.14812207041736 5.381375517771086),F0B44725-1F62-4D71-8643-343C0B89F4F5,24,gewone plataan,,1930,Bomenrij,Beeldbepalendheid,76-100 cm,Gazon,Monumentaal,Graaf Hendriklaan,De Berg-Zuid,52.1481185349926,5.38137573172572,,4160E310-15F0-406B-95FC-60AC14F5036B,0

Monumentale_bomen.142433,2023-02-03,15-18 m,Geen vrije uitgroei,Quercus rubra,De Lichtenberg,Gemeente Amersfoort,88806232-D570-42CF-A68D-9C9C5D44CF9C,Buurt- en blokgroen,POINT (52.145015078827484 5.372506632933814),5AC029C9-20F7-4513-A689-CCFD613DA84B,27,Amerikaanse eik,,1930,Bomenrij,Beeldbepalendheid,76-100 cm,Halfverharding,Monumentaal,Jacob Catslaan,De Berg-Zuid,52.1450115114338,5.37250691944233,Monumentale boom APV 2017,88806232-D570-42CF-A68D-9C9C5D44CF9C,0

Monumentale_bomen.142434,2023-02-03,18-24 m,Geen vrije uitgroei,Quercus rubra,Vlasakkers,Gemeente Amersfoort,7D717955-C6CA-4716-9763-D4B9686DC74C,Bos- en natuurgebieden,POINT (52.1438719541388 5.3550114081248195),6F5225BE-EA0F-4A04-8F27-57C767561B5E,27,Amerikaanse eik,,1930,Bomenrij,Beeldbepalendheid,76-100 cm,Ruw gras,Monumentaal,Daam Fockemalaan,Bosgebied,52.1438683105575,5.35501177074276,,7D717955-C6CA-4716-9763-D4B9686DC74C,0

Monumentale_bomen.142435,2023-02-03,>24 m,Geen vrije uitgroei,Fagus sylvatica,Huijgenslaan e.o.,Gemeente Amersfoort,74A7C46D-AEE7-40AD-826E-336F9BBA0DBD,Buurt- en blokgroen,POINT (52.14673806970251 5.372526525788097),8CFC3FB1-9D5D-4F02-9D99-F59C1544AF2D,24,gewone beuk,,1920,Bomenrij,Beeldbepalendheid,51-75 cm,Asfalt,Monumentaal,Huijgenslaan,De Berg-Zuid,52.146734496273,5.3725267905099,Monumentale boom APV 2017,74A7C46D-AEE7-40AD-826E-336F9BBA0DBD,0

