id;omschrijving;guid;punt_geometrie
542793;Morgenstarstraat;{782D353A-C784-42E4-8822-4DFD17853210};POINT (115477.76178584271 498867.1030275811)
542794;Tjotterlaan  Het Dok;{BF488A56-6D08-430E-BD3D-9CE9F9CD4F2B};POINT (117482.55901661681 495395.285631921)
542795;Lanzarote thv nr 9;{603BB526-FF19-4823-832F-79D011AAC412};POINT (117854.95536084684 493717.60425922024)
542796;Akkerland thv. nr. 81;{4BC4A020-02E7-48ED-83D3-674B25986E40};POINT (111231.14380109016 500309.6704499267)
542797;Lanzarote thv nr 3;{6B1A9F83-18F1-4A58-9729-A7F5239C7F67};POINT (117810.62874315519 493714.90060084156)
542798;Weideland;{031CA861-104A-4FEE-B1F7-ADD42200137F};POINT (111489.00800074375 500207.9628787481)
542799;Vijfhoeksbospark;{4E54FBB4-A4A9-4819-A178-2FD60453EF5F};POINT (118249.63988820702 493564.8933709633)
542800;Albardastraat (Vijfhoek)  (N-14);{5B165000-A9B3-48DE-9B39-DDDFB79377B6};POINT (118017.21468579385 493854.78790198086)
542801;Lindenlaan bij school;{0C1029DB-05B4-4538-960B-5BA9137F39AD};POINT (117412.74432263825 493809.9050719162)
542802;Sparrestraat bij school;{441FE961-436C-4AEF-9457-F47F99D5E1E4};POINT (117802.87517723779 494170.66132986493)
542803;Jacob Rekstraat;{8C589789-6F5F-4FB2-BE30-36EFD7B83E65};POINT (117847.5197118101 494430.2489996275)
542804;Jonge Arnoldusstraat;{489BB5B7-1671-44EB-8E5F-77AF2BF05A3A};POINT (117290.44526095304 494475.81427655765)
542805;Burg. Ter Laanplantsoen;{087EBCDB-656A-463D-A5F0-B72074BDBE88};POINT (117539.2168146352 494395.3508740594)
542806;Burg. Smitstraat  bij school;{A14C430F-FBBE-483E-8AC5-7EF1104064E6};POINT (117408.59644706883 494616.61907813523)
542807;Apolloplantsoen;{A1E528BB-F0C8-4DEB-83C4-CD9FB6A8CEDE};POINT (117072.75532920261 494551.71388094925)
542808;Wetstraat de /Krugerstraat;{6B4647D5-FE02-4BB6-96FF-3D06FBAE9A9C};POINT (117255.65290920879 494812.6027811015)
542809;Kattegat;{BC39E36D-BD08-4D3B-900E-12B4415B8BA5};POINT (117171.79035801304 494390.2032052404)
542810;Straat Davis;{C732A583-448E-49B7-904E-0DB68BECBECC};POINT (117528.88467772875 494069.96944010124)
542811;Laan der Vrijheid;{1392E5E0-85FE-419B-BB78-D348F8C73C71};POINT (117516.90525892722 494987.93062554183)
542812;Lijnbaanstraat;{7AEA45A4-42FB-4052-B5AF-DCC52EFB0353};POINT (117187.43544422991 494903.0096955119)
542813;Oost-Dorsch;{4BBD8117-2244-4046-9757-DC29A8826571};POINT (119038.68614798319 494043.73159596015)
542814;Zuidervaart;{5AE460A4-B84E-40D8-8ED1-996C79F5F410};POINT (118755.74838325233 494048.9995718023)
542815;Linneausstraat;{F139FC03-E517-4897-A136-45D6FFFA7577};POINT (118663.49186014832 494160.91977692785)
542816;A.Kloosterstraat;{2897CD5F-C0C2-4D92-BE7A-0A4984A93C66};POINT (118709.09864308643 494277.4023431662)
542817;Straat Poelenburg Skatebaan;{34B01F04-0FE6-4FF8-A395-B6C1FC192F0A};POINT (118725.89020037829 494891.0620267725)
542818;Lobeliusstraat;{B5E9A239-3264-410F-ADFB-62E433CE8428};POINT (118625.08334496185 494399.18793292285)
542819;Jaspers/Clusiusstraat;{7B987D50-5834-4A14-867C-6B003DF30643};POINT (118672.77762439662 494544.10120981)
542820;Clusiusstraat/ E.Heimansstraat (O-12);{83EC43BA-B6AD-4AF0-93C8-13BC821CE4BF};POINT (118577.60039971884 494646.54411577864)
542821;Goethartstraat;{907F2EB2-9469-4A3E-B588-010AE843FD8A};POINT (118626.75159246566 494785.6865113797)
542822;Straat Poelenburg Sportvelden;{E6623F94-8328-454B-BF7F-ECC156E60DAB};POINT (118723.50824920698 494878.7892211422)
542823;Dodonaeusstraat;{DF23F2C0-8441-4E37-A931-2F6FB2F1E6D7};POINT (118531.62998363053 494891.06401303277)
542824;Thijssestraat;{754296CA-5562-4D37-BCA8-5C427AA6B11F};POINT (118582.53389024582 495044.50888609036)
542825;Dijkven;{72740EC2-3A21-4720-8BF1-C3247F263191};POINT (117915.7827203697 494743.32617038325)
542826;Noordzee/Brandaris;{98A74042-F48B-41D5-A2E1-ED56FF751002};POINT (118378.41909501843 495381.5762990207)
542827;Darwinpark / Galjoenstraat;{34A53373-B6A8-43C7-8CB2-D590CE6174DE};POINT (117992.36406827881 495206.22310040565)
542828;Middellandse Zee bij Pharus;{E5ACE55B-DE15-4901-8170-FF233166BDCA};POINT (118204.83480001024 495631.3879316254)
542829;Rode Zee bij Perim;{DD54D619-B66D-47DE-B669-A18795981C1F};POINT (117992.25930113137 495980.7875512812)
542830;Java Zee bij de Noordwachter;{C37311BD-796A-4487-A746-71D4161C5CDB};POINT (117764.35511231175 496349.5462145843)
542831;Indigostraat;{FABFB248-AEF2-4E8B-8F54-B9A3CE8035D5};POINT (117556.20186137174 495101.05466600513)
542832;Panneroodstraat;{838160BF-54F5-48FB-8D4D-1ED872969BD6};POINT (117460.25305831346 495305.8027972864)
542833;Schepenlaan;{6602C428-4932-4423-ADA2-93A347969E06};POINT (117393.35011572299 495785.59993502556)
