Version;Date_of_report;Date_of_statistics;Populatie;Region_level;Region_code;Region_name;Birth_year;Coverage_primary_partly;Coverage_primary_completed;Coverage_repeat_vaccination_autumn_round;Age_group
8;2023-01-31 10:30:00;2021-01-04;215460;Gemeente;GM0014;Groningen;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;48547;Gemeente;GM0014;Groningen;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;203711;Gemeente;GM0014;Groningen;<2005;<=5;<=5;<=5;18+
8;2023-01-31 10:30:00;2021-01-04;11749;Gemeente;GM0014;Groningen;2005-2010;<=5;<=5;<=5;12-17
8;2023-01-31 10:30:00;2021-01-04;189871;Gemeente;GM0034;Almere;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;44052;Gemeente;GM0034;Almere;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;173440;Gemeente;GM0034;Almere;<2005;<=5;<=5;<=5;18+
8;2023-01-31 10:30:00;2021-01-04;16431;Gemeente;GM0034;Almere;2005-2010;<=5;<=5;<=5;12-17
8;2023-01-31 10:30:00;2021-01-04;28631;Gemeente;GM0037;Stadskanaal;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;10763;Gemeente;GM0037;Stadskanaal;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;26588;Gemeente;GM0037;Stadskanaal;<2005;<=5;<=5;<=5;18+
8;2023-01-31 10:30:00;2021-01-04;2043;Gemeente;GM0037;Stadskanaal;2005-2010;<=5;<=5;<=5;12-17
8;2023-01-31 10:30:00;2021-01-04;24613;Gemeente;GM0047;Veendam;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;8481;Gemeente;GM0047;Veendam;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;22653;Gemeente;GM0047;Veendam;<2005;<=5;<=5;<=5;18+
8;2023-01-31 10:30:00;2021-01-04;1960;Gemeente;GM0047;Veendam;2005-2010;<=5;<=5;<=5;12-17
8;2023-01-31 10:30:00;2021-01-04;20542;Gemeente;GM0050;Zeewolde;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;5279;Gemeente;GM0050;Zeewolde;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;18826;Gemeente;GM0050;Zeewolde;<2005;<=5;<=5;<=5;18+
8;2023-01-31 10:30:00;2021-01-04;1716;Gemeente;GM0050;Zeewolde;2005-2010;<=5;<=5;<=5;12-17
8;2023-01-31 10:30:00;2021-01-04;24527;Gemeente;GM0059;Achtkarspelen;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;7898;Gemeente;GM0059;Achtkarspelen;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;22301;Gemeente;GM0059;Achtkarspelen;<2005;<=5;<=5;<=5;18+
8;2023-01-31 10:30:00;2021-01-04;2226;Gemeente;GM0059;Achtkarspelen;2005-2010;<=5;<=5;<=5;12-17
8;2023-01-31 10:30:00;2021-01-04;3408;Gemeente;GM0060;Ameland;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;1183;Gemeente;GM0060;Ameland;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;3156;Gemeente;GM0060;Ameland;<2005;<=5;<=5;<=5;18+
8;2023-01-31 10:30:00;2021-01-04;252;Gemeente;GM0060;Ameland;2005-2010;<=5;<=5;<=5;12-17
8;2023-01-31 10:30:00;2021-01-04;14433;Gemeente;GM0072;Harlingen;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;5442;Gemeente;GM0072;Harlingen;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;13285;Gemeente;GM0072;Harlingen;<2005;<=5;<=5;<=5;18+
8;2023-01-31 10:30:00;2021-01-04;1148;Gemeente;GM0072;Harlingen;2005-2010;<=5;<=5;<=5;12-17
8;2023-01-31 10:30:00;2021-01-04;45492;Gemeente;GM0074;Heerenveen;<=2010;<=5;<=5;<=5;12+
8;2023-01-31 10:30:00;2021-01-04;15290;Gemeente;GM0074;Heerenveen;<=1962;<=5;<=5;<=5;60+
8;2023-01-31 10:30:00;2021-01-04;41810;Gemeente;GM0074;Heerenveen;<2005;<=5;<=5;<=5;18+
