FID,shape_leng,strooknaam,vliegdatum,perceel,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2012.1,16072.1735531,l0221_grd,2012-02-20T00:00:00,1,,,"LINESTRING (110106.23600000143 564502.9299999997, 118785.37200000137 578030.2120000012)"
vlieglijnen_kust_2012.2,18575.8532479,l0222_grd,2012-02-20T00:00:00,1,,,"LINESTRING (109250.08199999854 562321.8969999999, 119230.21299999952 577989.0379999988)"
vlieglijnen_kust_2012.3,20044.7533892,l0223_grd,2012-02-20T00:00:00,1,,,"LINESTRING (109062.27600000054 560705.9820000008, 119838.07600000128 577607.8830000013)"
vlieglijnen_kust_2012.4,27557.823585,l0224_grd,2012-02-20T00:00:00,1,,,"LINESTRING (105462.47800000012 553873.4420000017, 120328.41200000048 577077.7019999996)"
vlieglijnen_kust_2012.5,27619.0260481,l0225_grd,2012-02-20T00:00:00,1,,,"LINESTRING (105873.01700000092 553167.3110000007, 120760.81599999964 576430.243999999)"
vlieglijnen_kust_2012.6,44570.970259,l0226_grd,2012-02-20T00:00:00,1,,,"LINESTRING (106410.64799999818 552779.5249999985, 130486.61400000006 590288.4470000006)"
vlieglijnen_kust_2012.7,27094.9215137,l0227_grd,2012-02-20T00:00:00,1,,,"LINESTRING (107015.12799999863 552429.5789999999, 121651.03200000152 575231.4459999986)"
vlieglijnen_kust_2012.8,9739.01892597,l0228_grd,2012-02-20T00:00:00,1,,,"LINESTRING (107692.42500000075 552384.2769999988, 113103.13399999961 560481.9750000015)"
vlieglijnen_kust_2012.9,7120.47077012,l0229_grd,2012-02-20T00:00:00,1,,,"LINESTRING (109685.48299999908 553961.4329999983, 113513.35599999875 559965.4730000012)"
vlieglijnen_kust_2012.10,4427.4267419,l0230_grd,2012-02-20T00:00:00,1,,,"LINESTRING (111530.47700000182 555378.6689999998, 113617.55099999905 559283.3099999987)"
vlieglijnen_kust_2012.11,3713.66146311,l0231_grd,2012-02-20T00:00:00,1,,,"LINESTRING (112489.72599999979 555836.75, 114552.92500000075 558924.5460000001)"
vlieglijnen_kust_2012.12,2615.21855371,l0232_grd,2012-02-20T00:00:00,1,,,"LINESTRING (113750.26700000092 556228.2049999982, 114751.06799999997 558644.3520000018)"
vlieglijnen_kust_2012.13,14297.4999669,l0277_grd,2012-02-20T00:00:00,1,,,"LINESTRING (110657.95499999821 547725.7100000009, 111653.68699999899 561988.495000001)"
vlieglijnen_kust_2012.14,7546.72433937,l0278_grd,2012-02-20T00:00:00,1,,,"LINESTRING (109368.93800000101 562227.8570000008, 114834.63100000098 557024.0839999989)"
vlieglijnen_kust_2012.15,4804.61393889,l0279_grd,2012-02-20T00:00:00,1,,,"LINESTRING (117970.0399999991 576934.4479999989, 121130.54699999839 573315.675999999)"
vlieglijnen_kust_2012.16,7684.1252313,l0206_grd,2012-02-20T00:00:00,1,,,"LINESTRING (106606.04199999943 555771.0709999986, 111870.31100000069 550173.4589999989)"
vlieglijnen_kust_2012.17,35418.5500686,l0234_grd,2012-02-25T00:00:00,1,,,"LINESTRING (115314.73699999973 578907.0799999982, 144642.89200000092 598764.8999999985)"
vlieglijnen_kust_2012.18,25599.4936758,l0235_grd,2012-02-25T00:00:00,1,,,"LINESTRING (117472.76300000027 579743.9539999999, 138801.49700000137 593900.9019999988)"
vlieglijnen_kust_2012.19,25034.7987549,l0237_grd,2012-02-25T00:00:00,1,,,"LINESTRING (118138.95100000128 578531.9979999997, 138954.6259999983 592440.5870000012)"
vlieglijnen_kust_2012.20,2689.89144762,l0236_2_grd,2012-02-25T00:00:00,1,,,"LINESTRING (122344.95399999991 582023.0280000009, 124473.11300000176 583668.1579999998)"
vlieglijnen_kust_2012.21,26581.4702344,l0236_1_grd,2012-02-25T00:00:00,1,,,"LINESTRING (116016.07899999991 577670.4609999992, 137934.875 592708.4439999983)"
vlieglijnen_kust_2012.22,7017.69145437,l0280_grd,2012-02-25T00:00:00,1,,,"LINESTRING (127091.3909999989 591295.0300000012, 129617.02400000021 584747.574000001)"
vlieglijnen_kust_2012.23,7513.82675342,l0281_grd,2012-02-25T00:00:00,1,,,"LINESTRING (132558.50600000098 592441.4809999987, 137871.58399999887 587128.4030000009)"
vlieglijnen_kust_2012.24,21688.8197288,l0233_grd,2012-02-25T00:00:00,1,,,"LINESTRING (117185.91000000015 581018.9360000007, 135107.83900000155 593234.0650000013)"
vlieglijnen_kust_2012.25,9983.99450986,l0239_2_grd,2012-02-25T00:00:00,1,,,"LINESTRING (148113.69399999827 602126.1959999986, 157751.436999999 604732.7349999994)"
vlieglijnen_kust_2012.26,26345.1691769,l0240_grd,2012-02-25T00:00:00,1,,,"LINESTRING (140482.1409999989 599179.9239999987, 165867.58700000122 606225.9899999984)"
vlieglijnen_kust_2012.27,35011.1946571,l0241_grd,2012-02-25T00:00:00,1,,,"LINESTRING (139702.62900000066 598196.6350000016, 173438.40799999982 607560.4450000003)"
vlieglijnen_kust_2012.28,14164.1246586,l0242_grd,2012-02-25T00:00:00,1,,,"LINESTRING (137781.7890000008 596797.5949999988, 151367.14799999818 600805.1440000013)"
vlieglijnen_kust_2012.29,9465.79559141,l0243_grd,2012-02-25T00:00:00,1,,,"LINESTRING (136609.30099999905 595830.9539999999, 145684.19200000167 598523.0980000012)"
vlieglijnen_kust_2012.30,11546.5166833,l0244_grd,2012-02-25T00:00:00,1,,,"LINESTRING (137111.65199999884 595540.5940000005, 148267.7809999995 598517.6449999996)"
vlieglijnen_kust_2012.31,8331.65102531,l0245_grd,2012-02-25T00:00:00,1,,,"LINESTRING (137696.21200000122 594642.3839999996, 145646.5080000013 597134.2129999995)"
vlieglijnen_kust_2012.32,8398.47835864,l0246_grd,2012-02-25T00:00:00,1,,,"LINESTRING (138953.15399999917 594259.6719999984, 147004.8040000014 596648.2630000003)"
vlieglijnen_kust_2012.33,7042.18342782,l0282_grd,2012-02-25T00:00:00,1,,,"LINESTRING (143692.19999999925 601410.4290000014, 144672.0450000018 594436.7459999993)"
vlieglijnen_kust_2012.34,23692.9472942,l0283_grd,2012-02-25T00:00:00,1,,,"LINESTRING (163358.51099999994 606904.6039999984, 173815.89799999818 585644.3399999999)"
vlieglijnen_kust_2012.35,25063.0600502,l0239_1_grd,2012-02-25T00:00:00,1,,,"LINESTRING (141117.6259999983 600089.800999999, 165272.80299999937 606774.4389999993)"
vlieglijnen_kust_2012.36,22812.648032,l0238_grd,2012-02-25T00:00:00,1,,,"LINESTRING (141818.5540000014 600709.6779999994, 163790.7800000012 606844.675999999)"
vlieglijnen_kust_2012.37,39284.2810958,l0248_grd,2012-02-20T00:00:00,1,,,"LINESTRING (168502.52600000054 608912.620000001, 207782.18499999866 608310.0309999995)"
vlieglijnen_kust_2012.38,24986.1175982,l0249_grd,2012-02-20T00:00:00,1,,,"LINESTRING (168732.3909999989 608099.7529999986, 193717.44999999925 607869.7870000005)"
vlieglijnen_kust_2012.39,7229.9370705,l0250_grd,2012-02-20T00:00:00,1,,,"LINESTRING (168669.06899999827 607468.6409999989, 175892.33799999952 607158.1999999993)"
vlieglijnen_kust_2012.40,9505.14877879,l0251_grd,2012-02-20T00:00:00,1,,,"LINESTRING (169078.77100000158 608316.2930000015, 176276.15300000086 602107.7879999988)"
vlieglijnen_kust_2012.41,8432.75359529,l0252_grd,2012-02-20T00:00:00,1,,,"LINESTRING (168758.13800000027 607977.6220000014, 174865.53599999845 602162.8960000016)"
vlieglijnen_kust_2012.42,7472.28330557,l0253_grd,2012-02-20T00:00:00,1,,,"LINESTRING (167857.58399999887 607575.8370000012, 173573.28500000015 602762.7529999986)"
vlieglijnen_kust_2012.43,19960.6463528,l0264_grd,2012-02-20T00:00:00,1,,,"LINESTRING (167762.07699999958 610690.1519999988, 182654.31799999997 597399.2309999987)"
vlieglijnen_kust_2012.44,8572.02505223,l0284_grd,2012-02-20T00:00:00,1,,,"LINESTRING (171109.19399999827 602686.8429999985, 172781.51300000027 611094.1590000018)"
vlieglijnen_kust_2012.45,20510.8478372,l0285_grd,2012-02-20T00:00:00,1,,,"LINESTRING (181529.06899999827 610804.9910000004, 182661.1700000018 590325.4100000001)"
vlieglijnen_kust_2012.46,14489.5714646,l0286_grd,2012-02-20T00:00:00,1,,,"LINESTRING (191346.88500000164 609587.3610000014, 202931.83700000122 600884.6849999987)"
vlieglijnen_kust_2012.47,25435.5893514,l0247_grd,2012-02-20T00:00:00,1,,,"LINESTRING (171152.89200000092 609387.1539999992, 196587.7340000011 609192.0670000017)"
