Jaar;Ketennationaliteit;Aantal unieke vreemdelingen
2019;Algerijnse;510
2019;Marokkaanse;450
2019;Libische;136
2019;Tunesische;92
2019;Georgische;79
2019;Moldavische;50
2019;Belarussische;46
2019;Iraakse;40
2019;Iraanse;36
2019;Syrische;33
2019;Nigeriaanse;26
2019;Oekraïense;22
2019;Onbekend;22
2019;Afghaanse;21
2019;Russische;21
2019;Gambiaanse;19
2019;Eritrese;18
2019;Somalische;14
2019;Azerbeidzjaanse;13
2019;Guinese;13
2019;Armeense;10
2019;Egyptische;7
2019;Soedanese;7
2019;Mongolische;6
2019;Jemenitische;5
2019;Pakistaanse;5
2019;Servische;5
2019;Chinese;4
2019;Ethiopische;4
2019;Ghanese;4
2019;Libanese;4
2019;Malinese;4
2019;Senegalese;4
2019;Sierra Leoonse;4
2019;Turkse;4
2019;Venezolaanse;4
2019;Albanese;3
2019;Jordaanse;3
2019;Kameroense;3
2019;Liberiaanse;3
2019;Burger van de Republiek Noord-Macedonië;2
2019;Burger van Democratische Republiek Congo;2
2019;Cubaanse;2
2019;Ivoriaanse;2
2019;Jamaicaanse;2
2019;Kazachse;2
2019;Palestijnse;2
2019;Saoedi-Arabische;2
2019;Staatloos;2
2019;Vietnamese;2
2019;Angolese;1
2019;Braziliaanse;1
2019;Burger van Bosnië-Herzegovina;1
2019;Burger van Congo;1
2019;Burger van de Bondsrepubliek Duitsland;1
2019;Burger van Trinidad en Tobago;1
2019;Colombiaanse;1
2019;Dominicaanse;1
2019;Guinee-Bissause;1
2019;Italiaanse;1
2019;Joegoslavische;1
2019;Myanmarese;1
2019;Namibische;1
2019;Nederlandse;1
2019;Nigerese;1
2019;Roemeense;1
2019;Sri Lankaanse;1
2019;Tsjadische;1
2020;Algerijnse;399
2020;Marokkaanse;312
2020;Tunesische;79
2020;Libische;75
2020;Georgische;42
2020;Nigeriaanse;28
2020;Syrische;28
2020;Belarussische;27
2020;Gambiaanse;23
2020;Iraakse;20
2020;Onbekend;19
2020;Iraanse;18
2020;Somalische;15
2020;Russische;13
2020;Guinese;11
2020;Oekraïense;11
2020;Azerbeidzjaanse;10
2020;Afghaanse;9
2020;Soedanese;9
2020;Moldavische;8
2020;Egyptische;7
2020;Eritrese;7
2020;Burger van de Republiek Noord-Macedonië;4
2020;Mongolische;4
2020;Palestijnse;4
2020;Turkse;4
2020;Ugandese;4
2020;Armeense;3
2020;Burger van Bosnië-Herzegovina;3
2020;Ethiopische;3
2020;Servische;3
2020;Sierra Leoonse;3
2020;Albanese;2
2020;Chinese;2
2020;Ghanese;2
2020;Guinee-Bissause;2
2020;Jemenitische;2
2020;Libanese;2
2020;Pakistaanse;2
2020;Senegalese;2
2020;Onbekend;1
2020;Braziliaanse;1
2020;Burger van Trinidad en Tobago;1
2020;Cubaanse;1
2020;Israëlische;1
2020;Jamaicaanse;1
2020;Jordaanse;1
2020;Kameroense;1
2020;Letse;1
2020;Liberiaanse;1
2020;Malinese;1
2020;Nigerese;1
2020;Oezbeekse;1
2020;Saoedi-Arabische;1
2020;Spaanse;1
2020;Surinaamse;1
