OBJECTID,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,PCA,TECHNIEKVELD,Shape__Area,Shape__Length,PRORAIL_GEBIED
7,,,HSL,70,Randstad Zuid,RZ,Infraspeed,3kv,62796769.3731745,192348.122662538,Zuid-Holland Zuid
13,Limburg,340,,,Zuid,Z,Strukton Rail,3kv,1215422224.9359,316643.193179747,Zuid-Oost
19,Kennemerland,240,,,Randstad Noord,RN,Strukton Rail,3kv,789272073.156934,152471.903502255,Noord-West
27,Dordrecht,140,,,Randstad Zuid,RZ,ASSET Rail,3kv,735115514.430613,199825.586570097,Zuid-Holland Zuid
29,Zee-Zevenaar,130,,,Randstad Zuid,RZ,VolkerRail,3kv,1046691051.4885,405346.704556019,Zee-Zevenaar
39,Neerlands Midden,250,,,Randstad Noord,RN,ASSET Rail,3kv,675319201.34845,117932.049849228,Midden
50,Wadden,420,,,Noord-Oost,NO,Strukton Rail,3kv,9834176931.09556,454647.794980723,Noord
52,Drenthe,440,,,Noord-Oost,NO,ASSET Rail,3kv,4581810395.02168,340421.831728285,Noord
59,Gelre,400,,,Noord-Oost,NO,ASSET Rail,3kv,2270137095.03024,403379.071965229,Oost
66,Amstelsepoort,230,,,Randstad Noord,RN,Strukton Rail,3kv,1738817681.67385,214552.391433941,Midden
69,Veluwe,430,,,Noord-Oost,NO,Strukton Rail,3kv,2447000821.09425,254773.731338901,Oost
83,Brabant,330,,,Zuid,Z,ASSET Rail,3kv,1914950561.588,356634.381842608,Zuid-West
89,Betuwe,320,,,Zuid,Z,Strukton Rail,3kv,1501268423.7751,243995.805896105,Zuid-West
96,Twente,410,,,Noord-Oost,NO,VolkerRail,3kv,1829880226.56675,268439.207157291,Oost
120,Hollands Noorderkwartier,210,,,Randstad Noord,RN,VolkerRail,3kv,4574779639.5468,287176.678665068,Noord-West
131,De Peel,300,,,Zuid,Z,ASSET Rail,3kv,1948850505.02485,233366.878087672,Zuid-Oost
141,Eemland,200,,,Randstad Noord,RN,ASSET Rail,3kv,759349700.61095,133358.25595322,Midden
143,Rotterdam,120,,,Randstad Zuid,RZ,VolkerRail,3kv,230726622.6219,120134.918440089,Zuid-Holland Zuid
147,Zeeland,310,,,Zuid,Z,Strukton Rail,3kv,5095815446.72781,425651.889696342,Zuid-West
151,Rijn en Gouwe,100,,,Randstad Zuid,RZ,BAM Rail,3kv,722785781.0538,180527.74847403,Zuid-Holland Noord
152,Amsterdam,220,,,Randstad Noord,RN,VolkerRail,3kv,87808697.26155,44825.4052940204,Midden
154,Den Haag,110,,,Randstad Zuid,RZ,VolkerRail,3kv,673330767.4552,156006.863262827,Zuid-Holland Noord
