FID,length,stroken_id,filenaam,br_links,br_rechts,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wadden_2009.1,30196.705,18,s_020,538.70001221,-537.5,2009-04-06T00:00:00,,,"LINESTRING (159886.7659999989 575126.186999999, 129708.0940000005 576169.625)"
vlieglijnen_wadden_2009.2,38445.188,19,s_021,540.20001221,-487,2009-04-06T00:00:00,,,"LINESTRING (157407.438000001 574469.936999999, 118986.0309999995 575822)"
vlieglijnen_wadden_2009.3,40092.59,20,s_022,595.29998779,-658.79998779,2009-04-03T00:00:00,,,"LINESTRING (159064.188000001 573654.813000001, 118996.2190000005 575059.625)"
vlieglijnen_wadden_2009.4,39744.602,21,s_023,564.59997559,-559.5,2009-04-06T00:00:00,,,"LINESTRING (158935.0469999984 573067.5, 119208.6559999995 574270.5)"
vlieglijnen_wadden_2009.5,39412.957,22,s_024,519.20001221,-540.59997559,2009-04-06T00:00:00,,,"LINESTRING (158206.0469999984 572319.375, 118814.45300000161 573616.936999999)"
vlieglijnen_wadden_2009.6,38096.707,23,s_025,541.40002441,-524.70001221,2009-04-06T00:00:00,,,"LINESTRING (158425.938000001 571571.75, 120351.1559999995 572864.061999999)"
vlieglijnen_wadden_2009.7,38734.824,24,s_026,678.59997559,-607.20001221,2009-04-03T00:00:00,,,"LINESTRING (158193.9840000011 570884.811999999, 119479.7109999992 572146.436999999)"
vlieglijnen_wadden_2009.8,38203.359,25,s_027,663.09997559,-508.1000061,2009-04-06T00:00:00,,,"LINESTRING (158444.688000001 570101.375, 120264.14799999818 571421.625)"
vlieglijnen_wadden_2009.9,36457.191,26,s_028,671.40002441,-551.79998779,2009-04-06T00:00:00,,,"LINESTRING (156931.2659999989 569383.063000001, 120496.45300000161 570660.25)"
vlieglijnen_wadden_2009.10,36311.117,27,s_029,498.5,-500.8999939,2009-04-06T00:00:00,,,"LINESTRING (157008.3440000005 568730.75, 120717.1409999989 569933.125)"
vlieglijnen_wadden_2009.11,37756.691,28,s_030,551.40002441,-551.40002441,2009-04-06T00:00:00,,,"LINESTRING (158471.0469999984 567929.563000001, 120736.14799999818 569212.25)"
vlieglijnen_wadden_2009.12,37369.324,29,s_031,501.70001221,-554.70001221,2009-04-06T00:00:00,,,"LINESTRING (157713.4840000011 567224.938000001, 120366.0390000008 568503.5)"
