FID,ADRES,LIGGING_TANK,VOLUME_TANK,DATUM_BEHANDELING,BEHANDELD_DOOR,IMAPCONCL,CERTIFICERING,TANK_AFGEDAAN,TANK_PDF,GEENCERT,GEOMETRIE,DOCUMENTNR
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_1495,Molenstr. 093 of 91,Onbekend,9,,?,De tank is in het verleden verwijderd. De kwaliteit van de bodem is onbekend,Geen,Ja,GeenCertificaat.pdf,Molenstr. 093 of,POINT (187702 428432),D151893272
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_1496,Molenstr. 028,Onbekend,9,1993-08-23,Laura,Het betreft een bovengrondse tank,Nvt,Ja,GeenCertificaat.pdf,Molenstr. 028.pd,POINT (187800 428614),D151893273
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_1497,Molenstr. 024,Kelder.,9,1998-04-02,?,Het betreft een bovengrondse tank,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Molenstr_024.pdf,,POINT (187807 428626),D151893275
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_1498,Molenstr. 054,Onbekend,4000,1997-01-27,Adico,De tanks zijn verwijderd,Tanks zijn conform de richtlijnen (KIWA) gesaneerd,Ja,Molenstr_054.pdf,,POINT (187772 428579),D151893276
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_1499,Molenstr. 060,Onbekend,9,,?,De tank is gezocht en niet aangetroffen,Nvt,Ja,GeenCertificaat.pdf,Molenstr. 060.pd,POINT (187764 428568),D151893277
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_149a,Molenstr. 076,Onbekend,9,1998-04-15,Chemclean,De tank is gevuld met zand,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Molenstr_076.pdf,,POINT (187745 428544),D151893278
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_149b,Molenstr. 096,Tank op balken in de kelder,3000,1998-03-16,Laura(?)/Chemclean,Het betreft een bovengrondse tank,Tank is conform de richtlijnen (KIWA) schoongemaakt,Ja,Molenstr_096.pdf,Molenstr. 096.pd,POINT (187724.016256033 428521.81000762),D151893279
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_149c,Molenstr. 112,Onbekend,9,,?,De tank is in het verleden verwijderd. De kwaliteit van de bodem is onbekend,Geen,Ja,GeenCertificaat.pdf,Molenstr. 112.pd,POINT (187700 428490),D151893280
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_149d,Welderenstr. 040 v.,Onbekend,9,,?,"Er is gezocht naar een tank, er is geen tank aangetroffen",Nvt,Ja,GeenCertificaat.pdf,Welderenstr. 040,POINT (187887 428424),D151893281
MIL_BOD_OLIETANKS.fid-36cc8544_1861f8fe6be_149e,Plein 1944.  008,Onbekend,3000,1998-09-11,Laura/ Chemclean,De tank is verwijderd,Tank is conform de richtlijnen (KIWA) gesaneerd,Ja,Plein_1944__008.pdf,,POINT (187763.080379573 428650.908319396),D151893282
