OBJECTID,GAGIDENT,GAGOMSCH,GAGCBSNR,GAGBESTM,MPGKAART,GAGNAAM,GAGOPPVL,GAGSOORT,GAGFUNC,IWS_ONDERHOUDSOPZICHTER,RICHTING,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GEONAUWKEURIGHEID,ADMINNAUWKEURIGHEID,BETROUWBAARHEID,INWINNINGSWIJZE,INWINNINGSDATUM,BRON,IDEALISATIE,OPMERKINGEN,GEONAUWKEURIGHEID_Z,IWS_KWLTGEO,IWS_EIGENAAR,IWS_MEMO,GLOBALID,IWS_ONDERHOUDSOPZICHTER_2,IWS_ONDERHOUDSOPZICHTER_3,EMAIL_1,EMAIL_2,EMAIL_3,TELEFOON_1,TELEFOON_2,TELEFOON_3,SHAPE_Length,SHAPE_Area
1,03000,Zuiveringskring Beilen,,,,,239718990,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{4EB81727-B213-472B-9EE4-FAF1E9747B2A},,,,,,,,,1.12438591751419,0.0356621172204726
2,5144968,Zuiveringskring Dalfsen,,,,,,,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{40C84C3A-BB96-44FC-8B65-B9BD2CC08F4C},,,,,,,,,0.899950782676079,0.0249478390165391
3,74000,Zuiveringskring Deventer,0,9, ,,86131171,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{019B3305-3BBC-4F6F-A89F-0EC5D7CF1160},,,,,,,,,0.554439887419324,0.0107526260835648
4,06000,Zuiveringskring Dieverbrug,,,,,277884669,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{7681D8CC-0A48-4D92-981A-81217773619C},,,,,,,,,1.22046061351276,0.0376026269061494
5,07000,Zuiveringskring Echten,,,,,182925486,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{9CE82830-6F10-4874-8191-72720DE18A6A},,,,,,,,,1.43395222311034,0.049139938509536
6,59000,Zuiveringskring Genemuiden,0,9, ,,1237219,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{4BEF963C-64CA-4C57-A63D-C6FEF25DA64D},,,,,,,,,0.677708359133841,0.0128484835847081
7,75000,Zuiveringskring Heino,0,9, ,,38789720,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{CCD37B8E-FC0A-41C9-A3BC-ED167BF8DC70},,,,,,,,,0.442382910457739,0.00742461965347377
8,76000,Zuiveringskring Raalte,0,9, ,,26629666,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{9793E647-390D-4075-9677-EE98D2184852},,,,,,,,,1.157153596383,0.0294599692277895
9,22000,Zuiveringskring Smilde,,,,,51217929,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{1B3289BE-601D-494D-9A73-EF551415045A},,,,,,,,,0.624209678467157,0.00849345312050444
10,5117730,Zuiveringskring HenA Assen,,,,Midden-Drenthe,51217929,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{42E355EA-C0BD-48CC-87EE-1B5ED58089D1},,,,,,,,,0.0648134486330508,0.000209680296335509
11,5117736,Zuiveringskring HenA Assen,,,,Assen,51217929,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{0BCAA439-5D18-4AFA-98CC-BAD0424E6227},,,,,,,,,0.196541355659635,0.00139349533198282
12,16000,Zuiveringskring Meppel,,,,,137268,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{6526A290-F66C-49C3-A5B0-581DBDFDDBEF},,,,,,,,,1.04000706472525,0.0244201361990451
13,80000,Zuiveringskring Olst WVV,0,9, ,Zuiveringskring Olst WVV,61273038,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{CE0039C7-5230-4CFC-9D74-B481C16EF6A3},,,,,,,,,0.0946606576925949,0.000476949446728798
14,54000,Zuiveringskring Hessenpoort,0,9, ,,29553264,,,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{35DFE3C8-0C02-4158-BFBA-8C01853383A8},,,,,,,,,0.397482275006949,0.00391561043156793
15,56000,Zuiveringskring Kampen,0,9, ,,132141587,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{C416F699-3CC5-4978-AA41-BD8E25290E19},,,,,,,,,0.804155714402545,0.0175124934098843
16,80000,Zuiveringskring Olst,0,9, ,,1813947,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{5D2444B5-992F-4C1B-93BF-CD07B113E3A5},,,,,,,,,0.68839799929373,0.0124970539046024
17,8000,Zuiveringskring Olst WVV,,,,RWZI Olst (WVV),,,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{96595335-D24D-4E79-9993-83D963C82CF6},,,,,,,,,0.178162789299981,0.00123333075640467
18,31000,Zuiveringskring Steenwijk,,,,,283404146,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{085C78A7-56A0-484A-8869-FF2DA4D0882F},,,,,,,,,1.17121439628061,0.0376602694224039
19,30000,Zuiveringskring Vollenhove,,,,,27386539,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{EBA8943A-47BD-4A16-968F-2E5976EDF2A2},,,,,,,,,0.306176844525949,0.00363856043070922
20,5144642,Zuiveringskring WF,,,,,277884669,23,,,,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{EFBBDFAE-FBA4-41E7-99E5-0CD48E497D4C},,,,,,,,,0.0284555817959851,3.06249828169813e-05
21,5114210,Zuiveringskring WRIJ Holten,0,9, ,,26429273,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{8BA45E67-BDBC-495C-B22E-B8253B5B64EF},,,,,,,,,0.437715381167005,0.00468871886804371
22,WVS45,Zuiveringskring WVS Dedemsvaart,0,9, ,,40085565,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{14E9B66E-9A69-4381-AE47-4EC8F4B926DB},,,,,,,,,0.550650664117469,0.00550235335674503
23,WVS24,Zuiveringskring WVS Nijverdal,0,9, ,Raalte,1131035,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{FCF13AF2-0E2D-41B7-BE5C-77C6CDD8A851},,,,,,,,,0.458453524334927,0.00253637909210168
24,WVS34,Zuiveringskring WVS Ommen,0,9, ,Hardenberg,256513,,,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{17EF2F31-4F86-4D6A-B2FD-75A25A1087D9},,,,,,,,,0.330368953420483,0.00505787680827885
25,OB001,Zuiveringskring WVV Oldenbroek,0,9, ,Kampen,5546635,23,1230,,90,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen,,{1470FFF6-19A1-4BDE-B25E-52320D688BA2},,,,,,,,,0.144436073903065,0.000733924198240664
26,57000,Zuiveringskring Zwolle,0,0, ,,0,,,,0,WDODelta,2023/01/27 16:21:18+00,WDODelta,2023/01/27 16:21:18+00,,,,,,,,,,,OA/Waterketen, ,{31AA4AF1-53DB-48A1-BC9C-B851F586D233},,,,,,,,,0.825521519268398,0.0136851921693716
