FID,id,jaar,soortnaam_opname,soortnaam_uniform,datum,x,y,tijd,substraat,lengte__m_,breedte__m_,oppervlak__m2__1,naam_waterlichaam,deelwaterlichaam,waterlochaam_code,gdb_geomattr_data,shape
biezen_2021.1737,2021-072,2021,Schoenoplectus lacustris,Schoenoplectus lacustris,2021-09-03T00:00:00,104738.1954,443299.839,,Stortsteen,,,1,Hollandsche IJssel,,NL94_7,,POINT (104738.19539999962 443299.83900000155)
biezen_2021.1738,2021-073,2021,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2021-09-03T00:00:00,107891.1245,445662.9857,,Stortsteen,,,33,Hollandsche IJssel,,NL94_7,,POINT (107891.12449999899 445662.9857000001)
biezen_2021.1739,2021-074,2021,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2021-09-03T00:00:00,107968.9196,445732.4839,,Stortsteen,,,24,Hollandsche IJssel,,NL94_7,,POINT (107968.91959999874 445732.4838999994)
biezen_2021.1740,2021-075,2021,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2021-09-03T00:00:00,108011.1042,445798.3481,,Stortsteen,,,15,Hollandsche IJssel,,NL94_7,,POINT (108011.1042000018 445798.34809999913)
biezen_2021.1741,2021-076,2021,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2021-09-03T00:00:00,108335.0602,446146.0895,,Stortsteen,,,24,Hollandsche IJssel,,NL94_7,,POINT (108335.06019999832 446146.08949999884)
biezen_2021.1742,2021-077,2021,Schoenoplectus lacustris,Schoenoplectus lacustris,2021-09-03T00:00:00,108472.4734,446288.9785,,Stortsteen,,,5,Hollandsche IJssel,,NL94_7,,POINT (108472.47340000048 446288.97850000113)
biezen_2021.1743,2021-078,2021,Eleocharis palustris,Eleocharis palustris,2021-09-03T00:00:00,108418.1554,446451.4398,,Stortsteen,,,17,Hollandsche IJssel,,NL94_7,,POINT (108418.15540000051 446451.4398000017)
biezen_2021.1744,2021-079,2021,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2021-09-03T00:00:00,108383.3475,446425.6465,,Stortsteen,,,9,Hollandsche IJssel,,NL94_7,,POINT (108383.34750000015 446425.64649999887)
biezen_2021.1745,2021-080,2021,Eleocharis palustris,Eleocharis palustris,2021-09-03T00:00:00,108298.3571,446348.246,,Stortsteen,,,23,Hollandsche IJssel,,NL94_7,,POINT (108298.35709999874 446348.24599999934)
biezen_2021.1746,2021-081,2021,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2021-09-03T00:00:00,108222.2296,446262.1179,,Stortsteen,,,18,Hollandsche IJssel,,NL94_7,,POINT (108222.22960000113 446262.117899999)
biezen_2021.1747,2021-082,2021,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2021-09-03T00:00:00,106962.7833,445561.0565,,Stortsteen,,,37,Hollandsche IJssel,,NL94_7,,POINT (106962.78330000117 445561.056499999)
biezen_2021.1748,2021-083,2021,Bolboschoenus maritimus/laticarpus,Bolboschoenus maritimus/laticarpus,2021-09-03T00:00:00,106549.2237,445273.4103,,Stortsteen,,,23,Hollandsche IJssel,,NL94_7,,POINT (106549.22370000184 445273.4103000015)
