Ministerie;Handelsnaam;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiën;Eindtotaal
BZK;Groene Bij;;;1;;;;;1
BZK;H.R. Guest Fotografie;;;;1;;;;1
BZK;H+N+S B.V.;;;1;;;;;1
BZK;Harvey Nash B.V.;;;1;;;;;1
BZK;Holland Consulting Group;;1;;;;;;1
BZK;ICOP B.V.;;1;;;;;;1
BZK;ICTRecht B.V.;;;1;;;;;1
BZK;IdeeVersa B.V.;;;1;;;;;1
BZK;Igluu B.V.;;1;;;;;;1
BZK;IMI Aero-Dynamiek B.V.;;1;;;;;;1
BZK;Impeccable Communicatie Evenementen;;;1;;;;;1
BZK;Improofit;;;1;;;;;1
BZK;Insights;;;1;;;;;1
BZK;JonkersenKo;;1;;;;;;1
BZK;Jont Groenendaal;;1;;;;;;1
BZK;Kessels & Smit, Publishers B.V.;;;1;;;;;1
BZK;Knippenberg Coachend Interim Management;;1;;;;;;1
BZK;Koers Onderzoek & Advies;;;1;;;;;1
BZK;Koffie & Bubbels;;1;;;;;;1
BZK;Kotteman B.V.;;1;;;;;;1
BZK;Krachtig Lokaal Bestuur;;;1;;;;;1
BZK;Land-ID B.V.;;;1;;;;;1
BZK;Leeuwendaal Advies B.V.;;1;;;;;;1
BZK;Legal Infra B.V.;;;1;;;;;1
BZK;Lloyd's Register Nederland B.V.;;1;;;;;;1
BZK;Loyens & Loeff N.V.;;1;;;;;;1
BZK;M. Consult;;;1;;;;;1
BZK;maartenrienks coaching en organisatieontwikk.;;;1;;;;;1
BZK;Marion Sagon;;;1;;;;;1
BZK;Marketresponse Nederland B.V.;;;1;;;;;1
BZK;MDX communicatie;;1;;;;;;1
BZK;Meetingselect B.V;;;1;;;;;1
BZK;Meetingselect B.V.;;;1;;;;;1
BZK;Michiel van Iersel;;;1;;;;;1
BZK;Mobility Mixx B.V.;;1;;;;;;1
BZK;Monitori B.V.;;1;;;;;;1
BZK;MWM2 B.V.;;;1;;;;;1
BZK;Naeff Consult B.V.;;;1;;;;;1
BZK;Narvic Media en Communicatie;;;1;;;;;1
BZK;NautaDutilh N.V.;;1;;;;;;1
BZK;Navigator;;;1;;;;;1
BZK;Netcreators B.V.;;1;1;;;;;1
BZK;Nieman-Kettlitz Gevel- en Dakadvies B.V.;;1;;;;;;1
BZK;Noordzee Helikopters Nederland B.V.;;;1;;;;;1
BZK;NORD Architectuur;;1;;;;;;1
BZK;OnlyHuman Groep B.V.;;;1;;;;;1
BZK;Optima Forma B.V.;;;1;;;;;1
BZK;Orange IT B.V.;;;1;;;;;1
BZK;Org.-id B.V.;;;1;;;;;1
BZK;Paardekooper Organisatieadvies;;;1;;;;;1
BZK;Percuris B.V.;;;;1;;;;1
BZK;Pragmavision B.V.;;1;;;;;;1
BZK;PRiMAN Talent Management;;;;;;1;;1
BZK;Privacy Company B.V.;1;;1;;;;;1
BZK;Proeflokaal Hoop Doet Eten B.V.;;1;;;;;;1
BZK;Public Cinema B.V.;;;1;;;;;1
BZK;Publiec B.V.;;;1;;;;;1
BZK;Punctualis Real Estate C.V.;;1;;;;;;1
BZK;Radar Advies B.V.;;;1;;;;;1
BZK;Radna Rumping - Cultural Projects & Strategy;;;1;;;;;1
BZK;Randoe Verandermanagement B.V.;;;1;;;;;1
BZK;RuimTeUtrecht B.V.;;1;;;;;;1
BZK;Shared Business B.V.;;1;;;;;;1
BZK;Sodexo B.V.;;1;;;;;;1
BZK;Solau Music;;1;;;;;;1
BZK;Spatie;;;1;;;;;1
BZK;SPIE Nederland B.V.;;;1;;;;;1
BZK;SPPS Consultants B.V.;;;1;;;;;1
BZK;Stadkwadraat B.V.;;1;;;;;;1
BZK;Statisfact B.V.;;;1;;;;;1
BZK;Stichting A.S.P.T.;;;1;;;;;1
BZK;Stichting Accessibility;;;1;;;;;1
BZK;Stichting bij BIND;;1;;;;;;1
BZK;Stichting Centrum voor Arbeidsverhoudingen Overheidspersoneel;1;;;;;;;1
BZK;Stichting Code Verantwoordelijk Marktgedrag;;;1;;;;;1
BZK;Stichting De Nieuwe Kaart van Nederland;;;1;;;;;1
BZK;Stichting Hoger Beroepsonderwijs Haaglanden;;;1;;;;;1
BZK;Stichting Holland Property Plaza;;1;;;;;;1
BZK;Stichting IJsselbiÃ«nnale;;;1;;;;;1
BZK;Stichting Kafkabrigade;;1;;;;;;1
BZK;Stichting Kennis Gebiedsontwikkeling (SKG);;1;;;;;;1
BZK;Stichting MVO Nederland;;1;;;;;;1
BZK;Stichting Stad en Regio;;;1;;;;;1
BZK;Strict Holding B.V.;;;1;;;;;1
BZK;Strootman Landschapsarchitecten B.V.;;;1;;;;;1
BZK;Studio Ronald van der Heide;;;1;;;;;1
BZK;Sustainable Change B.V.;;1;;;;;;1
BZK;Tecis;;1;;;;;;1
BZK;The Embedding Company B.V.;;1;;;;;;1
BZK;Things To Make And Do B.V.;;1;;;;;;1
BZK;Tie Nederland B.V.;;;1;;;;;1
BZK;Tilkema Horeca B.V.;;1;;;;;;1
BZK;TiltShift B.V.;;;1;;;;;1
BZK;Twynstra Gudde;;1;;;;;;1
BZK;Uneto-VNI;;1;;;;;;1
BZK;Unique Sources Advies;;1;;;;;;1
BZK;University Traders;;;1;;;;;1
BZK;V.O.C. CafÃ©;;1;;;;;;1
BZK;Vakmedianet BouwCommunities B.V.;;1;;;;;;1
BZK;Vakwerk Architecten B.V.;;1;;;;;;1
BZK;Van der Loo Consulting;;1;;;;;;1
BZK;Van Genechten Beheer B.V.;;;1;;;;;1
BZK;Van Lunteren Consulting;;1;;;;;;1
BZK;Van Meer Juridisch zaken & advies;;;1;;;;;1
BZK;Van Vlier Media B.V.;;1;;;;;;1
BZK;Vening;;;1;;;;;1
BZK;Vereniging Facility Management Nederland;;;1;;;;;1
BZK;Visie op leren;;;1;;;;;1
BZK;Visio Het Loo Erf;;1;;;;;;1
BZK;W/E adviseurs duurzaam bouwen;;1;;;;;;1
BZK;WorkWire B.V.;;;1;;;;;1
EZK;&Maes B.V.;;;;1;;;;1
EZK;24th Avenue B.V.;;;1;;;;;1
EZK;4 Returns Partners B.V.;;;1;;;;;1
EZK;4bis Innovations;;;1;;;;;1
EZK;4C Offshore Limited;;;1;;;;;1
EZK;5plus1;;;1;;;;;1
EZK;A. van Triest;;;1;;;;;1
EZK;A.M.P.C. Associated Medical Project Consultants B.V.;;;1;;;;;1
EZK;A.V.E.R.E.;;;1;;;;;1
EZK;Aaaaha! The Actor Factory B.V.;;;1;;;;;1
EZK;ABT B.V.;;;1;;;;;1
EZK;Accor Tours & Adventure Pvt. Ltd.;;;1;;;;;1
EZK;Administratiekantoor W. Goossens V.O.F.;;;;;1;;;1
EZK;Advies- en Architektenbureau Kouwen BNA;;;1;;;;;1
EZK;Aec;;;1;;;;;1
EZK;AECOM Ltd;;;1;;;;;1
EZK;Agrifirm Exlan B.V.;;;1;;;;;1
EZK;AGS B.V.;;;1;;;;;1
EZK;Aigency B.V.;;;1;;;;;1
EZK;AKD;;;;;1;;;1
