FID,from_,to_,angle_in_degrees,opmerking,distance_nm,route,se_anno_cad_data,gdb_geomattr_data,shape
B23.174,EHAM,NORRA,281,,14.38524447,B23,,,"LINESTRING (620215.5433 5796865.454600001, 593778.3837000001 5800303.251)"
B23.175,NORRA,NL2,349,,8.55266841,B23,,,"LINESTRING (593778.3837000001 5800303.251, 590539.4556999998 5815819.199100001)"
B23.176,NL2,NL3,0,,36.41722092,B23,,,"LINESTRING (590539.4556999998 5815819.199100001, 589288.6248000003 5883298.5502)"
B23.177,NL3,NL4,29,,24.80595298,B23,,,"LINESTRING (589288.6248000003 5883298.5502, 610671.0179000003 5923995.354499999)"
B23.178,NL4,NL9,322,,16.67921846,B23,,,"LINESTRING (610671.0179000003 5923995.354499999, 590965.4144000001 5947811.000499999)"
B23.179,NL9,NL14,322,,16.39109545,B23,,,"LINESTRING (590965.4144000001 5947811.000499999, 571753.0584000004 5971340.877900001)"
B23.180,NL14,NL19,32,,24.98215932,B23,,,"LINESTRING (571753.0584000004 5971340.877900001, 595237.6188000003 6011241.3015)"
B23.181,NL19,NL20,327,,19.37639043,B23,,,"LINESTRING (595237.6188000003 6011241.3015, 575155.2774999999 6041010.4956)"
B23.182,NL20,NL21,9,,36.5853478,B23,,,"LINESTRING (575155.2774999999 6041010.4956, 584837.3071999997 6108118.177999999)"
B23.183,NL21,NL24,310,,17.49922325,B23,,,"LINESTRING (584837.3071999997 6108118.177999999, 559523.7783000004 6128390.8467999995)"
B23.184,NL24,NL27,309,,17.49275666,B23,,,"LINESTRING (559523.7783000004 6128390.8467999995, 534214.6061000004 6148649.782400001)"
B23.185,NL27,NL26,194,,69.24806347,B23,,,"LINESTRING (534214.6061000004 6148649.782400001, 503014.08779999986 6024164.875700001)"
B23.186,NL26,NL25,172,,44.75015821,B23,,,"LINESTRING (503014.08779999986 6024164.875700001, 515430.8965999996 5942165.5337000005)"
B23.187,NL25,NL13,171,,22.30700417,B23,,,"LINESTRING (515430.8965999996 5942165.5337000005, 521920.0449000001 5901337.0989)"
B23.188,NL13,NL12,172,,36.42005342,B23,,,"LINESTRING (521920.0449000001 5901337.0989, 532126.7723000003 5834617.0964)"
B23.189,NL12,NL11,213,,59.02175324,B23,,,"LINESTRING (532126.7723000003 5834617.0964, 473222.06319999974 5742449.1545)"
B23.190,NL11,NL6,133,,13.79710524,B23,,,"LINESTRING (473222.06319999974 5742449.1545, 491875.3781000003 5724960.114)"
B23.191,NL6,NL1,133,,13.76573643,B23,,,"LINESTRING (491875.3781000003 5724960.114, 510427.06740000006 5707447.8927)"
B23.192,NL1,NL2,37,,72.71887353,B23,,,"LINESTRING (510427.06740000006 5707447.8927, 590539.4556999998 5815819.199100001)"
B23.193,NL2,NORRA,169,,8.55266841,B23,,,"LINESTRING (590539.4556999998 5815819.199100001, 593778.3837000001 5800303.251)"
B23.194,NORRA,EHAM,101,,14.38524447,B23,,,"LINESTRING (593778.3837000001 5800303.251, 620215.5433 5796865.454600001)"
