Rijlabels;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3140 - Uitbesteden juridische adviesopdrachten;Eindtotaal
&Maes B.V.;2;;2
Acacia Water B.V.;2;;2
Andersson Elffers Felix;1;;1
ARCADIS Nederland;3;;3
Automotive Publishing B.V.;1;;1
Berenschot B.V.;3;;3
Berenschot Groep B.V.;1;;1
BIJ12;2;;2
Bles Dairies Consultancy;2;;2
Brunel Nederland B.V.;;5;5
Burosa;1;;1
Can Do Academy;1;;1
Carnegie-Stichting;1;;1
CE Delft;2;;2
CLM Onderzoek en Advies B.V.;3;;3
Co̦peratie Hoeve Biesland BA;2;;2
Co̦peratief Congrestolkensecretariaat UA;2;;2
CREM;2;;2
De Boerinn B.V.;2;;2
De Gemeynt Co̦peratie UA;2;;2
De Groene Zaak, Ond. voor een Duurz. Economie;1;;1
De investeringsmaatschappij;1;;1
De Merkplaats B.V.;1;;1
De Seedykstertoer;1;;1
Demokwekerij B.V.;1;;1
DNV GL Netherlands B.V.;2;;2
Duwtje B.V.;3;;3
ECORYS Nederland B.V.;4;;4
Eiffel B.V.;;5;5
Energieonderzoek Centrum Nederland;2;;2
Etxea Restaurant;1;;1
Evite Services B.V.;2;;2
Firma Bruis;2;;2
Fletcher Hotel Restaur. De Wageningsche Berg;1;;1
Gezondheidsdienst voor Dieren;4;;4
GFK Panel Services Benelux;2;;2
GH+O;1;;1
Gielissen's Bedrijven B.V.;2;;2
H+N+S B.V.;2;;2
Hackwerk Advies;2;;2
Hans Roggen Fotografie;1;;1
Het Pleidooi;1;;1
HEYDAY Consultancy & Detachering B.V.;1;;1
Hokra B.V.;1;;1
Hotel Des Indes B.V.;1;;1
In2Content B.V.;3;;3
in60seconds B.V.;2;;2
Indisch Restaurant Garoeda;1;;1
Instituut Maatschappelijke Innovatie;2;;2
ItaQ;2;;2
Jamie's Italian Den Haag;1;;1
Japas Caf̩;1;;1
KCM Survey B.V.;1;;1
Koninklijk Instituut voor de Tropen;2;;2
KPMG Advisory N.V.;2;;2
Kwink Groep B.V.;3;;3
La Vina B.V.;1;;1
Larive International B.V.;3;;3
Leeuwendaal Advies B.V.;;1;1
Metamorfose Vertalingen B.V.;2;;2
mind@work;2;;2
Motivaction International B.V.;4;;4
Museum Catering Den Haag B.V.;1;;1
Naktuinbouw;5;;5
Ned. Ver. tot Bescherming van Vogels;2;;2
Ned.Org.voor toegepast-nat.wetensch. o.z. TNO;2;;2
NewForesight Consultancy B.V.;3;;3
NMI;2;;2
NRJ Architectuur;1;;1
Olivier Middendorp Fotografie;1;;1
Org.-id B.V.;3;;3
Oudaen B.V.;1;;1
Over Morgen;1;;1
Overheidenonderwijs B.V.;4;;4
Panteia B.V.;1;;1
Pardon Consult;1;;1
Partners for Innovation B.V.;1;;1
Partyservice Van der Zee;1;;1
PBLQ B.V.;2;;2
Pegasus Geospatial Consulting B.V.;1;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;2;2
proDO advies;2;;2
RAVON;5;;5
Restaurant Christian;1;;1
Restaurant La Vi̱a;1;;1
SAMR;1;;1
Sancy Tres B.V.;1;;1
Schiphol Nederland B.V.;2;;2
Schuttelaar & Partners, Maatsch. Comm. B.V.;3;;3
Securitas Beveiliging B.V.;2;;2
