Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatie adviesopdrachten;3140 - Uitbesteden juridische adviesopdrachten;3150 - Uitbesteden ICT-adviesopdrachten;3160 - Uitbesteden accountancy en financiÎn;Eindtotaal
&Maes B.V.;1;;1;;;;;1
&ranj B.V.;;2;;;;;;2
.FABRIC;2;;;;;;;2
020CREW B.V.;1;;;;;;;1
123boekingen.nl;1;;;;;;;1
1Camera B.V.;1;;;;;;;1
23G;1;;;;;;;1
2d3d Bureau v. 2 & 3 Dimens. Vormgev. B.V.;;;1;;;;;1
2-Nice B.V.;2;;;;;;;2
3D Makers Zone B.V.;1;;;;;;;1
3DMens;;;2;;;;;2
4cast B.V.;2;;;;;;;2
5hart-IT Opleidingen B.V.;;;1;;;;;1
A new zero;2;;;;;;;2
A. Terlouw Consult;2;;;;;;;2
Aaaaha! The Actor Factory B.V.;1;;;;;;;1
Aarhus University;1;;;;;;;1
About Workplace Harassment;;;1;1;;;;1
Accanto B.V.;2;;;;;;;2
Acceleratio B.V.;2;;;;;;;2
Accor Hospitality Nederland N.V.;1;;;;;;;1
Ace Projects;1;;;;;;;1
Achmea Tussenholding B.V.;2;;;;;;;2
Acquire Publishing B.V.;4;;;;;;;4
Acteursbureau Kapok B.V.;;;1;;;;;1
A'DAM Six Senses B.V.;1;;;;;;;1
Adecs Airinfra B.V.;4;;;;;;;4
Advier;3;;;;;;;3
Advies Talent B.V.;3;;;;;;;3
Advies water en klimaat;1;;;;;;;1
Adviesgroep Questions, Answers and More B.V.;4;;;;;;;4
AECOM IRELAND LTD;2;;;;;;;2
AEQUATOR Groen & Ruimte B.V.;2;;;;;;;2
Aerophoto-Schiphol.nl;1;;;;;;;1
AEVES B.V.;1;;;;;;;1
African Wildlife Foundation;;;2;;;;;2
Airbus Defence and Space Netherlands;;2;;;;;;2
AKD N.V.;1;;;;;;;1
Allgifts.nl B.V.;1;;;;;;;1
Allied Patents B.V.;;;1;;;;;1
Alohasurf;1;;;;;;;1
Alphaplus Creatieve Communicatie;1;;;;;;;1
Alt-Tab Bedrijfsondersteuning;2;;;;;;;2
Alvero Kantoormeubelverhuur B.V.;1;;;;;;;1
Ambi√´nt Advies B.V.;2;;;;;;;2
AMD automotive fiscalisten B.V.;2;;;;;;;2
American Baking Company;1;;;;;;;1
AMI Consultancy;2;;;;;;;2
Amsterdam School of Real Estate B.V.;2;;;;;;;2
Andersson Elffers Felix;6;;3;;;;;6
Anfors B.V.;1;;;;;;;1
Animotus;2;;;;;;;2
anoniem 1;2;;;;;;;2
anoniem 10;2;;;;;;;2
anoniem 102;1;;;;;;;1
anoniem 103;1;;1;;;;;2
anoniem 106;1;;;;;;;1
anoniem 107;2;;;;;;;2
anoniem 108;1;;;;;;;1
anoniem 11;2;;;;;;;2
anoniem 110;1;;;;;;;1
anoniem 114;1;;;;;;;1
anoniem 115;1;;;;;;;1
anoniem 116;2;;;;;;;2
anoniem 119;1;;;;;;;1
anoniem 132;;;1;;;;;1
anoniem 14;1;;1;;;;;1
anoniem 149;;;1;;;;;1
anoniem 151;;;;1;;;;1
anoniem 152;;;;1;;;;1
anoniem 154;;;1;;;;;1
anoniem 157;;;;1;;;;1
anoniem 158;;;1;;;;;1
anoniem 16;;;1;;;;;1
anoniem 18;1;;;;;;;1
anoniem 187;;1;;;;;;1
anoniem 19;;;1;;;;;1
anoniem 20;;;1;1;;;;1
anoniem 21;1;;;;;;;1
anoniem 23;1;;;;;;;1
anoniem 25;;;1;;;;;1
anoniem 27;1;;;;;;;1
anoniem 30;2;;;;;;;2
anoniem 33;1;;;;;;;1
anoniem 36;1;;;;;;;1
anoniem 37;1;;;;;;;1
anoniem 38;2;;;;;;;2
anoniem 40;2;;;;;;;2
anoniem 43;1;;;;;;;1
anoniem 44;1;;;;;;;1
anoniem 45;1;;;;;;;1
anoniem 46;;;1;;;;;1
anoniem 51;6;;;;;;;6
anoniem 52;1;;;;;;;1
anoniem 53;1;;;;;;;1
anoniem 54;1;;;;;;;1
anoniem 55;;;1;;;;;1
anoniem 57;;;1;;;;;1
anoniem 64;;;1;;;;;1
anoniem 69;1;;;;;;;1
anoniem 7;1;;1;;;;;1
anoniem 71;1;;;;;;;1
anoniem 73;;;1;;;;;1
anoniem 74;;1;;;;;;1
anoniem 75;1;;;;;;;1
anoniem 76;2;;;;;;;2
anoniem 77;2;;;;;;;2
anoniem 78;1;;;;;;;1
anoniem 79;1;;;;;;;1
anoniem 82;4;;;;;;;4
anoniem 83;1;;;;;;;1
anoniem 84;2;;;;;;;2
anoniem 85;;1;;;;;;1
anoniem 86;1;;;;;;;1
anoniem 91;5;;;;;;;5
anoniem 92;1;;;;;;;1
anoniem 93;;1;1;;;;;2
anoniem 96;;;;1;;;;1
anoniem 98;1;;;;;;;1
anoniem 99;1;;;;;;;1
Another Site;;;1;;;;;1
Antea Inspection B.V.;;;2;;;;;2
Antea Nederland B.V.;7;;;;;;;7
ANTWERPEN UNIV;1;;;;;;;1
ANWB B.V.;1;;;;;;;1
Appassionato;1;;;;;;;1
APPM Management Consultants B.V.;4;;1;;;;;4
AQASS Ltd;1;;;;;;;1
Aquagis B.V.;;;1;;;;;1
Aquarius Conflictbemiddeling;2;;;;;;;2
AquaTerra-KuiperBurger (ATKB);1;;;;;;;1
AR Beleidsanalyses;2;;;;;;;2
ARA Groep B.V.;3;;;;;;;3
Aram Design;1;;;;;;;1
ARCADIS Nederland;3;;2;;;;;3
ARCADIS Nederland B.V.;5;;;;;;;5
ARCHITECTURE WORKROOM BRUSSELS;2;;;;;;;2
Architectuurcentrum Aorta;;;1;;;;;1
Ardis Organisatieontwikkeling B.V.;;1;1;;;;;1
Argeweb;1;;;;;;;1
Argos Coaching;1;;;;;;;1
Art & Dining;1;;;;;;;1
Art Centre Delft B.V.;1;;;;;;;1
Artitude;1;;;;;;;1
Arup B.V.;1;;;;;;;1
AS 21 B.V.;1;;;;;;;1
Asbestverwijdering Flory B.V.;;1;;;;;;1
Assemblee Sprekersbureau B.V.;1;;;;;;;1
Asset Communications;2;;;;;;;2
At Osborne B.V.;7;;2;;;;;7
Atelier Groenblauw / Opmaat;2;;;;;;;2
Athenas B.V.;1;;;;;;;1
Aude;1;;;;;;;1
Auee & Palmen Advies;;;1;;;;;1
Augustijn Management en Advies;2;;;;;;;2
Automotive Publishing B.V.;4;;;2;;;;4
Autostalling de Bazuin;;1;;;;;;1
Avans Hogeschool MB B.V.;;;1;;;;;1
Aveco De Bondt;2;;;;;;;2
AVEQ show, theatre & congress facilities B.V.;2;;;;;;;2
Aviodrome Exploitatie B.V.;1;;;;;;;1
Aviste B.V.;1;;;;;;;1
Aviv B.V.;4;;;;;;;4
Axians;;;;;;4;;4
AXLE Focused;2;;;;;;;2
Axu Verkeer en Vervoer B.V.;2;;;;;;;2
B.V. Boerenverstand;;;1;;;;;1
Bacoadviesbureau;2;;;;;;;2
