FID,datummutatie,naammuteerder,status,rwsdienst,genormeerd,kaartblad,schaal,rwsnaam,waterlichaam,opmerkingen,bron,kaartbladurl,bladnr,gdb_geomattr_data,shape
bladkader_legger.1,2014-10-13T00:00:00,Fugro,Definitief,MN,0,32,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_32.pdf,MN_KAN_32,,"POLYGON ((129541.71330000088 477562.58370000124, 130491.71330000088 477562.58370000124, 130491.71330000088 477080.58370000124, 129541.71330000088 477080.58370000124, 129541.71330000088 477562.58370000124))"
bladkader_legger.2,2014-10-13T00:00:00,Fugro,Definitief,MN,0,29,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_29.pdf,MN_KAN_29,,"POLYGON ((129618.16530000046 478850.93200000003, 130568.16530000046 478850.93200000003, 130568.16530000046 478368.93200000003, 129618.16530000046 478368.93200000003, 129618.16530000046 478850.93200000003))"
bladkader_legger.3,2014-10-13T00:00:00,Fugro,Definitief,MN,0,30,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_30.pdf,MN_KAN_30,,"POLYGON ((129607.02320000157 478429.30860000104, 130557.02320000157 478429.30860000104, 130557.02320000157 477947.30860000104, 129607.02320000157 477947.30860000104, 129607.02320000157 478429.30860000104))"
bladkader_legger.4,2014-10-13T00:00:00,Fugro,Definitief,MN,0,31,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_31.pdf,MN_KAN_31,,"POLYGON ((129586.77059999853 477998.74329999834, 130536.77059999853 477998.74329999834, 130536.77059999853 477516.74329999834, 129586.77059999853 477516.74329999834, 129586.77059999853 477998.74329999834))"
bladkader_legger.5,2014-10-13T00:00:00,Fugro,Definitief,MN,0,33,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_33.pdf,MN_KAN_33,,"POLYGON ((129534.15450000018 477143.94099999964, 130484.15450000018 477143.94099999964, 130484.15450000018 476661.94099999964, 129534.15450000018 476661.94099999964, 129534.15450000018 477143.94099999964))"
bladkader_legger.6,2014-10-13T00:00:00,Fugro,Definitief,MN,0,34,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_34.pdf,MN_KAN_34,,"POLYGON ((129521.8126000017 476706.3671000004, 130471.8126000017 476706.3671000004, 130471.8126000017 476224.3671000004, 129521.8126000017 476224.3671000004, 129521.8126000017 476706.3671000004))"
bladkader_legger.7,2014-10-13T00:00:00,Fugro,Definitief,MN,0,35,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_35.pdf,MN_KAN_35,,"POLYGON ((129490.16429999843 476268.5592, 130440.16429999843 476268.5592, 130440.16429999843 475786.5592, 129490.16429999843 475786.5592, 129490.16429999843 476268.5592))"
bladkader_legger.8,2014-10-13T00:00:00,Fugro,Definitief,MN,0,36,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_36.pdf,MN_KAN_36,,"POLYGON ((129401.24489999935 475830.7087999992, 130351.24489999935 475830.7087999992, 130351.24489999935 475348.7087999992, 129401.24489999935 475348.7087999992, 129401.24489999935 475830.7087999992))"
bladkader_legger.9,2014-10-13T00:00:00,Fugro,Definitief,MN,0,37,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_37.pdf,MN_KAN_37,,"POLYGON ((129289.22329999879 475391.3814999983, 130239.22329999879 475391.3814999983, 130239.22329999879 474909.3814999983, 129289.22329999879 474909.3814999983, 129289.22329999879 475391.3814999983))"
bladkader_legger.10,2014-10-13T00:00:00,Fugro,Definitief,MN,0,38,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_38.pdf,MN_KAN_38,,"POLYGON ((129238.93840000033 474942.1442999989, 130188.93840000033 474942.1442999989, 130188.93840000033 474460.1442999989, 129238.93840000033 474460.1442999989, 129238.93840000033 474942.1442999989))"
bladkader_legger.11,2014-10-13T00:00:00,Fugro,Definitief,MN,0,39,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_39.pdf,MN_KAN_39,,"POLYGON ((129204.85000000149 474509.6898000017, 130154.85000000149 474509.6898000017, 130154.85000000149 474027.6898000017, 129204.85000000149 474027.6898000017, 129204.85000000149 474509.6898000017))"
bladkader_legger.12,2014-10-13T00:00:00,Fugro,Definitief,MN,0,40,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_40.pdf,MN_KAN_40,,"POLYGON ((129138.53040000051 474070.7879000008, 130088.53040000051 474070.7879000008, 130088.53040000051 473588.7879000008, 129138.53040000051 473588.7879000008, 129138.53040000051 474070.7879000008))"
bladkader_legger.13,2014-10-13T00:00:00,Fugro,Definitief,MN,0,41,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_41.pdf,MN_KAN_41,,"POLYGON ((129053.57019999996 473649.1301999986, 130003.57019999996 473649.1301999986, 130003.57019999996 473167.1301999986, 129053.57019999996 473167.1301999986, 129053.57019999996 473649.1301999986))"
bladkader_legger.14,2014-10-13T00:00:00,Fugro,Definitief,MN,0,42,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_42.pdf,MN_KAN_42,,"POLYGON ((128881.72069999948 473226.99109999835, 129831.72069999948 473226.99109999835, 129831.72069999948 472744.99109999835, 128881.72069999948 472744.99109999835, 128881.72069999948 473226.99109999835))"
bladkader_legger.15,2014-10-13T00:00:00,Fugro,Definitief,MN,0,43,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_43.pdf,MN_KAN_43,,"POLYGON ((128764.44409999996 472803.90729999915, 129714.44409999996 472803.90729999915, 129714.44409999996 472321.90729999915, 128764.44409999996 472321.90729999915, 128764.44409999996 472803.90729999915))"
bladkader_legger.16,2014-10-13T00:00:00,Fugro,Definitief,MN,0,44,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_44.pdf,MN_KAN_44,,"POLYGON ((128707.8198999986 472386.21119999886, 129657.8198999986 472386.21119999886, 129657.8198999986 471904.21119999886, 128707.8198999986 471904.21119999886, 128707.8198999986 472386.21119999886))"
bladkader_legger.17,2014-10-13T00:00:00,Fugro,Definitief,MN,0,45,2500,Rijkswaterstaat Midden-Nederland,Amsterdam-Rijnkanaal,,Fugro: Handmatig,https://downloads.rijkswaterstaatdata.nl/rws_legger/bovenaanzichten en overzichtskaarten/MN_KAN_45.pdf,MN_KAN_45,,"POLYGON ((128660.7360999994 471959.0245000012, 129610.7360999994 471959.0245000012, 129610.7360999994 471477.0245000012, 128660.7360999994 471477.0245000012, 128660.7360999994 471959.0245000012))"
