;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Versteeg Licht & Interieurstudio V.O.F.;;;;;;;1;;;1
VVV Cadeaubonnen B.V.;;;;1;;;;;1;1
Wasserij Ambassade;;;2;;;;;;;2
Wehkamp B.V.;;;;;;;1;;;1
Werkman Den Haag B.V.;;;;;;;;1;;1
Wijnkoperij De Gouden Ton;1;;;;;;;;;1
Xerox (Nederland) B.V.;;1;;;3;;;1;;3
Ziggo B.V.;;;;;;;1;;;1
Zoppi' Koperbewerking;;;;;;;1;;;1
Eindtotaal;5;2;3;1;4;2;5;3;1;7
