FID,hoogte,mastcode,lichtmastnummer,omschrijving,aanlegjaar,geometrie
O10002_GBI_Lichtmasten.1,6,he09,she09,lichtmast,1977,MULTIPOINT ((172619.883 508788.478))
O10002_GBI_Lichtmasten.2,5,he16,she16,lichtmast,1977,MULTIPOINT ((172751.466 508675.71))
O10002_GBI_Lichtmasten.3,4,ht10,sht10,lichtmast,1987,MULTIPOINT ((171666.369 509053.58))
O10002_GBI_Lichtmasten.4,4,tm01,stm01,lichtmast,1971,MULTIPOINT ((171941.432 509447.265))
O10002_GBI_Lichtmasten.5,4,ve01,sve01,lichtmast,1977,MULTIPOINT ((172543.949 509000.16))
O10002_GBI_Lichtmasten.6,4,vo01,svo01,lichtmast,1974,MULTIPOINT ((172687.003 508663.991))
O10002_GBI_Lichtmasten.7,5,hy07,shy07,lichtmast,1987,MULTIPOINT ((172044.297 508736.439))
O10002_GBI_Lichtmasten.8,4,ja02,sja02,lichtmast,2007,MULTIPOINT ((172701.573 508807.005))
O10002_GBI_Lichtmasten.9,4,ja03,sja03,lichtmast,1977,MULTIPOINT ((172711.598 508782.754))
O10002_GBI_Lichtmasten.10,5,ka03,ska03,lichtmast,1994,MULTIPOINT ((171928.749 509457.6))
O10002_GBI_Lichtmasten.11,5,ka09,ska09,lichtmast,1994,MULTIPOINT ((172089.988 509557.18))
O10002_GBI_Lichtmasten.12,5,ks04,sks04,lichtmast,2005,MULTIPOINT ((172051.604 509259.984))
O10002_GBI_Lichtmasten.13,4,kg04,skg04,lichtmast,1977,MULTIPOINT ((172622.646 508539.323))
O10002_GBI_Lichtmasten.14,4,na02,sna02,lichtmast,1988,MULTIPOINT ((172070.672 508874.485))
O10002_GBI_Lichtmasten.15,5,nh03,snh03,lichtmast,1987,MULTIPOINT ((171957.643 509158.711))
O10002_GBI_Lichtmasten.16,5,nh04,snh04,lichtmast,1987,MULTIPOINT ((171929.436 509140.852))
O10002_GBI_Lichtmasten.17,5,nh06,snh06,lichtmast,1987,MULTIPOINT ((171872.415 509104.489))
O10002_GBI_Lichtmasten.18,4,nh13,snh13,lichtmast,1987,MULTIPOINT ((171831.788 509036.046))
O10002_GBI_Lichtmasten.19,5,ra09,sra09,lichtmast,1993,MULTIPOINT ((171607.254 509268.267))
O10002_GBI_Lichtmasten.20,5,ra10,sra10,lichtmast,1993,MULTIPOINT ((171569.08 509256.35))
O10002_GBI_Lichtmasten.21,5,rn05,srn05,lichtmast,2012,MULTIPOINT ((172110.37 508765.564))
O10002_GBI_Lichtmasten.22,4,sh04,ssh04,lichtmast,1973,MULTIPOINT ((172527.888 508793.958))
O10002_GBI_Lichtmasten.23,4,ta02,sta02,lichtmast,1977,MULTIPOINT ((172663.697 508760.385))
O10002_GBI_Lichtmasten.24,5,da06,sda06,lichtmast,1987,MULTIPOINT ((171995.132 508877.477))
O10002_GBI_Lichtmasten.25,5,fu02,sfu02,lichtmast,1987,MULTIPOINT ((172038.083 509115.101))
O10002_GBI_Lichtmasten.26,5,gi09,sgi09,lichtmast,1977,MULTIPOINT ((172794.638 508725.842))
O10002_GBI_Lichtmasten.27,4,gi06,sgi06,lichtmast,1977,MULTIPOINT ((172805.758 508778.923))
O10002_GBI_Lichtmasten.28,4,gd11,sgd11,lichtmast,2012,MULTIPOINT ((172043.046 508703.031))
O10002_GBI_Lichtmasten.29,5,gl03,sgl03,lichtmast,1988,MULTIPOINT ((172326.259 509141.58))
O10002_GBI_Lichtmasten.30,5,gr06,sgr06,lichtmast,1988,MULTIPOINT ((172181.259 509176.13))
O10002_GBI_Lichtmasten.31,5,eu62,deu62,lichtmast,2003,MULTIPOINT ((176399.167 505416.765))
O10002_GBI_Lichtmasten.32,5,eu52,deu52,lichtmast,2003,MULTIPOINT ((176238.585 505438.765))
O10002_GBI_Lichtmasten.33,4,an09,dan09,lichtmast,1997,MULTIPOINT ((176556.869 505271.929))
O10002_GBI_Lichtmasten.34,4,ag13,dag13,lichtmast,1997,MULTIPOINT ((176820.703 505325.995))
O10002_GBI_Lichtmasten.35,6,fl03,dfl03,lichtmast,1997,MULTIPOINT ((176597.032 505305.884))
O10002_GBI_Lichtmasten.36,6,fl08,dfl08,lichtmast,1997,MULTIPOINT ((176717.627 505276.397))
O10002_GBI_Lichtmasten.37,4,dg05,ddg05,lichtmast,1997,MULTIPOINT ((176711.462 505272.023))
O10002_GBI_Lichtmasten.38,4,beg02,dbeg02,lichtmast,1997,MULTIPOINT ((176842.85 505284.798))
O10002_GBI_Lichtmasten.39,5,beg04,dbeg04,lichtmast,1997,MULTIPOINT ((176832.22 505233.913))
