FID,wpeil_verf,poten_peil,se_anno_cad_data,gdb_geomattr_data,shape
potentiele_waterdiepte_laagste_punt_wegvak__m_.1,0,0,,,"LINESTRING (26375.49199999869 374707.2520000003, 26463.745000001043 374766.43499999866, 26568.971000000834 374832.46499999985, 26691.170000001788 374905.3420000002, 26801.5709999986 374968.5859999992)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.2,0,0,,,"LINESTRING (26801.5709999986 374968.5859999992, 26830.34200000018 374985.06700000167, 26986.48699999973 375071.63899999857, 27159.605000000447 375165.05700000003, 27240.70600000024 375207.6160000004)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.3,0,0,,,"LINESTRING (27240.70600000024 375207.6160000004, 27451.10599999875 375318.0240000002)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.4,0,0,,,"LINESTRING (26785.164999999106 377297.813000001, 26803.787999998778 377201.9270000011, 26811.97599999979 377152.47399999946, 26826.79300000146 377051.8049999997, 26840.133999999613 376950.0709999986, 26857.947999998927 376803.3110000007)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.5,0,0,,,"LINESTRING (26857.947999998927 376803.3110000007, 26882.870000001043 376597.98999999836, 26896.778999999166 376499.3999999985, 26904.68100000173 376450.2270000018, 26923.35399999842 376351.58100000024, 26932.903999999166 376309.2410000004)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.6,-0.08,-0.08,,,"LINESTRING (26932.903999999166 376309.2410000004, 26934.57800000161 376301.8200000003, 26947.39600000158 376251.53400000185, 26962.079999998212 376200.5170000009, 26978.916999999434 376148.53500000015, 26998.201999999583 376095.3229999989, 27020.23699999973 376040.58999999985, 27045.326999999583 375984.006000001, 27073.76900000125 375925.2120000012, 27105.85300000012 375863.8060000017, 27115.93499999866 375845.7529999986)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.7,0,0,,,"LINESTRING (27381.813000001013 375422.4990000017, 27451.10599999875 375318.0240000002)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.8,0,0,,,"LINESTRING (27115.93499999866 375845.7529999986, 27141.85099999979 375799.34800000116, 27182.00800000131 375731.35599999875, 27226.541999999434 375659.30000000075, 27275.625 375582.6000000015, 27381.813000001013 375422.4990000017)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.9,0,0,,,"LINESTRING (30638.16000000015 385556.4930000007, 30634.1259999983 385536.90900000185, 30626.563000001013 385488.6779999994, 30622.18200000003 385445.1099999994, 30620.77199999988 385405.8990000002, 30622.120000001043 385370.73900000006, 30626.015000000596 385339.3229999989, 30632.245000001043 385311.34600000083, 30640.598000001162 385286.5009999983, 30650.86400000006 385264.48099999875, 30662.82899999991 385244.98000000045, 30676.28200000152 385227.69200000167, 30691.01099999994 385212.30999999866, 30706.804999999702 385198.52899999917, 30723.451999999583 385186.04199999943)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.10,-1.42,-1.42,,,"LINESTRING (30793.95699999854 386030.83999999985, 30758.19000000134 385941.38699999824, 30727.085999999195 385858.7410000004, 30700.436000000685 385782.59699999914, 30678.026000000536 385712.6479999982, 30659.64600000158 385648.5879999995, 30645.083000000566 385590.1099999994, 30638.16000000015 385556.4930000007)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.11,0,0,,,"LINESTRING (31505.38800000027 398039.6860000007, 31505.329999998212 398050.5560000017, 31503.63599999994 398073.86400000006, 31500.482999999076 398096.84600000083, 31496.004999998957 398119.67599999905, 31490.36199999973 398142.5769999996, 31460.52400000021 398239.5469999984, 31445.210000000894 398292.9479999989, 31438.598000001162 398320.63699999824, 31433.120999999344 398348.65100000054, 31429.07600000128 398376.6939999983, 31426.71499999985 398404.4829999991, 31426.23999999836 398431.7870000005, 31427.802000001073 398458.4539999999, 31431.51099999994 398484.4239999987, 31437.447999998927 398509.72399999946, 31443.519999999553 398527.96499999985)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.12,0,0,,,"LINESTRING (31262.390999998897 397102.83100000024, 31260.43100000173 397126.38599999994, 31246.61499999836 397256.87099999934, 31243.258999999613 397301.7670000009, 31241.93200000003 397347.0329999998, 31243.409000001848 397392.3370000012, 31248.27100000158 397437.27699999884, 31256.822000000626 397481.41800000146, 31269.03299999982 397524.32400000095, 31284.55799999833 397565.5940000005, 31297.447999998927 397593.3990000002)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.13,0,0,,,"LINESTRING (31220.098999999464 395606.96599999815, 31217.620999999344 395619.88699999824, 31209.313000001013 395675.8289999999, 31203.311000000685 395732.97300000116, 31199.49199999869 395791.8020000011, 31197.609000001103 395852.7329999991, 31197.333999998868 395916.0320000015, 31198.311999998987 395981.743999999, 31202.721999999136 396105.563000001)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.14,0.83,0.83,,,"LINESTRING (30914.800999999046 393272.1490000002, 30914.60000000149 393275.66099999845, 30913.017999999225 393366.59800000116, 30916.23099999875 393447.94900000095, 30924.6240000017 393520.3359999992, 30938.256999999285 393584.4919999987, 30956.85000000149 393641.37099999934, 30979.837999999523 393692.0760000013, 31006.458999998868 393737.7129999995, 31016.449999999255 393751.84800000116)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.15,0,0,,,"LINESTRING (37179.82600000128 404839.4539999999, 37183.5700000003 404851.6279999986, 37208.72300000116 404925.76300000027, 37237.32600000128 405003.08399999887, 37269.56700000167 405083.5940000005, 37305.68100000173 405166.9609999992, 37346.083000000566 405252.66099999845, 37371.06700000167 405300.7710000016)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.16,0,0,,,"LINESTRING (37075.1409999989 404351.2419999987, 37078.61100000143 404377.8379999995, 37099.60000000149 404510.81799999997, 37112.02600000054 404577.14499999955, 37126.24199999869 404643.7890000008, 37142.64999999851 404711.29300000146, 37161.642000000924 404780.3359999992, 37179.82600000128 404839.4539999999)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.17,0,0,,,"LINESTRING (37014.539999999106 403854.938000001, 37028.24100000039 403973.6559999995, 37052.335999999195 404176.45600000024, 37075.1409999989 404351.2419999987)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.18,0,0,,,"LINESTRING (36957.21799999848 403358.2349999994, 37014.539999999106 403854.938000001)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.19,0,0,,,"LINESTRING (36899.07299999893 402861.62900000066, 36918.62299999967 403023.8029999994, 36957.21799999848 403358.2349999994)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.20,-7.56,-7.56,,,"LINESTRING (36810.017000000924 402370.118999999, 36815.528999999166 402389.9149999991, 36829.82899999991 402446.63800000027, 36842.993000000715 402505.0450000018, 36855.041999999434 402565.2479999997, 36866.0549999997 402627.2199999988, 36876.15900000185 402690.813000001, 36894.278999999166 402821.85599999875, 36899.07299999893 402861.62900000066)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.21,0,0,,,"LINESTRING (32772.59200000018 400618.96400000155, 32797.66800000146 400676.6039999984, 32820.14600000158 400725.6499999985, 32841.563999999315 400770.09899999946, 32861.97700000182 400809.86100000143, 32881.517000000924 400845.08999999985, 32900.38300000131 400876.1700000018, 32918.846999999136 400903.6640000008, 32937.245999999344 400928.25400000066, 32955.97599999979 400950.6559999995, 32975.484999999404 400971.5489999987, 32996.24799999967 400991.51399999857, 33018.74799999967 401010.99500000104, 33043.436000000685 401030.29399999976, 33044.245999999344 401030.8680000007)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.22,0,0,,,"LINESTRING (31443.519999999553 398527.96499999985, 31445.679999999702 398534.4539999999, 31456.267999999225 398558.7710000016, 31469.272999998182 398582.85599999875, 31484.73999999836 398606.8960000016, 31502.68200000003 398631.0560000017, 31523.048000000417 398655.4620000012, 31545.70399999991 398680.19000000134, 31596.84299999848 398730.6710000001, 31710.67199999839 398835.11100000143, 31766.087999999523 398889.8229999989, 31773.54899999872 398897.97300000116)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.23,0.23,0.23,,,"LINESTRING (31202.721999999136 396105.563000001, 31205.721000000834 396189.7969999984, 31212.605000000447 396330.1160000004, 31220.642000000924 396463.40300000086, 31225.14999999851 396525.71499999985, 31232.028999999166 396604.63699999824)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.24,-0.16,-0.16,,,"LINESTRING (31350.715999998152 395124.58100000024, 31349.879999998957 395128.1950000003, 31335.88899999857 395181.73000000045, 31320.526000000536 395235.80799999833, 31271.06500000134 395400.1070000008, 31255.32800000161 395454.9849999994, 31240.890000000596 395509.7989999987, 31228.208999998868 395564.67599999905, 31220.098999999464 395606.96599999815)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.25,-0.1,-0.1,,,"LINESTRING (31016.449999999255 393751.84800000116, 31035.833999998868 393779.2719999999, 31067.039000000805 393817.5780000016, 31099.16000000015 393853.27899999917, 31221.048000000417 393978.3779999986, 31246.912999998778 394006.63500000164, 31270.221999999136 394034.10599999875, 31290.86300000176 394060.98000000045, 31308.844999998808 394087.47100000083, 31324.287999998778 394113.8509999998, 31334.66800000146 394134.9549999982)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.26,0.74,0.74,,,"LINESTRING (30959.795000001788 392774.2670000009, 30942.95399999991 392928.4759999998, 30929.86400000006 393060.0720000006, 30920.390000000596 393174.1959999986, 30914.800999999046 393272.1490000002)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.27,0.89,0.89,,,"LINESTRING (31010.16800000146 392276.8229999989, 30982.787000000477 392563.73600000143, 30959.795000001788 392774.2670000009)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.28,0,0,,,"LINESTRING (37371.06700000167 405300.7710000016, 37391.5700000003 405340.2509999983, 37443.55700000003 405429.6970000006, 37504.3049999997 405521.6629999988, 37577.129000000656 405617.6429999992, 37657.04300000146 405708.9759999998)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.29,0,0,,,"LINESTRING (33044.245999999344 401030.8680000007, 33070.697000000626 401049.59099999815, 33100.80999999866 401068.97199999914, 33133.925000000745 401088.47399999946, 33170.04100000113 401108.11199999973, 33250.57699999958 401147.85500000045, 33386.914000000805 401208.8020000011, 33491.04699999839 401252.9219999984)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.30,0,0,,,"LINESTRING (31773.54899999872 398897.97300000116, 31792.234000001103 398918.3819999993, 31817.122999999672 398948.0210000016, 31840.70300000161 398978.88599999994, 31863 399011.0379999988, 31884.107999999076 399044.4270000011, 31904.179999999702 399078.9050000012, 31923.425999999046 399114.2490000017, 31998.06799999997 399259.48800000176, 32033.602000001818 399322.9360000007)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.31,0,0,,,"LINESTRING (31297.447999998927 397593.3990000002, 31302.78299999982 397604.9070000015, 31322.92100000009 397642.05099999905, 31344.116000000387 397676.94900000095, 31365.541999999434 397709.6710000001, 31424.76000000164 397797.30999999866, 31441.41800000146 397824.1810000017, 31456.177999999374 397850.4530000016, 31468.971999999136 397876.3669999987, 31479.78500000015 397902.06500000134, 31488.640999998897 397927.58999999985, 31495.579999998212 397952.91000000015, 31500.653000000864 397977.9459999986, 31503.923000000417 398002.6039999984, 31505.45600000024 398026.81599999964, 31505.38800000027 398039.6860000007)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.32,0.22,0.22,,,"LINESTRING (31232.028999999166 396604.63699999824, 31235.13800000027 396640.30000000075, 31260.412000000477 396877.40199999884, 31263.778999999166 396919.53500000015, 31265.973000001162 396960.92500000075, 31266.78599999845 397001.9699999988, 31266.10000000149 397043.0309999995, 31263.92399999872 397084.4210000001, 31262.390999998897 397102.83100000024)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.33,0.04,0.04,,,"LINESTRING (31395.287999998778 394628.1889999993, 31396.243000000715 394680.9479999989, 31395.995000001043 394741.8990000002, 31394.56500000134 394801.36199999973, 31391.71499999985 394858.94000000134, 31387.210999999195 394914.6579999998, 31380.85399999842 394968.881000001, 31372.51399999857 395022.16699999943, 31362.16099999845 395075.1079999991, 31350.715999998152 395124.58100000024)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.34,0.75,0.75,,,"LINESTRING (31334.66800000146 394134.9549999982, 31337.39400000125 394140.4979999997, 31348.416999999434 394167.92599999905, 31357.640999998897 394196.8029999994, 31365.35000000149 394227.92599999905, 31371.811000000685 394262.1579999998, 31377.25299999863 394300.30700000003, 31381.866000000387 394342.98900000006, 31385.787000000477 394390.48999999836, 31389.10599999875 394442.66600000113, 31394.02100000158 394558.22100000083, 31395.287999998778 394628.1889999993)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.35,0,0,,,"LINESTRING (37657.04300000146 405708.9759999998, 37666.60300000012 405719.90199999884, 37780.23900000006 405832.2170000002, 37938.59400000051 405966.45899999887, 38033.60599999875 406036.62000000104)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.36,0,0,,,"LINESTRING (33491.04699999839 401252.9219999984, 33532.22800000012 401270.37000000104, 33630.17700000107 401310.1570000015, 33727.971000000834 401347.46599999815, 33776.80900000036 401364.8520000018, 33825.61899999902 401381.2679999992, 33922.98099999875 401410.99500000104, 33961.30700000003 401421.53500000015)"
potentiele_waterdiepte_laagste_punt_wegvak__m_.37,0,0,,,"LINESTRING (32033.602000001818 399322.9360000007, 32039.028000000864 399332.6229999997, 32061.68499999866 399369.45699999854, 32086.166000001132 399406.7199999988, 32112.642000000924 399444.65100000054, 32141.17100000009 399483.4979999997, 32272.506000000983 399652.10599999875, 32328.346000000834 399726.3370000012)"
