;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
A de Jong Milieutechniek;1;;;;1
A. van der Vlist Schilderwerken;1;;;;1
A.J.F. Jansen B.V.;1;;;;1
Aannemersbedrijf G.B. van Hoek B.V.;1;;;;1
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;1;;;;1
Accuworld;1;;;;1
Achmea Vastgoed Beheer B.V.;;;;1;1
Allrioolservice;1;;;;1
Allround Lock Secure;1;;;;1
Altrex B.V.;1;;;;1
Amsterdam Identity Apartments B.V.;;;;1;1
APC Verhuizen B.V.;;;2;;2
Aqua D en S B.V.;1;;;;1
Ascom (Nederland) B.V.;1;;;;1
ASSA ABLOY Nederland Holding B.V.;1;;;;1
Atrium Vastgoedmanagement B.V.;;;;2;2
Audion Elektro B.V.;1;;;;1
Aukes training en advies B.V.;1;;;;1
Autosleutelkaart.nl;1;;;;1
BAPTIST IJZERWAREN;1;;;;1
Barendregt Vastgoed B.V.;1;;;;1
BBWC B.V.;1;;;;1
Berki Brandbeveiliging B.V.;1;;;;1
BERNER PRODUKTEN BV/N.I.C. FIN.;1;;;;1
Biermans IJzerhandel Breda B.V.;1;;;;1
BJC Tools Made;1;;;;1
Bouwbedrijf Davelaar B.V.;2;;;;2
Bouwbedrijf De Boer B.V.;1;;;;1
Bouwbedrijf Meliskerke B.V.;1;;;;1
Bouwcombinatie DUO2 V.O.F.;5;;;;5
Bouwmaatschappij Kroon B.V.;2;;;;2
Bovenregionaal kantoor;;1;;;1
Braassemerland V.O.F.;;1;;;1
Brandweerrooster.nl;1;;;;1
Breijer Koeltechniek B.V.;1;;;;1
Breur IJzerhandel Den Haag;1;;;;1
Buko Infrasupport B.V.;1;;;;1
BY-POS BV;1;;;;1
CarBon6 B.V.;1;;;;1
CBizz B.V.;;1;;;1
Chubb Fire & Security B.V.;2;;;;2
Colors@Home Budding;1;;;;1
Comecer Netherlands B.V.;2;;;;2
Commerz Real Western Europe GmbH;;;;3;3
Conrad Electronic Benelux B.V.;1;;;;1
Constructie- en Lasbedrijf Besaris B.V.;1;;;;1
Cornelissen Aannemingsbedrijf B.V.;1;;;;1
