registernummer,beperkingstype_naam,orgaan_naam,datum_inwerking,datum_besluit,omschrijving,afdelings_naam,status_naam,opmerkingen_registrator,inlichtingen_bij
428,"beschermd monument, gemeentewet",college burgemeester en wethouders,19810407,19810407,"gemeentelijk monument, willem ii straat 34, patriciërshuis",ruimte,geregistreerd,,wkpb-beheerder 
267,"beschermd monument, gemeentewet",college burgemeester en wethouders,19961126,19961126,"gemeentelijk monument, kreitenmolenstraat 51, woonhuis",ruimte,geregistreerd,,wkpb-beheerder 
386,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, heuvelstraat 23, appartementengebouw",ruimte,geregistreerd,,wkpb-beheerder 
268,"beschermd monument, gemeentewet",college burgemeester en wethouders,19961126,19961126,"gemeentelijk monument, kreitenmolenstraat 74, woonhuis met winkel",ruimte,geregistreerd,,wkpb-beheerder 
274,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, poststraat 8, winkelwoning",ruimte,geregistreerd,,wkpb-beheerder 
352,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, noordhoekring 182, voormalige textielschool",ruimte,geregistreerd,,wkpb-beheerder 
306,"beschermd monument, gemeentewet",college burgemeester en wethouders,20031013,20031013,"gemeentelijk monument, wandelbos",ruimte,geregistreerd,,wkpb-beheerder 
2698,"beschermd monument, gemeentewet",college burgemeester en wethouders,20180904,20180828,"gemeentelijk monument academielaan 9, 5037 et tilburg, mensa/sociëteitsgebouw",ruimte,geregistreerd,,wkpb-beheerder 
560,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, kamerikstraat 5, boerderij",ruimte,geregistreerd,,wkpb-beheerder 
541,"beschermd monument, gemeentewet",college burgemeester en wethouders,19761208,19761208,"gemeentelijk monument, bokhamerstraat 49",ruimte,geregistreerd,,wkpb-beheerder 
543,"beschermd monument, gemeentewet",college burgemeester en wethouders,19761208,19761208,"gemeentelijk monument, bokhamerstraat 40.",ruimte,geregistreerd,,wkpb-beheerder 
466,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, prof dondersstraat 66,hoek gerard van swietenstraat 82, villa",ruimte,geregistreerd,,wkpb-beheerder 
333,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, nieuwlandstraat 12,winkelwoning",ruimte,geregistreerd,,wkpb-beheerder 
285,"beschermd monument, gemeentewet",college burgemeester en wethouders,19961126,19961126,"gemeentelijk monument, groenstraat 17, woonhuis",ruimte,geregistreerd,,wkpb-beheerder 
270,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, haarensebaan 3, langgevelboerderij voormalige rijtuigenloods en paarden en varkensstal ",ruimte,geregistreerd,,wkpb-beheerder 
328,"beschermd monument, gemeentewet",college burgemeester en wethouders,19801224,19801224,"gemeentelijk monument, heuvel 47, winkel-woonhuis",ruimte,geregistreerd,,wkpb-beheerder 
686,"beschermd monument, gemeentewet",college burgemeester en wethouders,19931123,19931123,"gemeentelijk monument, heuvel 22, café/ bovenwoning",ruimte,geregistreerd,,wkpb-beheerder 
416,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, noordstraat 79c-81, woonhuis",ruimte,geregistreerd,,wkpb-beheerder 
379,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, tuinstraat 34k, garage",ruimte,geregistreerd,,wkpb-beheerder 
2695,"beschermd monument, gemeentewet",college burgemeester en wethouders,20180906,20180828,"gemeentelijk monument warandelaan 2, 5037 ab tilburg, universiteit koopmansgebouw",ruimte,geregistreerd,,wkpb-beheerder 
596,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, langestraat 57, winkelwoning",ruimte,geregistreerd,,wkpb-beheerder 
636,"beschermd monument, gemeentewet",college burgemeester en wethouders,19891205,19891205,"gemeentelijk monument, heuvelstraat 108, woonhuis",ruimte,geregistreerd,,wkpb-beheerder 
334,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, nieuwlandstraat 51-53 winkelwoningen",ruimte,geregistreerd,,wkpb-beheerder 
627,"beschermd monument, gemeentewet",college burgemeester en wethouders,20030930,20030930,"gemeentelijk monument, tuinstraat 34, magazijn/ fabrieksgebouw",ruimte,geregistreerd,,wkpb-beheerder 
605,"beschermd monument, gemeentewet",college burgemeester en wethouders,20040629,20040629,"gemeentelijk monument, noordstraat 76, winkelwoning",ruimte,geregistreerd,,wkpb-beheerder 
