buurtcode;naam;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
140000;Binnenstad-Noord;8414;7973;7689;7560;7802;8127;8122;8125;7942;7971;7636;7403;8107;8222;8479;8719;8850
140001;Binnenstad-Zuid;9375;8136;8238;8038;8414;8680;8762;8821;9102;9668;9308;9549;9242;9421;10132;10643;10523
140002;Binnenstad-Oost;2349;1766;1820;1804;1838;2398;2649;2470;2448;2228;2547;2244;3308;2872;2899;2938;2405
140003;Binnenstad-West;1181;946;910;1056;1131;1038;1255;891;931;912;843;845;821;876;1201;1199;1204
140004;Noorderplantsoen;10;12;13;14;15;16;15;12;12;11;11;39;39;27;42;40;41
140005;Hortusbuurt-Ebbingekwartier;3083;3018;3331;2738;2874;2466;2406;2662;2810;2863;2840;2884;3058;3001;3398;3358;3337
140007;UMCG;9563;10055;9835;10042;11237;11324;11821;11753;11743;11973;12368;12418;12626;12550;12926;12983;12927
140008;Stationsgebied;3252;4326;4105;4366;4075;4282;4458;4231;4553;4400;4576;4694;4186;4097;4027;3907;4134
140100;De Meeuwen;844;988;933;962;816;872;1060;1547;1572;1595;1512;1531;1849;1929;2142;2069;2161
140101;Oosterpoort;2015;1540;1644;1870;1917;1957;2101;1900;1915;1980;1693;1637;1771;1905;1979;1793;1902
140102;Herewegbuurt;793;819;803;674;737;813;673;1127;1090;1059;1098;1133;962;807;842;1231;727
140103;Rivierenbuurt;1844;1859;1820;1782;1913;1999;1894;1961;2068;1893;1847;1826;1790;1924;1456;1438;1204
140104;Grunobuurt;325;298;296;323;325;353;368;357;325;333;329;348;399;579;544;500;483
140105;Badstratenbuurt;329;309;251;247;249;255;266;200;293;265;151;167;189;195;196;207;212
140106;Zeeheldenbuurt;1609;1642;1572;1502;1852;1780;1694;1676;1645;1661;1685;960;1017;1050;1015;1069;1147
140107;Laanhuizen;209;202;204;212;210;232;234;232;243;263;245;250;273;294;199;185;188
140108;Stadspark;354;384;346;323;314;342;327;323;313;263;279;293;355;456;390;371;329
140109;Martini Trade Park;4358;3936;3875;3592;3329;3177;2733;2738;2794;2517;2498;2364;2455;2748;3087;3009;3158
140200;Oranjebuurt;262;267;231;280;273;297;298;228;272;415;390;384;414;418;433;431;474
140201;Noorderplantsoenbuurt;437;411;415;450;474;487;503;524;551;549;458;452;480;499;498;485;510
140202;Schildersbuurt;2277;2144;1957;1964;2347;2250;2206;2071;1821;1641;1558;1481;1497;1499;1344;1338;1470
140203;Kostverloren;912;379;395;369;385;363;391;425;399;475;515;509;488;559;525;547;544
140300;De Hoogte;1146;1008;1014;1043;1182;1184;975;773;842;674;719;713;679;743;771;702;761
140301;Indische buurt;862;897;981;1003;997;1035;1032;1088;1176;1180;1117;1105;1075;1045;1059;1229;1253
140302;Professorenbuurt;1461;1507;1441;1439;1488;1497;1613;1548;1504;1525;1436;1506;1437;1448;1544;1530;1512
140400;Gorechtbuurt;1028;1213;1205;770;764;832;926;869;859;716;714;587;671;738;775;834;946
140401;Vogelbuurt;486;448;438;450;418;386;386;463;371;361;397;346;327;310;341;410;423
140402;Bloemenbuurt;180;203;210;192;213;165;189;174;312;391;495;596;710;825;215;218;228
140403;Florabuurt;132;132;139;136;167;176;166;179;199;183;186;225;164;107;92;144;101
140404;Damsterbuurt;1453;1409;1004;1455;1519;1549;1875;1728;1694;2042;2025;2406;2326;1291;1263;1054;703
140500;De Linie;7;7;9;22;26;32;45;51;76;120;141;162;161;177;168;191;210
140501;Europapark;1132;1060;1037;2661;3229;3391;3516;4006;4445;4588;4504;5094;5234;5102;5000;5310;6204
140502;Eemskanaal;4763;4717;4742;4574;4685;4650;4646;4613;4695;4494;4481;4743;4626;4415;5454;5892;6143
140503;Kop van Oost;109;6;5;5;3;3;3;15;24;71;80;88;95;118;131;151;193
140504;Woonschepenhaven;9;9;4;4;4;5;6;12;12;13;11;9;10;12;11;16;11
140505;Driebond;2742;2386;2100;2365;2339;2601;2497;2419;2683;2624;2427;2014;2008;2507;2595;2802;2836
140506;Eemspoort;687;1393;2009;2737;3290;3895;4324;4713;5080;5406;5248;5345;4970;5013;5320;5560;6015
140507;Euvelgunne;2517;2397;2528;2512;2750;2682;2638;2386;2379;2223;2013;1960;1891;2067;2202;2211;2414
140508;Winschoterdiep;2514;2542;2600;2536;2393;2560;2710;2286;2093;1917;1700;1654;1618;1950;1995;2191;2307
140509;Stainkoel'n;18;11;10;37;32;37;31;32;41;40;42;34;31;30;33;41;34
140510;Roodehaan;8;7;9;9;6;7;7;4;10;10;8;7;7;9;8;11;9
140511;Waterhuizen;;;;;;;;;;;;;;;;;
140600;Sterrebosbuurt;3210;3584;3744;3835;3538;3173;3229;3603;3905;4143;4490;4525;4649;4546;4553;4481;4396
140601;Coendersborg;914;988;903;899;823;1102;1012;965;1024;986;1083;1185;1047;1234;1586;1338;1348
140602;Klein Martijn;28;27;25;26;30;27;34;40;44;40;50;46;44;51;52;53;56
140603;Villabuurt;286;269;254;270;223;206;220;212;229;217;220;216;219;198;223;226;218
140604;Helpman;2165;2190;2190;2249;2312;2334;2062;1537;1616;1521;1527;1538;1480;1545;1645;1660;1716
140605;De Wijert;697;707;837;866;850;796;824;892;888;941;980;902;878;861;845;954;959
140606;De Wijert-Zuid;2433;2312;2367;2555;2204;1382;1180;1123;1055;829;1134;950;967;899;935;910;985
140700;Corpus den Hoorn;1866;1700;1750;1742;1879;1571;1663;1799;1774;1967;1714;1650;1291;1758;1964;2344;2594
140701;Hoornse Meer;1540;1510;1472;1532;1425;1681;1638;1662;1578;1618;1671;1680;2193;1864;1777;1863;2015
140702;Hoornse Park;40;50;59;69;91;82;83;93;91;84;80;97;83;81;83;83;81
140703;Van Swieten;6196;7046;6360;5566;4882;5745;6413;6848;6842;6441;6355;6096;6186;6155;6604;7217;7389
140704;Piccardthof;47;63;68;69;87;102;97;104;104;105;114;135;117;122;154;130;183
140705;Bruilwering;0;0;0;0;0;1;2;4;7;5;6;6;4;2;10;48;5
140800;Hoogkerk Dorp;999;1009;1044;1056;1104;1156;1163;1213;1203;1110;1028;1004;1158;915;913;912;890
140801;Hoogkerk-Zuid;510;509;518;498;513;525;654;675;729;755;679;754;794;835;803;846;960
140802;Westpoort;43;47;49;52;52;56;54;159;166;166;162;160;169;185;181;194;221
140803;Vierverlaten;183;73;121;200;258;273;280;163;185;190;190;177;191;212;209;198;183
140804;Zuidwending;228;207;250;223;238;234;249;172;157;142;166;163;167;208;198;194;222
140805;Leegkerk;9;10;11;13;15;16;16;17;15;15;15;18;18;16;17;19;17
140806;Gravenburg;149;146;150;173;209;238;270;277;289;282;281;273;287;267;269;279;277
140807;Suikerfabriekterrein;144;139;131;120;109;0;0;;;;;2;14;14;17;28;48
