gemeente;soort;jaar;verkiezing;w;sb;deel sb;stembureau;adres;postcode;opgeroepen;opkomst;op%;op partij;blanco;ongeldig;opmerking
Leiden;GR;2002;GR2002;0;1;1;Stadhuis;Stadhuisplein 1;2311 EJ;1654;957;57,90%;949;8;;
Leiden;GR;2002;GR2002;0;2;2;Schoolgebouw De Witte Poort;Pieterskerkhof 4a;2311 SR;1512;910;60,20%;907;3;;
Leiden;GR;2002;GR2002;0;3;3;Gemeentearchief;Boisotkade 2a;2311 PZ;1446;923;63,80%;912;11;;
Leiden;GR;2002;GR2002;0;4;4;'t Huis op de Waard;Kaarsenmakersstraat 2;2312 SG;1477;804;54,40%;800;4;;
Leiden;GR;2002;GR2002;1;5;5;De Meelbox (Nieuw Groenhoven);Looiersplein  5;2312 RL;1342;695;51,80%;690;5;;
Leiden;GR;2002;GR2002;1;6;6;Leger des Heils;Groenesteeg 66;2312 SR;1603;909;56,70%;904;5;;
Leiden;GR;2002;GR2002;1;7;7;Het Hooglandse Huys;Hooglandse Kerkgracht 50;2312 HV;1599;887;55,50%;877;10;;
Leiden;GR;2002;GR2002;1;8;8;Het Hooglandse Huys;Hooglandse Kerkgracht 50;2312 HV;1842;869;47,20%;857;12;;
Leiden;GR;2002;GR2002;1;9;9;Stadsbouwhuis;Langegracht  72;2311 NV;1637;935;57,10%;929;6;;
Leiden;GR;2002;GR2002;1;10;10;Stichting K&O;Oude Vest 45;2312 XS;1474;828;56,20%;817;11;;
Leiden;GR;2002;GR2002;1;11;11;Sint Elisabeth Gasthuishof;Elisabeth Gasthuishof  15;;1469;796;54,20%;787;9;;
Leiden;GR;2002;GR2002;6;12;12;voorm wachtgebouw Morspoortkazerne;Morsstraat 62A;2312 BN;1481;791;53,40%;786;5;;
Leiden;GR;2002;GR2002;6;13;13;Wijkgebouw Het Morskwartier;Dijkstraat 2b;;1352;823;60,90%;821;2;;
Leiden;GR;2002;GR2002;6;14;14;Serviceflat Schouwenhove;Schouwenhove 27;2332 DP;1442;905;62,80%;901;4;;
Leiden;GR;2002;GR2002;6;15;15;ID College;Storm Buysingstraat 18C;2332 VW;1403;578;41,20%;574;4;;
Leiden;GR;2002;GR2002;6;16;16;Buurthuis Morschwijck;Topaaslaan 19;2332 JC;1519;779;51,30%;777;2;;
Leiden;GR;2002;GR2002;6;17;17;Woonzorgcentrum Robijnhof;Robijnhof 1;2332 KJ;1377;815;59,20%;814;1;;
Leiden;GR;2002;GR2002;7;18;18;Bonaventuracollege;Boerhaavelaan 44;2334 ER;1358;804;59,20%;799;5;;
Leiden;GR;2002;GR2002;7;19;19;De Leidse Houtschool;Adriaan Pauwstraat 1;2334 CG;1287;972;75,50%;969;3;;
Leiden;GR;2002;GR2002;2;20;20;SBO School De Vuurvogel;Ballonpad 2;2312 NC;1672;980;58,60%;975;5;;
Leiden;GR;2002;GR2002;3;21;21;Pollewop;Pasteurstraat  23;;1585;741;46,80%;737;4;;
Leiden;GR;2002;GR2002;3;22;22;Dienstencentrum Rondedans;Julianastraat 74;2316 NZ;1363;603;44,20%;601;2;;
Leiden;GR;2002;GR2002;3;23;23;Dr. van Voorthuijsenschool;Marnixstraat 104;;1396;515;36,90%;512;3;;
Leiden;GR;2002;GR2002;3;24;24;Buurthuis Het Spoortje;Bernhardkade 40;2316 RX;1586;645;40,70%;645;0;;
Leiden;GR;2002;GR2002;3;26;26;Dienstencentrum Zijloever;Lage Rijndijk 129;2315 JS;1750;748;42,70%;746;2;;
Leiden;GR;2002;GR2002;3;27;27;Basisschool de Viersprong;Timorstraat 15;2315 BL;1558;544;34,90%;543;1;;
Leiden;GR;2002;GR2002;3;28;28;Buurtcentrum De Kooi;Driftstraat 49;2315 CD;1609;624;38,80%;623;1;;
Leiden;GR;2002;GR2002;1;29;29;Buurthuis 't Schippertje;Oosterstraat 16;2315 LH;1610;763;47,40%;760;3;;
Leiden;GR;2002;GR2002;4;30;30;Zorgcentrum Roomburgh;Hof van Roomburgh 46;2314 ZC;1364;758;55,60%;756;2;;
Leiden;GR;2002;GR2002;4;31;31;Buurtcentrum Matilo;Zaanstraat 126;2314 XH;1644;1019;62,00%;1017;2;;
Leiden;GR;2002;GR2002;4;32;32;Stedelijk Gymnasium Leiden;Fruinlaan 15;2313 EP;1474;841;57,10%;838;3;;
Leiden;GR;2002;GR2002;4;33;33;RK Basisschool Sint Joseph;Oppenheimstraat 8;2313 JE ;1391;961;69,10%;954;7;;
Leiden;GR;2002;GR2002;4;34;34;Vredeskerk;Van Vollenhovenkade 24;2313 GG;1341;1063;79,30%;1060;3;;
Leiden;GR;2002;GR2002;4;35;35;Zorgcentrum Lorentzhof;Lorentzhof 1;2313 GB;1230;868;70,60%;863;5;;
Leiden;GR;2002;GR2002;4;36;36;Lorentzschool;van Vollenhovenkade 19;2313 GG;1443;948;65,70%;945;3;;
Leiden;GR;2002;GR2002;4;37;37;Regionaal Opleidingen Centrum Leiden;Lammenschanspark 1a;;1299;684;52,70%;681;3;;
Leiden;GR;2002;GR2002;4;38;38;"Speeltuinvereniging ""Zuiderkwartier""";Anjelierstraat 5;2313 XA;1009;605;60,00%;603;2;;
Leiden;GR;2002;GR2002;4;39;39;Wijk- en Dienstencentrum de Linde;Herenstraat 64;;1099;664;60,40%;664;0;;
Leiden;GR;2002;GR2002;4;40;40;Wijk- en Dienstencentrum de Linde;Herenstraat 64;;1095;722;65,90%;715;7;;
Leiden;GR;2002;GR2002;5;41;41;Woonzorgcentrum Groenhoven;Witte Rozenstraat 21;2311 XS;1442;981;68,00%;979;2;;
Leiden;GR;2002;GR2002;5;42;42;Speeltuinvereniging Westerkwartier;Ten Katestraat 10A;2321 AV;1324;663;50,10%;660;3;;
