nr;Stembureau;Adres;buurt;VVD;PvdA;PVV;CDA;SP;D66;GRLI;ChrUn;SGP;PvdD;PirPar;MenS;NL;LP;DPK;50+;LbDem;AEP;SOPN;PvdT;Geldig;Ongeldig;Oproep;Opkomst
1;Stadhuis;Grote Markt 1           ;0;434;564;42;49;146;475;99;25;1;36;12;4;0;5;0;3;0;0;1;0;1896;6;1350;1902
2;H.N. Werkmancollege;Nieuwe St. Jansstraat 35;2;85;209;14;6;58;99;40;3;0;29;3;1;0;0;0;3;0;0;1;1;552;3;666;555
3;Hulpverleningsdienst;Hanzeplein 120;40;134;233;22;20;68;103;29;13;0;12;8;0;0;0;0;2;0;0;0;0;644;2;1256;646
4;Dienst RO/EZ;Gedempte Zuiderdiep 98   ;1;236;349;30;21;117;198;77;24;4;26;15;1;0;0;0;2;1;0;2;0;1103;13;676;1116
5;Het Pepergasthuis;Peperstraat 22;0;169;112;18;14;59;121;24;10;1;12;4;0;1;3;0;1;0;0;2;1;552;1;958;553
6;St. Michaëlschool;Butjesstraat 8;0;168;214;18;17;45;149;41;6;1;16;9;1;0;0;0;1;0;0;0;1;687;1;940;688
7;Hanzehogeschool;Radesingel 6;1;190;227;21;29;68;135;51;9;1;18;9;0;0;1;0;3;2;0;0;1;765;4;1170;769
8;Centrale Bibliotheek Groningen;Poststraat 9;0;153;364;13;24;88;248;84;26;1;28;7;0;0;0;0;2;0;0;0;2;1040;3;1069;1043
9;Remonstrantse kerk;Coehoornsingel 14;1;138;121;7;16;36;105;22;7;3;8;4;1;0;0;0;1;0;0;1;1;471;3;898;474
10;Activiteitencentrum De Holm;Folkingestraat 9b;1;225;305;14;21;87;252;48;12;2;20;4;1;0;0;1;6;2;0;1;3;1004;2;1554;1006
11;Het Heerenhuis;Spilsluizen 9;4;181;210;18;20;46;187;31;24;1;21;8;0;0;1;0;1;0;0;1;0;750;0;929;750
12;Borgmanschool;Nieuwe Kijk in 't Jatstraat 33;4;211;521;30;37;162;285;125;29;1;51;12;4;0;3;0;3;1;1;0;0;1476;14;1671;1490
13;Het Paleis;Boterdiep 111;4;252;339;15;21;85;243;58;31;0;29;8;2;0;0;0;1;1;0;1;1;1087;4;1412;1091
14;Verzorgingscentrum De Ebbingepoort ;Noorderbinnensingel 2;4;117;210;22;32;76;111;24;12;0;24;5;4;0;0;0;5;0;0;0;0;642;2;880;644
20;Leger des Heils;Dirk Huizingastraat 17 ;40;250;430;34;44;128;193;65;37;3;40;10;3;0;1;1;9;1;0;1;1;1251;3;1431;1254
21;Buurt- en speeltuinvereniging FEO;Gorechtkade 148;40;151;253;15;7;66;117;27;17;0;17;0;2;0;0;0;0;0;0;0;0;672;4;1320;676
22;Oosterparkheem;Merelstraat 100;41;134;276;39;16;95;77;27;26;2;19;4;0;0;1;0;4;1;0;8;1;730;5;1607;735
23;Simon van Hasseltschool;Heesterpoort 1;42;128;334;57;10;143;95;38;19;0;25;10;5;0;0;0;3;0;0;3;2;872;4;1537;876
24;Treslinghuis;Klaprooslaan 120;41;56;275;63;11;172;45;28;16;0;24;7;2;2;0;0;8;0;0;4;0;713;11;1051;724
25;Franciscuscentrum;Koekoekplein 2;41;52;267;67;15;164;64;35;18;1;20;6;3;0;0;2;9;1;0;2;0;726;3;1404;729
26;Siebe Jan Boumaschool;Oliemuldersweg 47;43;93;328;43;19;155;65;30;16;3;22;8;2;1;1;0;7;0;0;0;1;794;6;1311;800
30;Rebound;J.C. Kapteynlaan 13/1;33;196;340;21;29;113;187;58;38;1;26;9;3;0;2;0;0;1;1;1;0;1026;4;1378;1030
31;Baptistenkerk De Cirkel;Singelweg 14b;33;142;327;31;37;113;134;62;24;2;30;7;3;0;0;1;1;0;0;1;0;915;2;1602;917
32;Van Heemskerckschool;Star Numanstraat 52;33;134;296;20;30;84;140;61;38;3;26;6;3;1;2;0;1;0;1;4;0;850;2;1478;852
40;Wijkcentrum Het Floreshuis ;Floresplein 21;32;220;528;38;60;253;251;86;65;5;48;10;0;0;0;1;8;1;0;6;3;1583;8;1422;1591
42;Vrouwencentrum Jasmijn;Floresstraat 2 / 1;32;77;286;22;15;125;77;38;24;0;19;2;4;0;1;0;1;0;0;6;0;697;8;1463;705
43;Gymzaal OBS Karrepad;Molukkenstraat 1;32;68;227;19;9;67;58;26;11;0;12;5;1;0;2;0;0;0;0;1;0;506;4;1046;510
44;Gymzaal OBS Karrepad;Molukkenstraat 1;32;128;327;30;34;115;125;43;23;3;17;6;1;0;3;0;3;0;0;0;1;859;1;1335;860
46;Hamrikheem;Soendastraat 180;32;76;353;59;35;151;59;26;19;1;24;6;1;1;2;0;7;0;0;2;0;822;10;1293;832
47;Wessel Gansfortcollege;Heerdenpad 8;97;78;302;29;26;71;76;29;43;3;13;4;0;0;0;0;10;0;0;0;0;684;0;907;684
48;Buurtcentrum Hunzeborgh;Beijumerweg 10a;97;178;334;29;27;70;101;47;32;5;17;0;1;0;0;0;2;0;0;2;0;845;3;979;848
49;Kantine GTV Van Starkenborgh;Heerdenpad 9;97;81;274;17;27;51;71;43;26;2;7;1;1;0;0;0;7;0;0;1;0;609;0;904;609
50;Christelijk Centrum;Heinsiusstraat 2;31;123;247;27;18;130;98;32;61;4;23;6;2;0;2;0;6;0;0;2;0;781;7;1329;788
51;BSV De Hoogte;Borgwal 88;31;57;304;61;18;197;73;25;25;1;30;6;10;0;2;0;7;0;1;2;0;819;8;1363;827
60;Dependance Nassauschool;Graaf Adolfstraat 73;20;161;456;40;39;126;168;102;28;2;36;5;2;0;0;0;3;0;0;1;0;1169;5;1549;1174
61;Buurtcentrum Oranjewijk;Prinsesseweg 44/1  ;20;147;380;19;25;130;153;80;33;1;37;7;2;0;1;1;4;1;0;3;1;1025;3;1177;1028
62;de Poort;Moesstraat 20;20;144;368;25;18;107;160;70;19;1;48;12;1;0;3;1;3;0;0;1;0;981;3;1649;984
64;Prinsentheater;Noorderbuitensingel 11;20;138;314;20;17;108;171;69;32;1;27;6;8;0;0;0;0;0;0;0;0;911;3;1520;914
71;Buurtpand Op Mars;H.W. Mesdagstraat 72;10;161;197;19;32;48;144;35;21;1;10;11;2;0;1;0;3;0;0;1;0;686;0;921;686
72;Noorderpoortcollege;Verlengde Visserstraat 20;10;241;363;18;34;86;227;49;19;4;19;18;0;0;0;0;5;0;0;1;0;1084;1;1205;1085
73;Sportief Negentig;Eendrachtskade nz 3;10;185;291;15;29;83;168;48;24;4;13;6;2;0;0;0;3;1;0;0;0;872;5;1235;877
