STRAATNAAM,HUISNUMMER,HUISLT,TOEV,POSTCODE_NUM,POSTCODE_ALF,X,Y
Agorahof,417,,,8224,JJ,161058.229,502476.891
Agorahof,419,,,8224,JJ,161057.809,502475.471
Agorahof,421,,,8224,JJ,161053.369,502475.191
Agorahof,423,,,8224,JJ,161052.779,502476.541
Agorahof,425,,,8224,JJ,161047.449,502476.201
Albatroslaan,68,,,8241,CD,159988.87,506350.585
Albatroslaan,70,,,8241,CD,159988.316,506360.561
Albatroslaan,72,,,8241,CD,159986.82,506377.657
Albatroslaan,74,,,8241,CD,159987.063,506386.465
Albatroslaan,76,,,8241,CD,159987.204,506403.254
Albatroslaan,78,,,8241,CD,159986.393,506414.703
Albatroslaan,84,,,8241,CD,159963.002,506446.596
Albatroslaan,86,,,8241,CD,159954.366,506449.975
Albatroslaan,90,,,8241,CD,159937.037,506462.594
Albatroslaan,92,,,8241,CD,159928.148,506475.324
Albatroslaan,94,,,8241,CD,159922.368,506483.984
Albatroslaan,96,,,8241,CD,159914.047,506497.034
Albatroslaan,98,,,8241,CD,159907.907,506505.594
Rode Klif,89,,,8223,CD,161648.881,503903.711
Albatroslaan,104,,,8241,CD,159883.718,506541.444
Rode Klif,203,,,8223,CK,161714.366,503820.499
Albatroslaan,141,,,8241,CH,160052.224,506266.724
Albatroslaan,143,,,8241,CH,160053.403,506282.418
Albatroslaan,145,,,8241,CH,160052.46,506291.722
Albatroslaan,147,,,8241,CH,160050.615,506308.543
Albatroslaan,149,,,8241,CH,160050.114,506317.805
Albatroslaan,155,,,8241,CH,160048.362,506360.109
Albatroslaan,157,,,8241,CH,160047.861,506369.371
Agorawagenplein,1,,,8224,KP,161146.01,502717.304
Agoraweg,11,B,,8224,BZ,161104.092,502494.207
Airport Plaza,1,,,8218,PJ,164487.448,496201.947
Rode Klif,102,,,8223,CE,161662.11,503794.571
Rode Klif,124,,,8223,CG,161694.257,503797.878
Rode Klif,134,,,8223,CG,161720.715,503762.027
Agorahof,449,,,8224,JK,161020.384,502454.652
Agorahof,451,,,8224,JK,161018.009,502457.311
Agorahof,453,,,8224,JK,161014.479,502453.321
Agorahof,455,,,8224,JK,161013.669,502450.261
Agorahof,457,,,8224,JK,161010.859,502449.221
Agorahof,459,,,8224,JK,161007.329,502445.221
Agorahof,461,,,8224,JK,161006.579,502442.321
Agorahof,463,,,8224,JK,161003.699,502441.131
Apolloweg,170,,,8239,DB,161532.555,499430.478
Apolloweg,172,,,8239,DB,161549.912,499424.945
Apolloweg,174,,,8239,DB,161550.15,499448.78
Apolloweg,176,,,8239,DB,161568.522,499438.999
Apolloweg,188,,,8239,DB,161589.853,499489.74
Apolloweg,190,,,8239,DB,161597.702,499483.18
Apolloweg,194,,,8239,DB,161606.556,499500.56
Apolloweg,198,,,8239,DB,161632.032,499507.917
Apolloweg,204,,,8239,DB,161647.824,499532.118
Apolloweg,206,,,8239,DB,161659.214,499534.528
Apolloweg,210,,,8239,DB,161662.128,499557.584
Apolloweg,212,,,8239,DB,161677.129,499551.554
Apolloweg,218,,,8239,DB,161683.27,499568.954
Apolloweg,220,,,8239,DB,161695.438,499573.164
Apolloweg,226,,,8239,DB,161706.293,499599.384
Apolloweg,228,,,8239,DB,161723.325,499586.561
Apolloweg,230,,,8239,DB,161724.333,499617.944
Apolloweg,232,,,8239,DB,161740.604,499611.514
Apolloweg,238,,,8239,DB,161748.494,499635.584
Apolloweg,240,,,8239,DB,161767.479,499622.246
Apolloweg,242,,,8239,DB,161763.877,499653.881
Apolloweg,246,,,8239,DB,161789.475,499680.809
Apolloweg,248,,,8239,DB,161803.353,499681.294
Kopenhagenlaan,143,,,8232,RD,160516.094,502776.682
Kopenhagenlaan,145,,,8232,RD,160514.196,502769.534
Kopenhagenlaan,147,,,8232,RD,160518.775,502753.839
Rode Klif,143,,,8223,CH,161719.922,503783.723
Rode Klif,159,,,8223,CH,161720.054,503809.652
Rode Klif,170,,,8223,CJ,161711.984,503881.354
Rode Klif,179,,,8223,CJ,161713.043,503859.791
Rode Klif,186,,,8223,CK,161713.043,503855.028
Rode Klif,194,,,8223,CK,161712.513,503848.017
Rode Klif,195,,,8223,CK,161714.101,503833.2
Rode Klif,202,,,8223,CK,161714.529,503828.794
Rode Klif,56,,,8223,CC,161646.368,503841.005
Rode Klif,73,,,8223,CD,161646.636,503876.846
Rode Klif,57,,,8223,CC,161647.294,503855.558
Albatroslaan,52,,,8241,CD,159992.675,506247.254
