FID,knooppunt,soort,landsdeel,kwaliteit_,capaciteit,ketenmobil,netwerkont,klanttevre,fietscapac,transferca,groei_reiz,ontwikkeli,verdeling_,wensknoopp,soort_gesp,sqm100,sqm200,sqm300,sqm400,sqm500,sqm600,sqm700,sqm800,sqm900,sqm1000,sqm1100,sqm1200,sqm1300,sqm1400,sqm1500,sqmtotal,sqmtotalge,rank,filter200,data_origi,long,lat,gdb_geomattr_data,shape
ov_knooppunt_geom.6,Akkrum,1,Noord,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,654,372,305,79,0,0,0,0,0,0,0,1411,7246,22,1,Top10NL,5.84312593,53.04759571,,POINT (185574.43059999868 562397.5844999999)
ov_knooppunt_geom.7,Alblasserdam,2,Zuidvleugel,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,0,216,0,0,0,0,0,0,0,0,0,0,216,216,44,1,OpenStreetMap,4.66620228,51.8599524,,POINT (105333.43569999933 430400.65520000085)
ov_knooppunt_geom.19,Amersfoort Vathorst,1,Midden,1,0,1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,92,0,160,0,0,0,0,0,0,0,253,944,55,1,Top10NL,5.43360897,52.19263318,,POINT (158173.03920000046 467168.94619999826)
ov_knooppunt_geom.21,Amstelveenseweg (bus),2,Noordvleugel,1,1,1,1,0,0,0,0,0,1,0,2,1303,608,536,28,0,0,0,0,0,0,0,0,0,0,0,2475,10611,4,1,Handmatig Google,4.85755863,52.33817103,,POINT (118903.08300000057 483492.67240000144)
ov_knooppunt_geom.23,Amsterdam Coentunnelcircuit,2,Noordvleugel,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,961,169,0,0,0,0,0,0,0,0,0,0,1154,2163,19,1,OpenStreetMap,4.8750106,52.4174473,,POINT (120154.81450000033 492304.64400000125)
ov_knooppunt_geom.25,Amsterdam Lelylaan,1,Noordvleugel,1,1,1,1,1,1,1,1,1,3,0,1,0,0,0,0,0,379,820,257,0,1683,0,0,0,0,0,3139,7627,20,1,Top10NL,4.83391851,52.35779026,,POINT (117308.62350000069 485687.5832999982)
ov_knooppunt_geom.27,Amsterdam RAI,1,Noordvleugel,1,0,0,0,1,0,0,0,0,3,0,1,1381,869,0,44,13,77,332,200,0,909,0,0,0,0,0,3824,25232,9,1,Top10NL,4.89011678,52.33714386,,POINT (121121.20850000158 483362.67229999974)
ov_knooppunt_geom.34,Appingedam,1,Noord,1,0,1,1,0,0,1,0,0,3,0,1,438,385,0,0,0,0,0,0,0,0,0,0,0,0,0,823,7844,19,1,Top10NL,6.86255182,53.3258438,,POINT (253299.692400001 594274.4147999994)
ov_knooppunt_geom.36,Arnemuiden,1,Zuid,0,0,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,165,165,13,0,Top10NL,3.66908564,51.5015103,,POINT (35711.50860000029 391682.56329999864)
ov_knooppunt_geom.37,Arnhem-Noord Waterberg A12/ A50.,2,Oost,1,1,1,0,0,0,0,0,0,1,0,2,0,84,0,194,266,0,0,0,0,0,0,0,0,0,0,545,992,29,1,Handmatig Google,5.92629808,52.01796411,,POINT (192005.66279999912 447871.7745999992)
ov_knooppunt_geom.40,Arnhem Presikhaaf,1,Oost,0,0,0,0,1,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,495,0,0,0,0,0,495,495,62,1,Top10NL,5.9426159,51.9874619,,POINT (193151.72780000046 444486.6821999997)
ov_knooppunt_geom.43,Assen Noord Marsdijk,2,Noord,1,0,0,1,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,21,0,OpenStreetMap,6.5734302,53.0297517,,POINT (234579.94170000032 560969.7252000012)
ov_knooppunt_geom.44,Weert,1,Zuid,1,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,180,1080,490,429,154,0,2333,10034,15,1,Top10NL,5.70408783,51.24859584,,POINT (177125.04850000143 362187.7558999993)
ov_knooppunt_geom.47,Bad Nieuweschans,1,Noord,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,237,237,67,1,Top10NL,7.20052794,53.18476166,,POINT (276210.78709999844 579091.2096999995)
ov_knooppunt_geom.51,Barneveld-Noord-Voorthuizen,1,Oost,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,31,0,0,0,0,0,40,68,26,0,Handmatig Google,5.59809495,52.16167745,,POINT (169430.0588000007 463744.7710000016)
ov_knooppunt_geom.53,Barneveld Noord,1,Oost,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,38,0,0,0,0,0,40,44,27,0,Top10NL,5.5977655,52.16145372,,POINT (169407.58909999952 463719.8132000007)
ov_knooppunt_geom.56,Beek-Elsloo,1,Zuid,0,0,0,0,1,1,1,0,0,2,0,1,0,0,19,47,101,0,0,0,0,50,0,0,0,0,0,217,1141,53,1,Top10NL,5.78572648,50.94703533,,POINT (183008.04129999876 328667.5091000013)
ov_knooppunt_geom.57,Beesd,1,Oost,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,10,362,8,0,0,0,0,0,0,0,0,380,1904,45,1,Top10NL,5.19593793,51.89948258,,POINT (141836.0401000008 434569.7355000004)
ov_knooppunt_geom.63,Best A2,2,Zuid,1,0,1,1,0,0,0,0,0,1,1,2,2,0,137,12,124,0,0,0,0,0,0,0,0,0,0,275,568,39,1,Handmatig Aanpassing Google,5.39435016,51.52118605,,POINT (155496.1629000008 392465.5865999982)
ov_knooppunt_geom.66,Blerick,1,Zuid,1,0,1,0,1,1,0,0,1,3,0,1,0,0,0,0,0,246,0,534,0,0,0,0,0,0,0,780,2833,38,1,Top10NL,6.15486876,51.37255233,,POINT (208452.8513999991 376211.2895999998)
ov_knooppunt_geom.68,Bodegraven,1,Zuidvleugel,0,0,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,1,27,0,0,0,0,0,0,0,0,28,112,20,0,Top10NL,4.74623425,52.08145525,,POINT (111063.76539999992 454992.1425999999)
ov_knooppunt_geom.73,Boven Hardinxveld,1,Zuidvleugel,0,0,0,0,0,1,0,0,0,2,0,1,0,457,912,1303,282,0,0,0,0,0,0,0,0,0,0,2954,22221,12,1,Top10NL,4.87763975,51.83227549,,POINT (119876.66919999942 427198.2686999999)
ov_knooppunt_geom.78,Breda oost,2,Zuid,1,0,1,1,0,0,0,0,0,1,1,2,1440,2960,877,0,0,0,0,0,0,0,0,0,0,0,0,5278,21673,2,1,OpenStreetMap,4.74352959,51.4986079,,POINT (110304.67500000075 390150.9816999994)
ov_knooppunt_geom.79,Breda Prinsenbeek,1,Zuid,0,0,1,0,1,1,0,0,0,2,0,1,468,289,347,630,477,403,898,2324,0,898,0,0,0,0,0,6735,30809,6,1,Top10NL,4.72165489,51.60543611,,POINT (108894.31320000067 402049.129900001)
ov_knooppunt_geom.80,Breda west,2,Zuid,1,0,1,1,0,0,0,0,0,1,1,2,0,0,5,397,274,0,0,0,0,0,0,0,0,0,0,676,1083,26,1,OpenStreetMap,4.7124559,51.5764547,,POINT (108227.20380000025 398830.8381999992)
ov_knooppunt_geom.81,Breskens,2,Zuid,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31,31,20,0,OpenStreetMap,3.5551696,51.3957804,,POINT (27507.88500000164 380115.1908)
ov_knooppunt_geom.82,Breukelen,1,Midden,1,1,1,0,0,1,1,1,0,3,0,1,21,117,7,12,54,13,192,100,0,18,0,0,0,0,0,534,2876,36,1,Top10NL,4.99080426,52.1704738,,POINT (127882.12840000167 464776.47740000114)
ov_knooppunt_geom.83,Brouwhuis,1,Zuid,0,0,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,28,0,41,0,0,0,0,0,69,126,18,0,Handmatig Google,5.70200953,51.47048103,,POINT (176873.3601000011 386871.8332999982)
ov_knooppunt_geom.87,Bunde,1,Zuid,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,0,136,0,0,0,0,0,178,263,6,0,Top10NL,5.73655599,50.89700926,,POINT (179579.00030000135 323084.4941000007)
ov_knooppunt_geom.88,Bunnik,1,Midden,0,1,1,1,0,1,0,1,0,3,0,1,0,502,274,0,0,0,0,0,0,0,0,0,0,0,0,776,6711,24,1,Top10NL,5.19595503,52.06320921,,POINT (141885.13419999927 452785.4763999991)
ov_knooppunt_geom.94,Capelle Schollevaar,1,Zuidvleugel,0,0,1,0,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,525,0,0,0,0,0,525,525,60,1,Top10NL,4.58418931,51.95412346,,POINT (99799.80939999968 440936.5267000012)
ov_knooppunt_geom.97,Chemelot Campus A2/A76,2,Zuid,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,68,41,0,0,0,0,0,0,0,0,0,0,110,178,9,0,Handmatig Google,5.78816945,50.98532992,,POINT (183156.36580000073 332928.66420000046)
ov_knooppunt_geom.102,Cuijk,1,Zuid,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,46,0,374,0,0,0,0,0,420,512,61,1,Top10NL,5.8740893,51.72699589,,POINT (188638.77070000023 415475.0744000003)
ov_knooppunt_geom.116,Delden,1,Oost,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,16,16,32,0,Top10NL,6.71499738,52.26011715,,POINT (245649.15769999847 475506.60170000046)
ov_knooppunt_geom.119,Delfzijl,1,Noord,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,47,189,11,0,Top10NL,6.92387033,53.33382001,,POINT (257365.8574000001 595247.4668000005)
ov_knooppunt_geom.124,Den Haag Forepark,2,Zuidvleugel,0,0,1,0,0,0,0,0,0,1,0,2,0,0,26,259,145,0,0,0,0,0,0,0,0,0,0,431,742,36,1,OpenStreetMap,4.392994,52.0698797,,POINT (86833.58749999851 453977.00459999964)
ov_knooppunt_geom.126,Den Haag Mariahoeve,1,Zuidvleugel,1,0,1,1,1,1,0,1,1,3,0,1,0,0,0,0,1051,291,968,1235,0,1266,0,0,0,0,0,4811,16602,13,1,Top10NL,4.36898471,52.09058594,,POINT (85219.81060000136 456303.4147000015)
ov_knooppunt_geom.133,Diemen,1,Noordvleugel,1,0,0,0,1,0,0,0,0,3,0,1,0,0,0,79,378,0,0,32,0,87,0,0,0,0,0,576,3003,34,1,Top10NL,4.96741703,52.3452235,,POINT (126394.73550000042 484228.3183000013)
ov_knooppunt_geom.141,Domburg,2,Zuid,1,0,0,1,0,0,0,0,0,1,0,2,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,22,44,16,0,Handmatig Aanpassing Google,3.49699801,51.56358615,,POINT (23944.403000000864 398882.79100000113)
ov_knooppunt_geom.144,Dordrecht Leerpark,2,Zuidvleugel,0,0,0,1,0,0,0,0,0,1,1,2,0,0,0,232,544,0,0,0,0,0,0,0,0,0,0,776,1009,27,1,OpenStreetMap,4.68100916,51.7990864,,POINT (106287.64600000158 423619.2157000005)
