FID,raai,vaknr,raainr,bkl,tkl,tklminbkl,trend,snijding,opmerkingen,symbol,se_anno_cad_data,gdb_geomattr_data,shape
trend_2014_50.1,700968,7,968,-78,11.9,89.9,4.79,-,- - - - 5 -,1,,,"POLYGON ((107841.1400000006 542612.4629999995, 107608.75400000066 542670.4030000009, 107649.88100000098 542835.3530000001, 107882.2659999989 542777.4129999988, 107841.1400000006 542612.4629999995))"
trend_2014_50.2,700984,7,984,-76,13.95,89.95,4.84,-,- - - - 5 -,1,,,"POLYGON ((107802.1400000006 542457.4620000012, 107567.32800000161 542516.0069999993, 107608.45499999821 542680.9580000006, 107843.2659999989 542622.4129999988, 107802.1400000006 542457.4620000012))"
trend_2014_50.3,701000,7,1000,-71,10.15,81.15,2.83,-,- - - - 5 -,1,,,"POLYGON ((107765.1400000006 542301.4629999995, 107627.84299999848 542335.6939999983, 107668.9690000005 542500.6449999996, 107806.2659999989 542466.4129999988, 107765.1400000006 542301.4629999995))"
trend_2014_50.4,701016,7,1016,-62,15.91,77.91,3,-,- - - - 5 -,1,,,"POLYGON ((107726.1400000006 542142.4629999995, 107580.59600000083 542178.7509999983, 107621.72199999914 542343.7010000013, 107767.26700000092 542307.4129999988, 107726.1400000006 542142.4629999995))"
trend_2014_50.5,701031,7,1031,-56,20.13,76.13,2.72,-,- - - - 5 -,1,,,"POLYGON ((107691.1400000006 541996.4629999995, 107559.1799999997 542029.3640000001, 107600.30600000173 542194.3139999993, 107732.26700000092 542161.4129999988, 107691.1400000006 541996.4629999995))"
trend_2014_50.6,701047,7,1047,-54,15.07,69.07,1.13,-,- - - - 5 -,1,,,"POLYGON ((107653.1400000006 541840.4620000012, 107598.31799999997 541854.131000001, 107639.4450000003 542019.0810000002, 107694.2659999989 542005.4120000005, 107653.1400000006 541840.4620000012))"
trend_2014_50.7,701062,7,1062,-49,25.61,74.61,2.94,-,- - - - 5 -,1,,,"POLYGON ((107618.1400000006 541695.4620000012, 107475.50600000098 541731.0249999985, 107516.63300000131 541895.9750000015, 107659.26700000092 541860.4129999988, 107618.1400000006 541695.4620000012))"
trend_2014_50.8,701078,7,1078,-43,23.71,66.71,0.71,-,- - - - 5 -,1,,,"POLYGON ((107580.1400000006 541539.4629999995, 107545.69399999827 541548.050999999, 107586.8209999986 541713.0009999983, 107621.26700000092 541704.4129999988, 107580.1400000006 541539.4629999995))"
trend_2014_50.9,701093,7,1093,-39,29.49,68.49,1.75,-,- - - - 5 -,1,,,"POLYGON ((107545.1400000006 541393.4620000012, 107460.23900000006 541414.629999999, 107501.36600000039 541579.5810000002, 107586.26700000092 541558.4120000005, 107545.1400000006 541393.4620000012))"
trend_2014_50.10,701108,7,1108,-37,39.01,76.01,1.21,-,- - - - 5 -,1,,,"POLYGON ((107510.1400000006 541247.4620000012, 107451.43699999899 541262.0989999995, 107492.56399999931 541427.0489999987, 107551.26700000092 541412.4129999988, 107510.1400000006 541247.4620000012))"
trend_2014_50.11,701123,7,1123,-29,38.9,67.9,-0.12,>2024,- - - - 5 -,3,,,"POLYGON ((107516.2659999989 541267.4129999988, 107522.08799999952 541265.9609999992, 107480.96200000122 541101.0109999999, 107475.1400000006 541102.4629999995, 107516.2659999989 541267.4129999988))"
trend_2014_50.12,701137,7,1137,-14,43.29,57.29,-0.6,>2024,- - - - 5 -,3,,,"POLYGON ((107483.26700000092 541131.4129999988, 107512.375 541124.1550000012, 107471.2490000017 540959.2049999982, 107442.1400000006 540966.4620000012, 107483.26700000092 541131.4129999988))"
trend_2014_50.13,701152,7,1152,-5,58.09,63.09,1.92,-,- - - - 5 -,1,,,"POLYGON ((107407.1400000006 540820.4629999995, 107313.99199999869 540843.686999999, 107355.11800000072 541008.6369999982, 107448.26700000092 540985.4129999988, 107407.1400000006 540820.4629999995))"
trend_2014_50.14,701167,7,1167,-2,61.77,63.77,0.43,-,- - - - 5 -,1,,,"POLYGON ((107371.1400000006 540674.4620000012, 107350.27800000086 540679.6640000008, 107391.40500000119 540844.6140000001, 107412.2659999989 540839.4120000005, 107371.1400000006 540674.4620000012))"
trend_2014_50.15,701182,7,1182,-3,64.49,67.49,0.36,-,- - - - 5 -,1,,,"POLYGON ((107336.1400000006 540528.4620000012, 107318.67399999872 540532.8170000017, 107359.80099999905 540697.7670000009, 107377.2659999989 540693.4120000005, 107336.1400000006 540528.4620000012))"
trend_2014_50.16,701197,7,1197,-6,50.93,56.93,-2.35,>2024,- - - - 5 -,3,,,"POLYGON ((107342.2659999989 540547.4129999988, 107456.27600000054 540518.9869999997, 107415.14900000021 540354.0370000005, 107301.1400000006 540382.4629999995, 107342.2659999989 540547.4129999988))"
trend_2014_50.17,701213,7,1213,-1,51.34,52.34,-3.9,>2024,- - - - 5 -,3,,,"POLYGON ((107304.26700000092 540392.4129999988, 107493.47399999946 540345.2380000018, 107452.34800000116 540180.2879999988, 107263.1400000006 540227.4629999995, 107304.26700000092 540392.4129999988))"
trend_2014_50.18,701228,7,1228,11,69.6,58.6,-0.46,>2024,- - - - 5 -,3,,,"POLYGON ((107269.2659999989 540246.4120000005, 107291.58300000057 540240.8480000012, 107250.45600000024 540075.8979999982, 107228.1400000006 540081.4620000012, 107269.2659999989 540246.4120000005))"
trend_2014_50.19,701243,7,1243,17,74.62,57.62,1.01,-,- - - - 5 -,1,,,"POLYGON ((107193.1400000006 539935.4620000012, 107144.1400000006 539947.6799999997, 107185.26700000092 540112.629999999, 107234.26700000092 540100.4129999988, 107193.1400000006 539935.4620000012))"
trend_2014_50.20,701258,7,1258,18,81.73,63.73,1.34,-,- - - - 5 -,1,,,"POLYGON ((107157.1400000006 539789.4629999995, 107092.12999999896 539805.6710000001, 107133.25699999928 539970.6209999993, 107198.2659999989 539954.4129999988, 107157.1400000006 539789.4629999995))"
