Meppeler Lawn Tennis Club M.L.; 2.300,00 
Meppeler Mannenkoor; 1.459,00 
Meppeler Muiters; 731,00 
Meppeler Schaak Vereniging; 360,00 
Meppeler Sport Club MSC; 4.250,00 
Meppeler Voetbalvereniging Alc; 4.150,00 
Meppeler Zwem- en Polo Club 'D; 47.578,20 
Molenstichting Drenthe; 1.500,00 
Muziekvereniging Euphonia; 3.495,00 
Nijeveense Tennisclub De Tusse; 450,00 
Nijeveense Volleybal Club; 190,00 
Onderling Sterk Meppel; 1.000,00 
Onderwatersportvereniging Arch; 2.815,20 
Oranjevereniging Nijeveen; 1.500,00 
Partou Kinderopvang; 22.677,00 
PlusKinderopvang; 75.500,00 
Popkoor The Midges; 1.685,32 
Promens Care; 66.500,00 
Reddingsbrigade De Dukers Nije; 4.867,79 
Schermvereniging Bras de Fer; 160,00 
Slachtofferhulp Nederland; 4.727,00 
Sonkei Budo Meppel; 2.550,00 
Spectrum Medisch Centrum; 15.000,00 
Speel-o-theek De Boemerang; 20.361,25 
Speeltuin- en Buurtvereniging; 1.450,00 
Speeltuinvereniging Jeugdland; 28.970,00 
Sport Drenthe; 160.050,00 
Sport Vereniging Nijeveen (S.V; 1.910,00 
Sportclub Hartentroef; 600,00 
Sportvereniging 'Blue Devils'; 628,00 
St. VluchtelingenWerk Noord-Ne; 11.500,00 
Stichting 24 uur; 750,00 
Stichting Activiteiten Horeca; 5.000,00 
Stichting Altiband; 1.790,00 
Stichting Citymarketing Meppel; 47.500,00 
Stichting Concours Hippique De; 200,00 
Stichting Cultuurplatform Mepp; 5.000,00 
Stichting de Grote Trek; 30.000,00 
Stichting de Stouwe; 33.624,00 
Stichting Donderdag Meppeldag; 49.737,00 
Stichting Drents Portret; 750,00 
Stichting Drentse Fiets4daagse; 10.000,00 
Stichting Een Wereld van Vrouw; 5.000,00 
Stichting Engelgaarde; 15.000,00 
Stichting Euro Jeugd Voetbal M; 2.500,00 
Stichting Event Support Meppel; 4.000,00 
Stichting Grafisch Museum Dren; 26.000,00 
Stichting Joods Monument; 500,00 
Stichting Kindercircus Okidoki; 2.608,90 
Stichting Kleine Nodenhulp; 400,00 
Stichting Live in Meppel; 15.000,00 
Stichting Lokale Omroep Meppel; 21.200,00 
Stichting Meppel Vol Vaart; 15.000,00 
Stichting Meppeler Draaiorgel; 1.049,00 
Stichting Meppeler Muziekfesti; 4.600,00 
Stichting Meppeler Uitdaging; 10.000,00 
Stichting Muziek Klassiek Dren; 750,00 
Stichting Nationaal feestcomit; 5.000,00 
Stichting Natuurbeschermingswa; 250,00 
Stichting Nederlandse Bach Aca; 500,00 
Stichting Ondernemersfonds Mep; 214.500,00 
Stichting Ooievaars Buitenstat; 2.470,00 
Stichting Openbare Bibliotheke; 494.340,41 
Stichting Orgelconcerten Meppe; 225,00 
Stichting Paardrijden Gehandic; 1.429,00 
Stichting Popwaarts; 1.500,00 
Stichting Present Meppel; 10.000,00 
Stichting Promes; 34.900,00 
Stichting Scala Centrum voor d; 321.161,00 
Stichting School en Kunst; 1.000,00 
Stichting Schuldhulp Meppel; 4.020,00 
Stichting Scouting Meppel; 1.450,00 
Stichting Sport Verbroedert; 1.000,00 
Stichting Stedenband Most-Mepp; 4.000,00 
Stichting Top Spin; 750,00 
Stichting Vocalin Drenthe; 750,00 
Stichting Welzijn Doven Drenth; 630,00 
Stichting Welzijn voor Ouderen; 15.428,00 
Stichting wereldwinkel Meppel; 3.000,00 
Stichting Wijkcentrum de Poele; 39.600,00 
Stichting ZoDus Livecollectief; 5.888,00 
Stichting Zwembad Meppel; 247.511,04 
"Telefonische Hulpdienst ""Tegen"; 2.578,00 
The Bake Shop; 1.000,00 
Toneelvereniging Tavenu; 2.626,40 
Trebokama; 4.987,50 
TZT 86; 2.854,61 
Vereniging Popkoor afslag Nije; 1.601,00 
Vereniging voor Protestants Ch; 53.050,00 
Verslavingszorg Noord Nederlan; 5.631,00 
Vluchtelingenzorg en Integrati; 4.500,00 
Voedselbank Zuidwest-Drenthe; 11.000,00 
Vogelwerkgroep Vliegvlug; 250,00 
Volleybalvereniging Meppel AZ; 890,00 
Volonte Acrogym; 951,00 
Welzijn MensenWerk; 1.661.093,00 
Werkgroep Arme kant van Meppel; 275,00 
Wijkvereniging Oosterboer; 14.000,00 
Zwem- en Poloclub De Veenkers; 2.900,00 
;
