FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
aquaduct.867,176331,556939,3189,Prinses Margriettunnel,10H-302,10H-302-01,Prinses Margriettunnel,Aquaduct onder het Pr. Margrietkanaal,Aquaduct,Droog,HWN,A7,in RW,176.331,556.939,1974,10H-302-00,1686,RWS NN / NN District West,1686,,,POINT (176331 556939)
aquaduct.876,185428,563417,3198,Leppa,11A-110,11A-110-01,Leppa Akwadukt,Aquadukt in de Boorne ,Aquaduct,Droog,HWN,A32,in RW,185.428,563.417,1995,11A-110-00,1686,RWS NN / NN District West,1686,,,POINT (185428 563417)
aquaduct.879,184611,565909,3201,Akwadukt Mid-Fryslan,11A-112,11A-112-01,Akwadukt Mid-Fryslan,Aquaduct onder het Pr. Margrietkanaal,Aquaduct,Droog,HWN,A32,in RW,184.611,565.909,1987,11A-112-00,1686,RWS NN / NN District West,1686,,,POINT (184611 565909)
aquaduct.2453,103040,469997,4835,Ringvaart Aquaduct,31A-001,31A-001-01,Ringvaart Aquaduct,Westelijk aquaduct  Ringvaart van de Haarlemmermeerpolder,Aquaduct,Droog,HWN,A4,in RW,103.04,469.997,1958,31A-306-00,1666,RWS WNN / WNN District Zuid,1666,,,POINT (103040 469997)
aquaduct.2483,105909,458379,4867,Aquaduct Alphen a/d Rijn,31C-114,31C-114-01,Oeververbinding met de Gouwe,Aquaduct Alphen a/d Rijn,Aquaduct,Droog,HWN,N11,over RW,105.909,458.379,1998,31C-114-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (105909 458379)
aquaduct.3228,81935,445116,5646,Oeververbinding Gaag,37E-149,37E-149-01,Oeververbinding Gaag,Oeververbinding onder de Gaag en Rijksstraatweg TW. 59 en Tramkade,Aquaduct,Droog,HWN,A4,in RW,81.935,445.116,1993,37E-149-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (81935 445116)
aquaduct.3493,105564,448815,5923,Gouwe Aquaduct,38A-004,38A-004-01,Gouwe Aquaduct,Gouwe Aquaduct,Aquaduct,Droog,HWN,A12,in RW,105.564,448.815,1975,38A-302-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (105564 448815)
aquaduct.3504,101050,442919,5934,Cortlandt,38A-114,38A-114-01,Zuidplaspolder,Aquadukt Ringvaart Zuidplaspolder,Aquaduct,Droog,HWN,A20,over RW,101.05,442.919,1976,38A-114-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (101050 442919)
aquaduct.5953,171965,559906,8626,De Geau,10H-308,10H-308-01,De Geau,Oeververbinding de Geeuw,Aquaduct,Droog,HWN,N7,in RW,171.965,559.906,2008,10H-308-01,1686,RWS NN / NN District West,1686,,,POINT (171965 559906)
aquaduct.5958,186064,576108,8631,Langdeel,06C-308,06C-308-01,Langdeel,Aquaduct Langdeel,Aquaduct,Droog,HWN,A31,in RW,186.064,576.108,2006,06C-308-01,1686,RWS NN / NN District West,1686,,,POINT (186064 576108)
