ZK_VOLGNR;SUBSIDIEJAAR;SUBSIDIEREGELING;NAAM_ACTIVITEIT_OF_PROJECTNAAM;RESULTAAT;VOORLOPIG_BEDRAG;DEFINITIEF_BEDRAG;AANVRAGER;KVK
3911788;2020;Amateurkunst en Cultuur;BLOND!;Verleend;10.028;;Stichting Ammes;76585395
3843044;2020;Amateurkunst en Cultuur;Dutch Dance Competition;Verleend;6.409;;Dutch Dance Competition;66500265
3678643;2020;Amateurkunst en Cultuur;Hiphop Coreday 2020;Verleend;9.000;;Stichting ZSAlliance;53878868
3757998;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verleend;11.682;;Tengel;41232182
3688264;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verleend;24.961;;Stichting T.H. de WEI;53081307
3676558;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verleend;5.707;;St. Nieuwe Huys Concerten;34393989
3670377;2020;Amateurkunst en Cultuur;Jazz Inverdan - Jaarsubsidie;Verleend;5.478;;Stichting 't Lab;41231975
3707917;2020;Amateurkunst en Cultuur;Klassiek Concours - Dag van de Toekomstmuziek ;Verleend;6.552;;Prinses Christina Concours;41155432
4290753;2020;Amateurkunst en Cultuur;Mijn spreekbeurt gaat over een dooie schilder;Verleend;10.000;;Stichting T.H. de Wei;53081307
4491112;2020;Amateurkunst en Cultuur;Pluk de Nacht filmfestival x Hembrug;Verleend;7.404;;Stichting Pluk de Nacht;34177009
3675144;2020;Amateurkunst en Cultuur;Uit de Kunst - Kunst en Ambacht;Verleend;7.005;;t Kwassie;71114416
3675826;2020;Amateurkunst en Cultuur;ZaanPride;Verleend;8.100;;De Zaanse Regenboog;76025578
3900839;2020;Amateurkunst en Cultuur;Uitvoering Matthaus Passion van J.S. Bach;Verleend en Lager vastgesteld;;785;Christelijke Oratoriumvereniging COV Zaanstreek;40617193
3863986;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verleend en Vastgesteld conform;;21.217;Stichting bij BIND;62744488
3705893;2020;Amateurkunst en Cultuur;Backstage 2020;Verstrekt;;2.402;Popkoor Vocal Invention;40618206
3739114;2020;Amateurkunst en Cultuur;Cultureel festival voor het samenleven en solidariteit;Verstrekt;;4.000;Turkse Democratische Volks- en Jongerenvereniging Zaanstad;40617718
4484541;2020;Amateurkunst en Cultuur;Evenement november, december 2020;Verstrekt;;1.500;Stichting Theatrant,  opererend onder de naam Platform aan de Zaan ;41211443
3908501;2020;Amateurkunst en Cultuur;FluXus Animatiefilm Festival;Verstrekt;;2.540;Stichting FluXus, Centrum voor de Kunsten Zaanstad;34130291
3708252;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;3.000;Muziekvereniging Harmonie APOLLO Zaandijk;40617238
3674975;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;1.438;Interkerkelijke Gospelkoor Revival;40617903
3853555;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;1.716;Stichting E.M.F.;65354125
3776722;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;5.000;Operette & Musical Zaanstad;40617309
3659668;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;3.000;Christelijke Harmonie Soli Deo Gloria Koog Zaandijk;40617201
3674992;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;1.917;Christelijke Oratoriumvereniging Zaanstad, COV;40617193
3674531;2020;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;3.000;Muziek Organisatie Krommenie;40617133
