Leveranciers;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
(Empowerment) vereniging: 'Sterk in jouw schoenen staan';;1;;;;;1
2W Logistiek B.V.;;;;1;;;1
A.Z. N.V.;;1;;;;;1
Aartsen Hekman Lodder Advocaten;;;;1;;;1
Action Service & Distributie B.V.;;;;1;;;1
Adviesbureau Skandara;;;;1;;;1
Advocatenkantoor Kleijweg;;;;1;;;1
Advocatenkantoor R.P. Kuijper B.V.;;;;1;;;1
Advocatenkantoor Ubbergen;;;;1;;;1
AKAB Advocaten Rotterdam;;;;1;;;1
Alkosta B.V.;;;;1;;;1
ARAG SE;;;;1;;;1
Ardis Organisatieontwikkeling B.V.;;2;;;;;2
Arenda Oomen Fotografie;1;;;;;;1
AWVN (Algemene Werkgeversvereniging Nederland);;2;;;;;2
B.V. Aannemingsbedrijf B.T.Z.;;;;1;;;1
Baetsen Containers B.V.;;;;1;;;1
Bart Brandsma in media;;1;;;;;1
Bazo Staalbeheer B.V.;;;;1;;;1
BC 20 B.V.;;;;1;;;1
Beheerstichting Samenwerkingsverbanden Etnische Minderheden (Bsem);;3;;;;;3
Berckeley Square B.V.;1;;;;;;1
Boer & Den Hoedt;;;;1;;;1
Bouwbedrijf Van de Kolk-Garderen B.V.;;;;1;;;1
Branchevereniging voor Professionele Bewindvoerders en Inkomensbeheerders;;2;;;;;2
Brodska Montaza d.o.o.;;;;1;;;1
Calypso;;;;1;;;1
Caribida Advies B.V.;;2;;;;;2
Cedris;;1;;;;;1
Circle Design Holding B.V.;1;;;;;;1
Collet Advocaten Alkmaar B.V.;;;;1;;;1
Compagnie di ventura;;;;1;;;1
COMPAREX Nederland B.V.;;;;;1;;1
Cool Logistics BelgiÃ« B.V.;;;;1;;;1
Corten Advocaten;;;;2;;;2
Countus Accountants + Adviseurs B.V.;;;;1;;;1
Damen Shiprepair Rotterdam B.V.;;;;1;;;1
Dansstudio Michelle;;;;1;;;1
DAS Nederlandse Rechtsbijstand Verzekeringmaatschappij N.V.;;;;2;;;2
De Goede Advocatuur en Consultancy;;;;1;;;1
De Groot en Visser B.V.;;;;1;;;1
De Koers;;;2;;;;2
de Persgroep Printing B.V.;;;;1;;;1
Dinnissen B.V.;;;;1;;;1
DIVERSION Holding B.V.;;3;;;;;3
Divosa, de landelijke vereniging van leidinggevenden van gemeentelijke diensten op het terrein van werk, inkomen en zorg;;4;;;;;4
Djeel Coaching;;1;;;;;1
Drijber en Partners B.V.;;;;1;;;1
DVDW Advocaten;;;;1;;;1
DWA B.V.;;;;1;;;1
Eetcafe Roiyal;;;;1;;;1
Eethuis Medina;;;;1;;;1
Effectory B.V.;2;;;;;;2
Eillert & Van Lammeren Advocaten;;;;1;;;1
El Assrouti Advocaten;;;;1;;;1
Emballagefabriek H. Post B.V.;;;;1;;;1
ENGIE Services West B.V.;;;;1;;;1
ENGIE Services Zuid B.V.;;;;1;;;1
Entopic B.V.;;;1;;;;1
Exploitatie Maatschappij Winselerhof B.V.;;;;1;;;1
Frisia Bergum B.V.;;;;1;;;1
Gartner Nederland B.V.;;;;;2;;2
Gemeenschappelijke Regeling Reinigingsdiensten Rd4;;;;1;;;1
Geradts & Vetter;;;;1;;;1
Germabouw B.V.;;;;1;;;1
Gerwil Binnenvaart B.V.;;;;1;;;1
Goemmatov & Partners;;;;1;;;1
GroupSupport.com B.V.;;1;;;;;1
Guus van Leeuwen Beheer B.V.;;;;1;;;1
Haafkes, Nijkamp & Van Gurp B.V.;;;;1;;;1
HÃ¶dlmayr Logistics Nederland B.V.;;;;1;;;1
Heembouw Roelofarendsveen B.V.;;;;1;;;1
Hero Multi Services;;;;1;;;1
houden van de wereld;;1;;;;;1
Houtindustrie Stam en Landman B.V.;;;;1;;;1
Hunter Douglas Europe B.V.;;;;1;;;1
IJreka B.V.;;;;1;;;1
Imara Limon;;1;;;;;1
in60seconds B.V.;;2;;;;;2
Incredible Crowds B.V.;;1;;;;;1
InterDam Projects B.V.;;;;1;;;1
Inter-Sprint Banden B.V.;;;;1;;;1
IRAN LOKET;;1;;;;;1
Islamitische Stichting Lombok;;1;;;;;1
ISTS Interim support & Transcribing Services B.V.;;1;;;;;1
IZI Solutions B.V.;;2;;;;;2
J.Leerdam-Productie's;;1;;;;;1
Jaap Koster Tuinonderhoud B.V.;;;;1;;;1
Jumbo Supermarkten B.V.;;;;1;;;1
K. ten Have Koffiebranderij en Theepakkerij B.V.;;;;1;;;1
Koelewijn Jacob van Jan Beheer B.V.;;;;1;;;1
Kok Dienstengroep B.V.;;;;1;;;1
Koninklijke Nederlandsche Maatschappij tot Bevordering der Geneeskunst;;1;;;;;1
Kronenburg Promotie & Begeleiding B.V.;;1;;;;;1
KSK Tax & Legal Services;;;;1;;;1
Laheij Gespreksleiding;;1;;;;;1
Lebbinck Sanitair B.V.;;;;1;;;1
Lily Schuimer;;1;;;;;1
Linex Prefab Daksystemen B.V.;;;;1;;;1
Loon- en Verhuurbedrijf Fuhler B.V.;;;;1;;;1
Lydia Janssen;;1;;;;;1
Maatschap Van Veen Advocaten;;;;1;;;1
Maatschap Vhm Advocaten;;;;1;;;1
Machine Constructies Marknesse B.V.;;;;1;;;1
Machinefabriek en Constructiewerkplaats B. Zwijnenburg B.V.;;;;1;;;1
MacroConsult;;;;1;;;1
Mathoerapersad & Hoebba;;;;1;;;1
Migration Policy Institute;;1;;;;;1
Monissen B.V.;1;;;;;;1
Mr. drs. Mirjam L. van Riel Immigratie-;;;;1;;;1
mr. G.L.Gijsbers,advocaat;;;;1;;;1
mr. J.G.M. ter Avest;;;;1;;;1
Mulder Vastgoedonderhoud B.V.;;;;1;;;1
Multi Care Systems B.V.;1;;;;;;1
Mynta Law B.V.;;;;1;;;1
N.V. Empatec;;;;1;;;1
Nassau/Indus Deur B.V.;;;;1;;;1
New Challenges Foundation;;2;;;;;2
New Energy Drukwerk B.V.;;2;;;;;2
NLO Shieldmark B.V.;;1;;;;;1
NRG Nuclear Services B.V.;2;;;;;;2
NULL;;1;;;;;1
Nzume Projects;;1;;;;;1
Ocak Advocatuur;;;;1;;;1
opwegnaardekunst.nl;;1;;;;;1
Over Rood CoÃ¶peratie UA;;4;;;;;4
PAYNED Payrolling B.V.;;;;1;;;1
Plastirol B.V.;;;;1;;;1
Praxis Groep B.V.;;;;1;;;1
Pricewaterhousecoopers N.V.;;2;;;;;2
Pride Holding B.V.;;;;1;;;1
q11.nl;;;;;1;;1
R.H. van der Eijk;;;;1;;;1
Rechtmaat Juristen;;;;1;;;1
Recticel Holding Noord B.V.;;;;1;;;1
Repro-van de Kamp B.V.;1;;;;;;1
Sanchez Advocatenpraktijk;;;;1;;;1
saturn petcare B.V.;;;;1;;;1
Scheepswerf Jac. den Breejen B.V.;;;;1;;;1
Schneider Electric Logistic Centre B.V.;;;;1;;;1
Schoolstrijd;;1;;;;;1
