Leveranciers;7110 - Gebruik en onderhoud gebouw en terreinen;7410 - Verwerven en afstoten;7-Huisvesting
Aalbers (incl. Wico);;4;4
Ajax Chubb Varel;;6;6
Arpalight Projektverlichting;2;3;4
Atelier Kempe Thill;;3;3
BDA Groep (incl. BDA Geveladvies, BDA Dakadvies, BDA Onderbouw en BDA Zonne-energie);;2;2
BRANDT B.V.;2;;2
Copex Air Cargo, Air, Movers&Packers;1;5;5
De Vries Project Design;1;1;1
De Wilde Bouwbureau en Aannemingsbedrijf;;4;4
Facilitylinq;4;2;4
Fugro (incl. EcoPlan, Aerial Mapping, Ingenieursbureau, Inpark);;2;2
Gispen International;2;2;2
Grontmij;;4;4
Gunnebo;;3;3
Hago Electronics;;2;2
Het Sleutelhuis Design;;1;1
Ibis Software (vh Brink Automatisering, KPD Automatisering);;3;3
Issos;;3;3
Jones Lang Lasalle;;2;2
Korporaal Installatietechniek;;2;2
Lyreco Nederland (vh Ahrend Office Products);6;1;6
Maas & Hagoort Lampen;2;;2
Maasmond Groep;;1;1
MEESTERKEUKENS BV;1;;1
Mijksenaar;;1;1
Muurbloem Werken;1;;1
Nauta Security Storage;;2;2
People & Property;;2;2
QC Light Factory;1;;1
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;5;5
Royal Leerdam Crystal;2;;2
Signplan/Modulex;1;;1
Sligro (incl. van Hoeckel);1;;1
Studio Groen + Schild;;2;2
Tak Architektenbureau;;1;1
Technisch Bureau Koppes;;3;3
Thomas Eyck;1;;1
TRANSPOSE;;1;1
VAN BEEM & VAN HAAGEN BV;;1;1
Van Loenen Light Design;1;;1
Van Mourik Vermeulen Architecten;;2;2
Vogelzang & Partners;;1;1
ZWARTWOUD GRONINGEN BV;1;2;2
Eindtotaal;6;7;7
