FID,omschr,doorrijhgt,invent_oms,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
kunstoverweg_kenmerk.1,Viaduct,0,VIAD.,R,8.46000004,001,PKK0000083409,I,,POINT (128974.8852000013 482420.5815999992)
kunstoverweg_kenmerk.2,Viaduct,0,VIAD.,R,8.47599983,001,PKK0000083410,I,,POINT (128976.07800000161 482404.6261)
kunstoverweg_kenmerk.3,Viaduct,0,VIAD.,R,8.48999977,001,PKK0000083411,I,,POINT (128977.01929999888 482390.6581000015)
kunstoverweg_kenmerk.4,Viaduct,0,VIAD.'BREEDLAND'I/D PAPELAAN,R,11.06799984,001,PKK0000083412,I,,POINT (131803.44999999925 482360.68129999936)
kunstoverweg_kenmerk.5,Viaduct,0,VIAD.'BREEDLAND'I/D PAPELAAN,R,11.02400017,001,PKK0000083413,I,,POINT (131732.38560000062 482296.67720000073)
kunstoverweg_kenmerk.6,Viaduct,0,VIAD.,R,15.66600037,001,PKK0000083414,A,,POINT (136113.44310000166 480775.20439999923)
kunstoverweg_kenmerk.7,Viaduct,0,VIAD.,R,15.71500015,001,PKK0000083415,A,,POINT (136159.58190000057 480758.72089999914)
kunstoverweg_kenmerk.8,Viaduct,0,VIAD.,R,15.67800045,001,PKK0000083416,A,,POINT (136125.64919999987 480775.7426000014)
kunstoverweg_kenmerk.9,Viaduct,0,VIAD.,R,15.72999954,001,PKK0000083417,A,,POINT (136174.99799999967 480759.38809999824)
kunstoverweg_kenmerk.10,Viaduct,0,VIAD.'GOOILAND'IN VBW.h ='KP.EEMNES',R,29.35000038,001,PKK0000083421,I,,POINT (144678.0022 471729.61620000005)
kunstoverweg_kenmerk.11,Viaduct,0,VIAD.'PADDESTOEL'IN RW.  27 (L.RIJB) ='KP.EEMNES',R,29.59199905,001,PKK0000083422,I,,POINT (144837.17689999938 471545.97780000046)
kunstoverweg_kenmerk.12,Viaduct,0,VIAD.'PADDESTOEL'IN RW.  27 (R.RIJB) ='KP.EEMNES',R,29.61899948,001,PKK0000083423,I,,POINT (144854.87409999967 471525.5863999985)
kunstoverweg_kenmerk.13,Viaduct,0,VIAD.'DE PADDESTOEL'I/D R.027 L.RB.,R,29.51199913,001,PKK0000083429,I,,POINT (145014.24300000072 471758.000500001)
kunstoverweg_kenmerk.14,Viaduct,0,VIAD.'DE PADDESTOEL'I/D R.027 R.RB.,R,29.53899956,001,PKK0000083430,I,,POINT (145034.38170000166 471740.0650999993)
kunstoverweg_kenmerk.15,Viaduct,0,VIAD. 'EEMLAND' I/D VBW. t,R,29.85199928,001,PKK0000083431,I,,POINT (145007.55260000005 471356.74010000005)
kunstoverweg_kenmerk.16,Viaduct,0,VIAD.IN RW. 28 ='KP.HOEVELAKEN',R,44.59999847,001,PKK0000083434,I,,POINT (157836.23369999975 465292.5654999986)
kunstoverweg_kenmerk.17,Viaduct,0,VIAD.I/D RW001 RANG.BAAN m,R,87.08300018,001,PKK0000083438,I,,POINT (198439.50429999828 466782.72459999844)
kunstoverweg_kenmerk.18,Viaduct,0,VIAD.I/D RW001 R.RIJB.,R,87.10099792,001,PKK0000083439,I,,POINT (198432.09109999985 466800.21880000085)
kunstoverweg_kenmerk.19,Viaduct,0,VIAD.I/D RW001 L.RIJB.,R,87.11599731,001,PKK0000083440,I,,POINT (198426.23860000074 466814.0298999995)
kunstoverweg_kenmerk.20,Viaduct,0,VIAD.I/D RW050 VBW. v,R,87.13999939,001,PKK0000083441,I,,POINT (198416.87460000068 466836.12779999897)
kunstoverweg_kenmerk.21,Viaduct,0,VIAD.IN RW. 50 (R.RIJB.),R,143.20700073,002,PKK0000083600,I,,POINT (158315.68230000138 389231.2996999994)
kunstoverweg_kenmerk.22,Viaduct,0,"VIAD.""VERKEERSPLEIN HOOGGELEGEN""I/D DOM.MARTIN LUTH.KINGLAAN",R,62.23199844,002,PKK0000083700,I,,POINT (133570.53170000017 454584.8502999991)
kunstoverweg_kenmerk.23,Viaduct,0,VIAD.'NIJENBURGERBRUG'I/D NIJENBURGERWEG,R,69.46399689,009,PKK0000084200,I,,POINT (110760.00789999962 513459.35770000145)
kunstoverweg_kenmerk.24,Viaduct,0,VIAD. I/D RW57,R,35.875,015,PKK0000084500,I,,POINT (74175.78440000117 435610.2877999991)
kunstoverweg_kenmerk.25,Viaduct,0,VIAD. I/D RIVIERENLANDLAAN,R,129.8480072,015,PKK0000084600,I,,POINT (157142.79309999943 434654.97289999947)
kunstoverweg_kenmerk.26,Viaduct,0,VIAD.'OUDELANDSE DIJK'I/D OUDELANDSEDIJK,R,34.68500137,059,PKK0000085500,I,,POINT (71417.39840000123 412369.40129999816)
kunstoverweg_kenmerk.27,Brug,0,VIAD.'MOLENKAMP'I/D N327,R,87.74199677,002,PKK0000086600,I,,POINT (142731.15670000017 432242.2280000001)
kunstoverweg_kenmerk.28,Viaduct,0,VIAD.IN RANG.BAAN y ='KP.GORINCHEM',R,95.75,015,PKK0000088400,I,,POINT (124868.24049999937 428668.17130000144)
