FID,soort_bode,globalid,codebpn,disk_beh_o,districtna,objectnaam,objecttype,materiaal,status,beheersreg,contract,opmerking,info1,info2,info3,info4,info5,stichtings,muteerder,mutatie,geobron,hoofdwater,watersyste,watersys_1,subcat,zijde,km,element,beheerder,eigenaar,onderhoude,se_anno_cad_data,gdb_geomattr_data,shape
bodem_vlak.1,12,{21CBDADD-F1A7-4765-9B9C-F1A16B45AE20},"109C.BO.L.1,11",44B-353-01,WNZ Z,Helsluis  (zijde Sliedrechtse Biesbosch),-,Niet bekend, ,Wel in beheer, ,WBR, ,vobo, , , ,-999,joostena,2015-12-14T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,109C,BO,L,1.11,--,RWS,RWS,RWS,,,"POLYGON ((113288.94460000098 424772.31610000134, 113284.34829999879 424771.3797999993, 113284.32979999855 424771.4307000004, 113283.87590000033 424772.6790000014, 113283.65300000086 424773.29199999943, 113282.14200000092 424778.4539999999, 113281.55099999905 424782.15399999917, 113281.07299999893 424784.6429999992, 113280.16000000015 424787.8969999999, 113279.56500000134 424792.26300000027, 113278.61199999973 424796.2320000008, 113278.34499999881 424799.2320000008, 113278.25899999961 424802.05700000003, 113278.39299999923 424803.83900000155, 113278.44200000167 424804.4690000005, 113278.5009999983 424807.0159999989, 113278.28000000119 424808.61199999973, 113279.11199999973 424810.11300000176, 113280.31899999827 424812.01000000164, 113282.33700000122 424812.44900000095, 113282.00800000131 424813.98699999973, 113281.72569999844 424815.23690000176, 113281.72199999914 424815.25250000134, 113283.09250000119 424815.929299999, 113284.22700000182 424811.1090000011, 113282.55900000036 424800.6220000014, 113288.89200000092 424772.54940000176, 113288.91640000045 424772.4411999993, 113288.94460000098 424772.31610000134))"
bodem_vlak.2,13,{3CF56D57-BAE4-4967-B987-0590A91C74A5},"108A.BV.L.971,47",44B-002-01,WNZ Z,Spieringsluis (zijde Nieuwe Merwede),-,Niet bekend, ,Wel in beheer,31104167,"min. diepte -3,5, max. diepte -3,85", ,vobo, , , ,-999,haakj,2015-11-12T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,108A,BV,L,971.47,--,RWS,RWS,RWS,,,"POLYGON ((111857.03299999982 421308.5370000005, 111855.4450000003 421305.68299999833, 111854.95450000092 421304.8022999987, 111854.79439999908 421304.88760000095, 111853.96400000155 421303.3370000012, 111853.43510000035 421302.34420000017, 111853.38830000162 421302.256000001, 111852.27199999988 421303.36300000176, 111846.05700000003 421308.21499999985, 111840.57299999893 421299.7019999996, 111840.38599999994 421299.23600000143, 111848.24199999869 421296.88699999824, 111848.8350000009 421296.7100000009, 111848.86800000072 421296.70800000057, 111848.90500000119 421296.70699999854, 111848.94999999925 421296.70899999887, 111848.97800000012 421296.72199999914, 111849.00699999928 421296.73800000176, 111849.03599999845 421296.75400000066, 111849.06700000167 421296.7729999982, 111849.0940000005 421296.813000001, 111849.11699999869 421296.8520000018, 111849.13300000131 421296.881000001, 111850.46400000155 421296.53880000114, 111849.81219999865 421295.2857999988, 111849.2153000012 421294.13870000094, 111849.37990000099 421294.0496999994, 111848.31980000064 421291.9640999995, 111847.04349999875 421289.4578000009, 111846.86199999973 421289.1400000006, 111845.61699999869 421289.55700000003, 111843.95399999991 421290.11499999836, 111839.73699999973 421291.3020000011, 111837.36300000176 421291.68400000036, 111834.98900000006 421292.06700000167, 111830.22199999914 421292.5370000005, 111828.94399999827 421292.6889999993, 111828.16000000015 421292.7650000006, 111826.94799999893 421292.8830000013, 111826.25600000098 421292.94999999925, 111825.02199999988 421293.0689999983, 111824.81799999997 421293.08900000155, 111815.23999999836 421294.6070000008, 111807.64999999851 421296.23800000176, 111798.73999999836 421298.4070000015, 111793.60599999875 421301.061999999, 111790.21979999915 421302.7941999994, 111790.11630000174 421302.8471000008, 111790.09840000048 421302.8563000001, 111818.41739999875 421341.74219999835, 111818.42500000075 421341.7525999993, 111818.4354000017 421341.74500000104, 111818.44790000096 421341.73589999974, 111819.19200000167 421341.19000000134, 111824.00400000066 421336.6559999995, 111827.71999999881 421333.65399999917, 111832.46299999952 421329.51900000125, 111837.68699999899 421324.8049999997, 111841.82999999821 421321.3029999994, 111846 421317.54100000113, 111849.23099999875 421314.6330000013, 111851.74500000104 421312.2899999991, 111853.87000000104 421310.4299999997, 111854.89400000125 421309.70600000024, 111857.03299999982 421308.5370000005))"
bodem_vlak.3,13,{ADC938EA-491E-479A-8F86-D76583AAC267},"108A.BV.-.962,31",44B-001-01,WNZ Z,Biesboschsluis (zijde Nieuwe Merwede),-,Niet bekend,Niet bekend,Wel in beheer,31104167,"min. diepte -3,7, max. diepte -4,10", ,vobo, , , ,0,Kuifj,2013-02-08T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,108A,BV,-,"962,31",--,RWS,RWS,RWS,,,"POLYGON ((119812.58399999887 424253.6970000006, 119812.60599999875 424252.3449999988, 119812.41699999943 424252.5210000016, 119808.70699999854 424252.6169999987, 119808.6259999983 424251.27600000054, 119807.39799999818 424230.9239999987, 119807.43800000101 424228.73800000176, 119807.71999999881 424213.4770000018, 119808.42500000075 424207.9620000012, 119808.83700000122 424206.8189999983, 119809.12000000104 424206.0329999998, 119809.01399999857 424204.4120000005, 119808.85500000045 424201.9629999995, 119808.95100000128 424191.89400000125, 119809.19099999964 424179.48099999875, 119808.7899999991 424171.9129999988, 119807.81599999964 424165.2340000011, 119806.46700000018 424159.93499999866, 119802.8740000017 424149.04100000113, 119797.90399999917 424135.9699999988, 119796.26999999955 424135.95699999854, 119796.00699999928 424135.9539999999, 119795.50800000131 424135.95600000024, 119787.57999999821 424135.8839999996, 119785.78799999878 424135.8680000007, 119785.78599999845 424134.3280000016, 119785.78000000119 424130.55999999866, 119785.77899999917 424128.7100000009, 119786.62299999967 424128.62000000104, 119786.64299999923 424124.3830000013, 119782.63399999961 424125.9510000013, 119777.95600000024 424124.23000000045, 119777.90300000086 424128.4820000008, 119778.60799999908 424128.4780000001, 119778.58700000122 424134.1259999983, 119778.58799999952 424134.2280000001, 119778.58700000122 424134.33100000024, 119778.5150000006 424135.0480000004, 119778.43299999833 424135.8539999984, 119777.01700000092 424135.8280000016, 119768.67599999905 424135.67500000075, 119766.72700000182 424135.6400000006, 119763.97399999946 424141.58999999985, 119759.96299999952 424151.2190000005, 119756.52499999851 424163.3570000008, 119755.72700000182 424168.47399999946, 119755.55799999833 424171.3379999995, 119754.26700000092 424189.7479999997, 119754.83199999854 424210.8530000001, 119754.79600000009 424224.1629999988, 119754.0859999992 424231.6779999994, 119752.69299999997 424236.91600000113, 119753.49199999869 424247.5379999988, 119754.68800000101 424264.438000001, 119754.24700000137 424274.506000001, 119754.30700000003 424278.0229999982, 119754.41800000146 424287.9539999999, 119754.34299999848 424290.16099999845, 119753.73200000077 424293.94000000134, 119752.17100000009 424302.9129999988, 119751.20199999958 424304.2899999991, 119750.92669999972 424304.4699999988, 119784.49170000106 424305.8541000001, 119811.65410000086 424306.9741999991, 119811.66820000112 424306.1937999986, 119811.70769999921 424303.97199999914, 119811.92300000042 424291.7650000006, 119812.44099999964 424262.45699999854, 119812.58399999887 424253.6970000006))"
bodem_vlak.4,13,{07CBED61-3319-4CDC-8F0C-75633A93E23C},"109C.BV.-.968,21",44B-353-01,WNZ Z,Helsluis (sluis),-,Niet bekend,Niet bekend,Wel in beheer, , , ,vobo, , , ,0,joostena,2011-08-03T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,109C,BV,-,968.21,--,RWS,RWS,RWS,,,"POLYGON ((113279.2109999992 424857.90399999917, 113279.38500000164 424857.21599999815, 113279.60599999875 424856.34099999815, 113279.62999999896 424856.2490000017, 113279.64149999991 424856.25189999864, 113281.69099999964 424856.76999999955, 113282.6240000017 424856.1860000007, 113283.03020000085 424855.93299999833, 113283.40260000154 424855.7008999996, 113283.62049999833 424855.565200001, 113283.64799999818 424855.5480000004, 113285.05799999833 424854.4679999985, 113285.07420000061 424854.45439999923, 113286.5709999986 424853.1950000003, 113287.69099999964 424851.96599999815, 113288.73299999908 424850.54399999976, 113290.01999999955 424848.3020000011, 113290.95600000024 424845.9670000002, 113291.61600000039 424843.3289999999, 113292.7025000006 424838.7096000016, 113292.88300000131 424837.94220000133, 113292.89200000092 424837.90399999917, 113293.3049999997 424835.94000000134, 113293.77899999917 424832.62099999934, 113293.86899999902 424829.9459999986, 113293.80299999937 424826.7899999991, 113293.54399999976 424824.9600000009, 113293.24500000104 424823.7109999992, 113292.48299999908 424822.118999999, 113291.76000000164 424820.26999999955, 113290.74170000106 424820.04830000177, 113288.56300000101 424819.57400000095, 113288.56590000167 424819.56060000136, 113288.69379999861 424818.97399999946, 113289.04399999976 424817.3669999987, 113289.09329999983 424816.7941999994, 113289.09409999847 424816.7846000008, 113289.10170000046 424816.69579999894, 113288.78420000151 424816.7131000012, 113288.76150000095 424816.7142999992, 113288.51460000128 424816.72780000046, 113285.08729999885 424816.91429999843, 113283.09250000119 424815.929299999, 113281.72199999914 424815.25250000134, 113281.66019999981 424815.22199999914, 113281.36279999837 424815.1543999985, 113281.35500000045 424815.1805999987, 113281.2650000006 424815.4809000008, 113281.20800000057 424815.6710000001, 113280.7575000003 424817.7349999994, 113280.75200000033 424817.76000000164, 113277.97819999978 424817.1565999985, 113277.65040000156 424817.0852999985, 113277.6259999983 424817.0799999982, 113276.87750000134 424817.5287999995, 113276.0700000003 424818.01300000027, 113275.48099999875 424818.4919999987, 113274.12700000033 424819.0240000002, 113273.19799999893 424819.32499999925, 113272.0859999992 424820.3429999985, 113271.23099999875 424821.5529999994, 113270.74799999967 424822.5689999983, 113270.54100000113 424823.493999999, 113268.40639999881 424833.06069999933, 113268.17660000175 424834.0903999992, 113267.48299999908 424837.19900000095, 113265.5549999997 424846.6950000003, 113265.71299999952 424847.5549999997, 113266.38699999824 424848.4290000014, 113267.32699999958 424849.1279999986, 113268.08300000057 424849.9699999988, 113268.56700000167 424850.80099999905, 113268.57250000164 424850.8101999983, 113269.37999999896 424852.16899999976, 113270.61899999902 424854.0879999995, 113272.05200000107 424854.50499999896, 113272.68899999931 424854.6889999993, 113272.64299999923 424854.9129999988, 113272.50400000066 424855.59800000116, 113272.32400000095 424856.5, 113272.29600000009 424856.63699999824, 113272.11529999971 424857.5337000005, 113271.65879999846 424857.4017000012, 113271.64400000125 424857.3979999982, 113271.49799999967 424857.8960000016, 113271.52089999989 424857.9070999995, 113271.54899999872 424857.9210000001, 113272.82800000161 424858.5320000015, 113274.2809999995 424859.2569999993, 113275.05200000107 424859.6429999992, 113277.98999999836 424859.7199999988, 113279.21400000155 424859.7525999993, 113279.23299999908 424859.7529999986, 113279.23690000176 424859.7377000004, 113279.35660000145 424859.2701999992, 113279.3590000011 424859.26099999994, 113279.08469999954 424859.19260000065, 113278.89799999818 424859.1460000016, 113279.1259999983 424858.2430000007, 113279.2109999992 424857.90399999917))"
bodem_vlak.5,12,{0D676DD6-B7E9-41A4-ADAD-6E8768B7A038},"109C.BO.-.1,1",44B-003-01,WNZ Z,Ottersluis (sluis),-,Niet bekend,Niet bekend,Wel in beheer, , , ,vobo, , , ,0,Kuifj,2013-05-08T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,109C,BO,-,1.1,--,RWS,RWS,RWS,,,"POLYGON ((111895.29600000009 422880.55099999905, 111897.23470000178 422877.92760000005, 111897.54839999974 422878.0661999993, 111898.47430000082 422878.4754999988, 111898.4849999994 422878.4549999982, 111899.97030000016 422875.62249999866, 111902.72190000117 422877.05160000175, 111902.72709999979 422877.054299999, 111902.95630000159 422876.82510000095, 111903.38960000128 422876.39180000126, 111904.28409999982 422875.8817999996, 111904.68219999969 422875.65399999917, 111904.9541000016 422875.52320000157, 111906.97989999875 422874.5432999991, 111907.93919999897 422873.9525000006, 111908.7322999984 422873.46400000155, 111909.5978000015 422872.0855999999, 111913.26289999858 422865.0760000013, 111913.27290000021 422865.05380000174, 111915.86169999838 422859.3139999993, 111915.8702000007 422859.29520000145, 111916.0449000001 422857.57449999824, 111916.07220000029 422855.2329000011, 111916.07319999859 422855.14919999987, 111916.88529999927 422849.58210000023, 111917.09120000154 422848.79949999973, 111917.36609999835 422847.754900001, 111917.93250000104 422846.46189999953, 111916.92029999942 422845.9342, 111914.18189999834 422844.5064999983, 111914.18439999968 422844.50129999965, 111914.80829999968 422843.19099999964, 111914.92990000173 422842.93569999933, 111914.93939999864 422842.9400999993, 111915.39999999851 422843.19220000133, 111915.40529999882 422843.1832000017, 111915.6427000016 422842.7800000012, 111915.14070000127 422842.31439999864, 111912.52430000156 422839.8936999999, 111908.84059999883 422839.03489999846, 111908.43659999967 422838.94139999896, 111908.41270000115 422838.93569999933, 111908.17960000038 422839.3632000014, 111908.18439999968 422839.36569999903, 111908.67889999971 422839.623300001, 111907.78130000085 422841.31159999967, 111907.28889999911 422841.0384999998, 111905.23820000142 422839.9010999985, 111905.19799999893 422839.92859999835, 111900.2723999992 422843.30319999903, 111899.63899999857 422843.7371999994, 111899.36180000007 422843.9310999997, 111899.31789999828 422843.9615000002, 111899.20600000024 422844.0450000018, 111898.80429999903 422844.3211000003, 111897.04250000045 422845.55370000005, 111896.19200000167 422846.1169999987, 111896.18780000135 422846.1202000007, 111895.44990000129 422846.7093000002, 111894.71440000087 422847.5278000012, 111893.95540000126 422848.8011999987, 111891.54720000178 422852.86349999905, 111891.52959999815 422852.89510000125, 111888.57299999893 422858.2950000018, 111886.63540000096 422861.6794999987, 111886.64070000127 422861.7868999988, 111886.70399999991 422862.7740000002, 111886.96599999815 422863.4530000016, 111887.07649999857 422863.76509999856, 111887.68200000003 422865.35379999876, 111887.71889999881 422865.57939999923, 111887.83920000121 422866.31430000067, 111887.97049999982 422867.1169000007, 111887.91710000113 422869.31810000166, 111887.97230000049 422869.3484000005, 111890.33199999854 422870.5789999999, 111890.3275000006 422870.5879999995, 111889.8825000003 422871.4712000005, 111888.91079999879 422873.39990000054, 111889.81909999996 422873.92350000143, 111889.81300000101 422873.94099999964, 111889.69420000166 422874.28449999914, 111889.56289999932 422874.66380000114, 111889.2575000003 422875.5463999994, 111889.31670000032 422875.57400000095, 111889.85280000046 422875.8242000006, 111889.23900000006 422876.9829999991, 111890.29399999976 422877.27899999917, 111892.69099999964 422877.95699999854, 111892.74100000039 422877.97199999914, 111893.29100000113 422878.55099999905, 111895.07699999958 422880.33300000057, 111895.08100000024 422880.3370000012, 111895.16079999879 422880.41640000045, 111895.29600000009 422880.55099999905))"
bodem_vlak.6,12,{FCA29834-0DA5-4941-AECB-BB764853AF69},"109C.BO.L.1,1",44B-003-01,WNZ Z,Ottersluis (zijde Sliedrechtse Biesbosch),-,Niet bekend, ,Wel in beheer, ,WBR, ,vobo, , , ,-999,Kuifj,2015-12-14T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,109C,BO,L,"1,1",--,RWS,RWS,RWS,,,"MULTIPOLYGON (((111895.38179999962 422914.3253000006, 111895.20329999924 422913.98110000044, 111895.76799999923 422915.53400000185, 111899.55900000036 422925.95699999854, 111918.02070000023 422939.492899999, 111918.13599999994 422939.5775000006, 111918.60269999877 422939.91970000044, 111918.63129999861 422939.9406999983, 111920.35240000114 422940.750599999, 111920.95549999923 422941.03440000117, 111920.96770000085 422941.0401000008, 111922.11100000143 422939.2109000012, 111922.11639999971 422939.20219999924, 111922.33150000125 422938.8605999984, 111922.35289999843 422938.8238000013, 111921.82669999823 422938.49489999935, 111919.11699999869 422936.80099999905, 111914.65430000052 422933.6726000011, 111913.84490000084 422933.1052000001, 111907.80900000036 422928.8740000017, 111902.91200000048 422924.55999999866, 111897.66600000113 422918.26399999857, 111895.38179999962 422914.3253000006)), ((111894.96570000052 422889.73640000075, 111895.80000000075 422883.98800000176, 111895.81089999899 422883.9913999997, 111895.81170000136 422883.9857000001, 111896.61459999904 422884.2393000014, 111896.61600000039 422884.22850000113, 111896.62959999964 422884.0694999993, 111896.55260000005 422884.0289000012, 111894.6202000007 422882.9835000001, 111894.49300000072 422882.7170000002, 111894.34099999815 422882.3299999982, 111894.34870000184 422882.3156000003, 111894.34580000117 422882.3084000014, 111895.28310000151 422880.56060000136, 111895.16079999879 422880.41640000045, 111895.08100000024 422880.3370000012, 111894.64519999921 422881.15879999846, 111893.29870000109 422883.7329999991, 111892.0971999988 422894.14820000157, 111891.10799999908 422902.7190000005, 111893.065200001 422908.1009999998, 111892.68409999833 422905.8616000004, 111892.65199999884 422905.6730000004, 111894.05700000003 422895.9946999997, 111894.96570000052 422889.73640000075)))"
bodem_vlak.7,13,{0A3818B7-9407-49F1-A841-63AF4BC778E7},"108A.BV.-.970,41",44B-003-01,WNZ Z,Ottersluis (zijde Nieuwe Merwede),-,Niet bekend, ,Wel in beheer,31104167,"min. diepte -2,3, max. diepte -2,55", ,vobo, , , ,-999,Kuifj,2015-12-14T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,108A,BV,-,"970,41",--,RWS,RWS,RWS,,,"POLYGON ((112026.74469999969 422738.7633000016, 112004.39279999956 422690.1031999998, 112004.36989999935 422690.1361999996, 112004.3537000008 422690.1596000008, 112004.34789999947 422690.1680999994, 112004.32290000096 422690.20439999923, 112004.2520999983 422690.3071000017, 111912.5764000006 422823.37370000035, 111912.56100000069 422823.3960000016, 111912.82400000095 422833.4129999988, 111910.53220000118 422837.8812999986, 111909.82400000095 422839.26199999824, 111912.5150000006 422839.88500000164, 111912.52430000156 422839.8936999999, 111915.14070000127 422842.31439999864, 111917.10700000077 422838.68499999866, 111918.23200000077 422836.6099999994, 111918.60799999908 422835.91800000146, 111932.12099999934 422826.9210000001, 111944.18899999931 422817.05099999905, 111959.40199999884 422800.01099999994, 111998.01999999955 422755.2969999984, 112026.65080000088 422738.8172999993, 112026.70179999992 422738.7879999988, 112026.72839999944 422738.77270000055, 112026.74469999969 422738.7633000016))"
bodem_vlak.8,13,{59295BDC-9208-47AA-BFD8-C9B8186DC272},"101E.BV.-.968,211",44B-353-01,WNZ Z,Helsluis (zijde Beneden Merwede),-,Niet bekend, ,Wel in beheer,31104167,"min. diepte -2,3, max. diepte -2,55", ,vobo, , , ,-999,haakj,2015-12-14T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,101E,BV,-,968.211,--,RWS,RWS,RWS,,,"POLYGON ((113274.2809999995 424859.2569999993, 113272.82800000161 424858.5320000015, 113272.66299999878 424859.26399999857, 113272.07299999893 424861.8770000003, 113260.87099999934 424899.2960000001, 113260.70439999923 424900.2659999989, 113272.35590000078 424901.5417000018, 113277.21389999986 424902.07360000163, 113277.2137000002 424902.06269999966, 113277.21350000054 424902.0337000005, 113277.0009999983 424878.0020000003, 113277.79300000146 424864.26000000164, 113277.9600000009 424860.40900000185, 113277.98999999836 424859.7199999988, 113275.05200000107 424859.6429999992, 113274.2809999995 424859.2569999993))"
bodem_vlak.9,12,{82E4F232-86D0-4461-AAEE-96E729C6BEFC},"101E.BO.L.968,211",44B-353-01,WNZ Z,Helsluis (zijde Beneden Merwede),-,Niet bekend, ,Wel in beheer, ,WBR, ,vobo, , , ,-999,haakj,2015-12-14T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,101E,BO,L,"968,211",--,RWS,RWS,RWS,,,"POLYGON ((113272.07299999893 424861.8770000003, 113272.66299999878 424859.26399999857, 113272.82800000161 424858.5320000015, 113271.54899999872 424857.9210000001, 113271.52089999989 424857.9070999995, 113271.49799999967 424857.8960000016, 113271.19299999997 424858.9470000006, 113270.90100000054 424859.94900000095, 113267.95600000024 424859.0929999985, 113266.47300000116 424860.1629999988, 113266.40700000152 424860.2109999992, 113266.3740000017 424860.2340000011, 113263.50200000033 424863.5179999992, 113262.30000000075 424866.0940000005, 113260.23900000006 424874.5089999996, 113258.69299999997 424881.37900000066, 113257.62799999863 424886.4970000014, 113256.66699999943 424891.7179999985, 113255.70499999821 424897.55700000003, 113255.2292000018 424899.38800000027, 113255.15949999914 424899.65680000186, 113260.70160000026 424900.28240000084, 113260.70439999923 424900.2659999989, 113260.87099999934 424899.2960000001, 113272.07299999893 424861.8770000003))"
bodem_vlak.10,12,{2E557B51-CA69-4DD6-92A5-49AF53FBB76E},"101E.BO.R.968,211",44B-353-01,WNZ Z,Helsluis (zijde Beneden Merwede),-,Niet bekend, ,Wel in beheer, ,WBR, ,vobo, , , ,-999,haakj,2015-12-14T00:00:00,Niet bekend,Rijn-Maasmonding,Middendeel,101E,BO,R,968.211,--,RWS,RWS,RWS,,,"POLYGON ((113282.60599999875 424864.2740000002, 113282.05999999866 424862.52699999884, 113278.75899999961 424861.6959999986, 113278.76700000092 424861.65300000086, 113279.01700000092 424860.63899999857, 113279.23299999908 424859.7529999986, 113279.21400000155 424859.7525999993, 113277.98999999836 424859.7199999988, 113277.9600000009 424860.40900000185, 113277.79300000146 424864.26000000164, 113277.0009999983 424878.0020000003, 113277.21350000054 424902.0337000005, 113281.44920000061 424902.4252000004, 113281.5009999983 424899.68299999833, 113281.98000000045 424894.188000001, 113282.01900000125 424893.55999999866, 113282.06399999931 424892.813000001, 113282.10000000149 424892.1620000005, 113282.24100000039 424890.2410000004, 113282.36100000143 424888.55000000075, 113282.51199999824 424886.48099999875, 113282.59699999914 424885.5929999985, 113283.33700000122 424877.9149999991, 113283.51799999923 424875.51000000164, 113283.81300000101 424871.6400000006, 113283.6559999995 424868.52699999884, 113283.29100000113 424866.4930000007, 113282.60599999875 424864.2740000002))"
