FID,area,perimeter,strandpa_1,strandpa_2,gebiednu_3,gebiedna_4,cpsunique,se_anno_cad_data,gdb_geomattr_data,shape
strandpalen_punt.1,,0,118,118,Pl.13,Strandpaal,Pl.13-1,,,POINT (614848.6821999997 5878704.5825)
strandpalen_punt.2,,0,119,119,Pl.12,Strandpaal,Pl.12,,,POINT (614674.4960000003 5877531.590299999)
strandpalen_punt.3,,0,120,120,Pl.11,Strandpaal,Pl.11-5,,,POINT (614573.4963999996 5876557.379000001)
strandpalen_punt.4,,0,121,121,Pl.10,Strandpaal,Pl.10-1,,,POINT (614662.1201999998 5875540.3857)
strandpalen_punt.5,,0,122,122,Pl.2,Strandpaal,Pl.2-2,,,POINT (617469.4749999996 5874887.608899999)
strandpalen_punt.6,,0,123,123,Pl.9,Strandpaal,Pl.9,,,POINT (614907.4929 5874641.892100001)
strandpalen_punt.7,,0,124,124,Pl.1,Strandpaal,Pl.1,,,POINT (618395.2177999998 5874548.6116)
strandpalen_punt.8,,0,125,125,Pl.8,Strandpaal,Pl.8-4,,,POINT (615155.8662 5873677.1186999995)
strandpalen_punt.9,,0,126,126,Pl.3,Strandpaal,Pl.3-4,,,POINT (618931.1518000001 5873386.1197)
strandpalen_punt.10,,0,127,127,Pl.4,Strandpaal,Pl.4,,,POINT (617967.4082000004 5873217.901900001)
strandpalen_punt.11,,0,128,128,Pl.5,Strandpaal,Pl.5,,,POINT (617797.6601 5873156.121200001)
strandpalen_punt.12,,0,129,129,Pl.7,Strandpaal,Pl.7-4,,,POINT (615815.1733999997 5872822.1239)
strandpalen_punt.13,,0,130,130,Pl.6,Strandpaal,Pl.6-4,,,POINT (616880.7916000001 5872775.905200001)
strandpalen_punt.14,,0,131,131,Pl.0,Strandpaal,Pl.0,,,POINT (615586.2995999996 5868455.6559)
strandpalen_punt.15,,0,132,132,Pl.1,Strandpaal,Pl.1-4,,,POINT (615331.2379999999 5867487.163000001)
strandpalen_punt.16,,0,133,133,Pl.2,Strandpaal,Pl.2-3,,,POINT (615182.0521 5866505.9509)
strandpalen_punt.17,,0,134,134,Pl.3,Strandpaal,Pl.3-1,,,POINT (615208.7386999996 5865506.1768)
strandpalen_punt.18,,0,135,135,Pl.4,Strandpaal,Pl.4-2,,,POINT (615215.1134000001 5864503.465299999)
strandpalen_punt.19,,0,136,136,Pl.5,Strandpaal,Pl.5-1,,,POINT (615220.9254000001 5863498.691)
strandpalen_punt.20,,0,137,137,Pl.6,Strandpaal,Pl.6,,,POINT (615186.9879999999 5862495.979499999)
strandpalen_punt.21,,0,138,138,Pl.7,Strandpaal,Pl.7-1,,,POINT (615115.1135999998 5861492.2064)
strandpalen_punt.22,,0,139,139,Pl.8,Strandpaal,Pl.8-5,,,POINT (614989.5513000004 5860498.2129999995)
strandpalen_punt.23,,0,140,140,Pl.9,Strandpaal,Pl.9-1,,,POINT (614823.9276999999 5859503.501499999)
strandpalen_punt.24,,0,141,141,Pl.10,Strandpaal,Pl.10,,,POINT (614599.6787 5858522.2272)
strandpalen_punt.25,,0,142,142,Pl.11,Strandpaal,Pl.11-3,,,POINT (614318.1184 5857554.0154)
strandpalen_punt.26,,0,143,143,Pl.12,Strandpaal,Pl.12-2,,,POINT (614145.1820999999 5856569.022299999)
strandpalen_punt.27,,0,144,144,Pl.13,Strandpaal,Pl.13-3,,,POINT (613911.8705000002 5855596.029200001)
strandpalen_punt.28,,0,145,145,Pl.14,Strandpaal,Pl.14,,,POINT (613659.8096000003 5854620.255999999)
strandpalen_punt.29,,0,146,146,Pl.15,Strandpaal,Pl.15,,,POINT (613451.6864 5853644.043400001)
strandpalen_punt.30,,0,147,147,Pl.16,Strandpaal,Pl.16-3,,,POINT (613261.6250999998 5852659.5513)
strandpalen_punt.31,,0,148,148,Pl.17,Strandpaal,Pl.17-1,,,POINT (613043.1260000002 5851676.5578000005)
strandpalen_punt.32,,0,149,149,Pl.18,Strandpaal,Pl.18-1,,,POINT (612925.7520000003 5850692.5649999995)
strandpalen_punt.33,,0,150,150,Pl.19,Strandpaal,Pl.19-1,,,POINT (612443.8797000004 5849752.2917)
strandpalen_punt.34,,0,151,151,Pl.20,Strandpaal,Pl.20,,,POINT (612159.2562999995 5848790.2984)
strandpalen_punt.35,,0,152,152,GEEN PALEN,HONDSB. ZEEWERING,GEEN PALEN,,,POINT (611201.7344000004 5846012.1863)
strandpalen_punt.36,,0,153,153,Pl.21,Strandpaal,Pl.21-2,,,POINT (611735.4467000002 5847918.8048)
strandpalen_punt.37,,0,154,154,Pl.26,Strandpaal,Pl.26-1,,,POINT (610743.9528999999 5842932.8409)
strandpalen_punt.38,,0,155,155,Pl.27,Strandpaal,Pl.27,,,POINT (610692.7032000003 5841984.3478999995)
strandpalen_punt.39,,0,156,156,Pl.28,Strandpaal,Pl.28,,,POINT (610613.3285999997 5840978.855599999)
