LocationReferenceType,LocationReference,StartDateLocation,EndDateLocation,Longitude,Latitude
I-O,41,20141001000000,,0.000000,0.000000
I-O,1470,20170725113735,,6.086261,52.514360
I-O,70,20141101000000,,6.511524,53.197935
I-O,137,20141101000000,,3.614647,51.495676
I-O,146,20141101000000,,4.291962,51.493552
I-O,103,20141101000000,,5.554909,52.029452
I-O,1471,20170731104156,,6.015765,52.208285
I-O,131,20141101000000,,3.609894,51.496461
I-O,86,20141101000000,,5.670536,52.041232
I-O,2,20141101000000,,5.707135,51.252438
VKP,19016,19930224000000,20181204000000,4.285351,52.111081
I-O,107,20141101000000,,5.162979,52.278248
I-O,139,20141101000000,,3.829942,51.337382
I-O,76,20141101000000,,6.479616,52.728219
VKP,18999,20190528000000,20190906000000,4.285794,52.091868
I-O,140,20141101000000,,3.823349,51.339426
I-O,193,20141101000000,,4.488291,51.917041
VKP,16842,20200801000000,20210923000000,6.585304,53.207192
I-O,5,20141101000000,,5.707907,51.252098
I-O,189,20141101000000,,4.436417,51.926828
I-O,25,20141101000000,,5.906031,51.979495
I-O,142,20141101000000,,3.394620,51.301931
I-O,134,20141101000000,,3.623171,51.496925
VKP,19018,20140303000000,20200310000000,4.289880,52.112006
I-O,126,20141101000000,,4.330679,51.849336
I-O,21,20141101000000,,5.864618,51.843891
I-O,184,20141101000000,,4.403608,52.062768
I-O,201,20141101000000,,4.628983,52.381603
VKP,16662,20200801000000,20210923000000,6.560622,53.204304
I-O,83,20141101000000,,6.289281,51.967168
I-O,91,20141101000000,,5.621518,52.349953
I-O,18,20141101000000,,5.870728,51.846311
I-O,9,20141101000000,,5.857370,51.842178
I-O,74,20141101000000,,6.585617,53.205705
I-O,1453,20170623112321,,6.182378,52.235148
I-O,85,20141101000000,,5.672159,52.048515
I-O,236,20141101000000,,4.775440,51.584263
I-O,1447,20170623092045,,6.152400,52.256494
VKP,19000,20190528000000,20190906000000,4.281926,52.087867
I-O,158,20141101000000,,6.570688,53.219685
VKP,19005,20190528000000,20190906000000,4.283951,52.087103
I-O,136,20141101000000,,3.623090,51.497008
I-O,198,20141101000000,,4.638484,52.394472
I-O,116,20141101000000,,4.710233,52.017343
I-O,168,20141101000000,,4.830819,52.661951
I-O,145,20141101000000,,4.285022,51.492732
VKP,19002,20190528000000,20190906000000,4.292883,52.089178
VKP,19014,19960916000000,20200310000000,4.285922,52.113999
I-O,119,20141101000000,,4.497982,52.159680
I-O,1452,20170623101153,,6.312317,52.243874
I-O,108,20141101000000,,5.160559,52.276446
I-O,77,20141101000000,,6.480265,52.727914
VKP,6523,19971030000000,20210923000000,4.310056,52.091906
I-O,203,20141101000000,,4.638824,52.386569
I-O,194,20141101000000,,4.474171,51.905631
VKP,16936,20200801000000,20210923000000,6.604814,53.173635
I-O,97,20141101000000,,5.663527,51.967730
I-O,187,20141101000000,,4.601408,51.870136
I-O,130,20141101000000,,4.328978,51.851073
I-O,109,20141101000000,,5.162641,52.270902
I-O,127,20141101000000,,4.332393,51.850839
I-O,80,20141101000000,,6.277013,52.385246
I-O,69,20141101000000,,6.591722,53.169981
I-O,1046,20170622134213,,6.795440,52.263644
I-O,154,20141101000000,,6.560587,52.997533
I-O,237,20141101000000,,4.770443,51.590999
I-O,1455,20170623155322,,4.745992,52.637344
I-O,95,20141101000000,,5.658726,51.964428
I-O,71,20141101000000,,6.593342,53.238368
I-O,191,20141101000000,,4.476827,51.918479
I-O,1459,20170623160448,,4.745139,52.634197
I-O,10,20141101000000,,5.857902,51.842410
I-O,113,20141101000000,,5.169711,52.264065
I-O,200,20141101000000,,4.636711,52.377101
I-O,234,20141101000000,,4.772406,51.587340
I-O,141,20141101000000,,3.827468,51.333056
I-O,87,20141101000000,,5.670061,52.041295
I-O,101,20141101000000,,5.170897,52.033678
