PUIC,NAAM,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,PGO_GEBIED_NAAM,TECHNIEKVELD,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,BEHEERDER,X,Y,LATITUDE,LONGITUDE,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,LEVENSCYCLUS_STATUS,REF_BVL_DRAAGCONSTRUCTIE_NAAM,REF_BVL_DRAAGCONSTRUCTIE_PUIC,PGO_GEBIED_NR,PCA,OBJECTID,OPC_GEBIED_NAAM,OPC_GEBIED_NR
c5125dff-2845-49c4-aa3c-00ec16e389bc,89/14,013,,13,013__,Herfte Aansl. - Meppel,Zl-Lw,Zwolle - Leeuwarden ,89.424118,"89,424118",-4.720244,"-4,720244",Drenthe,BVL,Noord-Oost,NO,ProRail,212175.381,512648.375,52.59839091,6.23109253,283,0,Onbekend,,265d59cc-1f7b-43dc-a74e-816203dc4fd8,440,ASSET Rail,1,Overijssel,34
e92a71ad-c465-4d1e-8e77-2766cb95e490,15/20,541,b,541,541_b,Weesp Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,15.523974,"15,523974",5.193986,"5,193986",Amstelsepoort,BVL,Randstad Noord,RN,ProRail,133609.783,479257.025,52.3008722,5.073612,283,0,Onbekend,,38a30901-47e0-4bc0-9f10-e8fd88571b6a,230,Strukton Rail,2,Weesp,11
2ab8a41f-7fdb-4910-a36a-02275dd554e8,15/19,541,b,541,541_b,Weesp Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,15.524008,"15,524008",-4.849308,"-4,849308",Amstelsepoort,BVL,Randstad Noord,RN,ProRail,133613.832,479266.216,52.30095496,5.07367078,283,0,Onbekend,,38a30901-47e0-4bc0-9f10-e8fd88571b6a,230,Strukton Rail,3,Weesp,11
3122c8b9-63ba-4aba-a59c-ad05ef469c67,78,614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,48.081218,"48,081218",-22.407954,"-22,407954",Betuwe,BVL,Zuid,Z,ProRail,148515.793,411143.002,51.68903177,5.29342811,283,0,Onbekend,,1171cd12-1b1e-4514-a54e-f2fa2351ca2b,320,Strukton Rail,4,Den Bosch,21
071ec4df-5942-473e-93f4-a3289f169eaf,79,614,c,614,614_c,s Hertogenbosch,Ut-Btl,Utrecht Centraal - Boxtel ,48.081273,"48,081273",-5.572044,"-5,572044",Betuwe,BVL,Zuid,Z,ProRail,148499.477,411147.154,51.6890689,5.29319208,283,0,Onbekend,,1171cd12-1b1e-4514-a54e-f2fa2351ca2b,320,Strukton Rail,5,Den Bosch,21
668da991-b9db-478b-b119-71a5cd8d4a7c,42/1,055,,55,055__,Blerick - Eindhoven,Vl-Ehv,Venlo - Eindhoven ,42.017099,"42,017099",4.814542,"4,814542",De Peel,BVL,Zuid,Z,ProRail,170665.66,386066.826,51.46345166,5.61263036,283,0,Onbekend,,d7142fac-3656-4bd2-bdc2-a48af7d71b24,300,ASSET Rail,6,Eindhoven,24
e453f3e9-938a-4d1a-9003-a8ad1a64c69c,54/14,127,a,127,127_a,Roosendaal - Vlissingen,Rsd-Vs,Roosendaal - Vlissingen ,54.431249,"54,431249",4.875834,"4,875834",Zeeland,BVL,Zuid,Z,ProRail,45817.042,391277.699,51.49992273,3.81470856,283,0,Onbekend,,9734519d-c88e-4d69-9f62-76e2a03b5f15,310,Strukton Rail,7,Goes,18
ca7eafcd-6349-4a08-b7cb-8598da9f098c,14/9,127,a,127,127_a,Roosendaal - Vlissingen,Rsd-Vs,Roosendaal - Vlissingen ,14.334618,"14,334618",-5.102215,"-5,102215",Zeeland,BVL,Zuid,Z,ProRail,79205.946,388300.933,51.4786538,4.29612639,283,0,Onbekend,,0d388a6d-4300-43ba-b151-4923da1a187e,310,Strukton Rail,8,Goes,18
e1c8dc69-7269-4196-9139-a39973dc9bf3,11/09,076,,76,076__,Santpoort Noord - Uitgeest,Hlm-Utg,Haarlem - Uitgeest ,11.262148,"11,262148",3.988122,"3,988122",Hollands Noorderkwartier,BVL,Randstad Noord,RN,ProRail,105118.766,498897.655,52.47553605,4.65302566,283,0,Onbekend,,1ff0bed7-0128-41f9-ac80-382605733032,210,VolkerRail,9,Alkmaar,7
b3e2eb8e-bb9c-4637-94de-10b8d35e14cc,11/10,076,,76,076__,Santpoort Noord - Uitgeest,Hlm-Utg,Haarlem - Uitgeest ,11.26245,"11,262450",-7.065326,"-7,065326",Hollands Noorderkwartier,BVL,Randstad Noord,RN,ProRail,105109.404,498903.539,52.47558808,4.65288699,283,0,Onbekend,,1ff0bed7-0128-41f9-ac80-382605733032,210,VolkerRail,10,Alkmaar,7
