Leveranciers;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9540 - EZ Specifiek;Eindtotaal
Asian Dim-Sum B.V.;;;1;;1
Asijah Europe;;;1;;1
Atal B.V.;;;;1;1
ATK Grootkeukentechniek B.V.;;1;;;1
Aurion-Immuno Gold Reagents & Accessoires;1;;;;1
Aurora Borealis Control B.V.;1;;;;1
Autar Groothandel in Levensmiddelen;;;1;;1
AUV Groothandel B.V.;1;;1;;1
Avilo Stikstof en Perslucht Systemen B.V.;;1;;;1
Avonturia 'De Vogelkelder';;;;1;1
AW Handelsonderneming;;;;1;1
AWI Delft;;;1;;1
Aygun Notenhandel;;;1;;1
Ayurveda Company B.V.;;;1;;1
Azbil Telstar Benelux B.V.;;1;;;1
B en B snijderij B.V.;;;1;;1
B. Schilte & Zn. Houth. & Houtwarenfabr. B.V.;;;1;;1
B.J.F. Löwik;;;;4;4
B.V. Handelsond. Chem.hand. 'Vriesia';;;1;;1
B.V. Kwaliteitskeuring Dierlijke Sector;;;;9;9
B.V. Peter van Halder Grootverbruik in A.G.F.;;;1;;1
B.V. Verenigde Instrumenthandel Salm & Kipp;1;1;;;1
Baarsma Wines B.V.;;;1;;1
Baby-Dump B.V.;;;1;;1
Babypark Kesteren;;;1;;1
Bakas Naturals;;;1;;1
Bakeplus Venlo B.V.;;;1;;1
Bakker Centrale Inkoop B.V.;;;1;;1
Bakker Professional B.V.;;1;;;1
Banctec B.V.;;;;7;7
Bart Strijbosch B.V.;;;2;;2
Base Media;;;1;;1
BaseClear B.V.;1;;;;1
Batterij Import Nederland B.V.;1;;;;1
BD-Totaal B.V.;;;1;;1
Beauty Agency Europe B.V.;;;1;;1
Beauty XL;;;1;;1
Becton Dickinson;1;;;;1
Beelaard Breetveld Advocaten;;;;1;1
Beentjes Groentebroers;;;1;;1
Be-Fit Store;;;1;;1
Beijer Internationale Expediteurs B.V.;;;;1;1
Bekenland Diergeneeskundigcentrum;;;;2;2
Beko Verpakkingen B.V.;;;1;;1
Bel Impex B.V.;;;1;;1
Beldico B.V.;1;;;;1
Ben van der Waal Zuidvruchten B.V.;;;1;;1
Benfried B.V.;1;;;;1
Benjamin;;;1;;1
Benthem Gratama Advocaten;;;;1;1
Besselink Licht Import B.V.;;;1;;1
Beun- de Ronde B.V.;1;1;;;1
Beurtvaartadres document B.V.;1;;;;1
Biesheuvel Groep B.V.;1;;1;;1
Bio Trading Benelux B.V.;5;;;;5
Bio-Connect B.V.;1;2;;;2
BioControl Systems B.V.;1;;;;1
Biolegio Holding B.V.;1;;;;1
Biolegio Lab Equipment B.V.;1;;;;1
Biomed B.V.;;;1;;1
bioMérieux Benelux B.V.;3;3;;;4
Biopol B.V.;1;;;;1
Bio-Rad Laboratories B.V.;3;3;;;4
Biosolve B.V.;1;;;;1
Biozymtc B.V.;1;1;;;1
BIS Bedrijfs Informatie Systemen B.V.;;1;;;1
Blinker B.V.;;;;1;1
Blok Specerijen B.V.;;;1;;1
Blokker;;;1;;1
Body Supplies B.V.;;;1;;1
Body Support;;;1;;1
Boelhouwer Veterinaire Service B.V.;;;;3;3
Bofrost* Holland C.V.;;;1;;1
Bonefaas advocatuur;;;;1;1
Boni-Markten B.V.;;;1;;1
Bonton products B.V.;;;1;;1
Boom B.V.;4;;;;4
Bopita Store;;;1;;1
Boreg B.V.;;;1;;1
Bos Incasso;;;;1;1
Boschhoven B.V.;;;;3;3
Bossina Verf;1;;;;1
Bouhuis-Koopman;;;;1;1
Boumans Groenten & Fruit;;;1;;1
Bourmana B.V.;;;1;;1
Bouter B.V.;;1;;;1
BoutOveres Advocaten B.V.;;;;1;1
Bouwmarkt Wageningen B.V.;;;1;;1
Br. Heemskerk en Zn. B.V.;;;1;;1
Brammer Drechtsteden B.V.;;1;;;1
Brandunit B.V.;;;1;;1
Breijer Contractonderhoud B.V.;;1;;;1
Brenntag Nederland B.V.;1;;;;1
Brinkman Agro B.V.;1;;;;1
Brocacef Supplies & Services B.V.;1;;;;1
Bronson Incubator Services B.V.;;1;;;1
Bruker Nederland B.V.;1;5;;;5
Büchi Labortechnik GmbH;;1;;;1
Bud Holland B.V.;;;1;;1
BuitenhekPlus;;;;1;1
Bureau van Dijk Electronic Publishing B.V.;;;;2;2
Buurtjes Horeca Leverancier V.O.F.;;;1;;1
C.M.L. Dalm jr.;;;;1;1
C.O.H.E.;;;1;;1
C.T.M. Vroonland;;;;3;3
C.W. Kouwelaar en Zoon B.V.;;;1;;1
Canadaco B.V.;1;;;;1
Capgemini Nederland B.V.;;1;1;;2
Card Vision B.V.;1;;;;1
CarePack Holland B.V.;1;;;;1
Carl Zeiss B.V.;;2;;;2
Casa Blanca Trading B.V.;;;1;;1
Catz International B.V.;;;1;;1
CCV Holland B.V.;;;;1;1
Centenna Electronics;1;;;;1
Central Point Nederland B.V.;1;;;;1
Chan's B.V.;;;1;;1
Checkit;1;;;;1
Chickenchain;;;;3;3
Choconut;;;1;;1
Choi Kwai International B.V.;;;1;;1
Chrom8 International B.V.;;1;;;1
Clean2day;;;1;;1
CMS Derks Star Busmann;;;;1;1
Combigas B.V.;;1;;;1
Combilo B.V.;;;1;;1
Conrad Electronic Benelux B.V.;1;;;1;1
Consonante;2;;;;2
Cooiman Fruit B.V.;;;1;;1
Cook & Boon Nederland B.V.;;;1;;1
Cool Fresh International B.V.;;;1;;1
Coop Groothandel B.V.;;;1;;1
Coöperatie Coforta UA;;;;1;1
Coöperatie Kompany UA;;;;1;1
Coöperatieve Fry-Marine UA;;;;1;1
Coöperatieve Telersvereniging Best of Four UA;;;;2;2
Cornelis Kouwenberg Chemie Moergestel;;1;;;1
Countus Accountants + Adviseurs B.V.;;;;1;1
Creavisie;1;;;;1
Croon Elektrotechniek B.V.;;;;2;2
Cryo Store B.V.;1;;;;1
Cryotrans;1;;;;1
Customs Knowledge B.V.;;;;1;1
D&D Schuldhulpverlening V.O.F.;;;;1;1
D.B. Blaauboer Dierenarts;;;;2;2
Da Vinci Laboratory Solutions B.V.;1;;;;1
DAC de Peelhorst;;;;2;2
Dalamaya B.V.;;;1;;1
Dalco Food B.V.;;;1;;1
Damen Bemiddeling;;;;1;1
DAP AMELAND;;;;1;1
DAP Gestel;;;;3;3
Dap Smolders;;;;2;2
DARE ! ! Calibrations;;1;;;1
DARE!! Instruments;;;;2;2
DAS Nederl. Rechtsbijstand Verzeker.mij. N.V.;;;;1;1
De Gouden Mandarijn B.V.;;;1;;1
De Handelsschool B.V.;;;;3;3
De Hazelaar Art Supplies;1;;;;1
De Kok Horeca Groothandel;;;1;;1
De Koning;;;;1;1
De Koningh Coding & Labeling B.V.;1;;;;1
De Metaalwinkel B.V.;1;;;;1
De NatuurApotheek B.V.;;;1;;1
De Nieuwe Band;;;1;;1
De Notenbeurs B.V.;;;1;;1
De Peuleschil;;;1;;1
De Roode Roos B.V.;;;1;;1
De Roos Advocatuur B.V.;;;;1;1
De Sierkamp V.O.F.;;;;4;4
De Theemuts;;;1;;1
De Tuinen;;;1;;1
De Westfriesche Pindabranderij B.V.;;;1;;1
DE WIT datacenterkoeling B.V.;;1;;;1
De Zaai-Ster;;;1;;1
Deelen Metaaltechniek en Zonweringen;;1;;;1
Deen Supermarkten B.V.;;;1;;1
Defares Advocaten B.V.;;;;1;1
Delcave NCK B.V.;;;1;;1
Deli XL;1;;1;;1
Deli-Jack B.V.;;;1;;1
Delinuts B.V.;;;1;;1
Delmation Products B.V.;;;;2;2
Delta Elektronika B.V.;;;;1;1
Delta Star Nutrients B.V.;;;1;;1
Demir Fruit B.V.;;;1;;1
Den Hollander Advocaten B.V.;;;;1;1
Derustit Holland B.V.;1;1;;;1
Detailresult Logistiek B.V.;;;1;;1
Dierenarts Anne Schreurs;;;;3;3
Dierenarts Bavinck;;;;1;1
Dierenarts G. Kempe;;;;4;4
Dierenarts H. Breen;;;;3;3
Dierenarts Holtkamp;;;;4;4
Dierenarts J.L. van Ekris;;;;3;3
Dierenarts José van Schaik;;;;3;3
Dierenartsen praktijk Schoonzicht;;;;3;3
Dierenartsencombinatie ZuidOost;;;;2;2
Dierenartsenpraktijk Boxmeer;;;;2;2
Dierenartsenpraktijk Ell;;;;2;2
Dierenartsenpraktijk F. Gehem B.V.;;;;4;4
Dierenartsenpraktijk Groesbeek en omstreken;;;;2;2
Dierenartsenpraktijk Heerde-Epe;;;;2;2
Dierenartsenpraktijk J.H.M. Maas B.V.;;;;3;3
Dierenartsenpraktijk Kummeling;;;;3;3
Dierenartsenpraktijk Kwakernaak B.V.;;;;4;4
Dierenartsenpraktijk Midden Nederland;;;;3;3
Dierenartsenpraktijk Rheden;;;;2;2
Dierenartsenpraktijk Schijndel-St. Oedenrode;;;;4;4
Dierenartsenpraktijk Soestdijkerstraatweg;;;;3;3
Dierenartsenpraktijk Tolsma Winterwijk;;;;4;4
Dierenartsenpraktijk van der Linden;;;;3;3
Dierenartsenpraktijk voor paarden Hippocrene;;;;3;3
Dierenartsenpraktijk Vorstenbosch;;;;2;2
Dierenartsenpraktijk Zelhem-Halle B.V.;;;;1;1
Dierenartspraktijk de Eenhoorn B.V.;;;;3;3
Dierenartspraktijk Houwer;;;;3;3
Dierenartspraktijk Schetters;;;;3;3
Dierendokter Jos B.V.;;;;4;4
Dierenhotel De Mère;;;;2;2
Dierenkliniek Achterstraat;;;;3;3
Dierenkliniek Brandts;;;;2;2
Dierenkliniek de Kempen;;;;2;2
Dierenkliniek en Dierenhotel Het Hazewinkel;;;;4;4
Dierenkliniek Gilze;;;;2;2
Dierenkliniek Hoogveld Echt Roermond;;;;2;2
Dierenkliniek Ijpelaar;;;;1;1
Dierenkliniek Noord Nederland;;;;2;2
Dijkgraaf-Reinders B.V.;;;1;;1
Dijkstra Groenten en Fruit B.V.;;;1;;1
Dijkstra-Vereenigde B.V.;1;1;;;1
Dinotoys;;;1;;1
Dirks Klimmaterialen;;;1;;1
Dirkzwager advocaten & notarissen N.V.;;;;1;1
Divoza Horseworld Heteren B.V.;1;;;;1
DNA Strafrechtadvocaten;;;;1;1
Do It B.V.;;;1;;1
Dog4U;;;;1;1
Domein le Coq Frisé;;;1;;1
Dommerholt Advocaten N.V.;;;;2;2
Dr. C.J.M. Scheepens Consultancy B.V.;;;;2;2
Dräger Medical Netherlands B.V.;;1;;;1
Driessen United Blenders B.V.;;;;1;1
DriesVenplant B.V.;;;1;;1
Drogisterij De Pil;;;1;;1
Drs. P.C. Witjens Dierenarts;;;;3;3
Duke Faunabeheer;;;;2;2
Dun Yong Foodservices B.V.;;;1;;1
DuretTrip Notarissen N.V.;;;;1;1
Dusomos Vers B.V.;;;1;;1
E & E Collect B.V.;;;;1;1
E. Barreveld B.V.;;;1;;1
EBO van den Bor B.V.;;;1;;1
Eczoil B.V.;;;1;;1
Edco Eindhoven B.V.;;;1;;1
EDEX food groothandel B.V.;;;1;;1
Egro B.V.;;;1;;1
EHF Nutrition B.V.;;;1;;1
Eismann B.V.;;;1;;1
El pescado Vis groothandel B.V.;;;1;;1
Elvin B.V.;;;1;;1
Emerio Holland B.V.;;;1;;1
Emonta B.V.;;;1;;1
Energy Engin. Solutions (EES) Holland B.V.;;;;2;2
Enes Impex V.O.F.;;;1;;1
Engel Foreign Food B.V.;;;1;;1
Engels;1;;;;1
Enmo Nederland B.V.;;1;;;1
Entocare C.V.;;;;1;1
Entomologie-Speciaalzaak Vermandel V.O.F.;1;;;1;1
Eosta International;;;1;;1
Eppendorf Nederland B.V.;;2;;;2
ERHA Trading B.V.;;;;1;1
Eriks B.V.;1;;;;1
Essaco;;;1;;1
Esvo Campingsport B.V.;;;1;;1
Etienne Ruigewaard B.V.;;;1;;1
Etos;;;1;;1
Eunite;;;;1;1
Euro Carcleaning;;;1;;1
Eurogentec Nederland B.V.;3;;;;3
Euronuts Notenveredelingsindustrie B.V.;;;1;;1
EuroProxima B.V.;2;;;;2
Eussi Fruit;;;1;;1
F. van Aalst, Dierenarts;;;;3;3
F. van Genugten;;;;2;2
F.M. Naaijer;;;;3;3
Fa. Kaptein V.O.F.;;;;1;1
Fa. OBA;;;1;;1
Fadie Food;;;1;;1
Federatie Nederlandse Vakbeweging;;;;1;1
Fereshte B.V.;;;1;;1
Fidato B.V.;;1;;;1
Finco Management;;;;1;1
Firma Clateringhe;;;;3;3
First Selection Import en Distributie;;;1;;1
Fisher Emergo B.V.;2;;;;2
Fix-Fisch B.V.;;;1;;1
Fleurop-Interflora Nederland B.V.;;;;1;1
Flevosap;;;1;;1
Flexibel Management Support;;;;1;1
FlexVet B.V.;;;;7;7
Flexxolutions B.V.;1;;;;1
Fluke Nederland B.V.;;1;;;1
Flynth Holding N.V.;;;;1;1
Food Risk Management;2;;;;2
Food4innovations Holding B.V.;;;;1;1
Forum Rotterdam B.V.;;;1;;1
Foss Benelux;1;;;;1
Fossa Eugeniana;;;;1;1
Foto Konijnenberg B.V.;;;;1;1
Fountain Expres B.V.;;;1;;1
Fourwolves;;;1;;1
Frans Komen & Zn. Visserijen;;;;1;1
Frenchtop Natural Care Products B.V.;;;1;;1
Frenima;;;;2;2
Friquez B.V.;;;1;;1
Frisia Zout;;;;1;1
Froster B.V.;;;1;;1
Fruitbedrijf Van der Grift B.V.;;;1;;1
Fysiotherapie de Vijfhoek;;;;3;3
FZ Organic Food;;;1;;1
G. Bakker D. Jzn.;;;1;;1
G.H. Lukassen en Zoon B.V.;;;1;;1
G.J. Arends, Veterinaire Dienstverlening;;;;2;2
G.M. Boink Udenhout B.V.;;;;3;3
Galvamé Oppervlaktetechnieken B.V.;1;;;;1
GBV Administraties en Advies;;;;1;1
GC Biotech B.V.;1;;;;1
GE Healthcare Europe branch Netherlands;1;1;;;1
Gebr. Dil Import-Export B.V.;;;1;;1
Gebr. Simon;;;1;;1
Gebroeders De Mooy Amsterdam B.V.;;;1;;1
GELRE Dierenartsen;;;;2;2
Genomic Investments B.V.;;2;;;2
Gerritse IJzerwaren;;;1;;1
Getinge B.V.;;1;;;1
Gezondheidswinkel Vita Cura;;;1;;1
Ggn Incasso B.V.;;;;1;1
GGN van Mastrigt & Partners;;;;1;1
GGN Zuid-West en Midden Nederland B.V.;;;;1;1
GIBO Accountants en Adviseurs;;;;1;1
Giesko B.V.;;;1;;1
Gilson International B.V.;1;2;;;2
Glamour nagelproducten;;;1;;1
Glas Diergeneeskunde B.V.;;;;1;1
Glasservice Drechtsteden;1;;;;1
Goessens Wijnimport B.V.;;;1;;1
Golstein Juridisch Advies en Incasso;;;;1;1
Goorts + Coppens B.V.;;;;1;1
Goud & Wijs;;;;1;1
Greens and Salads;;;1;;1
Gresnigt & Van Kippersluis Advocaten;;;;1;1
Groentehandel D. De Vries B.V.;;;1;;1
Groothandel Ibrahim AGF;;;1;;1
Groothandel Ustaca B.V.;;;1;;1
Groothandelsonderneming Vers-Ned;;;1;;1
Gullimex B.V.;1;1;;;1
H&R Poultry Trading B.V.;;;1;;1
H. Jorritsma Dierenartsenpraktijk B.V.;;;;2;2
H. van Namen B.V.;;1;;;1
H.V.N. van Weerdenburg;;;1;;1
Haluco B.V.;;;1;;1
Hamshop;;;;2;2
Handelsonderneming Kara Enschede;;;1;;1
Handelsonderneming Oudemaas B.V.;;;1;;1
Handelsonderneming Solution;;;1;;1
Handelsonderneming T. Pace B.V.;;;1;;1
HANOJU B.V.;;;1;;1
HANOS-ISPC Breda B.V.;;;1;;1
HANOS-ISPC Utrecht B.V.;;;1;;1
Hape Electric B.V.;;;1;;1
Happy Baby B.V.;;;1;;1
HBI Bisscheroux B.V.;;;1;;1
HBM Machines B.V.;;1;;;1
Heerkens Groente en Fruit B.V.;;;1;;1
HeHi ICT Services;1;;;;1
Heinis Waterbeheer en Ecologie;;;;1;1
Hela Thissen B.V.;;;1;;1
Heli Holland Air Service B.V.;;;;1;1
Helicon Opleidingen;;;;1;1
Henk van Walderveen en Zonen B.V.;;;1;;1
Herd Health Consultancy;;;;3;3
Herman Kuijper B.V.;;;1;;1
Hermus Made B.V.;;;1;;1
Hes van Zweeden B.V.;;;1;;1
Het Kippenhok;;;;1;1
Het Notuleercentrum B.V.;;;;2;2
Het Veld Advies;;;;1;1
Hettich Automation B.V.;;1;;;1
Hettich Benelux B.V.;1;1;;;1
Hevel Vacuum B.V.;1;;;;1
Hielkema Services & Calibration B.V.;;1;;;1
Highlight B.V.;;;1;;1
Hilbrands Laboratorium B.V.;1;;;;1
Hiltra Barneveld B.V.;;1;;;1
Hitma Instrumentatie B.V.;1;1;;;1
Hoa-An Venlo B.V.;;;1;;1
Höcker Advocaten;;;;1;1
Hoek-Agro B.V.;;;1;;1
Hoekstra Idskenhuizen B.V.;;;;1;1
Holbico;;;1;;1
Hollander Barendrecht B.V.;;;1;;1
Hollandse Visveiling IJmuiden;;;1;;1
Home C.V.;;;1;;1
Hoogendam Advocaten;;;;1;1
Hoogendijk Import Export B.V.;;;1;;1
Hoogland Vis B.V.;;;1;;1
Hoogvliet;;;1;;1
Hörchner Advocaten;;;;1;1
Horeca Adviescentrum HTC;;;;1;1
Horecagroothandel Asiatico B.V.;;;1;;1
Horecagroothandel Willie Robben;;;1;;1
Horecashop Concepts B.V.;1;;;;1
Horeca-Visservice Van Meines B.V.;;;1;;1
Horesca Meppel B.V.;;;1;;1
Horizon Natuurvoeding B.V.;;;1;;1
Horticoop B.V.;;;;1;1
Houtsma financieel en juridisch advies;;;;1;1
Houweling Veiligheid B.V.;;1;;;1
Huijbregts Groep;;;1;;1
Hulskamp Audiovisueel Utrecht;;1;;;1
I.D. Image Development;;;;1;1
I.T.K. Diagnostics B.V.;1;1;;;1
IFCO Funderingscontrole B.V.;;;;1;1
IG Impex;;;1;;1
IKEA B.V.;;;1;;1
Import- en Exportonderneming 'Amboina' B.V.;;;1;;1
Imtech Nettenbouw;;;;3;3
In de Gaper Beheer B.V.;;;1;;1
ING Bank N.V.;;;;1;1
InnoVetMed B.V.;;;;2;2
InsightsWorld B.V.;;;;1;1
Instrument Solutions Benelux B.V.;1;;;;1
Interbosch B.V.;;;1;;1
Inter-Burgo Netherlands B.V.;;;1;;1
International Bathrooms WTS B.V.;;;1;;1
International Fruit Trading B.V.;;;1;;1
Interscience B.V.;2;2;;;3
Intex Trading;;;1;;1
Intrum Justitia Nederland B.V.;;;;1;1
Invorderingskantoor Nederland B.V.;;;;1;1
Isogen Life Science B.V.;2;;;;2
J. Barbé B.V.;;;1;;1
J.C. Valk Dierenarts;;;;3;3
J.H. Ritmeester B.V.;1;;;;1
J.J. Darboven B.V.;;;1;;1
J.M. VAN Kempen;;1;;;1
J.P. van Soest-Advies voor Duurzaamheid B.V.;;;;1;1
Jacob Hooy & Co. B.V.;;;1;;1
Jager Holland B.V.;;;1;;1
Jan de Geus en Zn. B.V.;;;1;;1
Jan Linders B.V.;;;1;;1
Janssen en van Maris;;;1;;1
JC Nail Design;;;1;;1
Jiya trading;;;1;;1
Joannusmolen B.V.;;;1;;1
Joh. Verweij Groothandel in Fruit B.V.;;;1;;1
Joint Analytical Systems Benelux B.V.;1;;;;1
Joldersma Erwin;;;;2;2
Jumbo Supermarkten B.V.;;;1;;1
Juridisch Adviesbureau Klaus;;;;1;1
Juridisch Adviesbureau Maury;;;;1;1
Juris-Dictie B.V.;;;;1;1
K. ten Have Koffiebrand. en Theepakkerij B.V.;;;1;;1
K. v.d. Spijk en Zn. Amsterdam B.V.;;;1;;1
K. v.d. Spijk en Zn. IJsselmuiden B.V.;;;1;;1
K.J. Coppoolse Dierenarts;;;;4;4
K001;;;1;;1
Kai Tak Company B.V.;;;1;;1
Kala Health B.V.;;;1;;1
Kamera Express;;1;;;1
Kangwen B.V.;;;1;;1
Kantoorverzorging Verhallen en Jansen;1;;;;1
Kappelhof Advocaten;;;;1;1
KEMA Nederland B.V.;;1;;;1
Kidsbiz Furniture;;;1;;1
Kienhuishoving N.V.;;;;1;1
KimTrade;;;1;;1
King Cuisine;;;1;;1
King Nuts & Raaphorst;;;1;;1
Kiwa N.V.;;;;1;1
Kiwa Register B.V.;;;;1;1
Klaas de Poel B.V.;;;1;;1
Klassenoten B.V.;;;1;;1
Kneppelhout & Korthals N.V.;;;;1;1
Koas Foods B.V.;;;1;;1
Kobra B.V.;;;;1;1
Koch & Van den Heuvel Advocaten B.V.;;;;1;1
Koffiebranderij G. Peeze B.V.;;;1;;1
Kohl Fruit Trading B.V.;;;1;;1
Kometex B.V.;1;;;;1
Koning & Pover Advocaten;;;;1;1
Koninklijke Euroma B.V.;;;1;;1
Koninklijke Fabrieken Posthumus B.V.;;;;1;1
Kraaijeveld Groente en Fruit B.V.;;;1;;1
Kraan Vleesservice B.V.;;;1;;1
Kreko B.V.;1;;1;;1
Kremer Zaden B.V.;;;1;;1
Kubus Selfstorage;;;;1;1
La Coresse B.V.;;;1;;1
Label Solutions;;1;;;1
Labkoo;;1;;;1
Laboratorium Zeeuws-Vlaanderen;;;1;;1
LadderHulp.nl;;;1;;1
Lado Klimmaterialen B.V.;;;1;;1
Land Life Company B.V.;;;;2;2
Land. Associat. Van Gerechtsdeurwaarders B.V.;;;;1;1
Landbouwbedrijf Schilder V.O.F.;;;;1;1
Lasaulec B.V.;1;1;;;1
Legaltree ISV;;;;1;1
Leica Microsystems B.V.;;1;;;1
Lekko B.V.;1;;;;1
Lenoza;;;1;;1
LESHolland;;;1;;1
Lexence N.V.;;;;1;1
Lidl;;;1;;1
Life Technologies International B.V.;4;;;;4
Linde Gas Benelux B.V.;1;;;;1
Linde Gas Cryoservices B.V.;1;;;;1
Linssen c.s. Advocaten B.V.;;;;2;2
Liroy B.V.;;;1;;1
LMR Advocaten;;;;1;1
Lobbes Speelgoed B.V.;;;1;;1
Logicx Berging B.V.;;;;1;1
Logitime Nederland B.V.;;1;;;1
Los Picos B.V.;;;1;;1
Lozeman Tuinmachines Elst B.V.;;1;;;1
Lucullus;;;1;;1
Luiten Food;;;1;;1
M&P Bakkerberaad;;;;1;1
M. De Vries;;;;2;2
M.C.A. Ind. (Metaal Compon. Assembl. Ind.);;;1;;1
M.E.Q. de Bont;;;;2;2
Maasmond Leeuwarden B.V.;;1;;;1
Maatschap D.A.P. Vaassen & Omstreken;;;;2;2
Maatschap Dierenartsenpraktijk Drechtstreek;;;;1;1
Maatschap WEA Noord Holland;;;;1;1
Maax Shop;;;1;;1
Magneet Grafische Communicatie B.V.;;;;3;3
Magnus Management & Beheer B.V.;;;;1;1
Manutan B.V.;1;;;1;1
Marjokadogids;;;1;;1
Marni Fruit;;;1;;1
Mart Microbiology B.V.;1;;;;1
Masco Kantoor Installaties B.V.;1;;;;1
Materiaal Metingen Testgroep;;1;;;1
Maters Grofra B.V.;;;1;;1
Matthijs B.V.;;;1;;1
Max ICT B.V.;;;1;;1
Maza B.V.;;;1;;1
MB Onderdelen;;;1;;1
MBF Savannah B.V.;;;1;;1
MCS Diagnostics B.V.;1;;;;1
MDY Corporate;;;1;;1
Mediaproducts B.V.;1;;;;1
Medivital B.V.;;;1;;1
Mercer (Nederland) B.V.;;;;1;1
Metamorfase;;;;1;1
MeteoGroup Nederland B.V.;;;;1;1
Mettler-Toledo B.V.;;3;;;3
Micronit Microfluidics B.V.;;1;;;1
Microtron;;;;1;1
Miele Nederland B.V.;;2;;;2
Millets Place B.V.;;;1;;1
Millipore;1;2;;;2
Minigrip;2;;;1;2
Misco Nederland B.V.;;1;;;1
Mitutoyo Nederland B.V.;;1;;;1
Mix Food B.V.;;;1;;1
MLK B.V.;;;1;;1
Mooijer-Volendam B.V.;;;1;;1
Mourik Woerden B.V.;;;1;;1
Mouw Maalderij B.V.;;;1;;1
MT Bono B.V.;;;1;;1
N&A Eastern Trading B.V.;;;1;;1
NagelstuDionne;;;1;;1
Nail Line B.V.;;;1;;1
Nail World;;;1;;1
Nail XL;;;1;;1
NAK;;;;1;1
Namelen Holding B.V.;;;;3;3
Nanhoe Holding B.V.;;;1;;1
Naproz B.V.;;;1;;1
Natudis Nederland B.V.;;;1;;1
Natural Goods V.O.F.;;;1;;1
Naturalia B.V.;;;1;;1
Natusor Gezondheidsproducten B.V.;;;1;;1
Ned. Ver. tot Bescherming van Dieren;;;;1;1
Neo, Netherl. Geomat. & Earth Observat. B.V.;;;;6;6
Network Innovations Services;;;;1;1
NF Nutraceuticals B.V.;;;1;;1
Nifa-Instrumenten B.V.;1;;;;1
NIVO Im- en Export Beverwijk;;;1;;1
Noepa Impex;;;1;;1
Nom;;;;4;4
Notariskantoor Adegeest B.V.;;;;1;1
Notariskantoor Roerdalen;;;;1;1
Nova Vitae B.V.;;;1;;1
Nutacon B.V.;1;;;;1
Nutland B.V.;;;1;;1
