gebouwnummer;aantal_adressen_in_pand;adressen;bouwjaar;gebouwstatus;max_huisnr;max_postcode;max_straatnaam;max_woonplaats;min_huisnr;min_postcode;min_straatnaam;min_woonplaats;status_id;verdeeld_over_aantal_straten;geometrie
0479100000000581;168;Noordwachter 1 t/m Noordwachter 99;1969;Pand in gebruik;168;1503VP;Noordwachter;Zaandam;1;1503VH;Noordwachter;Zaandam;11;1;
0479100000047861;1;Onegastraat 41;1923;Pand in gebruik;41;1506NW;Onegastraat;Zaandam;41;1506NW;Onegastraat;Zaandam;11;1;
0479100000027547;1;Avondrood 14;2000;Pand in gebruik;14;1562LB;Avondrood;Krommenie;14;1562LB;Avondrood;Krommenie;11;1;
0479100000003729;1;Kalf 212 B;1920;Pand in gebruik;212;1509BD;Kalf;Zaandam;212;1509BD;Kalf;Zaandam;11;1;
0479100000010518;1;Julianastraat 1;1908;Pand in gebruik;1;1561ZN;Julianastraat;Krommenie;1;1561ZN;Julianastraat;Krommenie;11;1;
0479100000040831;1;Prins Hendrikstraat 22;1920;Pand in gebruik;22;1541GL;Prins Hendrikstraat;Koog aan de Zaan;22;1541GL;Prins Hendrikstraat;Koog aan de Zaan;11;1;
0479100000032028;1;Badhuisstraat 5;1920;Pand in gebruik;5;1541JH;Badhuisstraat;Koog aan de Zaan;5;1541JH;Badhuisstraat;Koog aan de Zaan;11;1;
0479100000011875;1;Anjelierstraat 6;1924;Pand in gebruik;6;1541DR;Anjelierstraat;Koog aan de Zaan;6;1541DR;Anjelierstraat;Koog aan de Zaan;11;1;
0479100000040184;1;Piet Heinstraat 14;1920;Pand in gebruik;14;1521KZ;Piet Heinstraat;Wormerveer;14;1521KZ;Piet Heinstraat;Wormerveer;11;1;
0479100000049466;1;Pieter Latensteinstraat 9;1929;Pand in gebruik;9;1501VD;Pieter Latensteinstraat;Zaandam;9;1501VD;Pieter Latensteinstraat;Zaandam;11;1;
0479100000006310;1;Assumburgstraat 2 B;1995;Pand in gebruik;2;1566TE;Assumburgstraat;Assendelft;2;1566TE;Assumburgstraat;Assendelft;11;1;
0479100000031837;1;Parkrijklaan 118;2006;Pand in gebruik;118;1567HD;Parkrijklaan;Assendelft;118;1567HD;Parkrijklaan;Assendelft;11;1;
0479100000037456;1;Dageraadstraat 8;1960;Pand in gebruik;8;1502NT;Dageraadstraat;Zaandam;8;1502NT;Dageraadstraat;Zaandam;11;1;
0479100000009077;1;Syltpier 7;1995;Pand in gebruik;7;1506BX;Syltpier;Zaandam;7;1506BX;Syltpier;Zaandam;11;1;
0479100000033593;1;Pieter Latensteinstraat 3;1929;Pand in gebruik;3;1501VD;Pieter Latensteinstraat;Zaandam;3;1501VD;Pieter Latensteinstraat;Zaandam;11;1;
0479100000039372;1;Tuinstraat 18;1988;Pand in gebruik;18;1521TV;Tuinstraat;Wormerveer;18;1521TV;Tuinstraat;Wormerveer;11;1;
0479100000006248;1;Piet Kuiperlaan 1;1975;Pand in gebruik;1;1525PK;Piet Kuiperlaan;Westknollendam;1;1525PK;Piet Kuiperlaan;Westknollendam;11;1;
0479100000000362;68;De Boeg 100 t/m Oostzijde 59;2002;Pand in gebruik;153;1502GX;Oostzijde;Zaandam;41;1502BB;De Boeg;Zaandam;11;2;
0479100000023993;1;J. Kruijverstraat 78;1990;Pand in gebruik;78;1507WK;J. Kruijverstraat;Zaandam;78;1507WK;J. Kruijverstraat;Zaandam;11;1;
0479100000039465;1;Joachim Stillerstraat 88;1988;Pand in gebruik;88;1507PW;Joachim Stillerstraat;Zaandam;88;1507PW;Joachim Stillerstraat;Zaandam;11;1;
0479100000020625;1;Woud Wetering 17;1975;Pand in gebruik;17;1509KA;Woud Wetering;Zaandam;17;1509KA;Woud Wetering;Zaandam;11;1;
0479100000014426;1;Ossenven 14;2005;Pand in gebruik;14;1567BB;Ossenven;Assendelft;14;1567BB;Ossenven;Assendelft;11;1;
0479100000011436;1;Schellingweg 17 D;2002;Pand in gebruik;17;1507DR;Schellingweg;Zaandam;17;1507DR;Schellingweg;Zaandam;11;1;
0479100000021605;1;Anemoonstraat 55;1930;Pand in gebruik;55;1541AT;Anemoonstraat;Koog aan de Zaan;55;1541AT;Anemoonstraat;Koog aan de Zaan;11;1;
0479100000030581;1;Karl Marxstraat 45;1925;Pand in gebruik;45;1544RD;Karl Marxstraat;Zaandijk;45;1544RD;Karl Marxstraat;Zaandijk;11;1;
0479100000020002;1;Claude Debussystraat 124;1993;Pand in gebruik;124;1544NR;Claude Debussystraat;Zaandijk;124;1544NR;Claude Debussystraat;Zaandijk;11;1;
0479100000030623;1;Annie van Eesstraat 54;1989;Pand in gebruik;54;1507SH;Annie van Eesstraat;Zaandam;54;1507SH;Annie van Eesstraat;Zaandam;11;1;
0479100000067432;1;Parkstraat 72;1974;Pand in gebruik;72;;Parkstraat;Zaandijk;72;;Parkstraat;Zaandijk;11;1;
0479100000032002;1;Tamboerijnhof 9;1968;Pand in gebruik;9;1544ZA;Tamboerijnhof;Zaandijk;9;1544ZA;Tamboerijnhof;Zaandijk;11;1;
0479100000022799;1;Veeringstraat 59;1929;Pand in gebruik;59;1502NK;Veeringstraat;Zaandam;59;1502NK;Veeringstraat;Zaandam;11;1;
0479100000022152;1;Reigerstraat 11;1934;Pand in gebruik;11;1506XS;Reigerstraat;Zaandam;11;1506XS;Reigerstraat;Zaandam;11;1;
0479100000044458;1;Wilhelminastraat 22;1931;Pand in gebruik;22;1541GN;Wilhelminastraat;Koog aan de Zaan;22;1541GN;Wilhelminastraat;Koog aan de Zaan;11;1;
0479100000011297;1;Dorpsstraat 935;1928;Pand in gebruik;935;1566JB;Dorpsstraat;Assendelft;935;1566JB;Dorpsstraat;Assendelft;11;1;
