nummer;naam;gebruik;geo_point_2d;straatnaam;huisnumm00;huisletter;huisnummer;postcode;openings01;visuele_hu
6;GGZE;bijeenkomstfunctie;51.46787833, 5.44502652;Dr Poletlaan;40;;;5626ND;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
22;'Thuis;kantoorfunctie;51.45216484, 5.46849128;Kronehoefstraat;83;;;5612HL;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
51;Gymzaal;onderwijsfunctie;51.44128702, 5.49216014;Reigerlaan;3;;;5613CD;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
25;Lorentz Casimir Lyceum;onderwijsfunctie;51.44720977, 5.5035886;Celebeslaan;20;;;5641AG;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
27;Gymzaal;sportfunctie;51.43849353, 5.5193801;Jozef Israëlslaan;2;K;;5642KA;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
29;Gymzaal;sportfunctie;51.42204423, 5.49580672;Heideveldstraat;4;;;5643CH;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
30;Indoor Sportcentrum;bijeenkomstfunctie, sportfunctie;51.41285641, 5.48132419;Theo Koomenlaan;1;;;5644HZ;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
33;Parktheater;bijeenkomstfunctie;51.4291433, 5.4844129;Elzentlaan;50;;;5615CN;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
34;Gymzaal;onderwijsfunctie;51.42020622, 5.46071095;Bennekelstraat;135;;;5654DD;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
39;Gymzaal;sportfunctie;51.43239848, 5.46032122;Maria van Bourgondiëlaan;2;A;;5616EE;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
45;de Hangar;sportfunctie;51.44285578, 5.41064803;Meerbos;4;;;5658LA;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
22;Gymzaal;onderwijsfunctie, sportfunctie;51.46169777, 5.46805705;Barrierweg;1;;;5622CL;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
36;Gymzaal Blixems;bijeenkomstfunctie;51.48829959, 5.47383715;Ouverture;2;;;5629PV;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
9;Sporthal Achtse Barrier;bijeenkomstfunctie, sportfunctie;51.48465318, 5.43853446;Savoiepad;14;;;5627DX;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
15;Tennishal;sportfunctie;51.47798941, 5.45586504;Vijfkamplaan;10;;;5624EB;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
24;Gymzaal;onderwijsfunctie, sportfunctie;51.46800441, 5.45785069;Gerretsonlaan;17;;;5624JL;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
28;Gymzaal;sportfunctie;51.47157079, 5.48326559;Vlokhovenseweg;101;;;5625WV;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
42;De Boemerang;bijeenkomstfunctie;51.47118015, 5.49632503;Planetenlaan;1;A;;5632DG;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
44;De Uitwijk;bijeenkomstfunctie;51.46093031, 5.48014636;Generaal Pattonlaan;124;;;5623KC;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
23;De Ronde;bijeenkomstfunctie;51.43958721, 5.49553842;Tongelresestraat;146;;;5613DP;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
48;Aula Eckartcollege;onderwijsfunctie;51.46510442, 5.50055677;Damocleslaan;3;;;5631KC;2021-03-17T07:30:00 tot 2021-03-17T21:00:00;
