"Gemeente","Jaar","Periode","Beleidsprogramma","Organisatsie","Subsidie beschikt","Bekostigd uit Rijksinkomsten","Wettelijke taak","Globlaal overzicht gesubsidieerde activiteiten"
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting jeugdmusicalkoor Applaus","500,00","Nee","Nee","Uitvoering musical."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Celtic Swing","1.000,00","Nee","Nee","Dansvoorstelling The Irish Christmas Show."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Sjaak Foundation","1.000,00","Nee","Nee","Seniorenmuziekprogramma Terug in de Tijd."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Anders Kijken","1.000,00","Nee","Nee","Organiseren Open Ateliers."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Toneelvereniging Varia","1.200,00","Nee","Nee","Welzijnssubsidie: repetitieactiviteiten en toneelvoorstelling."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Toneelvereniging Het Masker","1.500,00","Nee","Nee","Welzijnssubsidie: het aanbieden van toneelvoorstellingen."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Streekmuseum Jan Anderson","1.650,00","Nee","Nee","Tentoonstelling en publicatie 400 jaar Rederijkers in Vlaardingen."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Tamboer-, Trompetter- en Majorettekorps Libertﾂ / Haringkoppen","1.900,00","Nee","Nee","Welzijnssubsidie: repeteren en optreden."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Kade40","2.000,00","Nee","Nee","Organisatie brugklascultuurdag Culture Candy."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Mareado","2.000,00","Nee","Nee","Pomonalezing op 6 september 2016."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Zomerterras","2.200,00","Nee","Nee","Twee zomerterrasconcerten in 2016."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Kunstalliantie","2.865,00","Nee","Nee","Pop-up food-art-restaurant."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Gloria Toonkunst Vlaardingen","3.000,00","Nee","Nee","Concert The Messiah van Handel."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Internationale Orgelweek Vlaardingen","3.475,00","Nee","Nee","Welzijnssubsidie: verzorgen van diverse concerten en educatie."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Geuzenmaand","3.500,00","Nee","Nee","Geuzenmaand activiteiten."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Metamorphose","4.000,00","Nee","Nee","Vluchten kan niet meer... nabouwen Berlijnse muur en theaterspectakel."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Balder Theater","5.000,00","Nee","Nee","Organisatie Verhalenfabriek."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Waterweg Cultuurprijs","6.000,00","Nee","Nee","Organiseren Waterwegcultuurprijs."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Flagen","8.000,00","Nee","Nee","Cultuureducatieve activiteiten: exposities, workshops, lessen en evenement.
"
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stadsgehoorzaal","10.000,00","Nee","Nee","Begeleiding van 15 scholen."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Stadspodium ","10.000,00","Nee","Nee","Opening cultureel seizoen samen met culturele instellingen."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Big Ben","12.000,00","Nee","Nee","Organisatie van het beiaardfestival Met de Klokken mee.
"
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Buitenbios / Filmtheater Het Zeepaard","13.000,00","Nee","Nee","Welzijnssubsidie: aanbieden culturele filmvertoningen en het aanbieden van cultuureducatie."
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Vlaardings Centrum voor Amateurtoneel","14.450,00","Nee","Nee","Welzijnssubsidie: het aanbieden van repetitieruimte, podium en voorstellingen en een festival. "
"Vlaardingen",2016,"Q3","Programma Kunst en Cultuur","Stichting Stadspodium ","470.000,00","Nee","Nee","Opstart organisatie. Aanbieden podiumkunsten."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","1.300,00","Ja","Nee","Het organiseren van NT2 middag."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","1.487,00","Ja","Ja","Verhoging taalniveau pedagogisch medewerkers werkzaam op een peuterspeelzaal of kinderopvang in Vlaardingen."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Wijzer in Opvang & Onderwijs","2.600,00","Ja","Ja","5 VVE  trajecten voor 5 doelgroepkinderen op de dagopvang."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Kinderopvang Mini Academie","2.668,00","Ja","Ja","Verleturen."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Federatie Nederlandse Levensmiddelen Industrie","4.000,00","Nee","Nee","Het organiseren van de Week van de Levensmiddelenindustrie / Futureproef 2016 voor met name jongeren en hun leerkrachten en ouders om instroom op opleidingen levensmiddelentechnologie te bevorderen."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","4.815,00","Ja","Ja","Incidentele aanvulling op structurele subsidie: extra inzet toeleiding doelgroepkinderen naar vve-voorzieningen. Betaling middels aanwezige reserve bij de stichting.
"
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Mister Dutch B.V.","4.920,00","Ja","Ja","Uitvoeren van herkansing taaltoetsen."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Wijzer in Opvang & Onderwijs","5.000,00","Ja","Ja","VVE taaltraject pedagogische medewerkers. "
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","6.237,00","Ja","Ja","Verhoging taalniveau pedagogisch medewerkers."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Samenwerkingsverband Schiedam Vlaardingen Maassluis Onderwijs dat past","6.660,00","Ja","Nee","Onderwijsarrangementen voor leerlingen van de Globe die nog niet de stap kunnen maken naar het regulieronderwijs."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","7.500,00","Nee","Nee","Vlaardingse zomerschool."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","8.727,00","Ja","Nee","Activiteiten voorleesexpress."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","13.412,00","Ja","Nee","Nazorg tweedejaars nieuwkomers in het reguliere onderwijs."
"Vlaardingen",2016,"Q3","Programma Onderwijs, Economie en Haven","Stichting Aanzet","14.000,00","Ja","Nee","Extra leerkracht en onderwijsassistent Neveninstroom de Globe."
