buurt;wanneer;wijknaam;stadsdeelnaam;geo_shape;geo_point_2d
Vaartbroek;In de periode 2023 / 2024;Wijk Dommelbeemd;Stadsdeel Woensel-Noord;"{""coordinates"": [[[5.492520090952543, 51.482271847661245], [5.492686175938583, 51.482260111050145], [5.492841223734358, 51.482249155436136], [5.494611177688889, 51.48212406649937], [5.495566328465261, 51.48205655105463], [5.496585212517627, 51.48198452219411], [5.496772751866445, 51.48197126301442], [5.4971857255226215, 51.48194206442672], [5.497314379183359, 51.48193296865434], [5.498026066176692, 51.48188264604487], [5.4982270899402135, 51.481868431489396], [5.500444318544072, 51.48182534744319], [5.501038820920618, 51.4818137886168], [5.502104007015624, 51.48179306983242], [5.502807908528999, 51.481903739505505], [5.5033070977990155, 51.48198222115086], [5.503367743015536, 51.48192943329396], [5.5042143927502, 51.4820577379693], [5.504755575974707, 51.48213042031977], [5.506018882160766, 51.48230007737471], [5.506063244925985, 51.482248149643695], [5.506186182799181, 51.482053581688376], [5.506272626950229, 51.481947490234695], [5.506429816664623, 51.48181552893405], [5.506669933132662, 51.48159855765713], [5.5068338526830125, 51.481470148411915], [5.506881816125804, 51.481425012088394], [5.506964508722404, 51.481316703766836], [5.50706952556371, 51.48123452041779], [5.5073384405146175, 51.48098436796884], [5.507683319794198, 51.48066413275243], [5.507812646486623, 51.4805325039747], [5.50790589978298, 51.48046696104153], [5.508032228338497, 51.4803505978445], [5.5081480705941805, 51.480264573110595], [5.508270142609226, 51.48020447405503], [5.508459585153453, 51.48009043578647], [5.508647760432207, 51.47998197149461], [5.508743959157276, 51.47989902277678], [5.508800434820696, 51.479829984928315], [5.508967065685672, 51.479643494110675], [5.5090348156160225, 51.4795811229361], [5.5090931175608615, 51.479538563610205], [5.509168383514046, 51.479498449392565], [5.509276367862922, 51.47945230542407], [5.509428613535098, 51.4793779894397], [5.509498719805978, 51.47931969637115], [5.50955782420573, 51.479238565651805], [5.509559717376137, 51.47923596594281], [5.509576299732977, 51.4791767492502], [5.509583685765847, 51.479107636715554], [5.509570575328296, 51.47903931872913], [5.5095572091085065, 51.4790097151462], [5.5095277976557595, 51.47894456029822], [5.5094661226766695, 51.478888499861874], [5.5093368482548914, 51.478810739739984], [5.509183756773379, 51.478735287526945], [5.509155822423671, 51.47872151917921], [5.509104405993071, 51.478700917047874], [5.508950544511839, 51.47866559967916], [5.508845194302929, 51.478651858181955], [5.508460010484341, 51.47863964854751], [5.508250940780792, 51.478651416334436], [5.50821268035098, 51.47865192348256], [5.508146754663637, 51.47864770433652], [5.508119047087451, 51.478643301683896], [5.50808617745194, 51.47863563250944], [5.508061656107696, 51.47862766703057], [5.507941152581875, 51.478566660109266], [5.507884624539423, 51.478512669884985], [5.507851461431927, 51.478453963365375], [5.507833655098643, 51.47837796474547], [5.507814865877522, 51.47827868652375], [5.50779470375503, 51.47819907689627], [5.507763789385067, 51.478125123264945], [5.507843445757922, 51.47794422504159], [5.508028487172062, 51.47767199166971], [5.508075792619335, 51.47757615949731], [5.508167928534376, 51.47746631240415], [5.508244425392543, 51.477402880923236], [5.508421349384507, 51.47730576334503], [5.508556271843799, 51.47722032955587], [5.50864287807011, 51.47715352552551], [5.5087701301911824, 51.477042176197216], [5.508814170490313, 51.47699117355231], [5.508828842527262, 51.47693883527256], [5.5088263396703026, 51.476896393451426], [5.508810862257485, 51.4768519966558], [5.508810181761766, 51.476850514237725], [5.508754179897454, 51.47669127570665], [5.508687682742674, 51.47653658736152], [5.508659630002494, 51.476488671113366], [5.508617366275548, 51.476417695786346], [5.508574024771681, 51.47631494666651], [5.508560229337773, 51.476274979492054], [5.508490929358547, 51.47598625510647], [5.508399465734368, 51.47564971609999], [5.508354565938758, 51.47557214574304], [5.508349063469596, 51.47555442583315], [5.508349063467204, 51.47555442493428], [5.508180846320547, 51.47555638036278], [5.508019182594469, 51.47555990985859], [5.507970683980254, 51.475563330882075], [5.507857602618245, 51.47560048129755], [5.507733731079973, 51.47563427202006], [5.507674131959286, 51.47564213581052], [5.507510831164716, 51.47557098853839], [5.507306181506664, 51.47549607247736], [5.507113459564065, 51.47544638393083], [5.506342393882005, 51.475299041864474], [5.505606095590863, 51.47517985679977], [5.5040096379396735, 51.47488544487093], [5.503607772535804, 51.47465224091505], [5.5033667584268695, 51.47469491691329], [5.502884484227049, 51.474780294623514], [5.502769753697745, 51.474792363397775], [5.502348967785652, 51.47478680258181], [5.502023919481624, 51.47477745429274], [5.502003691864114, 51.474863036330355], [5.501304354376941, 51.474952115976876], [5.500252410796285, 51.475016376672485], [5.499470517808022, 51.475064134438114], [5.496896325720134, 51.475260309890764], [5.496253681810225, 51.47530455757572], [5.495292535783183, 51.47537072794251], [5.49469712625138, 51.47541171517228], [5.494484102543435, 51.475429684788125], [5.4934477349467015, 51.47551710264462], [5.493002164671821, 51.47554886594382], [5.491368046677218, 51.47566534290602], [5.490870792372744, 51.475698621093265], [5.4901919323941195, 51.47574404960285], [5.489995218263816, 51.475756982728264], [5.489135921728049, 51.475813476383934], [5.48833371194417, 51.4758650396229], [5.48853582114531, 51.47701522169881], [5.4885507478831945, 51.477095275122124], [5.488589389263746, 51.47730252338286], [5.48897974016802, 51.479395964124286], [5.489189252795134, 51.4805613066827], [5.489356001358154, 51.48146225103719], [5.489411763010822, 51.481837055725414], [5.489434959544447, 51.4819929704385], [5.489485093557765, 51.482517625291635], [5.489839079824779, 51.482495427525606], [5.4910570781827275, 51.482418917239336], [5.491254905493994, 51.482364711769556], [5.491440385369994, 51.48220136606153], [5.491898659406007, 51.482315758175474], [5.492520090952543, 51.482271847661245]]], ""type"": ""Polygon""}";51.47859762668684, 5.498638377250507
Vlokhoven;In de periode 2023 / 2024;Wijk Ontginning;Stadsdeel Woensel-Noord;"{""coordinates"": [[[5.481583158916478, 51.46762318710455], [5.4786390804340295, 51.46755963818027], [5.4786820169351484, 51.46784689623732], [5.478729770827278, 51.46816638020563], [5.478846457142787, 51.46885276093087], [5.4789149089051, 51.46934099767438], [5.478938150874318, 51.469484832879395], [5.479024795099887, 51.47002102854772], [5.479089972468982, 51.47038963775379], [5.479099207857433, 51.47047303617631], [5.479165342458085, 51.470957312353136], [5.479357738599684, 51.4723661027273], [5.479527256123154, 51.47360054175417], [5.479602605411582, 51.47443850473959], [5.4796369775202445, 51.47482074504189], [5.479666946194027, 51.47561503038396], [5.479739390990242, 51.47615322224885], [5.480262264102559, 51.47614046784201], [5.4823679023146346, 51.47608908265106], [5.484516662915691, 51.47602370995743], [5.484686934201698, 51.47601852765307], [5.485742667882147, 51.4759741055492], [5.48833371194417, 51.4758650396229], [5.488111402149146, 51.47464118743745], [5.487907348882974, 51.473517779756214], [5.487772302828344, 51.47277425528702], [5.487364533756123, 51.470513282487545], [5.48708777574153, 51.46895496472358], [5.487055188972357, 51.468739274826916], [5.48700708629926, 51.46842088035509], [5.486899010730655, 51.467705510082325], [5.486368380038329, 51.46771766902428], [5.485846393760508, 51.46771507773526], [5.485138354560392, 51.46769982738625], [5.481583158916478, 51.46762318710455]]], ""type"": ""Polygon""}";51.47187039813515, 5.483397339983253
Rapenland;In de periode 2023 / 2024;Wijk Erp;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.4761656262516984, 51.46160416315232], [5.476363344195256, 51.46065637006198], [5.476598525913785, 51.45952893912915], [5.477089847170898, 51.45723409041923], [5.4758932667155955, 51.45715355999653], [5.47581706962398, 51.457151156020444], [5.472758791369612, 51.45705461867609], [5.471211712158514, 51.4570057531351], [5.471182632186752, 51.45727837319075], [5.471074758987248, 51.457635516468066], [5.470692014864096, 51.458717756499894], [5.4704672851434655, 51.45935317292684], [5.470424280256624, 51.459479563541386], [5.470287960583879, 51.45988020541233], [5.469712805888992, 51.46157048120986], [5.469689774141098, 51.461638166838405], [5.469506026750206, 51.46216431668431], [5.469352981565942, 51.46260254179173], [5.468754179342726, 51.46431705004291], [5.468737936836134, 51.46436288288819], [5.4681791428460125, 51.4659396519761], [5.468071262069141, 51.46612251126672], [5.467821242702767, 51.466410896006934], [5.467547313094544, 51.46670879951637], [5.467128542982886, 51.46708520005506], [5.468042236502335, 51.467584859710435], [5.468278103989884, 51.46750991458001], [5.469015004628146, 51.467367985067995], [5.469929194917593, 51.46736733906868], [5.471497245435024, 51.46740791541494], [5.4727952663809605, 51.4674395720879], [5.474750160349724, 51.46747875635627], [5.474987537160439, 51.467258710670706], [5.475301361974997, 51.46575828516212], [5.475441796433877, 51.46508682514326], [5.475567815308238, 51.464479511722345], [5.475943724762508, 51.46266782997837], [5.4761656262516984, 51.46160416315232]]], ""type"": ""Polygon""}";51.46247778205558, 5.472656457231123
Gildebuurt;In de periode 2023 / 2024;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.476947009498843, 51.446014662988965], [5.476899820029521, 51.445587784417285], [5.476899133940607, 51.44527322653727], [5.4767099175500915, 51.44528283544524], [5.474978433488448, 51.445367050090965], [5.475071802902323, 51.445794321548796], [5.47519587295641, 51.446362070666574], [5.475324022874343, 51.446948479712816], [5.475391162777115, 51.44735686486681], [5.47538715157136, 51.44771222582095], [5.475386158098403, 51.447800315497574], [5.475347658437036, 51.4479466711431], [5.475033406604757, 51.44840654407124], [5.474693388872694, 51.44876172115128], [5.473973942749939, 51.44951322310525], [5.473802819172004, 51.44966196014302], [5.473074021074675, 51.45021198614321], [5.472810639026399, 51.45038610181891], [5.471901080645861, 51.4518797122951], [5.47144997276354, 51.45272888760416], [5.472223413462525, 51.45283046249951], [5.47311511919455, 51.45292013124518], [5.473284868193119, 51.452937200248975], [5.4738181212707415, 51.45295099867877], [5.473838626362296, 51.452951529031246], [5.475209858388557, 51.45287344425912], [5.47592488443646, 51.452867382513205], [5.477866801681052, 51.45294414717305], [5.477981976103653, 51.45229546515497], [5.477964476767575, 51.45199787763362], [5.477947774340253, 51.45171386326405], [5.477824769299208, 51.451049323780595], [5.477669493735485, 51.450210420141445], [5.477202599018352, 51.447715303828375], [5.477174012153014, 51.447562527591955], [5.4769781908696835, 51.44629671859154], [5.476947009498843, 51.446014662988965]]], ""type"": ""Polygon""}";51.45013067798586, 5.4754153305367925
Limbeek-Noord;In de periode 2023 / 2024;Wijk Oud-Woensel;Stadsdeel Woensel-Zuid;"{""coordinates"": [[[5.464184318759506, 51.45172130901258], [5.464557360590613, 51.45180397123117], [5.465178952502623, 51.451172496575474], [5.465804556838643, 51.450517718162885], [5.46594603381165, 51.45035455829435], [5.465978781597928, 51.45031679183838], [5.466393590860087, 51.44983839974293], [5.466907098959134, 51.449319734096576], [5.467494856501381, 51.44872605571129], [5.4681355215173575, 51.44807604688937], [5.468576667491036, 51.44762845425126], [5.468828486348402, 51.44737355527995], [5.4695358520636255, 51.446657523194894], [5.469870597825066, 51.4464587253506], [5.470069796504001, 51.44625199176449], [5.469256140531694, 51.445936823387974], [5.469069326418293, 51.44589036669447], [5.468916712875699, 51.44588295493328], [5.468793554611746, 51.44590124519311], [5.468675414956409, 51.44592996495518], [5.4685722587992425, 51.44600098827138], [5.468530011294786, 51.446030910513905], [5.468368683843102, 51.44614517022507], [5.468137079128781, 51.44629834650363], [5.467845712646282, 51.44641398842701], [5.4675211201073015, 51.44648384451661], [5.467295930443876, 51.44651391940035], [5.466891160400243, 51.44648940744433], [5.466405883756883, 51.44645007266396], [5.465780191792755, 51.446405106787815], [5.465494242987621, 51.446384782901305], [5.465296989161996, 51.4463610658234], [5.46526710738198, 51.44635747332924], [5.465012512135848, 51.44627141377764], [5.464944730995227, 51.44623399971356], [5.464845458231609, 51.44617920277115], [5.46466650522755, 51.44603737481577], [5.464120470821341, 51.44567732387051], [5.463494320768251, 51.44534375050388], [5.463130219572129, 51.445669465610344], [5.4622648762399475, 51.446307656145116], [5.4606147025006075, 51.44753945520393], [5.458974150728148, 51.44876726085244], [5.458777623999388, 51.44891433760787], [5.457513804777885, 51.44984233567212], [5.457875919764677, 51.44995161434478], [5.459007826814325, 51.450234459589566], [5.460227478854774, 51.450603049965636], [5.461352825936764, 51.450943122647864], [5.461424080736164, 51.45096352462285], [5.462646776736105, 51.45131355491435], [5.4629444770787146, 51.45139883199136], [5.463682216067576, 51.45161004498587], [5.464184318759506, 51.45172130901258]]], ""type"": ""Polygon""}";51.44857240197058, 5.463744792289883
Doornakkers-West;09-01-2023 tot en met februari;Wijk Doornakkers;Stadsdeel Tongelre;"{""coordinates"": [[[5.512926673539802, 51.44387282075828], [5.512678339403865, 51.443544773677274], [5.512990435810692, 51.44344937284193], [5.513269706889163, 51.443349211244325], [5.513737736700471, 51.44318134811781], [5.514102920408777, 51.44296256200694], [5.514410279634279, 51.4426410614122], [5.514513653103213, 51.44229913615495], [5.5145446749553875, 51.44219652349128], [5.514533407122236, 51.44198490646134], [5.514517728222949, 51.44169042855792], [5.514499333932739, 51.44134493209972], [5.5143326698373425, 51.44081645421988], [5.514003233284132, 51.43985468620058], [5.513941035363581, 51.43967309905619], [5.513772698764202, 51.43933915776049], [5.513557542686315, 51.4389123277097], [5.51327284565192, 51.43836184612502], [5.513044941597887, 51.43791090061143], [5.512992047472337, 51.43771864591881], [5.512925041728182, 51.43747509906884], [5.512801600973092, 51.437026422237174], [5.51268848559181, 51.43651235499483], [5.512678142390627, 51.43646534726788], [5.512494740364353, 51.43572044450003], [5.512462435969459, 51.435589230177136], [5.512455417227231, 51.43556072384329], [5.512069826939508, 51.434033251445], [5.510046979880739, 51.43422178342855], [5.504052213794575, 51.434913640418195], [5.504388645748197, 51.43577884528417], [5.504649135621202, 51.436513002569626], [5.504683867760753, 51.436610890161866], [5.504798606062183, 51.436970591012795], [5.504843819853341, 51.43711233270379], [5.504914709043283, 51.43763092558073], [5.504941049471845, 51.43821291562557], [5.504940097747309, 51.43824648029767], [5.504933219987817, 51.43848926415135], [5.504922833159559, 51.438855830982305], [5.504913380893846, 51.438894761495085], [5.504780279004551, 51.439442962360324], [5.504722483935327, 51.43966775820919], [5.504628154011333, 51.44003465145736], [5.504473816209225, 51.440491152917026], [5.5044504748504, 51.44056019055029], [5.504386562672465, 51.440749224644854], [5.504224568434555, 51.44122103752414], [5.504156618113147, 51.441418943746754], [5.504118819450728, 51.44152903000424], [5.504083903074085, 51.441630724228936], [5.504047420363893, 51.441739779039175], [5.503808817525907, 51.442453011259396], [5.503751842471795, 51.4426233164131], [5.503589874321074, 51.44302769800939], [5.5034934043990615, 51.443268547824886], [5.503218460074282, 51.44374396314484], [5.502844291026184, 51.44428550623363], [5.502719443800844, 51.44446243816316], [5.502387576316146, 51.44487264299383], [5.503749428689572, 51.44484738548922], [5.504238637740655, 51.444830706325526], [5.5048370008073775, 51.44478873765067], [5.505944944764181, 51.44472598254115], [5.506106092873281, 51.44471117469594], [5.507573272409627, 51.444576344090116], [5.508329470235668, 51.44450712758902], [5.508447948097376, 51.44449628263173], [5.51016142671042, 51.44429312935332], [5.5107399010163345, 51.44422453771974], [5.511194456692292, 51.44416288680949], [5.511884866798379, 51.444054204844385], [5.5120375304530835, 51.4440270429501], [5.512757951025146, 51.44389885956879], [5.51279589992889, 51.443895097345504], [5.512926673539802, 51.44387282075828]]], ""type"": ""Polygon""}";51.439755675611956, 5.508806094098909
Burghplan;In de periode 2023 / 2024;Wijk Putten;Stadsdeel Stratum;"{""coordinates"": [[[5.512881814802772, 51.427108502935916], [5.512529749492865, 51.426535881646004], [5.512207023839682, 51.42601117252526], [5.511844723899886, 51.42548167704402], [5.511531616402488, 51.42503806872496], [5.511352522474342, 51.42478826830203], [5.511214367075928, 51.42459554800082], [5.510521533444113, 51.424701633086904], [5.5094071308326935, 51.42496033036041], [5.508577092443074, 51.425238663174525], [5.5079860318708915, 51.42546982595405], [5.507644944208867, 51.425596838850794], [5.5074417789467445, 51.42538360350593], [5.506815150411097, 51.42468691567813], [5.506133339437595, 51.42393189924867], [5.506047507495813, 51.42380446704157], [5.505564063648893, 51.424096325182425], [5.504907108362018, 51.42444915889342], [5.5035332510625885, 51.42518862041937], [5.503335165956748, 51.42529523341494], [5.502809410528119, 51.425570513783825], [5.501906367149549, 51.42607019807184], [5.499894730806691, 51.427187962136315], [5.499635052672234, 51.42735912493964], [5.499403830859211, 51.427511530900716], [5.499802735007619, 51.42770688787967], [5.499880129875828, 51.42775257439161], [5.5003549855879195, 51.42803288528166], [5.5008785676467875, 51.42838528894513], [5.501337773977677, 51.42874011740091], [5.5016498058693655, 51.42906016327584], [5.5017069034926065, 51.42911872683358], [5.501987346114215, 51.42948557547376], [5.502266780428937, 51.42990121679643], [5.502553735750303, 51.430654855910845], [5.502862502791493, 51.43132997715705], [5.503506668793451, 51.43119192909172], [5.503982000315696, 51.431119366780486], [5.505036074008764, 51.43095844828478], [5.50611352933261, 51.43082685791475], [5.5101296322838165, 51.43019720685878], [5.51155709675408, 51.42998128843233], [5.513997838277119, 51.4296189136804], [5.513622364510148, 51.42869834864896], [5.5133277816376625, 51.42803517381982], [5.5132649079618625, 51.427893628788205], [5.512966788540975, 51.42724670568931], [5.512881814802772, 51.427108502935916]]], ""type"": ""Polygon""}";51.42778712352015, 5.506932499352118
Bennekel-Oost;In de periode 2023 / 2024;Wijk Oud-Gestel;Stadsdeel Gestel;"{""coordinates"": [[[5.467306323133172, 51.416994640248895], [5.4672641091742875, 51.41687731566588], [5.466754054596472, 51.41629215116503], [5.465903708440764, 51.41598782394998], [5.464608451337803, 51.415956772980444], [5.46381193824342, 51.41603886435189], [5.462848279114586, 51.415905131851474], [5.461461688134434, 51.41588973749444], [5.460602141591378, 51.41571926403442], [5.460263220195178, 51.41545887709466], [5.4593711849351205, 51.41532506180221], [5.458804797062384, 51.41529681869826], [5.458848637463712, 51.41600803105306], [5.4587974984564775, 51.41615032653167], [5.458846056841895, 51.416698723584474], [5.4586259450848065, 51.41670115102881], [5.458690809487286, 51.416979861249004], [5.458714302011398, 51.417080805976916], [5.4587552120054, 51.417436454282374], [5.458913803176303, 51.417966428640824], [5.459057105960695, 51.41841677242497], [5.459304080306325, 51.41915090561783], [5.45967105798659, 51.41965625538812], [5.459682113994395, 51.419683789842026], [5.458297429334723, 51.42008448263521], [5.458151166116985, 51.42012680617173], [5.457945744586656, 51.42014758726726], [5.457920246051842, 51.42027151183388], [5.45750988251104, 51.42062514183367], [5.4570520954282085, 51.4211646579606], [5.456664131484712, 51.421614137664484], [5.4566392616113415, 51.42164295046796], [5.456457164375756, 51.42190854888275], [5.458097138618791, 51.422475034827485], [5.459450616632711, 51.42296209012448], [5.460067422440781, 51.423207231432386], [5.46046229465151, 51.42337056496905], [5.460936355095421, 51.423566651218685], [5.461101334276712, 51.42363489022576], [5.4613388250221035, 51.42372475184353], [5.462270626468461, 51.423212473438305], [5.462788840743856, 51.423556107998536], [5.462842943735235, 51.42357885466422], [5.463461535088874, 51.423838929520834], [5.463922205729095, 51.42365027687178], [5.464269802792856, 51.423507927956635], [5.465134359532652, 51.42315942707394], [5.465212734066021, 51.422741220878365], [5.466548562333332, 51.4228280113146], [5.4668224840367605, 51.422858272495446], [5.467195723739562, 51.42289950470799], [5.467504958120078, 51.42294426212659], [5.467943018313939, 51.4231212608471], [5.468313934556896, 51.42342897775137], [5.468587432788531, 51.42365587245675], [5.468672966747527, 51.42372932207591], [5.469466687388211, 51.42332634026799], [5.470078409173735, 51.42298059691352], [5.46983451315182, 51.422822659362964], [5.46898394829839, 51.42203497040509], [5.468943577651545, 51.42117695674396], [5.46932170525833, 51.42051659735374], [5.4695664457822675, 51.419765024106226], [5.468413335420726, 51.41817542992963], [5.467458611253323, 51.41741787831916], [5.467306323133172, 51.416994640248895]]], ""type"": ""Polygon""}";51.41982795492483, 5.46344761493821
Bennekel-West, Gagelbosch;In de periode 2023 / 2024;Wijk Oud-Gestel;Stadsdeel Gestel;"{""coordinates"": [[[5.448084072124164, 51.4138133553789], [5.447147168074817, 51.41588171304136], [5.447138104994991, 51.41590172114636], [5.447005588080638, 51.41620098604532], [5.446568360808104, 51.41718835438959], [5.4461423223640715, 51.418150413996045], [5.445614471264795, 51.41934231991507], [5.445459875146149, 51.42003637367416], [5.446701205653362, 51.4202014693635], [5.447341203285623, 51.42040161743912], [5.447756827660379, 51.420609933853854], [5.447820899042388, 51.420535825583684], [5.44800537539704, 51.420320634434376], [5.448223132953401, 51.420389137287614], [5.448668164838843, 51.420511508551975], [5.449090487184243, 51.420572596345224], [5.451488650179081, 51.420882537741534], [5.451558755564019, 51.42088892138988], [5.452672595123085, 51.420990343847386], [5.453301776499983, 51.42108875570682], [5.454350153290179, 51.42129094003574], [5.454638718534946, 51.421360727564746], [5.455458963493261, 51.421559092411755], [5.456457164375756, 51.42190854888275], [5.4566392616113415, 51.42164295046796], [5.456664131484712, 51.421614137664484], [5.4570520954282085, 51.4211646579606], [5.45750988251104, 51.42062514183367], [5.457920246051842, 51.42027151183388], [5.457945744586656, 51.42014758726726], [5.458151166116985, 51.42012680617173], [5.458297429334723, 51.42008448263521], [5.459682113994395, 51.419683789842026], [5.45967105798659, 51.41965625538812], [5.459304080306325, 51.41915090561783], [5.459057105960695, 51.41841677242497], [5.458913803176303, 51.417966428640824], [5.4587552120054, 51.417436454282374], [5.458714302011398, 51.417080805976916], [5.458690809487286, 51.416979861249004], [5.4586259450848065, 51.41670115102881], [5.458846056841895, 51.416698723584474], [5.4587974984564775, 51.41615032653167], [5.458848637463712, 51.41600803105306], [5.458804797062384, 51.41529681869826], [5.4576558707884475, 51.415503630874205], [5.457082934175292, 51.41545204874201], [5.4563107570949905, 51.415416159732594], [5.455521057923111, 51.414757089695584], [5.455205390674853, 51.41464302834339], [5.454491482735889, 51.41469017571951], [5.453985313626171, 51.41487222781522], [5.453636851995776, 51.415028228396025], [5.453288011950292, 51.41493494468164], [5.452747643037334, 51.41443151499071], [5.45223190878319, 51.41439072613319], [5.451957802617326, 51.41429221015535], [5.451409389137833, 51.4139601482015], [5.450289625107412, 51.4136346960575], [5.449417515142336, 51.41333915016763], [5.448063897739963, 51.41315289278069], [5.448197423066474, 51.41356310282135], [5.448084072124164, 51.4138133553789]]], ""type"": ""Polygon""}";51.41775149127531, 5.452503101269037
Blaarthem;In de periode 2023 / 2024;Wijk Oud-Gestel;Stadsdeel Gestel;"{""coordinates"": [[[5.462739127078532, 51.427933155843476], [5.463594731131837, 51.42765752116648], [5.464109020978837, 51.4274918365081], [5.46377419675196, 51.42726042798695], [5.463424865218875, 51.42688972141992], [5.463403263682778, 51.426827384679186], [5.463359909090529, 51.426702278029914], [5.4632881427127105, 51.42649518080802], [5.4630856971669175, 51.42581413271167], [5.463009962167027, 51.42553433743449], [5.4627469703236695, 51.42519504190047], [5.462462400674237, 51.42484676205559], [5.461857859562173, 51.42412315266886], [5.461789706648342, 51.42404157552456], [5.461552086852764, 51.423812417245266], [5.4613388250221035, 51.42372475184353], [5.461101334276712, 51.42363489022576], [5.460936355095421, 51.423566651218685], [5.46046229465151, 51.42337056496905], [5.460067422440781, 51.423207231432386], [5.459450616632711, 51.42296209012448], [5.458097138618791, 51.422475034827485], [5.456457164375756, 51.42190854888275], [5.455458963493261, 51.421559092411755], [5.454638718534946, 51.421360727564746], [5.454350153290179, 51.42129094003574], [5.453301776499983, 51.42108875570682], [5.452672595123085, 51.420990343847386], [5.451558755564019, 51.42088892138988], [5.451488650179081, 51.420882537741534], [5.449090487184243, 51.420572596345224], [5.448668164838843, 51.420511508551975], [5.448223132953401, 51.420389137287614], [5.44800537539704, 51.420320634434376], [5.447820899042388, 51.420535825583684], [5.449113343290517, 51.42122718986405], [5.4506996013792905, 51.42207567564405], [5.451751654353732, 51.42267723249685], [5.452496356975529, 51.42310303338913], [5.452610181268273, 51.42318122224622], [5.452926134201987, 51.42339825845286], [5.454913566070612, 51.42476340396406], [5.456713608635175, 51.425947542253546], [5.457113842708554, 51.426222723706715], [5.459355641728011, 51.42776398522619], [5.459742702163579, 51.42803007825999], [5.459824895327519, 51.42809077069256], [5.460563307691637, 51.42863601295249], [5.461327066353931, 51.428323381690184], [5.46173057363693, 51.42824768823296], [5.46244707198949, 51.42802423860997], [5.462739127078532, 51.427933155843476]]], ""type"": ""Polygon""}";51.42435886349648, 5.457445971309711
