OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,TIJDSTIP_REGISTRATIE,AZIMUT,REF_OVERWEG_PUIC,REF_OVERWEG_NAAM,TYPE_OVERWEGBEVEILIGING,TYPE_PAALINSTALLATIE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,X,Y,LATITUDE,LONGITUDE,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT
1,41fd4104-8cc9-40e7-a418-91e7c1ef24f3,,60,Bestaand,0,,,9ac4e932-01c6-46da-a45c-fc088cbac17a,1.2,,AHOB,Hlg-Nscg,Harlingen - Nieuweschans Grens ,001,a,1,001_a,Harlingen Haven - Leeuwarden,1.279415,"1,279415",ProRail,Noord-Oost,NO,BAAN,Wadden,420,Friesland,36,157731.113,575959.162,53.17032091,5.42804756,Harlingen,HLG,PPLG
2,af9c38ef-b38b-4ab9-951b-a66dc8f08cb9,,60,Bestaand,0,,,c6bb4979-deff-43a5-8c6b-920b383cff35,100.1,,ALI,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,100.197,"100,197000",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,103712.619,425305.13,51.81400865,4.64343148,Zwijndrecht Groote Lindt,ZWDI,NCBG
3,4e939e65-bc69-4b8e-9e96-def443965b30,,60,Bestaand,0,,,c6bb4979-deff-43a5-8c6b-920b383cff35,100.1,,ALI,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,100.200226,"100,200226",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,103711.107,425297.987,51.81394431,4.64341061,Zwijndrecht Groote Lindt,ZWDI,NCBG
4,62407dba-a2f5-49c9-b291-bad9fd21c32e,,60,Bestaand,0,,,c6bb4979-deff-43a5-8c6b-920b383cff35,100.1,,ALI,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,100.172616,"100,172616",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,103689.27,425314.898,51.8140943,4.64309145,Zwijndrecht Groote Lindt,ZWDI,NCBG
5,8d4ab47f-c916-4071-abb0-8f8b7014f9db,,60,Bestaand,0,,,c6bb4979-deff-43a5-8c6b-920b383cff35,100.1,,ALI,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,100.16924,"100,169240",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,103690.728,425322.212,51.81416017,4.64311151,Zwijndrecht Groote Lindt,ZWDI,NCBG
6,884cf038-1227-4ee7-85ab-668e9a080c26,,60,Bestaand,0,,,c6bb4979-deff-43a5-8c6b-920b383cff35,100.1,,ALI,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,100.167016,"100,167016",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,103685.042,425318.583,51.81412703,4.64302959,Zwijndrecht Groote Lindt,ZWDI,NCBG
7,33746e28-ca70-4484-9467-3fb8349cfdc9,,60,Bestaand,0,,,c6bb4979-deff-43a5-8c6b-920b383cff35,100.1,,ALI,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,100.163471,"100,163471",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,103682.313,425320.849,51.81414714,4.64298968,Zwijndrecht Groote Lindt,ZWDI,NCBG
8,ad911b0b-279a-47ee-9b5a-c1c0b7ca0664,,60,Bestaand,0,,,c6bb4979-deff-43a5-8c6b-920b383cff35,100.1,,ALI,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,100.202556,"100,202556",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,103717.441,425302.275,51.81398343,4.64350182,Zwijndrecht Groote Lindt,ZWDI,NCBG
9,e75155dc-2569-4c03-9c51-f4ea27760f62,,,Onbekend,0,,,c6bb4979-deff-43a5-8c6b-920b383cff35,100.1,,Onbekend,Zwd-Zwdi,Zwijndrecht - Zwijndrecht Groote Lindt ,116,b,116,116_b,Dordrecht - Rotterdam Barendrecht,100.194989,"100,194989",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,103705.074,425298.795,51.81395102,4.64332301,Zwijndrecht Groote Lindt,ZWDI,NCBG
10,0e9934a7-3361-4b27-b884-7f101db092cb,,60,Bestaand,,,,256003fd-1dd7-42b9-ae5d-c5f645047a92,33.1,,AKI,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,33.134577,"33,134577",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,102209.552,426351.725,51.8232749,4.62147617,Kijfhoek Aansl. Zuid,KFHAZ,PPLG
11,33847db4-0867-4b41-aa5e-395159c3406a,,60,Bestaand,,,,256003fd-1dd7-42b9-ae5d-c5f645047a92,33.1,,AKI,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,33.124235,"33,124235",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,102204.14,426327.073,51.82305282,4.62140144,Kijfhoek Aansl. Zuid,KFHAZ,PPLG
12,d4a2696d-a8b6-4c47-a5ac-9520d7b0d062,,60,Bestaand,0,,,0e96270f-7730-442e-8f87-7f86e859dae1,93.2,,AHOB,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,93.257505,"93,257505",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,106254.565,424392.846,51.80603708,4.68042044,Dordrecht,DDR,PPLG
13,ad11338e-0548-45bf-88d1-9bc56f67c6ca,,60,Bestaand,0,,,0e96270f-7730-442e-8f87-7f86e859dae1,93.2,,AHOB,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,93.277744,"93,277744",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,106234.282,424394.991,51.80605459,4.68012607,Dordrecht,DDR,PPLG
14,52163dc9-3f74-4ace-98c7-07ca593cbf55,,60,Bestaand,0,,,0e96270f-7730-442e-8f87-7f86e859dae1,93.2,,RGP,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,93.27258,"93,272580",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,106240.308,424398.945,51.80609065,4.68021288,Dordrecht,DDR,PPLG
