Beschermingsnivea,Boomsoort,Nederlandse naam,Eigendom,Plantjaar,Stamdiameter borsthoogte (klasse),Standplaats,Conditie,Dendrologische waarde,Boomvorm,Plantwijze,Beeldbepalendheid,Cultuurhistorische waarde,Bijzondere vermeldingen,Emotionele waarde,Recreatieve/Educatieve waarde,Boomhoogte,Inspectiedatum,X_RD,Y_RD,longitude,latitude
Monumentale boom,Salix x sepulcralis 'Chrysocoma',(Gele) treurwilg,Gemeente,,41 - 50 cm,Heesterbeplanting,1 - Goed,Klasse 2,Gekandelaberde boom,Solitair,Enigszins,Nee,Boom op lijst van monumentale en waardevolle houtopstand Papendrecht 2008;,Van belang voor de directe omgeving,Enigszins,,8-3-2012,106959.652,428479.897,4.690075272,51.84283159
Monumentale boom,Salix x sepulcralis 'Chrysocoma',(Gele) treurwilg,Gemeente,,41 - 50 cm,Heesterbeplanting,1 - Goed,Klasse 2,Gekandelaberde boom,Solitair,Enigszins,Nee,Boom op lijst van monumentale en waardevolle houtopstand Papendrecht 2008;,Van belang voor de directe omgeving,Enigszins,,8-3-2012,106959.022,428502.749,4.690062952,51.84303692
Monumentale boom,Tilia x europaea,"Gewone linde, Hollandse linde",Gemeente,,21 - 30 cm,Gazon,2 - Redelijk,Klasse 2,Opgekroonde boom,Laan,Normaal,Nee,Herdenkingsboom;,Van belang voor de directe omgeving,Enigszins,14,24-2-2012,107590.663,427804.987,4.699324046,51.83681963
Monumentale boom,Robinia pseudoacacia,"Gewone acacia, Schijnacacia, Witte acacia, Valse acacia, Robinia",Particulier,1913,51 - 60 cm,Heesterbeplanting,3 - Matig,Klasse 2,Opgekroonde boom,Rij,Normaal,Ja,Boom in bestemmingsplannen Papendrecht;,Van belang voor de gemeente,Niet,10,8-6-2012,107220.927,426526.749,4.694136515,51.8252995
Monumentale boom,Robinia pseudoacacia,"Gewone acacia, Schijnacacia, Witte acacia, Valse acacia, Robinia",Particulier,1913,71 - 80 cm,Heesterbeplanting,3 - Matig,Klasse 2,Opgekroonde boom,Rij,Zeer,Ja,Boom in bestemmingsplannen Papendrecht;,Van belang voor de gemeenschap,Niet,17,8-6-2012,107223.747,426534.81,4.694176304,51.8253722
Monumentale boom,Juglans regia,"Okkernoot, Gewone walnoot",Particulier,,31 - 40 cm,Heesterbeplanting,1 - Goed,Klasse 2,Opgekroonde boom,Groep,Zeer,Ja,Boom in bestemmingsplannen Papendrecht;,Van belang voor de gemeenschap,Niet,,26-1-2012,107312.556,426500.553,4.695469173,51.8250719
Monumentale boom,Taxus baccata,"Gewone taxus, Venijnboom",Particulier,1930,41 - 50 cm,Elementenverharding,1 - Goed,Klasse 2,Opgekroonde boom,Rij,Zeer,Ja,Boom in bestemmingsplannen Papendrecht;,Van belang voor de gemeenschap,Niet,11,26-1-2012,107311.671,426484.635,4.695458533,51.82492876
Monumentale boom,Robinia pseudoacacia,"Gewone acacia, Schijnacacia, Witte acacia, Valse acacia, Robinia",Particulier,1915,31 - 40 cm,Heesterbeplanting,2 - Redelijk,Klasse 2,Opgekroonde boom,Groep,Zeer,Ja,Boom op lijst van monumentale en waardevolle houtopstand Papendrecht 2008;,Van belang voor de gemeente,Niet,,13-6-2012,107343.431,426477.787,4.69592014,51.82486992
Monumentale boom,Taxus baccata,"Gewone taxus, Venijnboom",Particulier,1925,41 - 50 cm,Heesterbeplanting,1 - Goed,Klasse 2,Natuurlijk,Solitair,Zeer,Ja,Boom in bestemmingsplannen Papendrecht;,Van belang voor de gemeenschap,Niet,13,6-6-2012,107415.617,426448.583,4.696971181,51.8246136
Monumentale boom,Taxus baccata,"Gewone taxus, Venijnboom",Particulier,1925,31 - 40 cm,Heesterbeplanting,1 - Goed,Klasse 2,Natuurlijk,Groep,Zeer,Ja,Boom in bestemmingsplannen Papendrecht;,Van belang voor de gemeenschap,Niet,11,6-6-2012,107392.289,426459.544,4.696631312,51.82471013
