Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Gezondheidscentrum Bronovo;;1;;;;;;1
Global Connection;;;;;2;;;2
Glope Events B.V.;;;1;;;1;;1
GoodHabitz B.V.;;;;;2;;;2
Gorelli Cultural Projects;;;1;;;;;1
GrachtenAtelier;;;1;;;;;1
Grandcafe Haagsche Bluf;;;1;;;;;1
Grapes & Olives;;;1;;;;;1
Hampshire Exploitatie I B.V.;;;1;;1;1;2;2
Handelsonderneming N.W. van Bavel;;;1;;;;;1
Hartong B.V.;;;;;;;1;1
Hauber Management Advies;;;;;1;;;1
Havana Den Haag;;;1;;;;;1
HC Producties;;;;;1;;;1
Hesbak B.V.;;;1;;;;;1
Het Broekerhuis;;;;;1;;;1
Het Kabinet, Eten en Drinken;;;;;;1;;1
Het Nutshuis;;;1;;1;1;;1
Het Panorama;;;1;;;;;1
Het Pleidooi;;;1;;;1;;1
Het Wapen van Reeuwijk;;;1;;;;;1
Hilgers Consultancy - Partner in Leren/Ontw.;;;;;3;;;3
Holding Beheermaatschappij Ropeni B.V.;;;1;;;1;;2
Holland Maritime Services B.V.;;;1;;;;;1
Horeca Exploitatie Maatschappij Berlage B.V.;;;1;;;;;1
Hot ITem B.V.;;;;2;1;;;2
Hotel New York B.V.;;;1;;;;;1
Hotel/Restaurant Corona;;;;;;;1;1
House of Lords;;;;;;1;;1
HR Via Care B.V.;;;;;;;1;1
HSK Interventie B.V.;;1;;;;;;1
HTM Specials;;;1;;1;1;1;2
Huis ten Haghe;;;;;;1;;1
ICM Opleidingen & Trainingen B.V.;;;;;1;;;1
Impero Romano Holding B.V.;;;;;;1;;1
In2Content B.V.;;;;;1;1;;1
Indisch Restaurant Garoeda;;;1;;;1;;1
Indonesisch Restaurant Poentjak;;;1;;;1;;1
ING Bank N.V.;1;;1;;;1;2;2
Instituut voor Psychotrauma Nederland B.V.;;2;;;;;;2
Intelligence Group B.V.;;;;2;;;;2
Internet Unie Services B.V.;;;;1;;;;1
Intersafe Groeneveld B.V.;;1;;;;;;1
Investico E-Commerce;;;;;;1;;1
Iona Des Indes B.V.;;;1;;;1;1;1
ITIP School voor Leven en Werk B.V.;;;;;1;;;1
Jaarbeurs Ontwikkeling B.V.;;;;2;;;;2
Japans restaurant Sumo Den Haag B.V.;;;1;;;;;1
Jonker en Wu;;;;;1;;;1
Kaap Doorn B.V.;;;;;1;;;1
Kasteel Oud-Poelgeest B.V.;;;;;1;;;1
Kessels & Smit Something B.V.;;;;;2;;;2
KLM;;;;;;;1;1
KLM Health Services B.V.;;5;;;;;;5
Koken-op-maat;;;1;;;;;1
Koninklijk Instituut van Ingenieurs;;;1;;2;;;2
Koninklijke Haskoning DHV Groep B.V.;;;;;1;;;1
Koninklijke Visio, Land. Stg. Slechtz./Blind.;;1;;;;;;1
Kris Kras Design B.V.;;;;;1;;;1
KSG B.V.;;;;;3;;;3
La Place;;;1;;;;;1
Language Partners;;;;;1;;;1
Lara Frank Managementadvies;;;;;2;;;2
LD Horeca B.V.;;;1;;;;;1
Le Bistroquet B.V.;;;;;;1;;1
Learn it B.V.;;;;;1;;;1
Leeuwendaal Advies B.V.;;;;3;;;;3
Leidse Onderwijsinstellingen B.V.;;;;;1;;;1
Les Ombrelles;;;1;;;1;;1
Libereaux B.V.;;;;;2;;;2
Link 2 Learn;;;;;1;;;1
Little V;;;1;;;;;1
Live Trainingen B.V.;;;;;2;;;2
Logeion;;;1;;;;;1
Louwman Musea B.V.;;;;;;1;;1
Lunchroom Nieuw Engelhard;;;1;;;;;1
Lyreco Nederland B.V.;;1;;;;;;1
Maatsch. Chirurgen Medisch Centrum Haaglanden;;1;;;;;;1
Madurodam B.V.;;;;;;1;;1
Magnet.me;;;;1;;;;1
Maison de la Foret;;;1;;;1;;1
Maison van den Boer;;;1;;;;;1
MaMa Kelly B.V.;;;1;;;;;1
Markus Verbeek Consultancy B.V.;;;;;1;;;1
Maters & Hermsen Journalistiek B.V.;;;1;;;;;1
Maureen Cuisine;;;1;;;;;1
Mauritshuis;;;1;;;1;;1
Maximum;;;;1;2;;;2
Maxlead Services B.V.;;;;2;;;;2
Menz B.V.;;;;;1;;;1
Mercure Hotel Amsterdam City;1;;1;;2;2;1;3
MetrixLab B.V.;;;;2;;;;2
Meurs HRM;;;;1;;;;1
Michiel Hulshof;;;;;;1;;1
Mieke Tunnissen & Annet Boskamp B.V.;;;;;1;;;1
Millers;;;1;;;;;1
Moving Balance;;;;;1;;;1
Munckhof Taxi B.V.;;;;;;;2;2
Museum Catering B.V.;;;1;;;1;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;3;;;3
Ned. Trainingsinst. v Neurolinguist. Progr.;;;;;1;;;1
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;;;;;1;;;1
Nederlandse Vereniging voor Europees Recht;;;;;1;;;1
Nespresso Nederland B.V.;;;1;;;;;1
Nevi Opleidingen B.V.;;;;;2;;;2
New Babylon Meeting Center B.V.;;;2;1;1;2;;3
NFGD Zoetermeer B.V.;;;1;;1;1;;1
Nieuwe of Litteraire Sociëteit De Witte;;;1;;;1;;1
Nifa B.V.;;;;;1;;;1
NRC Handelsblad Weekeditie voor buitenland;;;;;;1;;1
Nsob;;;;;3;;;3
Ollini;;;1;;;;;1
Onder de Watertoren;;;1;;;;;1
Ontbijt & Lunch Juni;;;1;;;;;1
Opleidingscentrum Haaglanden B.V.;;;;;2;;;2
Opportunity Advies B.V.;;;;;2;;;2
Optimaal Talent;;;;;2;;;2
