Nummer;Naam locatie;Adres;Toevoeging;Postcode;Mobiel stembureau;Stadsdeel;Wijk;Buurt;Rolstoel toegankelijkheid;Aangepaste openingstijden;X;Y;LONG;LAT;COUNTER
138;HV & CV Quick;DE SAVORNIN LOHMANLAAN 215;;2566 BZ;Nee;Loosduinen;Bohemen en Meer en Bos;Bosjes van Pex;ja, er is een oprit nodig;;76556.553;454397.74;4.243033078526539;52.07230063867542;1
101;Duinhage Florence;DE SAVORNIN LOHMANLAAN 202;;2566 AW;Nee;Loosduinen;Bohemen en Meer en Bos;Bohemen en Meer en Bos;ja;;76503.003;454125.586;4.242314739420264;52.069847314166324;2
102;Dalton Den Haag;ARONSKELKWEG 1;;2555 GA;Nee;Loosduinen;Bohemen en Meer en Bos;Bohemen en Meer en Bos;ja, er is een oprit nodig;;76338.574;453929.587;4.239962145216646;52.06806262463807;3
103;Inspecteur S. de Vriesschool;HELIOTROOPLAAN 35;;2555 MA;Nee;Loosduinen;Bohemen en Meer en Bos;Bohemen en Meer en Bos;ja, er is een oprit nodig;;75439.355;453786.629;4.226883318662339;52.066649500661754;4
139;Scoutinggroep Ferguson;MUURBLOEMWEG 41;;2555 NB;Nee;Loosduinen;Bohemen en Meer en Bos;Bohemen en Meer en Bos;ja, er is een oprit nodig;;75917.685;453748.864;4.2338667200728155;52.06637861498949;5
141;Honk- en softbalclub Storks;SCHAPENATJESDUIN 9;;2554 BW;Nee;Loosduinen;Kijkduin en Ockenburgh;Ockenburgh;ja;;74998.301;453409.64;4.220540548903555;52.06319815027344;6
104;Haags Centrum voor Onderwijsbegeleiding;ZANDVOORTSELAAN 146;;2554 EM;Nee;Loosduinen;Kijkduin en Ockenburgh;Kijkduin;ja, er is een oprit nodig;;75286.722;453995.778;4.2246089074011515;52.06850708697414;7
107;Parnassia;MONSTERSEWEG 75;;2553 RH;Nee;Loosduinen;Kraayenstein en Vroondaal;Kraayenstein en Vroondaal;ja;;74216.631;451345.2;4.209631929616687;52.04453256185927;8
142;SV Loosduinen;MADESTEINWEG 17;;2553 EC;Nee;Loosduinen;Kraayenstein en Vroondaal;Kraayenstein en Vroondaal;ja;;75175.276;451665.154;4.223528501998059;52.047546735512526;9
148;Stichting de Madelief;BOOMAWEG 100;;2553 ED;Nee;Loosduinen;Kraayenstein en Vroondaal;Kraayenstein en Vroondaal;;;75247.897;450436.514;4.22487359642608;52.036515905079746;10
