Rijlabels;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Aann.bedr. P.A. van Miltenburg & Zn. B.V.;;2;;;;2
ABB Vastgoed II B.V.;;;;;1;1
Ahrend Inrichten;;1;;;;1
Ajax Chubb Varel Venlo;;1;;;;1
Albron Nederland B.V.;;1;;;;1
ALLSAFE mini opslag Utrecht;;;;;1;1
ARAS Security B.V.;;;;;1;1
ARCADIS Nederland B.V.;;;;;4;4
Arconell;;1;;;;1
ASR Vastgoed Vermogensbeheer B.V.;;;;;1;1
Axent Reclame;;1;;;;1
B.V. Electro Centraal E.C.;;1;;;;1
BAM Techniek;;1;;;;1
Beheer- en Expl.mij. Westergasfabriek B.V.;1;;;;;1
Beweging 3.0;;;;;1;1
BIGA Groep B.V.;;;;1;;1
Bilthoven Biologicals B.V.;;8;4;5;8;9
Bio-Connect Services B.V.;;;;;1;1
bol.com B.V.;1;;;;1;1
Bopibo Holding B.V.;2;;;;;2
Bouw- en Aannemingsbedrijf L. Dijkxhoorn B.V.;;;;;1;1
Bouw- en Aannemingsbedrijf Wulverhorst B.V.;;4;;;;4
Bouwbedrijf Van den Engel B.V.;;5;;;;5
BPI Services B.V.;;2;;;;2
Brinkman Agro B.V.;;;;;1;1
Brok Interieurbouw B.V.;;2;;;;2
Bruker Nederland B.V.;;;;;1;1
Building Services Amersfoort B.V.;;5;;;;5
CarePack Holland B.V.;;;;;1;1
CARU Containers Lease I B.V.;;;;;1;1
Catec B.V.;;;;;1;1
Co. Van Beek Generatoren;;;;;1;1
Conrad Electronic Benelux B.V.;;;;;1;1
Contour Advanced Systems B.V.;;2;;;;2
Croon Elektrotechniek B.V.;;1;;;;1
CWS Nederland B.V.;1;;;;;1
De Vos Groep B.V.;;1;;;;1
De Vries Projekt Design B.V.;;;;1;;1
De Wilde Metaal B.V.;;;;;2;2
Den Ouden-Woonflair;;2;;;;2
Djinny;;;;1;;1
Donkergroen B.V.;;1;;;;1
DTZ Zadelhoff Property Management B.V.;;;;;1;1
Dupa Veiligheidstechniek B.V.;;;;;1;1
Dyzle Operations B.V.;;1;;;;1
Eijkelkamp Soil & Water B.V.;;;;;1;1
Electrotech. Installatiebureau Randstad B.V.;;;;;1;1
Elscolab B.V.;;;;;1;1
Emdamed B.V.;;;;;1;1
Eneco Zakelijk;;;2;;;2
Energieonderzoek Centrum Nederland;;;;;1;1
Enexis B.V.;;1;1;;;1
Fa. van der Neut Uw Groene Vakwinkel;;;;;1;1
Farnell (Netherlands) B.V.;;;;;1;1
Flora Limburg;1;;;;;1
G. Bakker en Zn. B.V.;;;;;1;1
G.R. Instruments B.V.;;;;;1;1
GCA Events B.V.;;;;;1;1
Gerritse IJzerwaren;;;;;1;1
Graydon Incasso B.V.;;;;;1;1
Green Fortune Nederland B.V.;;1;;;;1
Habitat Solutions B.V.;;1;;;;1
Hecla Electronics B.V.;;1;;;;1
Heijmans Wegen Hovenier B.V.;;2;;;;2
Homij Technische Installaties B.V.;;7;;;;7
Hotel Contact B.V.;1;;;;;1
House of Brands B.V.;;1;;;;1
Huisartsenpraktijk Tolliusstraat B.V.;;;;;1;1
Immano B.V.;;2;;;;2
Imtech Building Services;;2;;;;2
Ingenieursbureau Wittich & Visser B.V.;;;;;2;2
Installatiebedrijf Gebroeders Dijs B.V.;;2;;;;2
ISS Integrated Facility Services B.V.;;;;;1;1
Jacobs Douwe Egberts Nl B.V.;1;;;;;1
Jan Abrahams Hovenier B.V.;;1;;;;1
Jelmer Valk;;1;;;;1
Johnson Controls Systems & Service B.V.;;2;;;;2
Jungheinrich Nederland B.V.;;;;;1;1
Kent Nederland B.V.;;;;;1;1
Kiwi Electronics B.V.;;;;;1;1
Koek & Reinders Schilderwerken B.V.;;;;;1;1
Koninklijke Fabrieken Posthumus B.V.;;;;;1;1
Koopmans Service & Onderhoud B.V.;;3;;;;3
Kropman Installatietechniek;;;;;1;1
Kruizinga B.V.;;;;;1;1
Leertouwer B.V.;;1;1;;;2
Liander N.V.;;;1;;;1
Luijten Groentechniek B.V.;;1;;;;1
Maasdam Groep B.V.;;;;;1;1
Manovert B.V.;1;;;;;1
Manutan B.V.;;;;;2;2
Master Nederland B.V.;;;;;1;1
Modelec Data-Industrie;;;;;1;1
Mondial Movers B.V.;;3;;;;3
Nikon Instruments Europe B.V.;;;;;1;1
Noviprint B.V.;;;;;1;1
Nsecure B.V.;;1;;;;1
O&M-Movianto Nederland B.V.;;;;6;;6
Oasis Data & Document Management Netherlands;;2;;;;2
Op ten Noort Blijdenstein B.V.;;;;;1;1
Oudaen B.V.;;;;;1;1
Pimzos V.O.F.;;;;;1;1
Poolster B.V.;;1;;;;1
Progenta Project Services Benelux B.V.;;1;;;;1
Protinus IT B.V.;;;;1;;1
Reisswolf Heesch B.V.;1;;;;;1
Result Laboratorium B.V.;;;;;1;1
ROHDE & GRAHL B.V.;;2;;;;2
RS Components B.V.;;;;;1;1
S+B Rotterdam B.V.;;4;;;;4
Security Monitoring Centre;;;;;1;1
Sensitech Holding B.V.;;;;;1;1
Sita Ecoservice;;;;1;;1
Smeba Brandbeveiliging B.V.;1;;;;;1
Sodexo B.V.;;;;;1;1
Stichting Kunstuitleen Utrecht;;1;;;;1
Stichting Microbiele Typering;;;;;4;4
Stichting Technisch Bureau Afbouw;;1;;;;1
Technische Unie B.V.;;;;;1;1
The Fieldwork Company;;1;;;;1
ThorLabs;;;;;1;1
THUYS in wonen en slapen;;;;;1;1
Top Movers Nederland B.V.;;;;4;;4
Transposafe Systems;;;;;1;1
Trigion Beveiliging B.V.;1;;;;;1
Unica Security B.V.;;4;;;;4
USC Nederland B.V.;;;;;2;2
UTS Abbink Den Haag;;;;1;;1
Van der Ham Beheer B.V.;;;;;1;1
Van Gansewinkel Nederland B.V.;1;;;;;1
Van Riemsdijk Verhuizingen B.V.;;;;;1;1
VCMI N.V.;;;;;1;1
Veldhoen + Company B.V.;;1;;;;1
W. Schriek Beheer B.V.;;2;;;;2
WorkSphere;;6;;;;6
XMARK B.V.;;;;;1;1
Eindtotaal;2;9;4;7;8;9
