objectid;globalid;CreationDate;EditDate;locatie_omschrijving;voldoet_aan_standaard_maat_35_x;aantal_plaatsen;aantal_plaatsen_other;parkeersensor;limiet_van_tijd;limiet_tot_tijd;gratis_parkeren_met_europeese_v;opmerking;gemeente;cbs_gemeentecode;limiet_van_dag_van;limiet_van_dag_tot;grenst_dit_verkeersbord_aan_de_parkeerplaats;is_het_vak_duidelijk_afgebakend;is_er_een_verlaagde_band_aanwez;is_de_verlaagde_band_minimaal_120cm;is_er_een_verkeersbord_rvv_e06_;is_er_op_grotere_parkeerplaatse;limiet;X;Y;LONG;LAT
1;745a2c9b-1ccc-4cb7-8262-71cd920ada9c;2020-11-20;2020-11-30;Pasteurstraat 320;nee;1;;nee;10:00;18:00;ja;;'s Gravenhage;GM0518;maandag;zaterdag;ja;ja;nee;nee;ja;nee;;82635.6323067723;452894.11351697904;4.33200577142982;52.0596154367923
2;2c95dd09-d61f-43fe-8db4-cf9adeb172ce;2020-11-23;2020-12-01;Revalidatiecentrum Basalt;ja;other;6;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;ja;;78123.40128034914;450901.40487284475;4.2666696649790605;52.041099905557324
3;1d2228f1-d5f6-4597-86f1-b07857818c2f;2020-11-24;2020-11-30;kalvermarkt 30;nee;4;;ja;;;ja;;'s Gravenhage;GM0518;;;;;;;;;;81642.29806603589;454995.811917365;4.317072003994106;52.07837231900323
4;0820ef0e-bff3-446c-8a03-751cc3d5ab63;2020-11-24;2020-11-30;Kalvermarkt 5;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;max 2 uur;81574.13077578855;454927.2892097102;4.316092501374659;52.077747487170186
5;65b4371f-2beb-4a1e-8614-e0a821492a75;2020-11-24;2020-11-30;Gedempte gracht 263;nee;4;;ja;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;81428.23822673649;454767.3487519297;4.313999113415458;52.07629077709512
6;8d6ccdb7-6127-4ef8-87fa-e4e36a604ef6;2020-11-24;2021-02-21;Stationsweg 93;nee;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;81815.77568953412;454323.3476610734;4.319746461951893;52.072351984715496
7;25dce412-f6d6-43ef-80e6-5b0282cb5738;2020-11-24;2021-02-21;Stationsweg107;nee;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;81843.1689572965;454281.0564746484;4.3201550153911805;52.07197554180697
8;1407cdd1-7e68-4607-81ad-9e47cf02d3a7;2020-11-24;2021-02-21;Waldorpstraat 80;nee;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;82037.29708558694;453917.6809639105;4.323063726071766;52.068735567777416
9;70b0feab-6a49-4a29-8605-8a7df6f0647d;2020-11-30;2020-11-30;Maanweg 96j;ja;2;;nee;07:00;17:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;nee;;83832.59988667809;453523.88128078624;4.349325616652282;52.06543011200436
10;82842774-6a93-483a-89a7-60d723046ef2;2020-11-30;2020-11-30;Regulusweg 5;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;nee;ja;ja;ja;nee;;83852.87762911427;453952.3622117064;4.349531998236406;52.06928341485501
11;5249c28e-1007-4eb3-86b3-c6667dbea91e;2020-11-30;2020-11-30;Wegastraat 25;ja;1;;nee;08:00;17:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;ja;ja;ja;nee;;83271.42027624228;453956.95409761625;4.341051902486123;52.06924969206006
12;afb3aa77-f82a-4666-8ede-003ce2428c3c;2020-11-30;2020-11-30;Asstraat 120;ja;1;;nee;07:00;18:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;nee;;82551.16334047276;453633.33429379563;4.330617432749123;52.066247644295686
13;82e9878d-00e0-4ace-86ec-5bb98c0593be;2020-11-30;2020-11-30;Draaistraat 2;nee;1;;nee;08:30;19:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;nee;Zaterdag van 10:00 tot 13:00;82529.43778126492;453516.10971505905;4.330325522928607;52.06519132664105
14;4c429e99-1c09-4724-852a-cd2edab4e3ed;2020-11-30;2021-02-23;Lotentzplein 8;ja;1;;nee;08:00;18:00;ja;;'s Gravenhage;GM0518;maandag;zaterdag;ja;ja;nee;nee;ja;nee;;82337.20228915298;453050.23002399964;4.327621641178273;52.060979371015094
15;dfdf5d28-ecc3-4628-82e9-2b47f0603494;2020-11-30;2021-02-23;Lotentzplein 15;ja;1;;nee;08:00;18:00;ja;;'s Gravenhage;GM0518;maandag;zaterdag;ja;ja;nee;nee;ja;nee;;82312.79136518852;453036.2998751673;4.3272686999629;52.0608509813283
16;449f626b-1667-4978-80f9-b2375f6ef4f4;2020-11-30;2021-02-21;Rijswijkseweg 252;ja;1;;nee;09:00;23:00;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;82310.55473954763;453961.48952937505;4.327039126290006;52.06916519267876
17;fd2f8b53-5937-41ad-8b8c-cb62e7e9e73c;2020-11-30;2020-11-30;Stamkartplein;ja;other;8;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;82047.04592024421;453648.92530332966;4.323263316957436;52.066321598842826
18;dec2f3ec-72b9-4636-8b69-13e4bb39ff8f;2020-11-30;2021-02-24;Slachthuislaan 25;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;Max 2 uur;81718.7598935909;453062.4307823714;4.3186022822283885;52.06100756411448
19;09a943bf-dd1f-4a49-838d-f5ed0c6304e2;2020-11-30;2021-02-23;Verheeskade 25;nee;other;5;nee;08:00;18:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;nee;;81857.58901547981;453446.0923738328;4.320544201555369;52.064473798478396
20;09cf06e1-913b-43c0-8d42-b3fb7a09ba83;2020-11-30;2021-02-23;Verheeskade 187;nee;2;;nee;08:00;17:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;nee;;81732.52512486259;453338.42881073075;4.318743759782198;52.06348972239442
21;0e3a5248-2ecc-48e5-879d-959b017c5d01;2020-11-30;2020-11-30;Neherkade 3100;nee;2;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;81345.04828407484;452888.81391604745;4.313191105247648;52.05939775187552
22;5e0986ae-175e-4621-825a-f771dc26cd99;2020-11-30;2020-11-30;Tak van Poortvlietstraat 6;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;81960.50146634644;453391.83420753706;4.32205636453635;52.063999768857585
23;9ee3a968-3223-44cd-8dcd-feb090db1f55;2020-11-30;2020-11-30;Beetsstraat 1;ja;2;;nee;08:00;18:00;ja;;'s Gravenhage;GM0518;maandag;zaterdag;ja;ja;nee;nee;ja;nee;Koopavond 21:00;81375.26898058606;452455.36493813415;4.3137251277596045;52.05550645344529
24;066cf441-271d-459e-8538-cce798f5a90e;2020-11-30;2021-02-23;Gouverneurlaan 520;nee;1;;nee;08:00;18:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;nee;;81716.14774374924;452656.9582542289;4.318651198876987;52.05736331839028
25;ba8392d6-3dc3-4d3a-8694-3c81fc6310ae;2020-12-01;2020-12-01;Uilenbomen 67;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;82050.36392741631;454791.9923391255;4.323067397963077;52.07659454235337
26;e04d5f15-1887-4b22-8413-c897f36362f2;2020-12-01;2021-02-21;Rijnstraat centraal station;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;Max 30 min;82111.37980373789;455212.0166062332;4.323867579681361;52.080377243881955
27;f059752d-beaa-4863-86ef-331698b47b65;2020-12-01;2021-02-21;Zwarteweg 48;ja;4;;ja;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;82020.37036167721;455096.77343315695;4.322564758457115;52.07932959190074
28;cf650021-2597-49e6-8646-192edd411a14;2020-12-01;2021-02-21;Oranje buitensingel 3;ja;1;;ja;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;81892.79725264916;455295.9682859025;4.320661325800915;52.08110288352976
29;78653e73-f293-41a3-806c-bf59f8bf4aa3;2020-12-01;2021-02-21;Zwarteweg ;ja;1;;ja;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;81873.2308579866;455295.23367297626;4.320376081550817;52.081093698087905
30;a5462690-fb93-42a2-8479-2b0d9ed87364;2020-12-01;2020-12-01;Plein 24;ja;4;;ja;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;81514.9996959031;455208.9901995776;4.315169390676221;52.080271223868905
31;fc26c91e-9194-4996-86a6-722a7728595e;2020-12-01;2020-12-01;Lange Voorhout 5;ja;3;;ja;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;nee;ja;nee;;81170.16460624798;455355.4597715575;4.310107924645919;52.08154163986459
32;f8b54bbc-7dd3-4182-8944-77b9142605f0;2020-12-01;2020-12-01;Hofweg 1;ja;2;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;81296.80728968463;455013.767289384;4.312029004133608;52.07848780492258
33;29f0227f-2247-46df-8fc6-10ccbe1e87a0;2020-12-01;2020-12-01;Torenstraat 48;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;80892.1788391083;454886.39466685936;4.306154993932215;52.077289138658216
34;75ad4e73-86ca-4ad1-80df-9a12451754e9;2020-12-01;2020-12-01;Westeinde 46;ja;1;;ja;09:00;18:00;ja;;'s Gravenhage;GM0518;maandag;zaterdag;ja;ja;ja;ja;ja;nee;;80670.89944328812;454766.4299029457;4.302953762779176;52.07618139115165
35;6d72842d-d5ff-4a92-8a84-51c2db32011f;2020-12-01;2020-12-01;Varkenmarkt 49;ja;1;;nee;08:00;22:00;ja;;'s Gravenhage;GM0518;maandag;zaterdag;ja;nee;ja;;ja;nee;;80875.6760180179;454599.37501037214;4.305976645292581;52.07470755749555
36;9d6930b9-9666-4bc5-8b6e-e8f388bb8177;2020-12-01;2020-12-01;Brouwersgracht 50;ja;2;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;80884.49184168088;454399.2166198496;4.3061486844567165;52.07290996416603
37;bda9719e-3044-4166-8213-6422c636984c;2020-12-01;2020-12-01;Spijkermakerstraat 180;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;80648.25676890087;454360.91330811713;4.302711874995361;52.07253407964727
38;6d001ef7-aafd-4d18-8724-fc8af6ed04b4;2020-12-01;2020-12-01;Koningsstraat 104;ja;1;;ja;08:00;17:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;;;81401.77647412755;454018.4333160207;4.313774672398548;52.069556931711396
39;26f134fc-6406-429f-8ff1-5992bc3004e2;2020-12-02;2021-02-21;Fluwelenburgwal 2;ja;2;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;nee;;81742.30954849307;455189.116075684;4.318489208916911;52.0801227385283
40;7038da5f-d235-49c9-8eed-4af3f77a187a;2020-12-02;2020-12-02;Fluwelenburgwal 45;ja;1;;nee;12:00;14:00;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;Dinsdag, vrijdag en zaterdag, Buiten deze tijden betaald parkeren;81733.74086521825;454997.40764472855;4.318405393184927;52.078398765245026
41;d8656b95-8520-471b-8314-e9c7612452ae;2020-12-02;2021-02-21;Stamkartplein 500;ja;4;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;nee;;81739.30579907024;455096.15206605865;4.318465358064191;52.07928689498755
42;8232ec4f-726e-4d88-86dd-cc1aca310400;2020-12-05;2020-12-06;Steentijdsingel;ja;2;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;ja;;85273.1242964461;450908.8789199032;4.3708641772575785;52.042112461129705
43;c776b23f-1984-4be5-81f9-ef57245c06a5;2020-12-05;2020-12-06;Steentijdsingel 63;ja;2;;nee;;;ja;;'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;ja;;85187.81071770712;450901.6292232371;4.3696223144837285;52.04203657124002
44;d2f3c6b8-afa9-4544-8466-0632dd9f5c2c;2020-12-05;2021-01-08;Theresiastraat 75 Den Haag;nee;1;;nee;;;ja;Parkeerplaats voor de Albert Heijn;'s Gravenhage;GM0518;;;ja;ja;ja;ja;ja;;Geen limiet;82689.19568199044;455606.43955411896;4.332212069359255;52.08399759983263
46;b1eb5855-4ab0-4459-8db9-e60d46d421e3;2020-12-11;2021-02-23;Van dijckstraat 189;nee;4;;ja;08:00;18:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;ja;;81047.75817455999;453758.01839768543;4.30866860859417;52.06716949329342
47;0fbc0582-c4da-48d7-8219-83f29228dac9;2020-12-11;2020-12-11;Jan de baenstraat 25;ja;other;8;nee;;;ja;;'s Gravenhage;GM0518;;;;ja;nee;nee;nee;nee;;80881.61837850213;453794.8849939866;4.306237999995835;52.067478599985556
48;3f05e598-34e7-40fa-80a1-4b671c5a0bff;2020-12-11;2020-12-11;Gerard Doustraat 145;ja;3;;nee;;;ja;;'s Gravenhage;GM0518;;;;ja;nee;nee;nee;nee;;80691.1793997779;453908.60948002996;4.303436299995846;52.068475099985555
49;f2d5267f-fef8-4a11-80f4-d4f98c45f404;2020-12-11;2020-12-11;Hobbemastraat 82;ja;1;;nee;08:00;18:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;nee;nee;;ja;nee;;80659.90035891283;453967.31780180463;4.3029673999958495;52.06899849998555
50;5701d99b-d565-437d-885b-72b4400f749a;2020-12-11;2020-12-11;Vaillantlaan 83;nee;other;9;nee;;;ja;;'s Gravenhage;GM0518;;;;ja;nee;nee;nee;nee;;80575.69362931562;453999.7553003324;4.301732399995856;52.06927869998553
51;aadd9402-1378-40e3-85fc-9498b87f8ebd;2020-12-11;2020-12-11;Van der Neerstraat 33;ja;1;;ja;08:00;18:00;ja;;'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;nee;;80426.46506292366;454027.1813158525;4.299550299995863;52.06950509998553
52;a7e32002-32f0-4a9d-8b72-f37c787cdac3;2020-12-11;2020-12-11;Netscherstraat 20;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;;ja;nee;nee;nee;nee;;80364.14757784607;454023.3304551034;4.298642399995867;52.06946209998556
53;eec01c60-7154-4f8c-8651-7b73dd815315;2020-12-11;2020-12-11;Honselersdijkstraat 18;ja;4;;nee;;;ja;;'s Gravenhage;GM0518;;;;ja;nee;nee;nee;nee;;80418.30975434804;454202.3614632166;4.299393099995863;52.071078299985544
54;666aeadf-12a7-428b-8120-5c8bdea353fa;2020-12-11;2021-01-24;Schapenlaan 50;ja;1;;nee;;;ja;;'s Gravenhage;GM0518;;;;ja;nee;nee;nee;nee;;80261.67715217732;454408.76813515794;4.29706373557785;52.07291210801196
55;7c10ccc2-c7ba-46cf-8e06-4eabbca0252a;2020-12-12;2021-02-21;Johannes Camphuijsstraat 25 Den Haag;nee;1;;nee;08:00;22:00;ja;"Parkeerplaats ca 1.5 x 6.5 m
Verlaagde band aan de zijkant aanwezig";'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;ja;;83133.24961463225;455824.1626948451;4.338643757667833;52.08601205158644
56;5e676cb6-3931-4b8a-8281-338b5c3e698f;2020-12-12;2021-02-21;Theresiasraat196 en 198 Den Haag;nee;2;;nee;;;ja;"Parkeerplaats ca 1.50x 6m
Geen verlaagde band aanwezig";'s Gravenhage;GM0518;;;ja;ja;nee;nee;ja;ja;Geen limiet;83073.48023835549;455890.28586739145;4.337757898143286;52.08659852608326
57;8bf57e67-4d47-440e-8ad7-1858c84f5edf;2020-12-12;2021-02-21;Theresiastraat 195 Den Haag;nee;2;;nee;08:00;20:00;ja;"Parkeerplaats ca 1.50 x 6 m
Verlaagde band op de hoek van de straat";'s Gravenhage;GM0518;maandag;zaterdag;ja;ja;nee;nee;ja;ja;;83214.63278123374;455980.2818475974;4.339798115339943;52.08742562272082
58;fc23739d-144b-4e55-84c5-4739cd140260;2020-12-12;2021-02-21;Bezuidenhoutseweg 211 Den Haag;nee;1;;nee;08:00;18:00;ja;"Parkeerplaats is ca 1.80 x 6 m
Verlaagde band  bij zebrapad  8 m naar achteren";'s Gravenhage;GM0518;maandag;vrijdag;ja;ja;nee;nee;ja;ja;;82918.44290381036;456063.20178739924;4.335459640471175;52.08813232322038
