FID,objrijksnr,objectnaam,provco2000,gemnm2000,cbs_tekst,type,soort_obj,straatnaam,huisnummer,toevoeging,postcode,woonplaats,x,y,comrijksnr,comnaam,ligging,catalog_nr,dienst,catalgnaam,se_anno_cad_data,gdb_geomattr_data,shape
historische_bouwkunde.1,32245, ,ZH,Binnenmaas,Kerkelijke gebouwen,Kerken,Gebouw,Kerkplein,1, ,3297 AX,PUTTERSHOEK,99041,424480,0, ,XY in het pand,B28,Zuid-Holland,Zaalkerk,,,POINT (99039.90399999917 424480.41800000146)
historische_bouwkunde.2,32458, ,UT,Rhenen,"Gebouwen, woonhuizen",Gebouwen,Gebouw,Stokweg,1, ,3911 TL,RHENEN,165896,442128,0, ,XY in het perceel,B18,Utrecht,Tabaksboerderij,,,POINT (165896.1160000004 442127.91899999976)
historische_bouwkunde.3,509021, ,NH,Diemen,"Losse objecten, ed.",Diversen,Grenspaal,Ouddiemerlaan,553, ,1111 HH,DIEMEN,126544,485387,0, ,XY in het pand,B25,Noord-Holland,Grenspaal en woonhuis,,,POINT (126544.32400000095 485387.0789999999)
historische_bouwkunde.4,512132, ,UT,Lopik,"Losse objecten, ed.",Diversen,Grenspaal,Lekdijk West,20, ,3411 MV,LOPIK,123566,441308,0, ,XY in het pand,B19,Utrecht,Dijkbewakingspalen,,,POINT (123565.65300000086 441308.131000001)
historische_bouwkunde.5,0, ,NB, , ,brug, ,Moerdijkbrug,0, , , ,0,0,0, , ,B38,Noord-Brabant,d'Orangemolen,,,POINT (103283.01300000027 414032.76900000125)
historische_bouwkunde.6,0, ,UT, , ,Vestingwerk,Vestingwerk, ,0, , , ,0,0,0, , ,B17,Utrecht,Fort Vechten en Fort De Lunetten,,,POINT (138234.50499999896 451851.23999999836)
historische_bouwkunde.7,30986, ,LI,Nuth,Agrarische gebouwen,Agrarische gebouwen,Gebouw,Terlindenweg,100, ,6363 CX,WIJNANDSRADE,192203,324603,0, ,XY in het pand,B45,Limburg,Carr?boerderij Ter Linden,,,POINT (192205.6099999994 324598.48900000006)
historische_bouwkunde.8,511449, ,OV,Hengelo,"Gebouwen, woonhuizen",Gebouwen,Gebouw,Twekkelerweg,315, ,7554 SC,HENGELO,251812,474028,511445,De Waarbeek,XY in het pand,B10,Oost-Nederland,Sluiscomplex 'De Waarbeek',,,POINT (251811.4609999992 474030.35500000045)
historische_bouwkunde.9,344418,Bastion I,ZH,Liesveld,Verdedigingswerken,Vestingwerk,Bastion, ,0, ,2965 ZA,NIEUWPOORT,119423,438873,344417,Vesting Nieuwpoort,XY in het perceel,B26,Zuid-Holland,Verdedigingswerken,,,POINT (119422.56300000101 438873.1739999987)
historische_bouwkunde.10,512187, ,ZH,Ouderkerk,"Losse objecten, ed.",Complex,Baarhuisje,IJsseldijk Noord,67, ,2935 BH,OUDERKERK AAN DEN IJSSEL,103491,439528,512186,Complex,XY in het pand,B29,Zuid-Holland,Begraafplaats,,,POINT (103490.38500000164 439528.53400000185)
historische_bouwkunde.11,515477,Cafe Welgelegen,ZH,Zederik,"Gebouwen, woonhuizen",Gebouwen,Veerhuis,Lekdijk,75, ,4235 VN,TIENHOVEN,124870,441625,515476,Cafe Welgelegen,XY in het perceel,B30,Zuid-Holland,Veerhuis en schuur,,,POINT (124869.67199999839 441625.11499999836)
historische_bouwkunde.12,511207,Huis te Jaarsveld,UT,Lopik,"Kastelen, landh. ed.","Kasteel, landhuis o.i.d.",Gebouw,S L van Alterenlaan,27, ,3413 MJ,JAARSVELD,126896,442438,511206,Huis te Jaarsveld,XY in het pand,B16,Utrecht,Woonhuis 'Huis te Jaarsveld',,,POINT (126895.70600000024 442438.0929999985)
historische_bouwkunde.13,0, ,FL, , , , , ,0, , , ,0,0,0, , ,B12,IJsselmeergebied,Platteland,,,POINT (180562.15399999917 527911.5940000005)
historische_bouwkunde.14,0, ,FL, , , , , ,0, , , ,0,0,0, , ,B13,IJsselmeergebied,Dorpen,,,POINT (184755.3909999989 516328.40199999884)
historische_bouwkunde.15,0, ,FL, , , , , ,0, , , ,0,0,0, , ,B11,IJsselmeergebied,Gemalen,,,POINT (157290.4549999982 501611.3220000006)
historische_bouwkunde.16,0, ,FL, , , , , ,0, , , ,0,0,0, , ,B14,IJsselmeergebied,Steden,,,POINT (164630.80099999905 503632.7030000016)
historische_bouwkunde.17,0, ,FL, , , , , ,0, , , ,0,0,0, , ,B15,IJsselmeergebied,Windmolens,,,POINT (166117.4290000014 510830.1490000002)
historische_bouwkunde.18,8268, ,LI,Arcen en Velden,Molens,Molens,Gebouw,Schans,20,a,5944 AG,ARCEN,210044,387394,0, ,XY in het pand,B41,Limburg,Watermolen,,,POINT (210046.11400000006 387393.31500000134)
historische_bouwkunde.19,14257, ,LI,Echt,"Losse objecten, ed.",Diversen,Wegkruis, ,0, ,6100 AA,ECHT,188914,347561,0, ,XY in het perceel,B44,Limburg,Veldkruis,,,POINT (188915.98600000143 347557.9079999998)
historische_bouwkunde.20,28441, ,LI,Meerlo-Wanssum,"Kastelen, landh. ed.","Kasteel, landhuis o.i.d.",Gebouw,Maasheseweg,0,Ongd, ,WANSSUM,200820,396537,0, ,XY bij de straat,B42,Limburg,Ru?ne Kasteel Geysteren,,,POINT (200821.5469999984 396536.41000000015)
historische_bouwkunde.21,34855, ,LI,Stein,Molens,Molens,Gebouw, ,0, ,6129 ZA,URMOND,182351,333824,0, ,XY in het perceel,B43,Limburg,Standerdmolen,,,POINT (182352.79100000113 333819.9539999999)
historische_bouwkunde.22,9940, ,ZL,Borsele,Verdedigingswerken,Vestingwerk,Batterij, ,0, ,4437 ZA,ELLEWOUTSDIJK,45439,378689,0, ,XY in het perceel,B32,Zeeland,Fort Ellewoutsdijk,,,POINT (45434.3049999997 378690.2329999991)
historische_bouwkunde.23,12914, ,NB,Steenbergen,Weg- en waterwerken,Weg- en waterwerken,Sluizencomplex,Vlietdijk,2, ,4671 SV,DINTELOORD,76637,404708,0, ,XY in het pand,B39,Noord-Brabant,Sluizencomplex Beneden Sasweg en woonhuis,,,POINT (76634.67700000107 404708.69299999997)
historische_bouwkunde.24,14174, ,ZL,Schouwen-Duiveland,Weg- en waterwerken,Weg- en waterwerken,Caissons,Weg van de Buitenl Pers,3, ,4305 RJ,OUWERKERK,57841,404095,0, ,XY in het pand,B35,Zeeland,Caissons,,,POINT (57838.08799999952 404096.51199999824)
historische_bouwkunde.25,32279, ,NB,Geertruidenberg,Kerkelijke gebouwen,Kerken,Gebouw,Kerklaan,4, ,4944 VB,RAAMSDONK,121632,411789,0, ,XY in het pand,B36,Noord-Brabant,Gotische kerk,,,POINT (121631.13199999928 411788.6160000004)
historische_bouwkunde.26,32422, ,ZL,Reimerswaal,Openbare gebouwen,Gebouwen,Gebouw,Arsenaalstraat,19, ,4411 RP,RILLAND,73077,379825,0, ,XY in het pand,B31,Zeeland,Militaire opslagplaats,,,POINT (73073.5390000008 379824.94200000167)
historische_bouwkunde.27,38780,Slot Crayenstein,ZL,Schouwen-Duiveland,"Kastelen, landh. ed.","Kasteel, landhuis o.i.d.",Gebouw,Kraaijensteinweg,25, ,4328 RZ,BURGH HAAMSTEDE,40777,412127,0, ,XY in het pand,B34,Zeeland,Slot Crayenstein,,,POINT (40774.039999999106 412129.65199999884)
historische_bouwkunde.28,38994, ,NB,Moerdijk,Verdedigingswerken,Vestingwerk,Vestingwerk, ,0, ,4797 ZA,WILLEMSTAD,89604,412140,0, ,XY in het perceel,B37,Noord-Brabant,Vestigingswerken Willemstad en Fort 'De Hel',,,POINT (89602.30900000036 412140.4270000011)
historische_bouwkunde.29,379592, ,NB,Aalburg,Molens,Molens,Gebouw, ,0, ,4265 ZA,GENDEREN,133564,414765,0, ,XY in het perceel,B40,Noord-Brabant,Windmotor,,,POINT (133563.4750000015 414764.5249999985)
historische_bouwkunde.30,508051,'t Huis Aeolus,ZL,Kapelle,Molens,Molens,Molenaarshuis,Bonzijweg,15, ,4424 AM,WEMELDINGE,58796,392555,0, ,XY in het pand,B33,Zeeland,Molenaarshuis 't Huis Aedier,,,POINT (58792.5540000014 392556.08399999887)
