FID,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,gdb_geomattr_data,shape
voorrangswegen_wegvak.1,,600112412,2019-02-01T00:00:00,0,14,060011241220190201,LTK0000482482,L,I,,"LINESTRING (103923 429921, 103909 429923)"
voorrangswegen_wegvak.2,,600106336,2019-02-01T00:00:00,0,15,060010633620190201,LTK0000474839,R,I,,"LINESTRING (84858.48299999908 457548.11499999836, 84869.41800000146 457538.0309999995)"
voorrangswegen_wegvak.3,,600106346,2019-02-01T00:00:00,0,17,060010634620190201,LTK0000474839,R,I,,"LINESTRING (85732.3049999997 456098.91600000113, 85739.62700000033 456083.04100000113)"
voorrangswegen_wegvak.4,,600151286,2019-02-01T00:00:00,0,76,060015128620190201,LTK0000491807,L,I,,"LINESTRING (227429.4140000008 440550.8020000011, 227418.02899999917 440548.62999999896, 227396.48900000006 440544.2729999982, 227360.04100000113 440532.506000001, 227358.0089999996 440528.66699999943)"
voorrangswegen_wegvak.5,,240488024,2019-07-01T00:00:00,29,46,024048802420190701,LTK0000473584,R,I,,"LINESTRING (120334.75970000029 544468.3495000005, 120337.48800000176 544468.879999999, 120350.20600000024 544474.0529999994)"
voorrangswegen_wegvak.6,,600152412,2019-02-01T00:00:00,0,17,060015241220190201,LTK0000496797,L,I,,"LINESTRING (231642.33799999952 486623.0709999986, 231625.7960000001 486624.7960000001)"
voorrangswegen_wegvak.7,,600152426,2019-02-01T00:00:00,0,24,060015242620190201,LTK0000491807,L,I,,"LINESTRING (237709.60399999842 446796.83900000155, 237690.61400000006 446782.0370000005)"
voorrangswegen_wegvak.8,,600124515,2019-07-01T00:00:00,0,13,060012451520190701,LTK0000473584,L,I,,"LINESTRING (120350.20600000024 544474.0529999994, 120340.07499999925 544474.6999999993, 120337.22659999877 544474.6999999993)"
voorrangswegen_wegvak.9,,600149724,2019-02-01T00:00:00,0,10,060014972420190201,LTK0000496797,L,I,,"LINESTRING (216413.94700000063 489176.2120000012, 216406.5850000009 489183.4990000017)"
voorrangswegen_wegvak.10,,66202002,2019-05-01T00:00:00,0,10,006620200220190501,LTK0000485968,M,I,,"LINESTRING (33115 401075, 33120 401066)"
voorrangswegen_wegvak.11,,600195381,2019-08-01T00:00:00,0,2,060019538120190801,LTK0000476331,L,I,,"LINESTRING (130169.29800000042 548710.2369999997, 130168.56799999997 548712.0989999995)"
voorrangswegen_wegvak.12,,600404664,2020-08-01T00:00:00,0,278,060040466420200801,LTK0000491807,R,I,,"LINESTRING (232730.31590000167 443390.0918999985, 232735.1678000018 443390.16429999843, 232743.72069999948 443397.30319999903, 232760.3249000013 443412.0142999999, 232773.27980000153 443423.44110000134, 232779.02739999816 443428.9149999991, 232790.52259999886 443440.59259999916, 232806.37409999967 443454.64229999855, 232820.05889999866 443467.0042000003, 232833.58399999887 443478.97839999944, 232848.933699999 443492.4807000011, 232863.55579999834 443505.44110000134, 232938.92980000004 443571.85350000113)"
voorrangswegen_wegvak.13,,600405308,2020-08-01T00:00:00,0,22,060040530820200801,LTK0000491807,M,I,,"LINESTRING (239258.5009999983 449506.74500000104, 239256 449529)"
voorrangswegen_wegvak.14,,600279901,2020-07-01T00:00:00,0,19,060027990120200701,LTK0000499773,R,I,,"LINESTRING (46301.09099999815 368210.3850999996, 46320 368212)"
voorrangswegen_wegvak.15,,471291040,2020-08-01T00:00:00,0,7,047129104020200801,LTK0000491807,R,I,,"LINESTRING (235764.23999999836 445646.5170999989, 235770.4103000015 445649.9334000014)"
voorrangswegen_wegvak.16,,600106352,2020-10-01T00:00:00,0,12,060010635220201001,LTK0000474839,R,I,,"LINESTRING (86871.75800000131 454516.8966999985, 86879.37299999967 454507.74650000036)"
voorrangswegen_wegvak.17,,600415709,2020-10-01T00:00:00,0,50,060041570920201001,LTK0000475691,L,I,,"LINESTRING (87893.48550000042 461518.4904000014, 87932.50919999927 461550.47140000015)"
voorrangswegen_wegvak.18,,600415722,2020-10-01T00:00:00,0,20,060041572220201001,LTK0000475691,L,I,,"LINESTRING (87877.42300000042 461506.30370000005, 87893.48550000042 461518.4904000014)"
voorrangswegen_wegvak.19,,600119773,2020-10-01T00:00:00,0,9,060011977320201001,LTK0000482482,L,I,,"LINESTRING (105400 429868, 105392 429873)"
voorrangswegen_wegvak.20,,210259025,2020-10-01T00:00:00,0,9,021025902520201001,LTK0000482482,R,I,,"LINESTRING (105383 429861, 105391 429856)"
voorrangswegen_wegvak.21,,600093922,2020-11-01T00:00:00,0,19,060009392220201101,LTK0000485968,L,I,,"LINESTRING (31413.15700000152 396404.4120000005, 31414.83199999854 396407.625, 31412.3740000017 396418.04399999976, 31407.96400000155 396420.13599999994)"
voorrangswegen_wegvak.22,,600093877,2020-11-01T00:00:00,0,25,060009387720201101,LTK0000485968,L,I,,"LINESTRING (31418.20100000128 396444.1229999997, 31414.436999998987 396451.0480000004, 31408.565999999642 396455.4140000008, 31398.780999999493 396456.76900000125)"
voorrangswegen_wegvak.23,,62192031,2020-11-01T00:00:00,0,20,006219203120201101,LTK0000485968,R,I,,"LINESTRING (31407.96400000155 396420.13599999994, 31405.280000001192 396415.62900000066, 31408.743999999017 396405.6339999996, 31413.15700000152 396404.4120000005)"
voorrangswegen_wegvak.24,,600093876,2020-11-01T00:00:00,0,29,060009387620201101,LTK0000485968,L,I,,"LINESTRING (31407.96400000155 396420.13599999994, 31416.243999999017 396426.66000000015, 31419.554999999702 396435.08999999985, 31418.20100000128 396444.1229999997)"
voorrangswegen_wegvak.25,,62192016,2020-11-01T00:00:00,0,31,006219201620201101,LTK0000485968,R,I,,"LINESTRING (31382.107999999076 396431.8040000014, 31387.33900000155 396424.8530000001, 31397.27499999851 396419.58399999887, 31407.96400000155 396420.13599999994)"
voorrangswegen_wegvak.26,,62192015,2020-11-01T00:00:00,0,33,006219201520201101,LTK0000485968,R,I,,"LINESTRING (31398.780999999493 396456.76900000125, 31388.995000001043 396452.5529999994, 31382.67199999839 396443.5210000016, 31382.107999999076 396431.8040000014)"
voorrangswegen_wegvak.27,,600122477,2020-11-01T00:00:00,0,14,060012247720201101,LTK0000476337,R,I,,"LINESTRING (116305 488675.53599999845, 116290.81799999997 488675.3680000007)"
voorrangswegen_wegvak.28,,600424902,2020-12-01T00:00:00,0,11,060042490220201201,LTK0000475691,R,I,,"LINESTRING (86595.66750000045 460118.12519999966, 86585.10009999946 460115.3167000003)"
voorrangswegen_wegvak.29,,600100553,2021-04-01T00:00:00,0,274,060010055320210401,LTK0000488914,L,I,,"LINESTRING (55087.55600000173 407830.1640000008, 54996.85399999842 407842.9129999988, 54958.17830000073 407848.3685000017, 54915.49989999831 407855.26040000096, 54862.2023999989 407865.8572999984, 54819.96480000019 407875.06010000035, 54817.783700000495 407873.03770000115)"
voorrangswegen_wegvak.30,,600406322,2021-05-01T00:00:00,0,22,060040632220210501,LTK0000476332,L,I,,"LINESTRING (131216 549199, 131199 549204, 131194.59569999948 549204.8616999984)"
voorrangswegen_wegvak.31,,600100901,2021-05-01T00:00:00,0,22,060010090120210501,LTK0000488914,L,I,,"LINESTRING (64335 408674, 64334.54100000113 408666.04100000113, 64335.368000000715 408658.6169999987, 64338.11400000006 408653.2109999992)"
voorrangswegen_wegvak.32,,600424910,2021-04-01T00:00:00,0,13,060042491020210401,LTK0000475691,R,I,,"LINESTRING (86585.10009999946 460115.3167000003, 86584.44330000132 460107.94629999995, 86582.61829999834 460102.96379999816)"
voorrangswegen_wegvak.33,,230495010,2021-04-01T00:00:00,0,19,023049501020210401,LTK0000476324,M,I,,"LINESTRING (115114 547683, 115133 547679)"
voorrangswegen_wegvak.34,,600455462,2021-07-01T00:00:00,0,13,060045546220210701,LTK0000488909,M,I,,"LINESTRING (48637.20679999888 412213.36829999834, 48648.493000000715 412207.8601000011)"
voorrangswegen_wegvak.35,,99221002,2021-07-01T00:00:00,0,968,009922100220210701,LTK0000488909,M,I,,"LINESTRING (49916.63360000029 410600.38760000095, 49953.1501000002 410554.6191000007, 49968.89290000126 410533.4523999989, 49995.88039999828 410498.9241999984, 50015.85649999976 410472.3335000016, 50035.17110000178 410447.991799999, 50055.808699999005 410422.4594999999, 50070.757599998266 410404.60009999946, 50095.62849999964 410378.00939999893, 50130.289000000805 410341.6290999986, 50139.020300000906 410333.1623999998, 50203.84329999983 410265.29670000076, 50231.88919999823 410236.3247000016, 50268.40179999918 410197.5632000007, 50281.23409999907 410184.7309000008, 50344.8665000014 410119.11410000175, 50365.37180000171 410097.15359999985, 50408.498900000006 410053.497299999, 50431.78229999915 410031.933699999, 50466.178199999034 410000.8451000005, 50475.17410000041 409993.1722000018, 50502.161600001156 409971.3440000005, 50539.99709999934 409941.8429000005, 50587.925999999046 409908.17500000075)"
voorrangswegen_wegvak.69,,254493028,2014-11-01T00:00:00,15,29,025449302820141101,LTK0000476328,R,I,,"LINESTRING (127160.05310000107 546761.5023999996, 127161.11300000176 546768.4499999993, 127158.7100000009 546774.9210000001)"
voorrangswegen_wegvak.70,,62196008,2014-11-01T00:00:00,0,28,006219600820141101,LTK0000485968,R,I,,"LINESTRING (31009.230000000447 398042.86100000143, 31012.6240000017 398034.2879999988, 31019.9459999986 398029.1090000011, 31029.80999999866 398027.5089999996)"
voorrangswegen_wegvak.71,,64199030,2014-11-01T00:00:00,0,26,006419903020141101,LTK0000485968,R,I,,"LINESTRING (32466.74199999869 399888.688000001, 32465.313000001013 399881.186999999, 32467.63500000164 399873.1499999985, 32474.844999998808 399865.6319999993)"
voorrangswegen_wegvak.72,,174308066,2014-11-01T00:00:00,0,24,017430806620141101,LTK0000474839,R,I,,"LINESTRING (87116 454246, 87131.70600000024 454227.8570000008)"
voorrangswegen_wegvak.73,,245490022,2014-11-01T00:00:00,0,164,024549002220141101,LTK0000473584,R,I,,"LINESTRING (122597.56500000134 545117.6350000016, 122609.31700000167 545117.879999999, 122676.88899999857 545134.2829999998, 122726.58799999952 545146.5249999985, 122741.30700000003 545149.8740000017, 122753.36699999869 545160.7280000001)"
voorrangswegen_wegvak.74,,96138013,2015-02-01T00:00:00,0,18,009613801320150201,LTK0000499773,R,I,,"LINESTRING (48315 369413, 48328 369425)"
voorrangswegen_wegvak.75,,460373057,2015-08-01T00:00:00,0,13,046037305720150801,LTK0000496797,L,I,,"LINESTRING (230177.9389999993 486845.3420000002, 230164.87000000104 486846.6270000003)"
voorrangswegen_wegvak.76,,460373064,2015-08-01T00:00:00,0,13,046037306420150801,LTK0000496797,R,I,,"LINESTRING (230165.42399999872 486829.1479999982, 230178.32600000128 486827.86300000176)"
voorrangswegen_wegvak.36,,600457131,2021-07-01T00:00:00,0,3375,060045713120210701,LTK0000496797,L,I,,"LINESTRING (230164.87000000104 486846.6270000003, 230021.8350000009 486860.6889999993, 229846.51300000027 486880.2109999992, 229692.01399999857 486894.52600000054, 229439.3669999987 486917.06500000134, 229311.4699999988 486929.1229999997, 229182.98099999875 486942.06799999997, 229054.9360000007 486955.30900000036, 228931.18100000173 486967.80999999866, 228806.53799999878 486981.19900000095, 228691.21599999815 486993.40399999917, 228571.75200000033 487007.08900000155, 228478.82699999958 487014.1460000016, 228356.30600000173 487021.3969999999, 228274.12999999896 487026.6020000018, 228133.2030000016 487037.01399999857, 228100.40729999915 487040.3194000013, 228080.47619999945 487042.1997999996, 228073.46460000053 487042.88500000164, 228052.54679999873 487044.92920000106, 228046.47210000083 487045.5229000002, 228027.64189999923 487047.3630999997, 228021.6699000001 487047.9466999993, 227999.5907999985 487050.10440000147, 227995.60819999874 487050.4935999997, 227975.07809999958 487052.4998999983, 227969.99489999935 487052.9965999983, 227953.5773999989 487054.6009999998, 227944.45069999993 487055.4930000007, 227931.83579999954 487056.72569999844, 227925.24560000002 487057.3698000014, 227920.05099999905 487057.87739999965, 227896.6955000013 487060.1598000005, 227882.2800000012 487061.56859999895, 227872.53660000116 487062.5207999982, 227858.62889999896 487063.879900001, 227846.11230000108 487065.1031000018, 227832.19799999893 487066.46290000156, 227823.1699000001 487067.3451000005, 227814.8564000018 487068.1576000005, 227809.40399999917 487068.69040000066, 227801.39460000023 487069.47309999913, 227786.43149999902 487070.9354000017, 227777.4915000014 487071.8090999983, 227755.5800999999 487073.9503999986, 227750.68769999966 487074.4285000004, 227729.35269999877 487076.5135000013, 227706.07239999995 487078.7884999998, 227681.76469999924 487081.1640000008, 227663.78590000048 487082.9210000001, 227658.19750000164 487083.46709999815, 227634.29890000075 487085.80260000005, 227629.44839999825 487086.2765999995, 227611.22619999945 487088.05739999935, 227604.20179999992 487088.74390000105, 227582.8187999986 487090.8335000016, 227564.35159999877 487092.6381999999, 227539.09219999984 487095.1066999994, 227522.557599999 487096.72260000184, 227517.66310000047 487097.2008999996, 227499.4701000005 487098.97879999876, 227493.60709999874 487099.5518000014, 227475.18560000136 487101.0777999982, 227457.36050000042 487102.54729999974, 227449.9098000005 487103.16149999946, 227437.75719999894 487104.1634000018, 227426.24060000107 487105.1127999984, 227416.7173999995 487105.8979000002, 227409.55570000038 487106.51579999924, 227402.28610000014 487107.1570000015, 227390.14130000025 487108.2281000018, 227381.22850000113 487109.01419999823, 227365.37480000034 487110.4123999998, 227356.81529999897 487111.16739999875, 227334.2800000012 487112.94750000164, 227320.8625999987 487113.9935999997, 227312.76909999922 487114.57840000093, 227309.38190000132 487114.7595000006, 227296.25759999827 487115.4615000002, 227290.01669999957 487115.75450000167, 227283.28689999878 487116.0555999987, 227273.63809999824 487116.48739999905, 227262.1794999987 487117.0001000017, 227248.29789999872 487117.55110000074, 227237.20699999854 487117.9263000004, 227224.08370000124 487118.37029999867, 227215.90210000053 487118.6471000016, 227206.78869999945 487118.8553000018, 227191.61230000108 487119.2019000016, 227178.57459999993 487119.49969999865, 227173.05110000074 487119.62579999864, 227146.71869999915 487120.1218000017, 227131.39169999957 487120.2960000001, 227121.78440000117 487120.40520000085, 227108.11059999838 487120.51669999957, 227100.32140000165 487120.5614, 227078.62539999932 487120.685899999, 227074.62469999865 487120.7087999992, 227069.65060000122 487120.7373000011, 227062.83480000123 487120.80220000073, 227057.41450000182 487120.91490000114, 227051.89330000058 487121.02959999815, 227035.1911999993 487121.376600001, 227027.61410000175 487121.53400000185, 227007.5896999985 487121.7954999991, 227004.1614000015 487121.8150999993, 226991.3548000008 487121.73110000044, 226979.5861000009 487121.6537999995, 226970.1239 487121.44409999996, 226959.2655000016 487121.185800001, 226934.0177000016 487120.2993000001, 226918.67430000007 487119.6101000011, 226911.34160000086 487119.28069999814, 226897.1889999993 487118.62220000103, 226893.35229999945 487118.4428999983, 226887.06329999864 487118.0421000011, 226879.7190000005 487117.4006000012, 226872.51179999858 487116.7710000016, 226847.73860000074 487114.7903999984, 226817.52899999917 487113.1099999994, 226803.2003000006 487112.26469999924)"
voorrangswegen_wegvak.37,,452374018,2021-07-01T00:00:00,0,348,045237401820210701,LTK0000496797,R,I,,"LINESTRING (226452.62000000104 487086.0720000006, 226474.44099999964 487082.73800000176, 226490.69700000063 487082.73800000176, 226531.40700000152 487083.3139999993, 226599.93499999866 487085.993999999, 226664.81700000167 487089.6490000002, 226739.06599999964 487096.2740000002, 226799.19150000066 487101.7060999982)"
voorrangswegen_wegvak.38,,453374024,2021-07-01T00:00:00,0,7,045337402420210701,LTK0000496797,R,I,,"LINESTRING (226799.19150000066 487101.7060999982, 226805.9699999988 487101.99500000104)"
voorrangswegen_wegvak.39,,453374025,2021-07-01T00:00:00,0,352,045337402520210701,LTK0000496797,L,I,,"LINESTRING (226803.2003000006 487112.26469999924, 226750.1598000005 487108.2595999986, 226708.4349000007 487104.4378999993, 226648.80539999902 487098.9409000017, 226589.6272 487094.6730999984, 226567.23800000176 487092.8900000006, 226536.05900000036 487091.7899999991, 226477.75200000033 487089.88599999994, 226452.62000000104 487086.0720000006)"
voorrangswegen_wegvak.40,,240488019,2021-08-01T00:00:00,0,228,024048801920210801,LTK0000473584,M,I,,"LINESTRING (120350.20600000024 544474.0529999994, 120395.93930000067 544487.4792999998, 120415.38740000129 544492.8814999983, 120447.59820000082 544501.7276999988, 120477.07669999823 544510.6041000001, 120486 544513, 120569.71330000088 544537.0406000018)"
