Rijlabels;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
1Password;;;1;;;;;1
5hart-IT Opleidingen B.V.;;1;;;;;;1
7AM B.V.;;;;;;;1;1
Aces Direct B.V;;;;;;;1;1
Adobe;;;1;;;;;1
Amazon;1;;;;;;;1
Analys.io b.v.;;;;;;;1;1
Angi Studio B.V.;;;;;;;1;1
anoniem 121;;;;;;;1;1
anoniem 370;;1;;;;;;1
anoniem 378;;;;1;;;;1
anoniem 390;;;;;;;1;1
anoniem 391;;;;;;;1;1
anoniem 401;;;;;;1;;1
anoniem 402;;;;;;;1;1
anoniem 408;;;;;;;1;1
anoniem 419;;;;;;;1;1
Antalis B.V.;;;;1;;;;1
Apple;1;;;;;;;1
Apro Consulting Services B.V.;;1;;;;;;1
Archidat B.V.;;;;1;;;;1
Asp4all Hosting B.V.;;;;;1;;;1
Atlassian;;;1;;;;;1
Avex B.V.;1;;;;;;;1
Axians;;;1;1;;;;1
B.i.T. Netherlands B.V.;;;;;;;1;1
Babel B.V.;;1;;;;;;1
Backup Transport & Depot Services B.V.;;1;;;;;;1
BAM Bouw en Techniek B.V.;;;;;;;1;1
Banketbakkerij Boheemen;;;;;;;1;1
Bart Hoogveld beeldredactie & Fotografie;;;;;;;1;1
BCN B.V.;;1;;;;;;1
Beachclub Twins;;;;;;;1;1
Belstore.Com B.V.;;;;;;1;;1
Beter Horen;1;;;;;;;1
Big Data Value Center;;;;;;;1;1
Bimforce Projects B.V.;;1;;;;;;1
Bleyenberg;;;;;;;1;1
BlueBerry Media B.V.;;;;;;;1;1
bol.com B.V.;;;;;;1;1;1
Brocade Communications Switzerland Sàrl;;;;;;;1;1
BroekHuizenWirtz;;;;;;;1;1
Budgetronics;;;;;;1;1;1
Bumicom Telecommunicatie B.V.;;;;;1;;;1
Bureau Zuidema Learning Solutions B.V.;;1;;;;;;1
BURGER, J.;;1;;;;;;1
Business Openers;;;;;;;1;1
BWS Consulting B.V.;;;;;;;1;1
Cabinet Office;;;;;;;1;1
Cambrium B.V.;;;;;;1;;1
Cannock Chase;;;;;;1;;1
Center for internet Security. inc;;;1;;;;;1
Central Point Software;;;;;;;1;1
CERRIX B.V.;;;;;;;1;1
CertifyPoint BV;;;;;;;1;1
Circle Software Group B.V.;;;;;;;1;1
Claranet Benelux B.V.;;;;1;;;1;1
CoCo Tech;;;1;;;;;1
CompLions;;;;1;;;1;1
Coney Analytix;;;;1;;;;1
Content Kings B.V.;;;;;;;1;1
Coöperatieve vereniging OpenGeoGroep UA;;;1;;;;;1
Coosto B.V.;;;1;;;;;1
